item_id,category,description,nominal_mm,tolerance_or_bound,worst_case_or_clearance_mm,requirement,calculation_or_kernel_check,result,status,evidence_or_gate
D30D-001,envelope,Installed diameter hard limit,31.750,hard maximum,31.750,diameter <=31.750,Binding project constraint,PASS,VERIFIED REQUIREMENT,AGENTS.md
D30D-002,envelope,Installed height hard limit,27.500,hard maximum,27.500,height <=27.500,Binding project constraint,PASS,VERIFIED REQUIREMENT,AGENTS.md
D30D-003,envelope,Cost-down physical conservative radius,14.779,kernel bounding-box radius,1.096 radial margin,radius <=15.875,"sqrt(10.450^2+10.450^2)",PASS,VERIFIED CALCULATION,30D_CAD_KERNEL_REPORT.txt
D30D-004,envelope,Cost-down physical installed height,26.250,kernel bounding box,1.250 height margin,height <=27.500,zmax-zmin,PASS,VERIFIED CALCULATION,30D_CAD_KERNEL_REPORT.txt
D30D-005,envelope,Proposed worst-case conservative radius,15.099,"+0.10 post datum +0.10 formed bracket +0.05 cartridge +0.04 clamp +0.03 head",0.776 radial margin,radius <=15.875,14.779+0.320,PASS conditional,ENGINEERING PROPOSAL - VALIDATE,G30D-03 production GD&T
D30D-006,envelope,Proposed worst-case installed height,26.630,"+0.10 feedthrough datum +0.15 bend/face height +0.05 sheet +0.04 clamp +0.04 cartridge",0.870 height margin,height <=27.500,26.250+0.380,PASS conditional,ENGINEERING PROPOSAL - VALIDATE,G30D-03 production GD&T
D30D-007,envelope,Physical bounding box X and Y,"-10.150 to +10.450",kernel result,20.600 total width,all installed solids included,OpenCascade bounding box,PASS,VERIFIED CALCULATION,30D_CAD_KERNEL_REPORT.txt
D30D-008,CAD,Physical collision-envelope solid count,20,positive valid solids,not a procurement BOM,complete conceptual assembly nonempty,OpenCascade solids before export,PASS,VERIFIED CALCULATION,30D_CAD_KERNEL_REPORT.txt
D30D-009,collision,Maximum unintended physical overlap,0.000000,kernel volume tolerance <=0.000001,0.000000,zero unintended overlap,all physical part pairs,PASS,VERIFIED CALCULATION,30D_CAD_KERNEL_REPORT.txt
D30D-010,CAD,STEP reimport bound delta,0.000000,accept <=0.001,0.001 margin,export preserves bounds,OpenCascade STEP reimport,PASS,VERIFIED CALCULATION,30D_CAD_KERNEL_REPORT.txt
D30D-011,feedthrough keepout,Minimum post surface radius,11.578,"center sqrt(9^2+9^2) minus 1.150",0.528 radial clearance,greater than keepout radius 11.050,"sqrt(9^2+9^2)-1.15",PASS conditional,ENGINEERING PROPOSAL - VALIDATE,G30D-06 exact mated datum
D30D-012,feedthrough keepout,Lowest central nut hardware,11.000,provisional underside envelope,0.590 axial clearance,greater than keepout height 10.410,12.20-0.50-0.70,PASS conditional,ENGINEERING PROPOSAL - VALIDATE,G30D-06 exact mated datum
D30D-013,harness,Single square branch corridor,3.800,architecture proposal,0.500 total width allowance,greater than two 1.650-mm cables,3.800-2*1.650,PASS conditional,ENGINEERING PROPOSAL - VALIDATE,G30D-06 delivered cable and lay trial
D30D-014,harness,Two-pair side-by-side delivered width,3.300,two worst-case 1.650-mm pair ODs,not applicable,less than 3.800-mm corridor,2*1.650,PASS,VERIFIED CALCULATION,S022/S053
D30D-015,harness,Maximum cable-keepout to folded-bracket overlap,0.000000,kernel volume tolerance <=0.000001,0.000000,three paths clear structure,OpenCascade intersection volumes,PASS,VERIFIED CALCULATION,30D_CAD_KERNEL_REPORT.txt
