# PILOT SAMPLE — NOT FINAL — B15_lit_synth pilot attempt-1. Evidence rows derived solely from the 8-paper pilot set (P0001-P0008), each record independently re-opened this run (2026-07-28). Absence from this set is never proof of absence in the wider literature.
evidence_id,topic_stream,claim,support_direction,paper_ids,study_types,conditions,measurement_quality,consistency,evidence_strength,limitations,phd_relevance,startup_relevance,downstream_use,falsifier
EV01,hall_metrology,"Traceable Hall-probe calibration with a component-level uncertainty budget is demonstrated at room temperature: gold micro-Hall sensors calibrated against a traceably calibrated commercial reference probe (Magnet-Physik FH55) over +/-150 mT achieved sensitivity 3.2 mV/A/T at +/-0.3%, and full scanning-SHPM operation carries a combined expanded uncertainty of +/-(7 mT + 13%) at k=2",supports,P0008,primary_experiment,"room temperature; +/-150 mT electromagnet; laboratory scanning Hall probe microscope","high for its regime — explicit traceability via calibrated reference probe; five-component uncertainty budget; instability quantified honestly (graphene day-to-day sensitivity deviation up to 9.3%)","single study in pilot set; no independent replication within P0001-P0008","moderate — well-designed single-group experiment; regime far from fusion/cryogenic/tesla-scale use","traceability routed through one commercial calibrated probe; low-field room-temperature regime only; graphene variant unstable (9.3% day-to-day)","direct methodological template for the proposed WP-C traceable calibration (B10 C06); supports the method class, not the still-uncalibrated GaN die itself","calibration-methodology asset for sensor/metrology work; not market evidence","full B15 synthesis; calibration-plan benchmarking","independent replication on comparable sensors failing to reach the stated uncertainty, or a metrology audit faulting the FH55-based chain"
EV02,hall_metrology,"Radiation-hard Hall-sensor operation in fusion neutron environments is demonstrated for specific non-GaN materials: JET InSb/i-GaAs 3D Hall probes operated 11+ years (2009-2021, 19117 pulses) including D-T pulses at neutron flux near 1e13 cm-2 s-1 with pre-pulse calibration scatter about +/-0.07% and stability quoted to fluence 2e18 cm-2 (P0001); Sb sensors with 500 nm W-Ti(90-10) diffusion barriers hold sensitivity at 89.6 mV/A/T through 350C/50h plus 220C/120h vacuum exposure, linear over +/-2.5 T, with reported fast-neutron tolerance to 1.4e20 cm-2 at <=2.3% sensitivity shift (P0004)",supports,P0001;P0004,"primary_experiment (long-term in-machine system operation); primary_experiment (materials/thermal tests with reported irradiation tolerance)","JET in-vessel including D-T campaigns; bench thermal-vacuum 220-350 C; +/-2.5 T; fast-neutron fluences to 1.4e20 cm-2 (as reported)","high for long-baseline stability tracking (repeated in-machine calibration checks); moderate for uncertainty formality — no full GUM-style budgets on the opened records","two independent groups (JET/Lviv consortium; Prague-led ITER/DEMO work) agree that engineered InSb/Sb Hall sensors survive reactor-relevant conditions","strong for the InSb and Sb families in the tested regimes","no GaN/AlGaN data in either paper; this run verified the 1.4e20 cm-2 tolerance figure appears on the P0004 record but did not establish whether that irradiation campaign was performed within P0004 itself or in the group's earlier work; P0001 reports its coils were not bench-calibrated and about 19% of pulses were lost to hardware/recording faults","bounds what others have already demonstrated — radiation-hard Hall metrology per se is occupied ground; the PhD's GaN-specific radiation question remains untested (consistent with B10 C29)","incumbent harsh-environment sensor materials already demonstrated by established labs","full B15 synthesis; novelty-boundary analysis","retraction/correction of the JET long-term stability record, or independent labs failing to reproduce Sb-sensor barrier stability"
EV03,hybrid_diagnostics,"Hall+coil hybrid magnetic sensing is established prior art at both system and algorithm level: the JET RHP system already pairs 18 Hall sensors with 18 coils and formally proposes a compact Luenberger-Kalman hybrid probe (P0001), and a linear Kalman-filter fusion of Hall and coil channels with a Wiener-process bias state removes integrator drift and improves SNR by roughly 30x in synthetic long-pulse tests (P0003)",supports,P0001;P0003,"primary_experiment plus design proposal (P0001); simulation/synthetic-data validation (P0003)","JET in-vessel hardware 2009-2021 (P0001); synthetic signals with sigma_H=0.1 T and sigma_C=0.02 T/s at 10 kHz over 10 s and 1 h records (P0003)","P0001 hardware evidence is high for coexistence/long-term operation but its high-performance hybrid probe is proposed, not built; P0003 quality is algorithmic-synthetic with idealized noise","mutually consistent on architecture value; both address the Hall-corrects-coil (drift) direction only","moderate — concept and algorithm well supported; a hardware-fused instrument is demonstrated in neither paper","no built hybrid probe; no real-machine fusion of the two channels in this pilot set; synthetic noise models idealized (acknowledged by P0003's authors)","directly supports feasibility of B10 Element 2's Hall-to-coil direction while confirming the broad architecture is not novel (B10 C26); provides zero support for the reverse coil-to-Hall calibration direction","hybrid-sensor product concept already occupied by large-lab prior art","full B15 synthesis; architecture and novelty adjudication","a hardware trial showing Kalman Hall+coil fusion fails under real EMI/plasma conditions at the claimed accuracy class"
EV04,hybrid_diagnostics,"Gap/contradiction: within this pilot set there is no hardware demonstration of Hall+coil fusion under real fusion operating conditions — P0003's validation is entirely synthetic and P0001's hybrid probe is a proposal; further, the PhD direction's assumed coil-to-Hall reverse-calibration step has no supporting demonstration in either paper, and P0001 explicitly reports its own coils were never bench-calibrated, so the trusted coil reference chain the reverse direction requires did not exist even on the flagship deployed system",gap,P0001;P0003,"absence-of-evidence across a primary_experiment record and a simulation record","real long-pulse fusion conditions (the target regime) untested for fused operation","not applicable — gap row","gap is internally consistent with B10's own admission (C23/C26) that no coil-to-Hall fusion-condition demonstration exists","gap is firm within the 8-paper set; absence here is not proof of absence in the wider literature","8-paper pilot scope only; full 62-paper corpus check deferred to the full run","this is simultaneously the PhD's decisive open ground (novelty gap b in B10 C26) and its largest unsupported feasibility assumption","unproven-core-technology risk flag for any hybrid-sensor venture concept","GAPS.md bridge tests; full-run contradiction ledger","a published hardware demonstration of fused Hall+coil operation (either direction) under fusion conditions located in the full corpus or newer literature"
EV05,hts_quench_current,"No-insulation REBCO pancake coils exhibit passive self-protection: a multiphysics simulation anchored to an experimentally measured turn-to-turn radial resistivity of 70 uOhm-cm2 at 77 K shows a 12 J / 40 ms local heater quench at 80 A transport current redistributes azimuthal current along entire turns (turn-15 overcurrent reaching 115 A), peak hot-spot near 145 K, and full recovery to a 78 K steady state without external intervention",supports,P0007,"multiphysics_simulation (electrical-network + 2D thermal + 3D magnetic) with one experimentally anchored parameter","77-80 K operation; adiabatic assumption; single pancake geometry; constant 80 A transport current","moderate — model anchored to a measured contact resistivity but not validated against an instrumented quench experiment within this paper","internally consistent; treated as seminal in the field, but citation standing was not used as evidence here","moderate — mechanism credible and quantitative, yet the self-protection evidence is computational in provenance","homogeneous-current-across-tape-width assumption; results specific to 70 uOhm-cm2 (authors note 27 uOhm-cm2 measured elsewhere would change margins); terminal voltage stays <=9 mV, making detection intrinsically hard; full text paywalled — adjudicated from the open landing-page record","context for the HTS-magnet diagnostic environment the PhD/startup instrumentation could serve; not a PhD claim dependency","defines the low-signal quench environment any HTS-magnet sensing product must handle","full B15 synthesis; hts stream baseline","instrumented NI-coil quench experiments contradicting the simulated redistribution/recovery behavior"
EV06,hts_quench_current,"Data-driven HTS quench detection is feasible but data-starved: with only 36 real quench records (18 train / 18 test) from one helical coil, physics-guided augmentation to 216/216 artificial samples enabled 0.9861 held-out detection accuracy, degrading to 0.875 on an unseen pancake-coil geometry and 0.8056 at 0 dB SNR — addressing exactly the weak (<=9 mV) terminal-voltage signatures P0007 predicts for no-insulation coils",supports,P0002;P0007,"primary_experiment (real coil quench records) plus ML benchmarking on augmented artificial data (P0002); multiphysics_simulation (P0007)","laboratory HTS helical and pancake coils; 75 classifier/dimensionality-reduction combinations; injected noise down to 0 dB SNR","moderate — honest train/test separation and a cross-geometry generalization test; but the majority of training data is artificial","P0002 and P0007 are complementary (weak native quench signals motivate advanced detection); no independent replication of the ML benchmark inside the pilot set","moderate-to-weak — promising benchmark, far from qualified magnet-protection practice","tiny real dataset (36 records); augmentation-dependent; no real-time or in-service deployment; single laboratory","peripheral to the PhD's Hall/coil program; relevant only if later work targets HTS magnet monitoring","signals an open, technically immature niche (HTS quench diagnostics); stated as context, not a ranking","full B15 synthesis; hts stream","the benchmark failing to transfer to independent coils/laboratories, or deployment showing unacceptable false-alarm/missed-quench rates"
EV07,power_conversion,"Review-level consensus: SiC/GaN wide-bandgap devices enable order-of-magnitude higher switching frequency (quoted up to ~100x vs silicon) and ~99% converter-efficiency demonstrations (e.g. a GaN system >99% at 120-200 kHz), with SiC operating-temperature capability quoted at 200-300 C — enabling smaller magnetics and higher-density specialized converters",supports,P0005;P0006,"review_synthesis in both papers; neither reports original experiments","figures compiled by the reviews from underlying primary studies across EV, renewable, aerospace and power-supply applications","not applicable at review level — headline numbers are cited by the reviews, not measured in them, and were not traced to their primary sources this run","two independent review teams (2021 and 2023) concur on direction and magnitude class","moderate as a consensus map; weak as primary measurement evidence — kept separate from primary experiments per policy","review conclusions only; underlying primary studies unverified in this pilot; possible staleness relative to 2024-2026 device generations","background for whether the PhD's measurement/instrumentation skills transfer to power-conversion work; no direct dependency of any PhD claim","technology-direction context for power-electronics-adjacent work; not market sizing and not a venture ranking","full B15 synthesis; power_conversion stream","a primary-literature audit showing the headline efficiency/frequency figures are unrepresentative or misquoted"
EV08,power_conversion,"Gate-drive engineering is a genuine unresolved bottleneck for wide-bandgap adoption: enhancement-mode GaN tolerates only a -10 V to +7 V gate window while cascode variants need +/-20 V, commercial drivers are described as far from universal, and slew-rate control, Miller clamping, and crosstalk mitigation remain active design burdens",supports,P0006;P0005,"review_synthesis with tabulated commercial-device and published-design surveys","mid-to-high-power converter applications; commercial device landscape circa 2020","not applicable — survey level","consistent with P0005's independent list of gate-drive, EMI, and thermal challenges","moderate for the existence of the problem; weak for its current state (2021 snapshot)","P0006's 12-day receipt-to-acceptance interval limits confidence in review depth (flagged, not disqualifying); 2021 snapshot likely stale on driver ICs; review-level only","identifies where measurement-quality skills (fast switching-node metrology) might transfer; a loose analogy, not a demonstrated bridge","candidate pain point if work targets WBG converter test/measurement; context only","full B15 synthesis; power_conversion stream","current (2024-2026) primary literature showing qualified near-universal driver solutions eliminating the described burdens"
EV09,hall_metrology,"Gap: no GaN/AlGaN Hall-plate radiation or fusion-environment dataset appears anywhere in this pilot set — demonstrated radiation-hard Hall sensing uses InSb (P0001) and Sb (P0004), and the traceable-calibration exemplar (P0008) uses gold/graphene sensors at room temperature; the PhD's radiation-compensation premise for GaN devices is neither supported nor refuted by these papers, matching B10's own ledger finding (C29) that the GaN radiation-drift magnitude is Unknown",gap,P0001;P0004;P0008,"absence-of-evidence across primary_experiment records","not applicable","not applicable — gap row","independently consistent with B10's 219/231-row ledger finding of no GaN Hall-plate neutron dataset","gap is firm within the pilot set; absence from 8 papers proves nothing about the wider literature","8-paper scope; a full-corpus and fresh-literature check is deferred to the full run","the PhD's radiation hypothesis (B10 C09/C29) remains an open empirical question with zero literature support in this evidence base","any GaN-sensor radiation-hardness claim currently lacks literature support in this set","GAPS.md; full-run targeted search verification","a GaN/AlGaN Hall-plate irradiation study located in the full corpus or newly published literature"
EV10,hybrid_diagnostics,"Regime tension: P0003's synthetic validation assumes white Gaussian channel noise and a Wiener-process bias and reports drift completely resolved with ~30x SNR gain, while P0001's 11-year real installation reports non-identical never-bench-calibrated coils, suboptimal coil SNR, and ~19% of pulses lost to commissioning/hardware/recording faults — the idealized algorithm evidence and the real-installation evidence do not yet meet in the middle",mixed,P0001;P0003,"simulation (P0003) versus long-term system operation (P0001)","synthetic 10 kHz records (P0003) versus JET in-vessel operation 2009-2021 (P0001)","each record is strong in its own regime; neither covers the other's regime","no contradiction on any shared measurement, but jointly they expose an unbridged validation gap","the tension itself is well evidenced from the two opened records","P0003's authors themselves acknowledge the hardware-implementation challenge — the tension is disclosed in the primary record, not discovered by this run alone","quantifies the credibility gap any hybrid-estimator PhD deliverable must close (aligns with B10's FT-08 to FT-10 machine-piggyback ladder)","product-qualification burden indicator for diagnostic instrumentation work","GAPS.md bridge tests; full B15 synthesis","a real-machine deployment of a P0003-class estimator meeting its synthetic-performance bounds"
