Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C2, C3, C4, C5, C6, C7, C8, C9",0805,10,C,
J1,DSUB-9_Pins_Horizontal_P2.77x2.54mm_EdgePinOffset9.40mm,1,Conn_01x09_Socket,
"J2, J5, J6, J7",PinHeader_1x02_P2.54mm_Vertical,4,Conn_01x02_Pin,
J3,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
J4,CONN_73100-0105_MOL,1,Conn_01x03_Pin,
R1,0603,1,R,
"R10, R2, R3, R4, R5, R6, R7, R8, R9",0805,9,R,
"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8",CONN1_RCU-0C_TEC,8,TestPoint,
"U1, U2",RU_16_ADI,2,ADG1209YRUZ-REEL7,
U3,RU_16_ADI,1,ADG5236BRUZ,
U4,R_8_ADI,1,AD8429ARZ,
U5,RS6-2415D_RCP,1,RS6-2415D,
