# PILOT SAMPLE — NOT FINAL — B12_lit_search PILOT attempt-1 — SEARCH_LOG.csv
# Timestamp convention: no system clock exposed; date 2026-07-28 used for all rows with time NOT_EXPOSED; query_id order = execution order.
query_id,topic_stream,platform,query_text,searched_at_utc,result_count,screened_count,notes
Q01,hall_metrology,WebSearch,"GaN Hall effect sensor calibration temperature drift radiation journal",2026-07-28T NOT_EXPOSED,8,8,"Identified IET/AIP AlGaN/GaN Hall-sensor candidates; both later excluded on access grounds (E01, E02); informed later successful hall_metrology queries Q09/Q10"
Q02,hybrid_diagnostics,WebSearch,"Hall sensor Rogowski coil hybrid current measurement sensor fusion journal",2026-07-28T NOT_EXPOSED,8,8,"Found two USPTO patents (excluded E03, E04) and an MDPI Sensors TMR+CT paper (later excluded E10, publisher page blocked); no paper accepted directly from this query"
Q03,hts_quench_current,WebSearch,"no-insulation HTS coil quench detection current redistribution journal",2026-07-28T NOT_EXPOSED,9,9,"Identified IOPscience Superconductor Science and Technology 2025 quench-detection paper, accepted P0002; also found Springer JSNM paper, later excluded E09 (auth wall)"
Q04,power_conversion,WebSearch,"SiC GaN wide bandgap power converter gate drive current sensing journal review",2026-07-28T NOT_EXPOSED,8,8,"Identified both accepted Micromachines review papers (P0005 via PMC10673564, P0006 via PMC7826992); also found Springer JPE review, later excluded E08 (auth wall)"
Q05,hybrid_diagnostics,WebSearch,"Hall sensor inductive coil hybrid diagnostic plasma current reconstruction fusion journal",2026-07-28T NOT_EXPOSED,7,7,"Identified Nuclear Fusion 2022 hybrid Hall-probe paper, accepted P0001; also surfaced antimony Hall sensor IOPscience paper later accepted P0004 (hall_metrology)"
Q06,hybrid_diagnostics,WebSearch,"ITER outer vessel steady state sensor Hall coil hybrid magnetic diagnostic journal",2026-07-28T NOT_EXPOSED,9,9,"Background/context query; all results were ResearchGate/ScienceDirect/PubMed abstract-only listings not individually pursued to full text in this bounded pilot; no new accepted item or individually logged exclusion from this query specifically (informational discovery only); also re-surfaced P0004 candidate"
Q07,hybrid_diagnostics,WebSearch,"""Data fusion of magnetic coils and Hall sensors using Kalman filtering"" doi Fusion Engineering and Design",2026-07-28T NOT_EXPOSED,6,6,"Located Nuclear Fusion 2025 Kalman-filter sensor-fusion paper, accepted P0003; a similarly titled ScienceDirect FED paper was inaccessible (E06); also surfaced MDPI Sensors 2021 Kalman paper, verified via PMC8749566 but excluded on stream-quota grounds (E07)"
Q08,hts_quench_current,WebSearch,"no-insulation HTS coil quench detection current redistribution IOPscience Superconductor Science and Technology",2026-07-28T NOT_EXPOSED,10,10,"Located seminal 2016 IOPscience self-protection-mechanisms paper, accepted P0007"
Q09,hall_metrology,WebSearch,"Hall sensor traceable calibration uncertainty magnetic field bandwidth noise journal 2020..2026",2026-07-28T NOT_EXPOSED,10,10,"Located JSSS 2020 traceable Hall-probe-microscopy calibration paper, accepted P0008; several patents surfaced and not pursued"
Q10,hall_metrology,WebSearch,"GaN Hall sensor IEEE Sensors conference paper peer reviewed proceedings calibration",2026-07-28T NOT_EXPOSED,9,9,"Located an IEEE Xplore document; WebFetch returned no retrievable content (E11); hall_metrology quota already filled by P0004/P0008 so not pursued further"
