claim_id,url,title,publisher,published_date,accessed_date,source_type,stage_file,confidence,limitation
S01,https://iopscience.iop.org/article/10.1088/1361-648X/abf7e2,"Frontiers of graphene-based Hall-effect sensors (P0010)","IOP Publishing (Journal of Physics: Condensed Matter)",2021-05-18,2026-07-28,publisher_journal_record,"EVIDENCE_MAP.csv;LIT_REVIEW.md;GAPS.md;SOURCE_AUDIT.json",high,"open access; topical review — its comparison-table figures are compiled from primaries not traced this run; content read via automated WebFetch extraction"
S02,https://pmc.ncbi.nlm.nih.gov/articles/PMC3274123/,"Hall Sensors for Extreme Temperatures (P0017)","PubMed Central mirror of MDPI Sensors 11(1):876-885",2011-01-10,2026-07-28,pmc_open_access_mirror,"EVIDENCE_MAP.csv;LIT_REVIEW.md;GAPS.md;SOURCE_AUDIT.json",high,"published_date given is the accepted date shown on the record (final publication date not separately shown to this run); record indicates a primary research article, differing from B12's review_article classification — adjudicated in LIT_REVIEW section 1.3"
S03,https://pmc.ncbi.nlm.nih.gov/articles/PMC7412317/,"Investigation of Radiation Effects on FD-SOI Hall Sensors by TCAD Simulations (P0018)","PubMed Central mirror of MDPI Sensors 20(14):3946",2020-07-16,2026-07-28,pmc_open_access_mirror,"EVIDENCE_MAP.csv;LIT_REVIEW.md;GAPS.md;SOURCE_AUDIT.json",high,"simulation-only study (no experimental validation) — its quantitative shifts are model outputs, weighted accordingly in EV15"
S04,https://pmc.ncbi.nlm.nih.gov/articles/PMC7288339/,"Accurate Magnetic Sensor System Integrated Design (P0024)","PubMed Central mirror of MDPI Sensors 20(10):2929",2020-05-21,2026-07-28,pmc_open_access_mirror,"EVIDENCE_MAP.csv;LIT_REVIEW.md;GAPS.md;SOURCE_AUDIT.json",high,"RFX-mod2 (10 s-class pulses); coil-only system — regime difference from long-pulse machines noted in EV19/G4"
S05,https://pmc.ncbi.nlm.nih.gov/articles/PMC9329379/,"Magnetic field mapping of inaccessible regions using physics-informed neural networks (P0030)","PubMed Central mirror of Springer Nature Scientific Reports 12:12858",2022-06-29,2026-07-28,pmc_open_access_mirror,"EVIDENCE_MAP.csv;LIT_REVIEW.md;GAPS.md;SOURCE_AUDIT.json",high,"published_date given is the accepted date shown on the record; validation is synthetic plus lab-coil experiments (nEDM context, not fusion)"
S06,https://iopscience.iop.org/article/10.1088/1361-6668/ad3f83,"An open-source 3D FE quench simulation tool for no-insulation HTS pancake coils (P0032)","IOP Publishing (Superconductor Science and Technology)",2024-05-08,2026-07-28,publisher_journal_record,"EVIDENCE_MAP.csv;LIT_REVIEW.md;GAPS.md;SOURCE_AUDIT.json",high,"open access; validation presented is computational only — no experimental comparison in the paper (weighted accordingly in EV22)"
S07,https://iopscience.iop.org/article/10.1088/1361-6668/aca83c,"Quench detection and early warning based on thermoelastic strain rate for HTS tapes thermally triggered by heat spots (P0033)","IOP Publishing (Superconductor Science and Technology)",2022-12-14,2026-07-28,publisher_journal_record,"EVIDENCE_MAP.csv;LIT_REVIEW.md;GAPS.md;SOURCE_AUDIT.json",high,"tape-level experiments (not full magnet); disclosed model-experiment discrepancies at positions distant from the heater"
S08,https://iopscience.iop.org/article/10.1088/1741-4326/adb0dd,"IntelliMIK: a novel intelligent quench detection method for fusion devices (P0038)","IOP Publishing on behalf of IAEA (Nuclear Fusion)",2025-02-17,2026-07-28,publisher_journal_record,"EVIDENCE_MAP.csv;LIT_REVIEW.md;GAPS.md;SOURCE_AUDIT.json",high,"validated on real EAST operational data with simulated quench events; authors flag residual >100 mV noise as inadequate for HTS magnets"
S09,https://pmc.ncbi.nlm.nih.gov/articles/PMC8127627/,"Hot-Spot Modeling of REBCO NI Pancake Coil: Analytical and Experimental Approaches (P0040)","NIH PMC author-manuscript mirror of IEEE Trans. Applied Superconductivity 31(5):4603305 (NIHMS1691781)",2021,2026-07-28,pmc_author_manuscript_mirror,"EVIDENCE_MAP.csv;LIT_REVIEW.md;GAPS.md;SOURCE_AUDIT.json",high,"year-only published_date (exact IEEE publication date not shown on the PMC record opened); author-manuscript mirror of the published version"
S10,https://pmc.ncbi.nlm.nih.gov/articles/PMC9652021/,"On fault-mode phenomenon in no-insulation superconducting magnets: A preventive approach (P0043)","PubMed Central mirror of AIP Applied Physics Letters 121(19):194101",2022,2026-07-28,pmc_open_access_mirror,"EVIDENCE_MAP.csv;LIT_REVIEW.md;GAPS.md;SOURCE_AUDIT.json",high,"year-only published_date (exact date not returned by this run's extraction; B12's ledger notes received 24 Aug / accepted 22 Oct 2022); this run's extraction presented it as a published-article PMC record while B12 labeled it an author-manuscript mirror — minor presentational discrepancy, disclosed"
