Model: ,Oscilloscope DSO-X 4022A
Serial Number:,MY57310245
Address: ,USBInstrument1
Date: ,2026-07-10 18:42:49

Sample Number,Time (s),2 (VOLT),
1,-0.005,6.71983262896538,
2,-0.004994885,7.05456066131592,
3,-0.00498977,6.88719664514065,
4,-0.004984655,6.88719664514065,
5,-0.00497954,6.21774058043957,
6,-0.004974425,6.71983262896538,
7,-0.00496931,6.88719664514065,
8,-0.004964195,7.05456066131592,
9,-0.00495908,6.88719664514065,
10,-0.004953965,6.71983262896538,
11,-0.00494885,6.21774058043957,
12,-0.004943735,6.88719664514065,
13,-0.00493862,6.55246861279011,
14,-0.004933505,6.55246861279011,
15,-0.00492839,6.88719664514065,
16,-0.004923275,7.05456066131592,
17,-0.00491816,7.05456066131592,
18,-0.004913045,6.88719664514065,
19,-0.00490793,6.71983262896538,
20,-0.004902815,6.88719664514065,
21,-0.0048977,-7.00401669740677,
22,-0.004892585,-6.8366526812315,
23,-0.00488747,-7.00401669740677,
24,-0.004882355,-7.17138071358204,
25,-0.00487724,-7.17138071358204,
26,-0.004872125,-6.8366526812315,
27,-0.00486701,-6.8366526812315,
28,-0.004861895,-7.00401669740677,
29,-0.00485678,-6.8366526812315,
30,-0.004851665,-6.8366526812315,
31,-0.00484655,-7.67347276210785,
32,-0.004841435,-6.66928866505623,
33,-0.00483632,-7.00401669740677,
34,-0.004831205,-6.66928866505623,
35,-0.00482609,-7.17138071358204,
36,-0.004820975,-6.50192464888096,
37,-0.00481586,-7.17138071358204,
38,-0.004810745,-6.8366526812315,
39,-0.00480563,-7.00401669740677,
40,-0.004800515,-6.8366526812315,
41,-0.0047954,6.71983262896538,
42,-0.004790285,7.55665270984173,
43,-0.00478517,6.71983262896538,
44,-0.004780055,6.88719664514065,
45,-0.00477494,6.38510459661484,
46,-0.004769825,6.88719664514065,
47,-0.00476471,6.71983262896538,
48,-0.004759595,6.88719664514065,
49,-0.00475448,7.05456066131592,
50,-0.004749365,6.88719664514065,
51,-0.00474425,6.71983262896538,
52,-0.004739135,6.88719664514065,
53,-0.00473402,6.55246861279011,
54,-0.004728905,7.05456066131592,
55,-0.00472379,6.88719664514065,
56,-0.004718675,7.05456066131592,
57,-0.00471356,6.71983262896538,
58,-0.004708445,7.05456066131592,
59,-0.00470333,6.71983262896538,
60,-0.004698215,-7.17138071358204,
61,-0.0046931,-6.8366526812315,
62,-0.004687985,-7.17138071358204,
63,-0.00468287,-7.00401669740677,
64,-0.004677755,-7.17138071358204,
65,-0.00467264,-7.17138071358204,
66,-0.004667525,-6.8366526812315,
67,-0.00466241,-6.66928866505623,
68,-0.004657295,-7.00401669740677,
69,-0.00465218,-7.00401669740677,
70,-0.004647065,-7.33874472975731,
71,-0.00464195,-7.00401669740677,
72,-0.004636835,-7.17138071358204,
73,-0.00463172,-7.33874472975731,
74,-0.004626605,-7.00401669740677,
75,-0.00462149,-7.17138071358204,
76,-0.004616375,-6.66928866505623,
77,-0.00461126,-7.17138071358204,
78,-0.004606145,-7.17138071358204,
79,-0.00460103,-7.00401669740677,
80,-0.004595915,-6.8366526812315,
81,-0.0045908,-6.66928866505623,
82,-0.004585685,-7.17138071358204,
83,-0.00458057,-7.00401669740677,
84,-0.004575455,-7.00401669740677,
85,-0.00457034,-7.17138071358204,
86,-0.004565225,-7.00401669740677,
87,-0.00456011,-7.00401669740677,
88,-0.004554995,-7.00401669740677,
89,-0.00454988,-7.00401669740677,
90,-0.004544765,-6.66928866505623,
91,-0.00453965,-7.17138071358204,
92,-0.004534535,-6.8366526812315,
93,-0.00452942,-7.00401669740677,
94,-0.004524305,-7.17138071358204,
95,-0.00451919,-7.17138071358204,
96,-0.004514075,-7.00401669740677,
97,-0.00450896,-7.17138071358204,
98,-0.004503845,-7.17138071358204,
99,-0.00449873,6.88719664514065,
100,-0.004493615,6.88719664514065,
101,-0.0044885,7.22192467749119,
102,-0.004483385,7.05456066131592,
103,-0.00447827,6.71983262896538,
104,-0.004473155,6.38510459661484,
105,-0.00446804,6.71983262896538,
106,-0.004462925,6.71983262896538,
107,-0.00445781,6.71983262896538,
108,-0.004452695,7.05456066131592,
109,-0.00444758,6.71983262896538,
110,-0.004442465,6.88719664514065,
111,-0.00443735,6.88719664514065,
112,-0.004432235,6.88719664514065,
113,-0.00442712,6.71983262896538,
114,-0.004422005,7.05456066131592,
115,-0.00441689,7.05456066131592,
116,-0.004411775,6.88719664514065,
117,-0.00440666,6.71983262896538,
118,-0.004401545,6.71983262896538,
119,-0.00439643,-7.17138071358204,
120,-0.004391315,-7.00401669740677,
121,-0.0043862,-6.8366526812315,
122,-0.004381085,-6.8366526812315,
123,-0.00437597,-6.33456063270569,
124,-0.004370855,-6.66928866505623,
125,-0.00436574,-7.17138071358204,
126,-0.004360625,-7.33874472975731,
127,-0.00435551,-7.00401669740677,
128,-0.004350395,-6.8366526812315,
129,-0.00434528,-6.50192464888096,
130,-0.004340165,-7.00401669740677,
131,-0.00433505,-7.17138071358204,
132,-0.004329935,-6.8366526812315,
133,-0.00432482,-7.00401669740677,
134,-0.004319705,-7.17138071358204,
135,-0.00431459,-7.33874472975731,
136,-0.004309475,-7.00401669740677,
137,-0.00430436,-6.8366526812315,
138,-0.004299245,6.71983262896538,
139,-0.00429413,6.88719664514065,
140,-0.004289015,6.88719664514065,
141,-0.0042839,6.71983262896538,
142,-0.004278785,7.05456066131592,
143,-0.00427367,6.88719664514065,
144,-0.004268555,6.88719664514065,
145,-0.00426344,6.88719664514065,
146,-0.004258325,6.71983262896538,
147,-0.00425321,6.71983262896538,
148,-0.004248095,6.71983262896538,
149,-0.00424298,6.88719664514065,
150,-0.004237865,7.05456066131592,
151,-0.00423275,6.55246861279011,
152,-0.004227635,6.88719664514065,
153,-0.00422252,6.88719664514065,
154,-0.004217405,6.38510459661484,
155,-0.00421229,6.88719664514065,
156,-0.004207175,6.88719664514065,
157,-0.00420206,6.71983262896538,
158,-0.004196945,6.88719664514065,
159,-0.00419183,7.05456066131592,
160,-0.004186715,5.88301254808903,
161,-0.0041816,6.71983262896538,
162,-0.004176485,7.05456066131592,
163,-0.00417137,7.05456066131592,
164,-0.004166255,6.88719664514065,
165,-0.00416114,6.88719664514065,
166,-0.004156025,6.88719664514065,
167,-0.00415091,6.88719664514065,
168,-0.004145795,6.71983262896538,
169,-0.00414068,6.88719664514065,
170,-0.004135565,7.05456066131592,
