# PILOT SAMPLE — NOT FINAL. B25_power PILOT attempt-1 source map. Live opens performed this run are marked source_type *_live_open; B15-adjudicated literature is cited via EV rows + paper IDs (peer-review adjudication and provenance live in outputs/B15_lit_synth/attempt-1/ and the B12 ledger — no paper metadata is restated here to avoid transcription fabrication); corpus records are record-vintage evidence, not current facts. Access dates are 2026-07-28 throughout.
claim_id,url,title,publisher,published_date,accessed_date,source_type,stage_file,confidence,limitation
S-B25-01,https://webstore.iec.ch/en/publication/28936,"IEC 62477-1:2022 Safety requirements for power electronic converter systems and equipment - Part 1: General (Ed. 2.0)",International Electrotechnical Commission (IEC Webstore),2022-05-20,2026-07-28,standard_scope_page_live_open,"POWER_MAP.csv (C-01 safety_certification); POWER.md §2/§3/§6; POWER_SKILLS.md §4","high","Scope/abstract level only (applies to PECS at rated voltages <=1000VAC/1500VDC); full standard text not purchased or read; IECEE and ANSI mirror pages returned HTTP 403 before this IEC page opened; supports the standard's existence/scope, not any compliance judgment"
S-B25-02,https://danisense.com/products/dq500id/,"DQ500ID fluxgate current transducer (zero-flux, 800 A, linearity error max 1 ppm; applications include MPS for particle accelerators and current calibration)",Danisense,undated (page as fetched),2026-07-28,manufacturer_spec_live_open,"POWER_MAP.csv (F-06 missing_capabilities/moat); POWER.md §2/§5/§6; BRIDGE_TESTS.md §1 reference chain","high for the product class's existence and stated linearity spec","Vendor marketing/spec page, not a calibration certificate; total-accuracy and bandwidth figures not fully extracted from the fetched excerpt; discovered via search whose snippet figures for OTHER models were NOT reused as claims"
S-B25-03,https://developer.nvidia.com/blog/nvidia-800-v-hvdc-architecture-will-power-the-next-generation-of-ai-factories/,"NVIDIA 800 VDC Architecture Will Power the Next Generation of AI Factories",NVIDIA Developer Technical Blog,2025-05-20,2026-07-28,vendor_technical_blog_live_open,"POWER_MAP.csv (C-01 application/buyer); POWER.md §2","medium-high","Vendor-authored roadmap: '2027 full-scale production with Kyber' is a plan, not an observed shipment; corroborates and refreshes B20's corpus-dated 800VDC claim; names protection as an open innovation area and Eaton/Schneider/Vertiv as ecosystem partners — competitive context, not market sizing"
S-B25-04,outputs/B15_lit_synth/attempt-1/EVIDENCE_MAP.csv (rows EV07/EV08; papers P0005/P0006/P0052/P0053/P0054/P0057),"B15-adjudicated review-level WBG consensus (efficiency/frequency/temperature direction; gate-drive burden)",B15_lit_synth accepted output (peer-reviewed corpus adjudication),2026 (stage output),2026-07-28,prerequisite_output_literature,"POWER.md §3; POWER_MAP.csv (C-13 missing_capabilities)","moderate (review-level)","Review-level consensus only; headline figures untraced to primaries — BT-8 hygiene explicitly NOT performed this pilot and no conclusion depends on the numbers"
S-B25-05,outputs/B15_lit_synth/attempt-1/EVIDENCE_MAP.csv (rows EV27/EV28/EV34/EV18/EV17; papers P0048/P0050/P0056/P0055/P0031/P0060-P0062),"B15-adjudicated evidence: WBG switching-current metrology requirements and partial solutions; DC-capable sensing competitive landscape; DC+AC fusion convergence",B15_lit_synth accepted output,2026 (stage output),2026-07-28,prerequisite_output_literature,"POWER.md §2/§4; BRIDGE_TESTS.md §1 (design basis, pre-registered thresholds)","strong for problem existence/requirements; moderate for specific solutions (per EV27's own grading)","Some constituent papers adjudicated at B12-ledger metadata level per B15's disclosed provenance; P0048/P0050/P0056 were content-opened by B15"
S-B25-06,outputs/B15_lit_synth/attempt-1/EVIDENCE_MAP.csv (rows EV30/EV31; papers P0049/P0051/P0053/P0058/P0059),"B15 structural adjudications: topology/control differentiates converter work (measurement is supporting infrastructure); GaN power-device engineering is a distinct specialization from Hall metrology",B15_lit_synth accepted output,2026 (stage output),2026-07-28,prerequisite_output_literature,"POWER.md §3; POWER_MAP.csv (all four rows' phd_leverage); POWER_SKILLS.md","moderate (structural observation, per EV30/EV31's own grading)","Constituent records mostly metadata-level per B15; the adjudication class, not paper detail, is what is reused here"
S-B25-07,outputs/B15_lit_synth/attempt-1/GAPS.md (G5/M6/M1/G3/M3; BT-3/BT-5/BT-6/BT-8) and EVIDENCE_MAP rows EV01/EV32/EV35/EV04/EV09/EV20,"B15 gap/bridge ledger: missing Hall-vs-TMR benchmark; missing GaN irradiation data; traceable-budget scarcity; coil-to-Hall direction unsupported; FOCS niche occupancy",B15_lit_synth accepted output,2026 (stage output),2026-07-28,prerequisite_output_literature,"BRIDGE_TESTS.md (PB-1 basis and pointers); POWER.md §4/§5","firm within the 62-paper corpus","All absence claims are corpus-bounded, never world-literature proofs (B15's own honesty rule carried)"
S-B25-08,outputs/B20_align/attempt-1/ALIGNMENT.csv + ALIGNMENT.md,"B20 alignment classes, mechanisms, falsifiers, five founder-fit corrections, S-B20-01/02/03 live opens, and the E-10 BT-5 handoff note",B20_align accepted output,2026 (stage output),2026-07-28,prerequisite_output,"all five stage files (alignment classes, corrections, falsifiers per row)","medium-high per B20's own row confidences","B20's market facts are corpus-dated unless marked A30-verified or S-B20-opened; carried with that flag intact"
S-B25-09,outputs/B10_phd/attempt-1/PHD_FACTS.json,"B10 capability ground truth: demonstrated-vs-proposed ledger (C01-C50), incl. C03/C13/C46 demonstrated; C06/C08/C09/C10/C23/C31 proposed; C04/C05/C29/C45 gates/unknowns; C50 provenance caveat",B10_phd accepted output,2026 (stage output),2026-07-28,prerequisite_output,"POWER_SKILLS.md (entire); POWER.md §3-§5; POWER_MAP.csv (phd_leverage/missing_capabilities columns)","high (B10's own per-claim confidences carried)","Folder-08-derived claims carry B10's pre-redteam caveat (C40); no claim upgraded beyond B10's status vocabulary anywhere in this stage"
S-B25-10,sources/old06/30_SCREENING/EVIDENCE/P3R2-F-06.md,"old06 F-06 demand/competitor evidence record (Southern Spirit ±525kV 2029/2032; NERC PRC-028/029 wave; LEM fluxgate HVDC incumbency; State Grid/Xuji CN context; US-only downgrade)",old06 corpus record (record-internal web fetches dated ~2026-07-14),2026-07 (record vintage),2026-07-28,corpus_record,"POWER_MAP.csv (F-06 application/buyer/missing_capabilities); POWER.md §2/§6","medium (record-vintage)","Read to line 80 this pilot (demand/competitor/price sections); record's own fetches are ~2 weeks stale and its ABB/Hitachi optical-CT leg is flagged inside the record as WebSearch-corroborated only; NOT re-verified live this pilot except where S-B25-02 independently confirms the zero-flux incumbent grade"
