candidate_id,concept,element_no,element,manuscript_support,closest_source,source_support,delta,novelty_risk,obviousness_risk,evidence_gap,disposition
C1,"Existing AlGaN/GaN Hall element and fabrication",1,"AlGaN/GaN heterostructure with 2DEG sensing channel (purchased NTT-AT wafer: 3.7 um buffer / 300 nm GaN / 1 nm AlN spacer / 22 nm Al0.28Ga0.72N barrier)","F01; regular_lsens.tex L457 (Sec II-A)","S010; S014","US8026718B2 (priority 2007-08-28) claims a GaN/AlGaN heterojunction Hall operating layer plus a fabrication method; Lu et al. 2006 (10.1063/1.2201339) independently reports high-temperature AlGaN/GaN Hall sensors","Wafer is a purchased commercial item; manuscript discloses no new material stack or growth process; no delta at the material-system level","high","high","None material to the disposition; wafer lot not separately characterized in-manuscript","screen_out"
C1,"Existing AlGaN/GaN Hall element and fabrication",2,"Regular octagonal Hall plate geometry with 200 um inscribed diameter","F02; regular_lsens.tex L457 citing ref10","S011; N013; N014","S011 (10.1109/JSEN.2019.2895546) is the manuscript's own cited source for this geometry (same-group 2019 publication = prior art against this manuscript); N014 (US6639290B1, priority 1999) claims regular-polygon Hall active areas; N013 (US10809318B2, active) claims octagon shape in Si CMOS","Geometry reused unchanged from the group's own 2019 publication; octagon/regular-polygon genus is old and cross-material generic","high","high","Whether any unpublished pre-2019 group filing exists (inventor-name searches found none; bounded-search gap)","screen_out"
C1,"Existing AlGaN/GaN Hall element and fabrication",3,"Ti(25nm)/Al(200nm)/Mo(40nm)/Au(80nm) Ohmic-contact stack annealed at 850C/35s","F04; regular_lsens.tex L457 citing ref11","S012","S012 (10.1063/1.5139911) is the manuscript's own cited source (ref11) for the anneal recipe and the 576C thermal-stability characterization","Recipe reused unchanged from the group's 2020 publication; no process delta disclosed in this manuscript","high","high","None material to the disposition","screen_out"
C1,"Existing AlGaN/GaN Hall element and fabrication",4,"Mesa etch; 7 nm Al2O3 passivation; vias; Ti/Au bond metal; 5x5 mm die singulation","F03 F05-F08; regular_lsens.tex L457","S010; N009","US8026718B2 includes III-nitride Hall fabrication-method claims; these are standard III-nitride device-isolation/passivation/metallization steps","Routine process steps described at summary level; no parameter asserted or evident as new","high","high","No etch chemistry or deposition parameters disclosed (enablement thin, but nothing is asserted as new either)","screen_out"
C1,"Existing AlGaN/GaN Hall element and fabrication",5,"Voltage-biased Hall plate: bias across two opposite terminals, Hall voltage across the orthogonal pair","F18; regular_lsens.tex L479-483 Eq.1","S009","US11137310B2 claim 1 recites an AlGaN/GaN micro-Hall sensor with a bias-terminal set and a Hall-voltage-terminal set; its third element (simultaneous temperature measurement) is absent from the manuscript's device","Manuscript arrangement matches the first two elements of S009 claim 1 and adds nothing beyond textbook Hall biasing; the temperature element is an FTO-side difference, not a manuscript contribution","high","high","FTO claim comparison not performed (out of scope); S009 specification beyond claim 1 not fully read","screen_out"
C2,"New use as in-vessel fusion/stellarator diagnostic",1,"Semiconductor Hall sensor deployed in-vessel near the plasma edge of a magnetically confined fusion device","F25 F26; regular_lsens.tex L479 L496","N016; S015; S016","N016 (10.1063/1.4894209, 2014): 16-element GaAs Hall array deployed in-vessel at stellarator-class CTH; S015 (10.1063/1.2018628, 2005): InSb edge-plasma Hall array; S016 (10.1088/1741-4326/ac8aad): JET in-vessel InSb probes over 19000+ pulses","In-vessel semiconductor Hall sensing of edge fields is established art; the manuscript's delta reduces to the material system (GaN) and the host-device label (HSX)","high","high","None; multiple verified precedents","screen_out"
C2,"New use as in-vessel fusion/stellarator diagnostic",2,"GaN/AlGaN material system as the in-vessel Hall sensing element (material substitution into the known deployment concept)","F01+F25; F49 (cover letter); regular_lsens.tex L451-453","N016; S014; S012","No GaN/AlGaN Hall sensor found in any fusion deployment (saturated bounded-search gap, 20_SEARCH_LOG Sec 1); S014 (2006) and S012 (ref11, 576C) publish GaN high-temperature Hall suitability","Literal novelty of the GaN-in-fusion-vessel pairing survives the bounded search; but the substitution motivation (thermal tolerance) is supplied by the group's own prior publications and by the manuscript's own introduction","medium","high","Bounded English-language search absence is not proof of novelty; N004 date unresolved (lead_only, carries no conclusion); no unexpected in-vessel result quantified","weak"
C2,"New use as in-vessel fusion/stellarator diagnostic",3,"Real-time monitoring of plasma-dependent field dynamics at 1 MHz bandwidth across 68 consecutive shots","F23 F26 F30; regular_lsens.tex L453 L496","S016; N016","Long-duration in-vessel Hall monitoring is established (JET, 11+ years); in-vessel array field measurement at CTH","A successful first-in-kind demonstration; per project rules successful experimentation and scientific priority do not support patentability; no unexpected result quantified","medium","high","No noise/SNR/sensitivity figures (F45 F47); no calibrated field values (F38)","screen_out"
C2,"New use as in-vessel fusion/stellarator diagnostic",4,"Inherent-property test (MPEP 2112.02): the sensed quantity is the device's known Hall response; the relied-on thermal tolerance is a published known property","F49 vs S011/S012; regular_lsens.tex L451","S004; S011; S012","MPEP 2112.02: In re Hack permits a new-use process claim based on unknown properties of an old structure; In re May bars claims directed to a known result or property of the old structure","As disclosed the use exercises known properties (2DEG Hall sensitivity, published thermal tolerance) in a new location; the concrete surviving process content is the C3 packaging, not the sensing use itself","high","high","Evidence of an unknown property exploited in-vessel (none reported) would move this toward the In re Hack side","screen_out"
C2,"New use as in-vessel fusion/stellarator diagnostic",5,"Cover-letter-only priority assertion: first GaN-based Hall-effect sensor deployed inside a stellarator","F49 F50; submission.pdf p.9","N016; S021","N016: a GaAs Hall array was in-vessel at stellarator-class CTH 12 years earlier; S021 (10.1088/0029-5515/55/11/113012) confirms HSX's pre-2015 diagnostic set contained no Hall probe of any material","Literal wording survives only on GaN-vs-GaAs and stellarator-vs-torsatron/hybrid labeling distinctions; the claim appears nowhere in the peer-reviewed body; scientific priority is not a patentability basis per project rules","medium","high","Possible non-indexed or non-English stellarator Hall deployments; N004 date unresolved","screen_out"
C3,"UHV/GDC module combination",1,"Aluminum wire bonds from die to ceramic leadless chip carrier (Spectrum Semiconductor Materials)","F10; regular_lsens.tex L465","N009","Ceramic-LCC vacuum packaging with wire bonds is established MEMS/precision-instrument practice (micro-Torr to ~1e-11 mbar demonstrated)","Conventional element used conventionally; manuscript cites no source and claims no novelty for it","high","high","N009 verified at abstract level only","screen_out"
C3,"UHV/GDC module combination",2,"EPO-TEK 353ND epoxy encapsulation of die and wire bonds","F11; regular_lsens.tex L465","S022; N007","Manufacturer datasheet markets 353ND specifically for UHV sealing (ASTM E595 pass; ~1e-15 torr-L/s/cm2 outgassing); LIGO E1300653 independently qualified this epoxy for UHV service","Manufacturer-directed material selection with prior third-party UHV qualification; no formulation or process delta","high","high","N007 verified at metadata level only","screen_out"
C3,"UHV/GDC module combination",3,"Vacuum bake at 150C for 1 hour to meet HSX UHV requirements","F12; regular_lsens.tex L465","S022","The manufacturer's recommended cure schedule for 353ND is 150C/1h; the manuscript's bake exactly matches the standard cure recommendation","Bake parameters coincide with the vendor cure schedule; no acceptance criterion or custom UHV regimen is disclosed","high","high","No RGA/outgassing/leak-test acceptance data (F43); inventors may hold facility acceptance records","screen_out"
C3,"UHV/GDC module combination",4,"Custom zirconia ceramic holder + stainless-steel standoff + insertion flange","F13-F15; regular_lsens.tex L465 and Fig.2 caption L469","N008; S019","Ceramic protective/mounting hardware for in-vessel components is documented general fusion practice; S019 shows ceramic substrates in fusion Hall sensing (different role: sensing substrate, not holder)","Mounting hardware described only at material/function level; the custom geometry is undisclosed (no drawings or dimensions)","medium","high","No dimensions or drawings (F40-class gap); conception attribution unknown (F44)","screen_out"
C3,"UHV/GDC module combination",5,"Grounded graphite shield installed over the packaged sensor module to reduce arcing and epoxy degradation during GDC and plasma operations","F16 F17; regular_lsens.tex L465","N017; N015; N005; N006; N008","N017: W7-X in-vessel Mirnov coils covered by graphite protection panels (thermal/plasma-exposure purpose; grounding unconfirmed); N015 (USH24H 1985): graphite armor enclosing a flux-loop diagnostic; N005 (US4858817 1989): graphite-ceramic Faraday/thermal shield for fusion RF antenna; N006 (US5216690A): grounded shield suppresses vacuum arc-down (general principle); N008: protecting in-vessel diagnostics during GDC is a recognized concern","No found reference combines grounded + graphite + epoxy-encapsulated solid-state sensor + GDC-arcing/epoxy-degradation purpose (saturated bounded-search gap); every constituent element and rationale is separately documented in near-analogs","medium","high","No shield drawings/dimensions/grounding route (F40 F41); no with/without comparison or failure-mode data (F42); conception/inventorship unknown (F44); W7-X panel grounding unresolved; float-vs-ground competing practice only search-snippet grade","conditional_hold"
C3,"UHV/GDC module combination",6,"The module as a whole combination (LCC + epoxy + bake + holder + standoff + shield) surviving 68 shots with stated GDC/plasma exposure","F10-F17 F26; regular_lsens.tex L465 L496","N001; N017; S022","MPEP 2141/2143 (KSR): combining known elements by known methods to yield predictable results supports an obviousness rationale; each constituent element is individually documented as conventional or closely analogized","Combination-level delta rests entirely on element 5 plus undocumented integration choices; no unexpected result, comparative data, or teaching-away is on the record in the manuscript","medium","high","Unexpected-result or teaching-away evidence (inventor records, failure logs, GDC exposure data) absent from the disclosure; Stage 40 deep-dive pending","conditional_hold"
C4,"Readout chain",1,"INA849 instrumentation amplifier + two OPA814 op-amp stages; total gain 200 V/V; 1 MHz bandwidth","F20-F23; regular_lsens.tex L483 and Fig.3","N012 (lead_only; carries no conclusion)","Readout coverage area was searched only to lead level (documented limitation, 20_SEARCH_LOG Sec 9); N012 recorded as an unread placeholder lead","On the manuscript's face the chain is off-the-shelf commercial ICs in their intended amplifier configurations with no disclosed circuit-level departure or novel topology","high","high","Readout prior-art search not performed to saturation; this disposition rests on manuscript-intrinsic evidence (named commercial parts used as directed), not a completed search","screen_out"
C4,"Readout chain",2,"Oscilloscope built-in waveform generator (Keysight DSOX1204G) as bias source; vacuum feedthroughs to external electronics","F19 F24; regular_lsens.tex L479 L483","none searched to saturation; S016/S018 as general context","In-vessel fusion diagnostics routinely connect through vacuum feedthroughs to external electronics (general practice visible across the fusion Hall-probe literature)","Off-the-shelf lab instrument and standard vacuum wiring; nothing asserted or evident as new","high","high","Same documented search-depth limitation as element 1","screen_out"
