"technology","principle","dc_response","bandwidth","dynamic_range","field_range","temperature_limit","radiation_evidence","drift","calibration_traceability","vector_capability","size_and_placement","electronics","integration_burden","maturity","cost_category","best_fit","critical_limit","evidence_ids","confidence"
"proposed_hybrid_hall_plus_coil (MVD anchored / HA triangulated self-test)","GaN Hall channel (DC/LF) + inductive pickup coil (AC) fused by an augmented-state estimator, referenced to machine-current/field-model anchors, zero-field epochs, and (HA tier) an embedded calibration winding","yes (Hall channel; absolute value only per anchor epoch, Theorem 1)","DC to coil/readout limit; content above the Hall pole is single-channel (no redundancy there)","set by Hall AFE and integrator headroom; clipping detectable only in the overlap band","tesla-class fusion-machine fields targeted; device-specific limits not yet characterized (unknown)","unknown for the user's GaN dies until Tier-1 characterization; wide-bandgap family is the design motivation","none at architecture level (C06: no in-situ coil-derived Hall-drift identification exists in any fusion/radiation environment); component-level evidence only, and no GaN Hall-plate neutron dataset exists (C14)","differential drift detectable continuously (rho-alarm); common-mode gain drift invisible between anchors (Theorem 1); reported uncertainty grows between anchor epochs","bench NMR-class transfer standard + in-situ machine-current/vacuum-field-model anchor (CASE D); embedded winding yields gain products only","extendable (multi-axis dies + coil triads, project-03 path); all stage-20 analysis is single-axis","in-vessel sensor head + remote/shielded electronics + MI cabling; largest head of any row","spinning-current AFE, lock-in demodulators, shared-clock digitizer, characterized integrator; radiation exposure of the chain budgeted separately (C25)","highest of any row: estimator + anchors + winding + telemetry + procedures + calibration ledger","concept/T0: the two halves are proven separately (Hall-corrects-coil hardware-proven, C02; coil-calibrates-Hall once, non-fusion, H059) but the integrated system is unbuilt","moderate for T0-T2 bench scale (labeled estimate); rises steeply with channel count (FM-16)","long-pulse/steady-state fusion field monitoring with drift self-diagnostics; stellarator commissioning/mapping niche (C32); calibration-node topology for larger coil arrays","Theorem-1 common-mode blindness between anchors; all calibration value flows from external anchors, not from the pair; unproven as an integrated system","C01;C02;C03;C06;C14;C36;H001;H002;H003;H004;H059;P003","medium (structure derived and rank-tested in stage 20; system-level performance unproven)"
"hall_gan_algan_standalone (user's device family)","AlGaN/GaN 2DEG Hall plate, current-spun bias","yes","DC to AFE/spinning limit; device-specific value not in the ledger (unknown)","unknown (bench characterization pending, project 02)","demonstrated in-vessel plasma tracking at HSX (2023 deployment, uncalibrated); calibrated range unknown","wide-bandgap family suited to elevated temperature; specific device limit uncharacterized (unknown)","proton only: micro-Hall sensors slightly affected at ~1e13 p/cm2 with degradation rising at higher fluence and partial anneal recovery (C15; R012;R013); 2DEG HEMT-structure data exists (R022); NO neutron dataset for any GaN/AlGaN Hall plate (C14); species cross-scaling unsafe (C16)","residual offset floor survives current spinning and drifts (C07); radiation drift magnitude unknown","bench transfer standard; in-situ only via external anchors (no self-calibration, Theorem 1)","2-3 axis probe planned (project 03); vertical-Hall cross-sensitivity documented (H047)","mm-scale die; in-vessel capable (HSX precedent)","spinning-current bias + demodulation; R_H telemetry available as reference-free drift witness","moderate: AFE + calibration procedures","research device: one in-vessel campaign (uncalibrated); calibrated readout in progress for Aug 2026","low-moderate (existing project hardware; labeled estimate)","local DC/LF field measurement where a coil is blind; the mission's Hall channel","no neutron radiation evidence at all for the device family (C14); offset floor requires zero-field epochs","C07;C14;C15;C16;H047;R012;R013;R022","medium (well-documented mechanisms; key radiation and device parameters unknown)"
"hall_insb_radiation_hard (JET RHP line)","InSb thin-film Hall probe with embedded microsolenoid self-test (same-die AC injection)","yes","DC/LF sensing role in JET service; upper limit not stated in ledger (unknown)","unknown (not stated in ledger sources)","tokamak in-vessel service fields (JET operational record)","narrow-gap material; irradiation campaigns run near ~200 C sample temperature (R003); intrinsic-carrier limit above that regime (unknown exact value)","strongest operational record of any Hall row: 11.5 years / >19000 JET pulses incl. a D-T campaign with sensitivity SD ~0.07% (C05); reactor tests: degrades under thermal-inclusive fission spectrum ~1e16 n/cm2 but stable under purely fast spectrum at comparable fluence, attributed to In/Sb transmutation (C12); mobility -75 to -90% at 6.6-7.0e17 fast n/cm2 (C13)","same-die self-test tracks sensitivity but is blind by construction to common-mode die+solenoid drift (C05 limitation)","embedded microsolenoid self-test + periodic external calibration","per-axis probes; arrays deployed","in-vessel qualified (JET)","dedicated radiation-aware instrumentation (H007)","moderate (proven system design exists)","highest-maturity radiation-hard semiconductor Hall line in the ledger (operational since ~2009)","moderate (specialised probes + instrumentation; labeled estimate)","tokamak in-vessel steady-state/DC field measurement - the proven incumbent for the Hall half of any hybrid","thermal-neutron transmutation is permanent and spectrum-dependent (C12/C24); self-test cannot see common-mode drift (C05)","C05;C12;C13;C24;H003;H007;R001;R002;R003","high (long operational record + reactor irradiation data, multiple sources)"
"hall_metal_film (bismuth ITER-OVSS / antimony DEMO / copper reference)","metal-film Hall element (low carrier mobility, radiation-tolerant transport)","yes","quasi-static/DC service role in the cited systems; upper limit not stated (unknown)","unknown","high-field tested for ITER OVSS service (P003)","copper sensor: sensitivity flat over 100-250 C (C18); antimony program targets future-reactor steady-state service (H065)","copper: no measurable sensitivity change to ~1e18 n/cm2 fission-spectrum fluence at 100-250 C - single source (C18/R071); bismuth: ITER OVSS high-field qualification (P003, metadata-verified)","claimed stability is the value proposition; independent replication absent (C18 single-source)","external calibration only (no embedded reference reported)","per-axis elements","in-vessel qualified (OVSS outer-vessel service)","low signal level demands low-noise chain; SNR figures not in ledger (unknown)","low-moderate as a witness/reference channel","deployed at system level (ITER OVSS pairing, C27); Cu variant is a single-paper result","low-moderate (labeled estimate)","material-diverse witness channel for drift attribution (stage-30 Option D); steady-state DC sensing in harsh environments (OVSS role)","low sensitivity - practical SNR unquantified in the ledger (C18 note); the radiation-null claim rests on one unreplicated source (RR-18)","C18;C27;H065;P003;R071","medium (deployment precedent strong; Cu null result single-source)"
"hall_graphene_on_sic","epitaxial graphene Hall element on SiC","yes","unknown (not stated in ledger)","unknown","unknown","unknown (irradiation campaign run near ~200 C sample temperature, R003)","fast-neutron: mobility -43% and sheet density -39% at ~6.6-7.0e17 n/cm2 - better retention than InSb in the same campaign (C13; R003;R004)","unknown beyond the single-campaign figures","external calibration only","per-axis elements","die-scale; no in-machine deployment reported","standard Hall readout","moderate (immature supply/packaging)","research material platform (single irradiation campaign, one facility)","unknown","candidate future radiation-tolerant Hall material; second material-diverse witness option","single-campaign, single-facility evidence base; no operational deployment","C13;R003;R004","low-medium (quantitative but narrow evidence)"
"inductive_bdot_mirnov_coil (with integrator)","Faraday induction: EMF proportional to dB/dt; integrated for field","no (structural: zero output at dB/dt = 0)","very high (probe-design-limited; 3-axis high-frequency B-dot designs documented, H049)","wide (air-core coil linear; chain saturation is the limit, H051/H052 analogs)","effectively unlimited at the coil (air-core); chain-limited","DEMO-class printed coils qualified to >=500 C (C33/P009); ceramic/MI insulation options (R061;R062)","RIEMF in MI cabling is an established additive error under flux (C19, five-paper cluster); JET in-vessel Mirnov coils suffered real faults under combined radiation+EM stress (R066); coil-constant-vs-dose data does not exist (RR-08 gap)","coil element passive and robust; integrator drift is the dominant long-pulse error and grows unboundedly with pulse length (C02/C33)","in-situ known-current calibration demonstrated at machine scale (HBT-EP artificial plasma, 216 coils, H040)","yes (orthogonal triads routine)","in-vessel standard on every magnetized plasma device","low-drift amplifier + integrator (analog or digital, H025-H027)","low (decades of practice)","the incumbent: fully mature","low (labeled estimate)","COUNTEREXAMPLE where simpler wins: fast MHD/fluctuation measurement and short-pulse machines - a bare Mirnov/B-dot coil beats any hybrid on simplicity, bandwidth, and cost (H048;H049;P017)","no DC response; integrator drift makes long-pulse absolute measurement impossible without a non-inductive supplement (C33)","C02;C19;C33;H025;H040;H048;H049;P009;P017;R066","high (mature, well-documented)"
"rogowski_coil_and_current_transformer (incl. continuous external Rogowski; zero-flux DCCT variant)","encircling winding measures enclosed-current derivative (Rogowski); zero-flux DCCT for DC current","no for Rogowski (integrator-dependent); yes for zero-flux DCCT variant (H043)","wide (H033 integrator design governs)","wide; CT-core saturation documented with detection/restoration methods (H051;H052)","not_applicable (measures enclosed current, not local field)","implementation-dependent; ITER CER designed for in-machine service (R069)","ITER Continuous External Rogowski engineered and qualified for the ITER environment (R069;R070); shares MI-cable RIEMF exposure class (C19)","integrator drift (same class as Mirnov chain); CER design addresses long-pulse operation","onsite calibration methods documented (H046); cross-calibration against CVR in pulsed-power practice (P025)","not_applicable (scalar enclosed current)","encircling loop; external placement possible (CER)","integrator or electronic feedback (zero-flux)","low","fully mature","low (labeled estimate)","COUNTEREXAMPLE where simpler wins: total plasma/conductor current - Rogowski/CER is the standard (H024;R069); z-pinch practice fused B-dot + Rogowski and deliberately bypassed Hall sensors (C30)","enclosed current only - cannot do local field mapping; long-pulse DC needs the DCCT variant or external correction","C19;C30;H024;H033;H043;H046;H051;H052;P025;R069;R070","high"
"fluxgate","driven saturable core; even-harmonic detection of ambient field","yes","DC to few kHz (P061 review)","good within its low field range","sub-mT to few-mT class (P061) - saturates orders of magnitude below tokamak fields","thermal-gradient offset corruption documented as the key stability issue (P060)","none found in this mission's search (documented gap, 10C synthesis) - unknown","offset drift driven by thermal gradients across the sensor (P060)","well-established magnetometry calibration practice (space heritage, H066)","yes (standard 3-axis)","cm-scale head; ex-vessel/low-field placements only in a fusion context","excitation + synchronous detection","low","fully mature (space/geomagnetism standard)","low-moderate (labeled estimate)","precision low-field vector magnetometry (space, geomagnetics, ambient-field audits - e.g. auditing the zero-field anchor epochs of this mission, FM-03)","core saturation at tesla-class fields: not_applicable for in-vessel fusion field measurement","H066;P060;P061","high for the range limitation; radiation behavior unknown"
"magnetoresistive_tmr","tunneling magnetoresistance stack","yes","DC through broadband in a single channel (P064 review) - the direct single-device competitor to the hybrid's DC+AC claim","good within sensor field range","low-field sensor class; tesla-class operation not documented in the ledger (unknown)","unknown (not established in ledger sources)","gamma/X-ray only: no key-parameter degradation to 5 Mrad(Si) under bias (P063); NO neutron displacement-damage evidence (C31 caveat - do not extrapolate species)","unknown long-term drift data in ledger","standard magnetometer calibration; no in-situ scheme in ledger","yes (bridge configurations)","chip-scale","simple bridge readout - simplest electronics of any DC-capable row","low","commercially mature (smart-grid current sensing, P064)","low (labeled estimate)","COUNTEREXAMPLE where simpler wins: compact DC-to-broadband sensing in gamma-dominated environments - one TMR channel replaces the hybrid's two channels plus estimator up to 5 Mrad(Si) (C31)","no neutron evidence; documented field ranges far below tokamak in-vessel fields","C31;P063;P064","medium (strong gamma data; neutron and high-field behavior unknown)"
"magnetoresistive_amr","anisotropic magnetoresistance film with set/reset strapping","yes","DC to moderate AC (review-level, P073)","good within low field range","low-field sensor class (planetary magnetometry context, P062); tesla-class not_applicable","unknown (not established in ledger sources)","gamma to 200 krad(Si) with front-end electronics as the weaker element (P062); no neutron evidence (C31)","set/reset strapping manages offset; long-term drift data not in ledger (unknown)","standard magnetometer calibration","yes","chip-scale","bridge + set/reset pulsing","low","commercially mature","low (labeled estimate)","low-field vector sensing with moderate gamma tolerance (planetary/space heritage, P062)","saturates far below fusion in-vessel fields; electronics are the radiation-weak link (P062)","C31;P062;P073","medium"
