# PILOT SAMPLE — NOT FINAL — B12_lit_search PILOT attempt-1 — EXCLUSIONS.csv (11 rows; representative, not exhaustive of every search hit)
exclusion_id,title,doi_or_url,stage,reason,topic_stream
E01,"Hall-effect sensors based on AlGaN/GaN heterojunctions on Si substrates for a wide temperature range","https://ietresearch.onlinelibrary.wiley.com/doi/full/10.1049/cds2.12067 (DOI 10.1049/cds2.12067)",full_text_verification,"Publisher landing page (Wiley/IET) returned HTTP 402 Payment Required on WebFetch; paywalled, could not verify DOI/peer-review/correction status against the publisher record within this pilot session, so not accepted",hall_metrology
E02,"High temperature Hall effect sensors based on AlGaN/GaN heterojunctions","10.1063/1.2201339 (pubs.aip.org, Journal of Applied Physics)",full_text_verification,"AIP Publishing landing page and direct PDF both returned HTTP 403 Forbidden across three WebFetch attempts (direct PDF, doi.org resolver redirect, AIP article page); could not open the publisher record to verify peer-review/correction status",hall_metrology
E03,"Wideband contactless magnetoresistive-rogowski current sensing","https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/10782323",title_abstract_screening,"USPTO patent document, not a peer-reviewed journal or conference publication; excluded per LIT_POLICY (patents are discovery/context only, never accepted-core/supplement)",hybrid_diagnostics
E04,"Sensor apparatus for measuring direct and alternating currents","https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11112434",title_abstract_screening,"USPTO patent document, not peer-reviewed literature; excluded per LIT_POLICY",hybrid_diagnostics
E05,"Bdot probe and Rogowski coil cross-calibration and sensor fusion in pulsed direct current capacitor discharges","https://www.academia.edu/81008633/Bdot_probe_and_Rogowski_coil_cross_calibration_and_sensor_fusion_in_pulsed_direct_current_capacitor_discharges",title_abstract_screening,"Only located on academia.edu repository mirror; no publisher/journal landing page or DOI located to verify venue or peer-review status",hybrid_diagnostics
E06,"Data fusion of magnetic coils and Hall sensors using Kalman filtering","https://www.sciencedirect.com/science/article/abs/pii/S0920379625003771",full_text_verification,"ScienceDirect abstract landing page returned HTTP 403 Forbidden; could not verify DOI/peer-review/correction status via the publisher record within this session",hybrid_diagnostics
E07,"Drift-Free Integration in Inductive Magnetic Field Measurements Achieved by Kalman Filtering","10.3390/s22010182 (PMC8749566)",full_text_verification,"Successfully verified as a genuine peer-reviewed open-access Sensors (MDPI) journal article via its PMC record (no correction/retraction notice found), but not retained because the hybrid_diagnostics stream quota (two accepted_core papers) for this exactly-eight-paper pilot was already filled by P0001 and P0003; a quota exclusion, not a quality exclusion",hybrid_diagnostics
E08,"Review of wide band-gap technology: power device, gate driver, and converter design","10.1007/s43236-022-00470-6 (SpringerLink, Journal of Power Electronics)",full_text_verification,"SpringerLink landing page redirected to an IdP authentication/login wall (HTTP 303) on repeated WebFetch attempts; could not open the publisher record without authentication to verify peer-review/correction status",power_conversion
E09,"An Experimental Investigation of the Transient Response of HTS Non-insulation Coil","10.1007/s10948-016-3824-4 (SpringerLink, Journal of Superconductivity and Novel Magnetism)",full_text_verification,"SpringerLink landing page redirected to an IdP authentication/login wall (HTTP 303) on repeated WebFetch attempts; could not open the publisher record to verify peer-review/correction status",hts_quench_current
E10,"A Wide-Bandwidth Inexpensive Current Sensor Based on the Signal Fusion of Tunneling Magnetoresistance and a Current Transformer","https://www.mdpi.com/1424-8220/24/18/6071",full_text_verification,"MDPI (Sensors journal) landing page returned HTTP 403 Forbidden on direct WebFetch; could not verify DOI/peer-review/correction status via the publisher record in this session",hybrid_diagnostics
E11,"Study of GaN Hall Effect Magnetic Sensors","https://ieeexplore.ieee.org/document/10876122/",full_text_verification,"WebFetch returned no retrievable page content from the IEEE Xplore landing page; could not verify venue/peer-review/correction status; hall_metrology stream quota was independently filled by successfully verified alternatives (P0004, P0008), so this item was not pursued further",hall_metrology
