comment_id,source,comment_summary,underlying_issue,current_manuscript_location,current_evidence_status,can_fix_without_new_data,required_action,proposed_evidence_or_analysis,publication_route_relevance,priority,disposition,notes
AE-01,Associate Editor,"Paper only shows changes in sensing values (volts), not the intended measurand (magnetic field); SENSL 'requires a fully finished study of the intended sensing output'; as-is judged conference-paper scope","No absolute calibration exists, so no tesla-denominated output appears anywhere; the manuscript itself states calibration 'remains future work' (claim C005)","Title (tex line 370); abstract (line 428); eqs. (1)-(2) and setup (lines 479-487); Figs. 4-5; Results (lines 496, 504); Conclusion (line 506)","No field value is derivable from the supplied archive: 00_INPUT_INVENTORY.md Group C confirms no sensitivity coefficient, calibration factor, or field reference exists in ../07_HSX_august2025_results/; all .m scripts operate in volts",no,"Perform absolute bench calibration of the deployed die and readout chain (S_v, V_off, temperature coefficient), then convert the 2025 traces to field units with a stated uncertainty budget","WP-C: Helmholtz-coil calibration with GUM/Monte-Carlo uncertainty budget per S0051 (doi.org/10.5194/jsss-9-391-2020) and S0220 (doi.org/10.3390/s25051633); retroactive conversion of the 2025 dataset must state the same-die/same-chain and temperature-transfer assumptions explicitly","Gates a SENSL resubmission; equally required for the RSI route; an arXiv preprint of the current version leaves this unanswered in public",P0,satisfy_with_new_bench_data,"Blocked upstream by the open ~109x magnitude anomaly (claim C017, conflict C6): project 02's own journal says do not calibrate against current magnitudes until the DeltaV gain check closes"
AE-02,Associate Editor,"Better communicate how this compares to other GaN sensors; a performance comparison table 'would be highly useful here and also help with novelty'","Manuscript contains no table at all and only four GaN-Hall-specific references (ref10-ref12, ref15); the comparative positioning the AE wants is absent","References and Introduction (lines 451-453); no table anywhere in the manuscript","Ledger provides the comparator set; no published unified GaN Hall comparison table was found in any review (S0065, doi.org/10.1088/2631-8695/ac0838, has no GaN row) - the gap is also the novelty opportunity",yes,"Add a compact comparison table (GaN devices plus fusion-deployed non-GaN Hall sensors) with explicit dimensions; cite each row to its primary source","WP-A: dimensions and candidate rows in 03_MANUSCRIPT_DIAGNOSIS.md section 5; GaN rows S0006/S0009/S0010/S0011/S0012/S0014/S0016/S0017; fusion-deployed anchors S0068/S0114/S0153; metadata-only ledger rows must be re-confirmed against primary PDFs first (Stage 10D gate)",Strengthens every route; for SENSL it directly answers the AE's named request,P0,satisfy_with_analysis,"Analysis-only work package; campaign-independent; fits the 4-page limit if kept to one column-width table"
AE-03,Associate Editor,"Only one module was tested; without repetition no confidence in repeatability across fabrication iterations; bench-test three fabrication iterations under the same controlled field, or explain why only one sensor was made; if repeatability is established in prior literature, show it clearly in the paper","Single-module deployment (claim C007); no die-to-die statistics exist in any supplied file; the manuscript never states why one module was used","Sections II-III throughout (single die/module narrative); no repeatability statistics anywhere","No multi-die data exists in supplied archives; prior-literature repeatability evidence exists in the ledger (S0004 geometry/offset statistics; S0218 on-chip Hall-cell statistics) but is not cited in the manuscript",partial,"Bench repeatability statistics across >=3 packaged dies under the same controlled field; add the explanation for the single-module 2025 deployment; cite prior-literature repeatability where it genuinely covers the claim","WP-B: multi-die bench statistics using project 02's static-bias mode; die availability (gen-2 vs remaining 2023-generation dies) is advisor question 3 from Stage 20 section 10; the single-module rationale must come from the team/UW record, not be invented",Required for SENSL resubmission; RSI reviewers would expect the same; unanswered in a current-version arXiv preprint,P0,satisfy_with_new_bench_data_plus_explanation,"The AE explicitly concedes in-vessel repetition is impractical (each HSX shot unique, space limits) and asks only for bench-top repetition - a fully bench-satisfiable item"
AE-04,Associate Editor,"Why is there not a bench-top calibration of the probe at the minimum","Same root cause as AE-01: no calibration was performed before deployment; the Helmholtz procedure specified in project 02's SPECS.md was never run (claim C013, conflict C6)","Setup (line 487) and Conclusion (line 506) admit calibration is future work","No calibration run, coefficient, or report exists in any supplied folder; project 02 journal documents an open ~109x magnitude anomaly with an explicit do-not-calibrate-yet instruction (C017)",no,"Run the bench calibration after the anomaly is closed; report the resulting coefficient and its uncertainty in the revision (text discussion suffices per R1-01)","WP-C as in AE-01; anomaly closure (DeltaV gain check) is the named prerequisite and is already project 02's top priority",Gates SENSL resubmission; also the minimum credibility bar for RSI,P0,satisfy_with_new_bench_data,"Distinct from AE-01 in that AE-01 is about the output quantity of the study; AE-04 is the specific missing procedure; both close with WP-C"
AE-05,Associate Editor,"Fig. 5 is useful for the general audience but needs to show magnetic-field values (uncertainty regions acceptable) so readers understand the order of magnitude","Figure axes are in volts because no volts-to-tesla conversion exists (same root as AE-01)","Fig. 5 (lines 497-502) and section III.B","Conversion impossible from supplied data alone (Group C inventory); becomes pure re-plotting once WP-C yields a calibration",no,"Re-plot Fig. 5 in field units with uncertainty bands after calibration; keep the stored-energy overlay for context","Retroactive conversion of shots 21/18/19 traces using the WP-C coefficient with propagated uncertainty; combine with R1-05's overlay suggestion in the same re-plot",SENSL-specific request but improves any venue's version,P0,satisfy_after_calibration,"The AE explicitly allows uncertainty regions - a large calibration uncertainty is acceptable if honestly stated"
AE-06,Associate Editor,"Plasma dynamics are interesting from a plasma-physics perspective, but a 4-page sensors letter should focus on the sensor itself","Framing/emphasis: section III.B is written as plasma-energy tracking; sensor characterization content (calibration, noise, bandwidth, repeatability) is absent","Section III.B (lines 503-504); abstract emphasis (line 428)","Restructuring is purely editorial; the sensor-characterization content it should be replaced with depends on WP-A/B/C outputs",yes,"Rebalance: lead with sensor characterization (calibration, sensitivity, offset, bandwidth, repeatability), demote plasma tracking to a compact application demonstration","Rewrite plan in 03_MANUSCRIPT_DIAGNOSIS.md section 7; no manuscript edit performed in this stage",Aligns the SENSL revision with the journal's sensor-centric scope (confirmed scope wording at ieee-sensorsletters.org/information-for-authors/),P1,satisfy_with_rewrite,"Also consistent with Stage 20's OPT2 re-centering: the sensing system is the paper's subject, the plasma is the environment"
AE-07,Associate Editor,"The observed differences come down to sensor bandwidth, parasitics, etc. that influence how well it tracks field changes and how that compares to previous sensors of this class","The 1 MHz figure is asserted with no derivation (claim C003); no parasitic measurement or model (wire bonds, LCC, cabling, feedthrough) exists in any supplied file","Introduction (line 453); setup (line 483)","SPECS.md repeats '1 MHz raw BW' for the 2023 chain without derivation - internally consistent but underived; nothing quantifies parasitics",partial,"Derive or measure the chain transfer function; identify the limiting element (device, amplifier config, cabling/parasitics); add a bandwidth column to the WP-A table for class comparison","Bench frequency sweep of the readout chain (small new bench measurement) plus circuit analysis; B-dot calibration-methodology norm S0076 (doi.org/10.1063/1.3246785) as the class benchmark",Needed for SENSL credibility; RSI would demand the same at greater depth,P1,satisfy_with_analysis_plus_bench_sweep,"Overlaps R1-04 (same underlying issue, different emphasis: AE wants class comparison, R1 wants the derivation)"
AE-08,Associate Editor,"Packaging could potentially be novel if additional care vs previous work improves parasitics (wire bonding, bond-pad topology); 'It's a full sensor system you have here'","Opportunity, not a defect: the manuscript describes packaging (section II.B) but claims no novelty for it and quantifies nothing about it","Section II.B (lines 464-465); Fig. 2","UHV/GDC-compatible packaging (epoxy encapsulation, vacuum bake, zirconia holder, grounded graphite shield) is described qualitatively; no parasitic or reliability quantification exists",partial,"Reposition the contribution as a full sensor system for in-vessel operation; if parasitic measurements (AE-07) show packaging benefit, claim it with data; otherwise present packaging as enabling engineering without a novelty claim","Combine with AE-07 bench characterization; gen-2 bond-pad enlargement (Stage 20 section 7: packaging-driven layout change only) is honest supporting material for the system framing",Raises the novelty ceiling of a SENSL revision; core genre expectation for RSI instrument papers,P2,exploit_in_revision,"Do not overclaim: no packaging-vs-prior-work parasitic comparison data exists today"
R1-01,Reviewer 1,"Key point: was there any attempt at bench-top calibration, even DC-only or a small frequency range? Voltage outputs are presented with no data on actual field strength; discussion of results would suffice given the page limit (no figures needed unless S_v is strongly frequency-dependent); not required but would significantly enhance the paper","Same calibration gap as AE-04 seen from a supportive reviewer; R1 explicitly lowers the presentation bar to text-level discussion","Setup (line 487); Conclusion (line 506)","No calibration attempt is recorded in any supplied file; project 02's Helmholtz procedure is specified but unexecuted (C013)",no,"Run WP-C; report S_v, V_off, and uncertainty as text in the revision (R1's page-limit concession)","Same as AE-04; DC-plus-low-frequency Helmholtz calibration satisfies R1's minimum ('even just DC')",SENSL resubmission item; identical evidence serves RSI,P0,satisfy_with_new_bench_data,"R1 states the work is 'still worth publishing' without it - but AE-01 makes calibration effectively mandatory at SENSL, so R1's leniency does not lower the real bar"
R1-02,Reviewer 1,"In lieu of calibration, compare the Hall sensor measurement to a conventional field probe (B-dot or equivalent) in HSX for at least bounds on the field; the stored-energy comparison is temporal only - nowhere is there a direct 1:1 magnetic-field comparison","The manuscript's only cross-check is against the diamagnetic loop, which measures a physically different quantity (stored energy); no co-located conventional-probe field measurement exists in the supplied archive","Section III.B (lines 503-504); Fig. 5","00_INPUT_INVENTORY.md Group C: supplied archive contains sensor scope traces, density/stored-energy .dat (shots 18-21), and coil-current logs only; whether UW archived co-located B-dot/pickup-coil signals for the Aug-2025 shots is an unresolved gate (Stage 20 section 10, UW ask)",unresolved_gate,"Ask UW (Goodman/Gallenberger) whether co-located B-dot/Mirnov/pickup records exist for the 2025 shots; if yes, add the 1:1 comparison by analysis; if no, plan a co-located measurement in the next campaign","Analysis template: direct-vs-inductive comparison as in S0068 (JET hybrid path) and the CTH Hall-array validation paradigm S0143 (doi.org/10.1063/1.4894209); also feeds WP-D drift-fusion work",R1 offers this as the calibration alternative; with WP-C done it becomes complementary validation; core content for the RSI instrument study,P1,pursue_data_request_then_campaign,"Do not claim any bound today: no conventional-probe field data for the 2025 shots exists in supplied files"
