map_id,unique_net,axis,terminal,cartridge_endpoint,pair,shield,color_label,feedthrough_pin_vacuum_reference,air_connector_cavity_mirrored,board_endpoint,other_endpoint,expected_pre_power_resistance,pre_power_isolation_expectation,status_basis
M20-01,X_P1,X,p1,"X cartridge signed P(q)=p1 lane",XA,"XA screen; flange/chassis end only; float at cartridge and board","vacuum amber + bead XA1; ambient white/black label X-P1",V1,A1,"Board X J1.1","X cartridge p1 to Board X J1.1","ENGINEERING PROPOSAL - VALIDATE: measured end-to-end conductor/joint R <= calculated lot/length budget and golden-cartridge limit; stable during approved flex","Open to every other net/chassis with board and cartridge disconnected; project numeric insulation limit pending","Assigned; V-to-A mirror verified by first-article continuity before termination release"
M20-02,X_P3,X,p3,"X cartridge signed P(q)=p3 lane",XA,"XA screen; flange/chassis end only; float at cartridge and board","vacuum amber + bead XA2; ambient blue label X-P3",V2,A12,"Board X J1.2","X cartridge p3 to Board X J1.2","ENGINEERING PROPOSAL - VALIDATE: measured end-to-end conductor/joint R <= calculated lot/length budget and golden-cartridge limit; stable during approved flex","Open to every other net/chassis with board and cartridge disconnected; project numeric insulation limit pending","Assigned; mirror mapping per 110240 drawing and continuity traveler"
M20-03,X_P2,X,p2,"X cartridge signed P(q)=p2 lane",XB,"XB screen; flange/chassis end only; float at cartridge and board","vacuum amber + bead XB1; ambient white/orange label X-P2",V3,A11,"Board X J1.6","X cartridge p2 to Board X J1.6","ENGINEERING PROPOSAL - VALIDATE: measured end-to-end conductor/joint R <= calculated lot/length budget and golden-cartridge limit; stable during approved flex","Open to every other net/chassis with board and cartridge disconnected; project numeric insulation limit pending","Assigned; board J1 convention authoritative"
M20-04,X_P4,X,p4,"X cartridge signed P(q)=p4 lane",XB,"XB screen; flange/chassis end only; float at cartridge and board","vacuum amber + bead XB2; ambient orange label X-P4",V4,A10,"Board X J1.7","X cartridge p4 to Board X J1.7","ENGINEERING PROPOSAL - VALIDATE: measured end-to-end conductor/joint R <= calculated lot/length budget and golden-cartridge limit; stable during approved flex","Open to every other net/chassis with board and cartridge disconnected; project numeric insulation limit pending","Assigned; no shared sensor return"
M20-05,Y_P1,Y,p1,"Y cartridge signed P(q)=p1 lane",YA,"YA screen; flange/chassis end only; float at cartridge and board","vacuum amber + bead YA1; ambient white/green label Y-P1",V5,A9,"Board Y J1.1","Y cartridge p1 to Board Y J1.1","ENGINEERING PROPOSAL - VALIDATE: measured end-to-end conductor/joint R <= calculated lot/length budget and golden-cartridge limit; stable during approved flex","Open to every other net/chassis with board and cartridge disconnected; project numeric insulation limit pending","Assigned; sequential vacuum-reference circuit map"
M20-06,Y_P3,Y,p3,"Y cartridge signed P(q)=p3 lane",YA,"YA screen; flange/chassis end only; float at cartridge and board","vacuum amber + bead YA2; ambient green label Y-P3",V6,A8,"Board Y J1.2","Y cartridge p3 to Board Y J1.2","ENGINEERING PROPOSAL - VALIDATE: measured end-to-end conductor/joint R <= calculated lot/length budget and golden-cartridge limit; stable during approved flex","Open to every other net/chassis with board and cartridge disconnected; project numeric insulation limit pending","Assigned; mirror warning printed on harness traveler"
M20-07,Y_P2,Y,p2,"Y cartridge signed P(q)=p2 lane",YB,"YB screen; flange/chassis end only; float at cartridge and board","vacuum amber + bead YB1; ambient white/brown label Y-P2",V7,A7,"Board Y J1.6","Y cartridge p2 to Board Y J1.6","ENGINEERING PROPOSAL - VALIDATE: measured end-to-end conductor/joint R <= calculated lot/length budget and golden-cartridge limit; stable during approved flex","Open to every other net/chassis with board and cartridge disconnected; project numeric insulation limit pending","Assigned; central mirror axis cavity remains A7"
M20-08,Y_P4,Y,p4,"Y cartridge signed P(q)=p4 lane",YB,"YB screen; flange/chassis end only; float at cartridge and board","vacuum amber + bead YB2; ambient brown label Y-P4",V8,A6,"Board Y J1.7","Y cartridge p4 to Board Y J1.7","ENGINEERING PROPOSAL - VALIDATE: measured end-to-end conductor/joint R <= calculated lot/length budget and golden-cartridge limit; stable during approved flex","Open to every other net/chassis with board and cartridge disconnected; project numeric insulation limit pending","Assigned; no shield/feedthrough-pin substitution"
M20-09,Z_P1,Z,p1,"Z cartridge signed P(q)=p1 lane",ZA,"ZA screen; flange/chassis end only; float at cartridge and board","vacuum amber + bead ZA1; ambient white/slate label Z-P1",V9,A5,"Board Z J1.1","Z cartridge p1 to Board Z J1.1","ENGINEERING PROPOSAL - VALIDATE: measured end-to-end conductor/joint R <= calculated lot/length budget and golden-cartridge limit; stable during approved flex","Open to every other net/chassis with board and cartridge disconnected; project numeric insulation limit pending","Assigned; axis block Z uses V9-V12"
M20-10,Z_P3,Z,p3,"Z cartridge signed P(q)=p3 lane",ZA,"ZA screen; flange/chassis end only; float at cartridge and board","vacuum amber + bead ZA2; ambient slate label Z-P3",V10,A4,"Board Z J1.2","Z cartridge p3 to Board Z J1.2","ENGINEERING PROPOSAL - VALIDATE: measured end-to-end conductor/joint R <= calculated lot/length budget and golden-cartridge limit; stable during approved flex","Open to every other net/chassis with board and cartridge disconnected; project numeric insulation limit pending","Assigned; air cavity is horizontal mirror of vacuum reference"
M20-11,Z_P2,Z,p2,"Z cartridge signed P(q)=p2 lane",ZB,"ZB screen; flange/chassis end only; float at cartridge and board","vacuum amber + bead ZB1; ambient white/violet label Z-P2",V11,A3,"Board Z J1.6","Z cartridge p2 to Board Z J1.6","ENGINEERING PROPOSAL - VALIDATE: measured end-to-end conductor/joint R <= calculated lot/length budget and golden-cartridge limit; stable during approved flex","Open to every other net/chassis with board and cartridge disconnected; project numeric insulation limit pending","Assigned; verify physical J1 footprint on first article"
M20-12,Z_P4,Z,p4,"Z cartridge signed P(q)=p4 lane",ZB,"ZB screen; flange/chassis end only; float at cartridge and board","vacuum amber + bead ZB2; ambient violet label Z-P4",V12,A2,"Board Z J1.7","Z cartridge p4 to Board Z J1.7","ENGINEERING PROPOSAL - VALIDATE: measured end-to-end conductor/joint R <= calculated lot/length budget and golden-cartridge limit; stable during approved flex","Open to every other net/chassis with board and cartridge disconnected; project numeric insulation limit pending","Assigned; p-identity traveler must precede continuity acceptance"
M20-13,FT_SPARE_13,SPARE,spare,"No cartridge connection",NONE,"No shield assignment","SP13 capped and tagged",V13,A14,"No board connection","Capped and independently accessible at both harness breakouts","Open circuit; no continuity to any signal or chassis","Open to all nets and chassis","Reserved; do not parallel for strength or return"
M20-14,FT_SPARE_14,SPARE,spare,"No cartridge connection",NONE,"No shield assignment","SP14 capped and tagged",V14,A13,"No board connection","Capped and independently accessible at both harness breakouts","Open circuit; no continuity to any signal or chassis","Open to all nets and chassis","Reserved"
M20-15,FT_SPARE_15,SPARE,spare,"No cartridge connection",NONE,"No shield assignment","SP15 capped and tagged",V15,A18,"No board connection","Capped and independently accessible at both harness breakouts","Open circuit; no continuity to any signal or chassis","Open to all nets and chassis","Reserved"
M20-16,FT_SPARE_16,SPARE,spare,"No cartridge connection",NONE,"No shield assignment","SP16 capped and tagged",V16,A17,"No board connection","Capped and independently accessible at both harness breakouts","Open circuit; no continuity to any signal or chassis","Open to all nets and chassis","Reserved"
M20-17,FT_SPARE_17,SPARE,spare,"No cartridge connection",NONE,"No shield assignment","SP17 capped and tagged",V17,A16,"No board connection","Capped and independently accessible at both harness breakouts","Open circuit; no continuity to any signal or chassis","Open to all nets and chassis","Reserved"
M20-18,FT_SPARE_18,SPARE,spare,"No cartridge connection",NONE,"No shield assignment","SP18 capped and tagged",V18,A15,"No board connection","Capped and independently accessible at both harness breakouts","Open circuit; no continuity to any signal or chassis","Open to all nets and chassis","Reserved"
M20-19,FT_SPARE_19,SPARE,spare,"No cartridge connection",NONE,"No shield assignment","SP19 capped and tagged",V19,A19,"No board connection","Capped and independently accessible at both harness breakouts","Open circuit; no continuity to any signal or chassis","Open to all nets and chassis","Reserved central circuit; possible future diagnostic only after architecture revision"
M20-20,SHIELD_XA,X,shield,"Screen stops before X cartridge bond guard",XA,"Bond to CF flange/chassis at feedthrough only; no signal pin","XA-SH; conductive ID tag outside hot head",CHASSIS,CHASSIS,"No J1 signal pin; J1 shell bond remains UNVERIFIED","In-vessel and air-side screens terminate to the same flange/chassis structure","Near-zero to flange at termination; open to all X/Y/Z signal conductors","Open at cartridge and board ends; no shield current through a sensor terminal","Assigned mechanically; exact UHV screen clamp is stage-30 gate"
M20-21,SHIELD_XB,X,shield,"Screen stops before X cartridge bond guard",XB,"Bond to CF flange/chassis at feedthrough only; no signal pin","XB-SH; conductive ID tag outside hot head",CHASSIS,CHASSIS,"No J1 signal pin; J1 shell bond remains UNVERIFIED","In-vessel and air-side screens terminate to the same flange/chassis structure","Near-zero to flange at termination; open to all X/Y/Z signal conductors","Open at cartridge and board ends; no shield current through a sensor terminal","Assigned mechanically"
M20-22,SHIELD_YA,Y,shield,"Screen stops before Y cartridge bond guard",YA,"Bond to CF flange/chassis at feedthrough only; no signal pin","YA-SH; conductive ID tag outside hot head",CHASSIS,CHASSIS,"No J1 signal pin; J1 shell bond remains UNVERIFIED","In-vessel and air-side screens terminate to the same flange/chassis structure","Near-zero to flange at termination; open to all X/Y/Z signal conductors","Open at cartridge and board ends; no shield current through a sensor terminal","Assigned mechanically"
M20-23,SHIELD_YB,Y,shield,"Screen stops before Y cartridge bond guard",YB,"Bond to CF flange/chassis at feedthrough only; no signal pin","YB-SH; conductive ID tag outside hot head",CHASSIS,CHASSIS,"No J1 signal pin; J1 shell bond remains UNVERIFIED","In-vessel and air-side screens terminate to the same flange/chassis structure","Near-zero to flange at termination; open to all X/Y/Z signal conductors","Open at cartridge and board ends; no shield current through a sensor terminal","Assigned mechanically"
M20-24,SHIELD_ZA,Z,shield,"Screen stops before Z cartridge bond guard",ZA,"Bond to CF flange/chassis at feedthrough only; no signal pin","ZA-SH; conductive ID tag outside hot head",CHASSIS,CHASSIS,"No J1 signal pin; J1 shell bond remains UNVERIFIED","In-vessel and air-side screens terminate to the same flange/chassis structure","Near-zero to flange at termination; open to all X/Y/Z signal conductors","Open at cartridge and board ends; no shield current through a sensor terminal","Assigned mechanically"
M20-25,SHIELD_ZB,Z,shield,"Screen stops before Z cartridge bond guard",ZB,"Bond to CF flange/chassis at feedthrough only; no signal pin","ZB-SH; conductive ID tag outside hot head",CHASSIS,CHASSIS,"No J1 signal pin; J1 shell bond remains UNVERIFIED","In-vessel and air-side screens terminate to the same flange/chassis structure","Near-zero to flange at termination; open to all X/Y/Z signal conductors","Open at cartridge and board ends; no shield current through a sensor terminal","Assigned mechanically"
