# B30_skills FULL attempt-1 — complete shared skill stack (20 rows, referred to as S1..S20 in file order; S1-S5 carried from the accepted pilot with their grounding, extended per the full-run rules). current_level vocabulary is exactly: current_demonstrated / literature_backed_near_transfer / missing / collaborator_or_vendor. Grounding rule: current skill levels rest ONLY on B10's demonstrated ledger (PHD_FACTS.json C01-C50) as corrected by the SIX founder-fit corrections (B20 ALIGNMENT.md §9 five: D-02 array/DAQ+thermography, D-10 'home ground', C-01 power-electronics, C-05 scaled metrology, A-10 control/system-ID; plus B25 POWER_SKILLS.md §3.6: startup-corpus founder profile not adopted); literature prevalence is NEVER proof the user has a skill. Cxx = B10 claims; EVxx/Pxxxx/G-M-BT = B15 rows/papers/gaps/bridge tests; PB-x = B25 ladder; FT-x = B10-cited corpus falsification tests; W1/W2 = B25 POWER.md §9 wedges; BR-A..BR-I = this run's BRIDGES.json unified ladder; idea IDs verbatim from the A30/B20 universe. All time/cost figures are EST order-of-magnitude planning labels carried from cited records, not quotes; 'not estimable' is used where the record supplies no figure. Family-to-row mapping against B25 §4 is in SKILLS.md §3.
skill,category,current_level,evidence,target_level,needed_for,acquisition_path,validation_artifact,time,cost,priority,owner
"Hall readout-chain design and EMI-disciplined weak-signal bench measurement (current-spinning demodulation, instrumentation-amp chain design, bench DAQ, analysis scripting)",sensing/readout,current_demonstrated,"B10 C03 (686 mV raw offset collapsed to <=5 mV, >=130x suppression — on a resistor-ring EMULATOR, not the real die); C13 (bench-verified boards, firmware, analysis scripts, DMM-confirmed as-builts); C01 (in-plasma campaign execution, qualitative/voltage-domain only). Honest bounds: the ~109x anomaly (C04) is OPEN and by the project's own rule blocks all calibration work; C15 flags the 'absolute calibration' language in SPECS.md as aspirational, not achieved","current_demonstrated (extended scope: same discipline exercised under converter switching EMI via BR-B; the multi-channel extension is tracked separately as row S7)","Opt2 Elements 1-2; P3R2-D-02 (core Hall-array sensing head); P3R2-A-10 (EMI-robust readout leg); BR-A Phase 1, BR-B, BR-E execution; W2 measurement-chain lane; G5 PhD gate context (C38)","Maintain and extend, no new training: (1) close C04 root-cause on the bench (PhD-critical, blocks S2 and BR-D); (2) exercise the discipline under switching EMI by executing BR-B; (3) multi-channel extension rides the PhD's own project-03 plan (C14, row S7), not a separate acquisition","C04 root-cause closure note in the lab notebook (NOTES.md-class dated entry); BR-B raw dataset with zero-current pickup-floor runs; the three-board injected delta-V gain/polarity/linearity/phase release test that C04's own checklist names (C04 refinement)","C04 closure: honestly not estimable until root-caused (open anomaly); BR-B exercise 3-6 bench-weeks EST (B25 PB-1)","$0 beyond the existing bench for C04 work; BR-B costs carried on BR-B's own line ($8-25K EST)",1,founder
"Traceable absolute calibration with GUM/Monte-Carlo uncertainty budgets and drift characterization (WP-C class: coil-constant triangulation, bipolar DC calibration, Allan-variance drift)",traceable metrology,literature_backed_near_transfer,"NOT demonstrated: B10 C06 is proposed-only; C15 records that no calibration run, coefficient, or report exists anywhere; no calibration of the real device has ever been attempted. Transfer path (this is what 'near transfer' means here, not possession): B15 EV01/P0008 supply the corpus's single traceable-budget method template; C06 supplies a fully specified corpus plan gated on C04; the adjacent bench base (C03/C13) IS demonstrated. Correction 4 (B20 §9, C-05) applies: bench DAQ is demonstrated, scaled/acceptance-grade metrology is not. Literature prevalence of calibration methodology is not proof of this user's skill — the level claims only that the documented path from the demonstrated base is short",current_demonstrated,"Opt2 Element 1 (the credential every B25 wedge bets on — POWER_SKILLS §5); the G5 gate's real-die-calibration condition (C38); P3R2-D-02's decisive calibrated-Ic leg; W1 family (G-03 dossiers, C-05 method authority, D-09 NIST-traceability core, F-06 qualification layer); BR-D execution; BR-B dossier phase","Execute WP-C after C04 closes (record EST ~19-29 bench-days to a submittable Tier-1 package, zero cleanroom steps — C06 refinement) = BR-D; first locate the deployed 2025 module (C45 gate I-4); then generalize the budget discipline to a current measurand via BR-B's PB-2-class dossier phase","WP-C Tier-1 calibration report with full GUM/Monte-Carlo budget and Allan drift record (BR-D); BR-B acceptance dossier complete enough that a third party could re-execute the protocol (PB-2 success gate)","~19-29 bench-days record EST (C06) once C04 closes, plus 2-3 bench-weeks EST for the BR-B dossier phase (B25 PB-2); calendar start gated by C04 and C45","WP-C bench field-source build per the corpus plan (C06; no cleanroom; no dollar figure stated in the record — not estimable beyond bench-days); BR-B dossier increment $3-10K EST (B25 PB-2)",1,founder
"Bench-scale WBG power-electronics test-bed operation and safe HV bench practice (double-pulse and continuous-PWM operation of SiC/GaN evaluation cells, interlocks, capacitor-discharge discipline, staged bus escalation)",WBG/HV bench (power),missing,"B10's demonstrated ledger contains no converter, gate-drive, magnetics, HV, or protection entry of any kind (B25 POWER_SKILLS §1 finding across all 31 rows); B25 PB-1's safety note states safe practice at elevated DC bus is itself a competence NOT evidenced in B10; correction 6 (B25 §3.6) explicitly refuses the startup corpus's contrary founder-profile assertions ('high-power-density power electronics') as unverified against ground truth; correction 3 (B20 §9, C-01: no power-electronics in the ledger) applies","current_demonstrated at bench/low-voltage scale ONLY (48-100 V; 400 V-class only under qualified supervision) — explicitly NOT converter design competence and NOT OEM qualification; the B25 governing rule stands: magnetic-sensor expertise plus this skill still does not make the founder a converter designer","BR-B test bed and its extensions (BR-E, BR-G noise source); bench-tier credibility for the W2 lane; enabling skill for every power-domain personal-evidence path in B25 §4(f)","TRAIN under supervision: partner power-electronics lab or supervised evaluation-board practice starting at 48-100 V (B25 §4(a) EST 1-2 years dedicated practice for bench converter COMPETENCE; the narrower test-bed-operation subset targeted here is the front slice of that path, not the whole of it); supervision is part of the design, not optional","Supervising engineer's sign-off on safe operation; BR-B commissioning log (interlock checklist, capacitor-discharge verification records, staged-escalation record, zero-current pickup runs)","First supervised test-bed competence: months-scale EST (front slice of B25 §4(a)); placed on PREP_PLAN days 31-180","WBG evaluation cell and gate drive ~$1-3K EST plus fixtures/isolation ~$1-2K EST (B25 PB-1 cost breakdown); supervision obtained by partnership, not purchase",3,"founder, under qualified supervision"
"Power-product safety certification and converter/protection product engineering (IEC 62477-1-class campaigns, NRTL UL 61010-class, fault-interruption/dump engineering, DFM)",converter/certification (power),collaborator_or_vendor,"B25 §4(b)-(c): protection/interruption engineering is HIRE-only at company scale (EST 2-4 senior engineers, 12-24 months, multi-$M per corpus-dated venture records) and certification competence is organizational — acquired by building or joining an organization that has it, never an individual add-on; record-cited $150-300K and 6-9 months for a first NRTL family (ST01-C10 record via B25); not founder-trainable inside the PhD horizon (C38/C42); corrections 3 and 2 (B20 §9) bar any 'founder's core stack' or 'home ground' assumption","collaborator_or_vendor (engaged): a named partner/design-house/hire relationship IF any W1/W2 productization step is ever taken — never a personal-skill target in this plan","Any full-product row (P3R2-C-01, ST01-C10, ST03-ID_10 class); eventual product-grade W1 dossier credibility; explicitly NOT needed for any ladder entry or any PhD outcome","PARTNER/HIRE at company scale only, and only if a B40-ranked direction justifies it; the in-plan actions are $0: the BR-F certification-scope desk mapping (discharging the PB-6 obligation) and the day-181-365 decision memo","No personal artifact exists or is claimed; the artifact would be a signed partner engagement or a hire — out of scope for the 365-day plan except as the decision memo","Record-cited 6-9 months for a first NRTL family once an organization exists (via B25 §4(c)); $0 time in this plan beyond BR-F desk-days and the decision memo","Record-cited $150-300K for a first family (via B25 §4(c)); $0 committed in this plan",5,"partner organization / future hire (not founder)"
"Estimator/identifiability methodology with pre-registered honesty tests, including T0-package software craft (FT-02 discipline: freeze states and inflate covariance on non-identifiable scenarios; module-boundary/frozen-core/regression release discipline; detection-statistics variants)",estimator/software (shared),literature_backed_near_transfer,"NOT demonstrated: no estimator code exists (C10 — the T0 package is a specification, not a deliverable); the corpus's formal basis (C23 Theorem-1, Fisher rank tests) is folder-08 pre-redteam (C40) and was produced by commissioned AI missions (C50 provenance caveat — it is not evidence of the researcher's personal skill); correction 5 (B20 §9, A-10: system-ID/deterministic-control claims are proposed Opt2 elements, not demonstrated) applies. Transfer path: B15 EV10/P0003 Kalman-fusion literature class plus the corpus's own formal spec (C23/C31) plus the demonstrated analysis-scripting base (C13). The skill becomes personal only when BR-A Phase 0 is personally executed",current_demonstrated,"Opt2 Element 3 (T0 package; FT-02 'gates every dollar after it' per C31/C48); BR-A both phases; BR-C replay validation; W2 detection-statistics lane (P3R2-D-01, ST01-C11 false-trigger methodology); OPT3 reconstruction fallback (C47); CN-01's record shows the method class has merchant value in far domains","Execute BR-A Phase 0 (B15 BT-1 = B10 FT-02, verbatim, zero hardware) personally; then BR-A Phase 1 (bench coil-referenced gain recovery against the Fisher-predicted interval, FT-05/BT-3/PB-5 lineage) and BR-C (replay on real archived data, BT-2); T0 software craft accrues on the same skeleton, frozen at P2 submission (C10/C32); any publication-facing novelty claim additionally requires the FT-01 kill search first (B15 honesty rule)","FT-02 pass record (frozen states + inflated covariance on Theorem-1 scenarios, wrong-prior cross-check rerun); BR-A Phase 1 pre-registered analysis and gain-recovery report; BR-C replay report; T0 package frozen at P2 submission with regression binding (C10)","Phase 0 desk-days-to-weeks EST; Phase 1 2-4 bench-weeks EST (B25 PB-5); BR-C desk-weeks EST; T0 freeze rides the P2 timeline (~Q1-Q2 2027, C10)","$0 desk (BR-A Phase 0, BR-C); $1-5K EST bench increment (BR-A Phase 1, B25 PB-5)",2,founder
"Harsh-environment/UHV sensor packaging and in-vessel deployment (LCC ceramic package, Al wedge bonding, EPO-TEK 353ND encapsulation, 150C vacuum bake, zirconia holder, grounded graphite shield)",sensing/packaging,current_demonstrated,"B10 C46 (the packaging process executed once, for the deployed 2025 module) and C01 (in-vessel deployment at the HSX plasma edge, August 2025 campaign). Honest bounds: a single execution; the planned multi-die vector-cube reuse is proposed-only (C14) with bond-pad-yield-on-vertical-cube-faces an open unresolved risk (C46 limitation); the deployed module's current location/health is undocumented (C45); a demonstrated 150C bake is not 300C qualification (B20 A-14 row) and not power-converter thermal design (B25 §1); the separate project-05 packaging design work is COMPLETE_WITH_OPEN_GATES with fabrication on HOLD (C19)","current_demonstrated (extended: multi-die cube packaging via the PhD's own project-03 plan, C14; coupon packaging for BR-H rides the same C46 process)","Opt2 Element 2 hybrid head; P3/RSI vector probe (C14); P3R2-D-02 sensing head; P3R2-A-10 packaging leg (the B20-verified survivability mechanism); BR-H coupon supply (C46 reuse)","Maintain; extend via project-03's own build plan, not separate training; the cube bond-pad-yield risk is resolved on the PhD's own calendar (campaign #2 target Nov 2026, C14)","Packaged cube module passing project-03's release tests; BR-H coupon lot with packaging records reusing the C46 process","Rides the PhD's own project-03 timeline (C14); no separate acquisition time","$0 beyond PhD program costs; BR-H coupon packaging low-$K EST founder-side (B25 PB-7)",2,founder
"Multi-channel/vector synchronized instrumentation (replicated readout boards with shared clock/control fanout, zero inter-axis phase skew by construction, 3x3 matrix calibration with polar-decomposition misalignment extraction, array DAQ)",multi-channel/vector instrumentation,literature_backed_near_transfer,"NOT demonstrated: correction 1 (B20 §9, D-02: array instrumentation and industrial DAQ are not in B10's demonstrated ledger) applies; the three-board synchronized vector-probe architecture is a fully committed plan with zero hardware, code, or CAD in its own folder (C14), and the same ~109x anomaly class is an unchecked release gate for it (C04 refinement). Transfer path: the single-channel base is demonstrated (C03/C13 bench-verified boards, replicable by design) and C14 specifies the replication/fanout architecture in detail. Array practice in the field (P0024's 724-probe coil system, EV19; the TapeStar incumbent class, S-B20-01) is evidence about the field, not about this user",current_demonstrated,"P3/RSI vector-probe paper (C14); Opt2 Element 2 multi-channel hybrid head; P3R2-D-02's array scanner layer (with S8); W2 multi-channel measurement chains (ST03-ID_13-class array layers stay excluded per B25 §4 and correction 1)","Execute project-03's own build (three replicated hsx_2026_v1 boards + one Pico 2 shared a0/a1/a2/EN fanout) after C04 closes; matrix calibration via indexed-orientation Helmholtz sweeps rides BR-D's bench field source; no acquisition separate from the PhD's own plan","The three-board injected delta-V gain/polarity/linearity/phase release test passed (the C04-refinement checklist item); a synchronized campaign-#2 dataset","Rides the project-03 timeline (campaign #2 target Nov 2026, RSI submission target ~March 2027 — C14); gated by C04","Board replication cost not stated in the record — not estimable beyond project-03's own budget",3,founder
"Lock-in thermography / IR delamination screening for tape-quality metrology",multi-channel/vector instrumentation (idea-specific: P3R2-D-02),missing,"No thermal-imaging, lock-in, or optical-inspection entry anywhere in B10's ledger; correction 1 (B20 §9) explicitly names lock-in thermography as a NOT-demonstrated skill that the D-02 record's founder-fit language overstated (new06 D01 §14). No adjacent demonstrated base: the demonstrated bench discipline is electrical, not thermal-optical","collaborator_or_vendor unless the D-02 direction is actually taken after B40, in which case TRAIN at bench scale under vendor/partner instruction","P3R2-D-02's delamination-screening channel only — deliberately NOT option-preserving; kept in the stack because the record names it as needed for the primary alignment candidate and SKILLS.md §2's honesty rule requires saying so","Defer to B40; if D-02 proceeds: vendor instrument plus supervised practice, or PARTNER; no spending before that decision","None claimed; would be a blind flaw-detection trial on seeded tape samples if ever pursued","Not estimable (no record figure)","Not estimable (no record figure); $0 committed in this plan",4,"founder-or-partner, post-B40 decision only"
"Cryogenic 77 K bench practice (LN2 handling, cryostat operation, thermal-cycling measurement discipline)",cryogenic/HTS-adjacent,missing,"B10's ledger contains no cryogenic entry of any kind (B25 §1 finding); B25 §4(e): the NI-coil/HTS literature exists (EV05/EV21) but literature is field evidence, not this user's skill; correction 6 (B25 §3.6) refuses the startup corpus's undergrad-superconductivity/HTS-winding founder assertions as unverified against ground truth","current_demonstrated at bench-77K scale (LN2 dewar/cryostat measurement practice) — NOT cryogenic engineering, NOT magnet operation, NOT HTS winding","P3R2-D-02 (77 K non-contact scanning is the product's operating point); W2 magnet-community bench credibility (D-01 adjacency); BR-I context if that option is ever activated","TRAIN at bench scale (B25 §4(e): plausible EST months-scale; the startup records' RTP plans assume it); PARTNER via the magnet-lab community (S-B20-02) for anything beyond bench dewar work; scheduled days 91-365 only if a cryo-facing direction survives its gates","Dated notebook entries of supervised LN2 measurement sessions; one 77 K measurement with documented thermal-cycling repeatability","Months-scale EST (B25 §4(e))","LN2/cryostat access cost not stated in the record — not estimable; $0 committed before the G-90 review",3,"founder (with facility safety induction)"
"Precision-current reference-chain operation (certificated zero-flux/fluxgate transducers, wideband coaxial shunts, 8.5-digit-DMM-class chains) — BUY and operate, never build",traceable metrology,literature_backed_near_transfer,"NOT demonstrated: no zero-flux/DCCT, reference-transducer, or acceptance-grade chain entry in B10's ledger; correction 4 (B20 §9, C-05: bench DAQ demonstrated, scaled metrology not) applies. Transfer path: the demonstrated bench instrumentation base (C03/C13) plus BR-B's fully specified protocol including the reference chain's own GUM budget per the EV01/P0008 template; the hardware is merchant-purchasable (1 ppm-linearity class exists commercially, S-B25-02; 8.5-digit DMM class per the ID_12 record via B25 §4(f) — BUY, never build)",current_demonstrated,"BR-B (the reference chain is its decision-grade core); BR-A Phase 1's chain-swap control; BR-D witness reference; W1 rows (G-03 acceptance dossiers, D-09 traceable core); W2 chain qualification (ST03-ID_12 class)","Borrow/rent first (magnet-lab community loan path, S-B20-02), buy only if loans fail; the skill becomes personal by executing BR-B steps 2-9 (chain assembly, own-budget construction, repeat campaign)","The reference chain's own GUM budget document with every component named; BR-B dossier's chain section with calibration certificates on file","Inside BR-B's 3-6 + 2-3 bench-weeks EST (B25 PB-1/PB-2)","Dominant item: zero-flux reference $5-15K purchase EST or much less borrowed/rented; coaxial shunt ~$1-2K EST (B25 PB-1 breakdown)",2,founder
