# B40_portfolio FULL attempt-1 claim-level source ledger. Rows map decision-critical claims to sources: this-run web actions (B40-01 failed fetch disclosed; B40-02/03 discovery-level searches), A30/B20/B25 opened primaries reused WITHOUT re-opening (reuse and original claim_id noted), and internal prerequisite-output evidence rows (url = repository-relative path, following the B25/pilot precedent). Search snippets are discovery aids only, never evidence (SOURCE_POLICY). Corpus-dated facts not listed here are record-vintage per the citing row.
claim_id,url,title,publisher,published_date,accessed_date,source_type,stage_file,confidence,limitation
B40-01,https://new.abb.com/low-voltage/products/circuit-breakers/sace-infinitus-solid-state-circuit-breaker,"SACE Infinitus solid-state circuit breaker (product page)",ABB,unknown,2026-07-28,vendor_product_page_fetch_failed,"RANKING.csv (P3R2-C-01 main_risk); DECISION.json; PORTFOLIO.md sections 1/6/8",discovery-only,"NOT OPENED: WebFetch timed out again this run (60s) - the THIRD failed attempt across the pilot and this run. The ST01-C06P record-vintage claim that ABB SSCBs ship today remains PARTIALLY verified (Siemens launch primary opened, B40-04; ABB not); C-01 scoring treats merchant-SSCB pressure as window-pressure, not window-collapse, accordingly."
B40-02,https://www.saesgetters.com/highvacuum/solution/neg-coating/,"IntegraTorr NEG coating - distributed UHV pumping for particle accelerators (search-surfaced vendor page)",SAES Getters,unknown,2026-07-28,web_search_discovery,"RANKING.csv (P3R2-A-05 first_proof/falsifier); DECISION.json (A-05 watch trigger)",discovery-only,"SEARCH ONLY - page not opened. The search found no SAES US-capacity announcement (A-05's own kill condition not visibly fired) and corroborated SAES/CERN-lineage incumbency at vendor-page level. Absence of a search hit is NOT proof of absence; A-05's revival facts remain unverified (A30 rerun item 5) and its watch trigger is exactly that verification."
B40-03,https://www.opencompute.org/documents/ocp-wp-l-lcdu-test-methodology-performance-rating-r1-pdf,"Liquid to Liquid CDU Test Methodology (white paper; search-surfaced)",Open Compute Project,unknown,2026-07-28,web_search_discovery,"RANKING.csv (P3R2-C-05 first_proof/falsifier); DECISION.json (C-05 reason); PORTFOLIO.md section 1",discovery-only,"SEARCH ONLY - opencompute.org 403-blocks direct fetches (A30 unresolved issue; not re-fetched). Search corroborates that OCP publishes CDU test-methodology and cold-plate qualification WHITE PAPERS; no complete conformance program with reference hardware surfaced - consistent with new06 D03's narrow wording. The C-05 conformance-vacuum negative claim stays discovery-level; the weak sector-signals.net outlet reappeared in results and was not used."
B40-04,https://press.siemens.com/global/en/pressrelease/siemens-launches-groundbreaking-portfolio-era-direct-current-technology,"Siemens launches groundbreaking portfolio for the era of direct current technology (SENTRON 3QD2 semiconductor circuit breaker)",Siemens (press release),2026-04-15,2026-07-28,official_company_press_release_primary_reused_open,"RANKING.csv (P3R2-C-01 main_risk); DECISION.json; PORTFOLIO.md",high for launch/targeting,"Reused from pilot B40P-01 (opened live in the accepted pilot; not re-opened). Verifies 3QD2 launch, microsecond-range interruption, data-center targeting. Does NOT state shipping volume - supports window-pressure, not window-collapse."
B40-05,https://uscode.house.gov/view.xhtml?req=granuleid%3AUSC-prelim-title26-section45V&num=0&edition=prelim,"26 USC 45V - Credit for production of clean hydrogen (current text)",U.S. House Office of the Law Revision Counsel,current through PL 119-21 (2025-07-04),2026-07-28,statute_primary_reused_open,"RANKING.csv (P3R2-C-07 main_risk); DECISION.json (C-07 stop)",high,"Reused from A30 C07-DIS-01 (opened in full by A30; not re-opened). Verifies the construction-start-before-2028-01-01 substitution (PL 119-21 section 70511) - C-07's window-impairment fact; also context for hydrogen-family caution (C-22/F-23)."
B40-06,https://www.ingeteam.com/en/Pressroom/Corporate/tabid/1574/articleType/ArticleView/articleId/3504/Ingeteam-unveils-a-new-rectifier-solution-for-electrolysers.aspx,"Ingeteam unveils a new rectifier solution for electrolysers (INGECON H2 FSK E12000)",Ingeteam,2023-03-31,2026-07-28,manufacturer_press_release_primary_reused_open,"RANKING.csv (P3R2-C-07 main_risk); DECISION.json (C-07 stop)",high,"Reused from A30 C07-DIS-02 (opened in full by A30; not re-opened). Verifies incumbent occupancy: <3% harmonic distortion IGBT electrolyser rectifier, deliveries from September 2023."
B40-07,https://cloud.google.com/blog/topics/systems/agile-data-centers-and-systems-to-enable-ai-innovations,"Agile data centers and systems to enable AI innovations (Project Deschutes OCP contribution)",Google Cloud Blog,2025-10-13,2026-07-28,official_company_blog_primary_reused_open,"RANKING.csv (P3R2-C-05 origin); DECISION.json (C-05 technical_proof 3)",high,"Reused from A30 C05-DIS-01 (re-opened in full by A30; not re-opened this run). Verifies Deschutes OCP spec publication and 7 named suppliers - the C-05 revival predicate."
B40-08,https://www.nidec.com/en/product/news/2025/news1203-01/,"Nidec prototypes Project Deschutes CDU based on Google OCP specification",Nidec Corporation,2025 (displayed 03/12/2025 - date recorded uncertain by A30),2026-07-28,manufacturer_press_release_primary_reused_open,"RANKING.csv (P3R2-C-05); DECISION.json",high on content,"Reused from A30 C05-DIS-02 (re-opened by A30; not re-opened). Verifies OCP-spec-compliant 2MW-class CDU prototype - ecosystem liveness; page date ambiguity carried as A30 recorded it."
B40-09,https://investors.nlight.net/news-releases/news-details/2026/nLIGHT-Awarded-627-Million-Joint-Laser-Weapon-System-JLWS-Contract/default.aspx,"nLIGHT Awarded $627 Million Joint Laser Weapon System (JLWS) Contract",nLIGHT Inc. (investor relations),2026-07-09,2026-07-28,official_company_press_release_primary_reused_open,"RANKING.csv (P3R2-D-10 main_risk); DECISION.json (D-10 stop; rejected_ranking_alternatives)",high,"Reused from A30 D10-DIS-02 (opened in full by A30; not re-opened). Verifies $44M initial / $627M ceiling and the proprietary vertically-integrated coherent-beam-combining statement - the merchant-socket negative behind D-10's rank-24 stop."
B40-10,https://www.militarytimes.com/industry/techwatch/2026/06/02/the-us-military-wants-to-showcase-battle-ready-laser-weapons-by-2028/,"The US military wants to showcase battle-ready laser weapons by 2028",Military Times,2026-06-02,2026-07-28,trade_press_reused_open,"RANKING.csv (P3R2-D-10 main_risk: 2026-2028 window)",medium,"Reused from A30 D10-DIS-03 (opened by A30; not re-opened). Trade press citing the Navy FY2027 budget request (JBCS Q4-2026, 2028 demos, FY2031 roadmap); the budget book itself was never opened - carried as A30 recorded it."
