idea_id,role,application,phd_leverage,missing_capabilities,buyer,proof_experiment,safety_certification,capital,moat,confidence,falsifier,disposition
P3R2-C-01,"full end product (safety-certified 800VDC rack power-path protection shelf: solid-state breaker + precharge/inrush + insulation monitoring + hot-swap sequencing; consolidates P3R2-E-01 per A30 SEM-01)","800VDC AI-datacenter rack power distribution; NVIDIA's own technical blog (opened live, S-B25-03) states full-scale 800VDC production coincides with Kyber rack systems in 2027 and names overcurrent protection ('fuse-and-disconnect combinations or emerging solid-state devices or safety breakers') as a boundary function where 'innovations will still be required', with Eaton/Schneider/Vertiv already named ecosystem partners; cross-corpus refinement: the STARTUP corpus's independent 800VDC analysis (record-vintage 2026-07-04, S-B25-12) reports ABB SACE Infinitus and Siemens SENTRON 3QD2 SSCBs already shipping and accordingly killed its own breaker idea, pivoting to the protection-intelligence layer (see ST01-C06P) — record-vintage, not re-verified live, but it presses directly on this venture's window","speculative transfer, sliver only (B20 class WEAK): condition-monitoring telemetry (leakage trend, precharge drift) and series-arc discrimination are weak-signal-detection-under-EMI problems (EV27 class; demonstrated bench readout C03/C13); the estimator methodology behind any smart-trip/discrimination claim is proposed-only (C23/C31, pre-redteam C40); B10's demonstrated ledger contains NO power-conversion or protection hardware — B20's founder-fit correction of new06 D02 §14 carried verbatim","microsecond SiC fault-interruption design; fault-energy absorption and let-through coordination; kA busbar/thermal design; arc-discrimination validated at power scale; IEC 62477-1-class safety-certification campaign execution; DFMEA, manufacturing, reliability, field-service engineering; hyperscaler/OCP spec design-in — none of these appear anywhere in B10's demonstrated or proposed ledger","hyperscaler data-center operators and OCP-ecosystem rack/power integrators (venture record); NVIDIA's named power ecosystem (S-B25-03) shows incumbents (Eaton, Schneider Electric, Vertiv) already inside the spec process","founder-relevant sliver proof = PB-1 (calibrated DC-capable current telemetry holding a stated uncertainty budget under WBG switching EMI) plus PB-3 (pre-registered series-arc/ground-fault discrimination statistics at low-voltage bench scale); the venture-level proof (800VDC interruption + certification pass) requires a hired power-electronics/certification team and is not a founder experiment","IEC 62477-1:2022 — safety requirements for power electronic converter systems, rated voltages <=1000VAC/1500VDC, so 800VDC is in scope (scope page opened live, S-B25-01) — plus UL/regional equivalents, abnormal-condition and arc testing; certification campaign 2027-2029 per corpus-dated venture record","high — power lab, certification campaign, rack-scale productization (corpus-dated venture record; no independent re-estimate)","certification lead plus design-in lock with hyperscaler specs; the telemetry/data layer is secondary and contestable by whoever owns the breaker","medium-high (that founder-fit is weak and the missing-capability list is real)","a paid design-in that specifically prices the telemetry/condition-monitoring layer rather than the breaker would upgrade the sliver to adjacent leverage (B20's falsifier); certified merchant 800VDC SSCB shelves already shipping at volume would collapse the venture's own window — the ST01-C06P record claims exactly this (record-vintage; live verification would settle it)","not a founder-led wedge; retain as the application context in which a measurement/qualification/telemetry offering (preferred wedge W1, POWER.md §9) could serve whoever builds the breaker; the surviving PhD-adjacent layer is what ST01-C06P independently scopes as a standalone module"
P3R2-C-13,"subsystem (merchant OEM module: nanosecond-class programmable GaN pump-driver / precision laser-power current drive)","pump-driver and precision current-drive modules for industrial/ultrafast and directed-energy-adjacent laser OEMs; paid evaluations 2028, design-in 2028-2029 (corpus-dated venture record)","speculative transfer (B20 class WEAK): the GaN overlap is vocabulary not mechanism — the PhD uses AlGaN/GaN as a Hall-sensing 2DEG, the product uses GaN HEMTs as power switches, different device physics and failure modes (EV31); B15 adjudicates topology/control as the differentiator with measurement as supporting infrastructure (EV30); single adjacent sliver: calibrated pulse-current sensing and diode-health telemetry under switching EMI (EV27/P0050 class; C03 bench discipline)","GaN gate-drive design (a genuine open engineering burden per EV08 — review-level evidence whose headline figures remain untraced, PB-6/BT-8 hygiene applies); nanosecond pulse-shaping power stages and low-inductance layout; magnetics; EMI/EMC compliance; laser-diode application engineering; OEM qualification and reliability; export-compliance handling for defense-adjacent variants (corpus-recorded)","laser OEMs; the venture's own record states the unproven core is the OEM merchant socket, gated by an unpassed $72k make-vs-buy study (old06 DD_P3R2_C_13 via B20)","venture gate = the record's own $72k make-vs-buy socket study (unpassed); founder-relevant sliver proof = PB-1 (calibrated wideband pulse-current measurement with uncertainty budget against P0048/P0056-class reference sensors) plus PB-4 (transducer-aliasing characterization under switching edges)","module-level EMC and OEM qualification dominate; laser-safety certification sits at the OEM system level; possible export-control regime for defense-adjacent business (corpus-recorded); lighter formal safety-cert burden than C-01 but still not PhD-evidenced","moderate — module-scale bench plus the record's $72k first gate (corpus-dated)","edge speed and BOM cost per the venture record — power-electronics engineering moats; the PhD-adjacent telemetry/qualification-data layer is a sliver, not the socket","medium-high (that the transfer is weak)","a paid OEM evaluation that specifically prices the calibrated-telemetry layer rather than edge speed or BOM cost would upgrade the sliver to adjacent leverage (B20's falsifier)","deprioritize as a founder-led module business; if the family is ever pursued, the calibrated-telemetry/qualification-data lane is the only PhD-adjacent element and it is not the product's socket"
P3R2-F-06,"measurement-qualification tool (precision wideband DC current/voltage sensing platform — optical FOCS + zero-flux hybrid — sold as instrument plus open qualification protocol for DC assets)","HVDC converter stations, electrolyzer plants, magnet systems; demand refreshed live this run: Pattern Energy's Southern Spirit page still targets construction start 2029 / in-service 2032 (S-B25-17, page content appears not updated since ~2023 — disclosed) and NERC PRC-028-1 is in effect since 2025-04-01 with 50% compliance by 2028-04-01 and 100% by 2030-01-01 (S-B25-16, secondary source; official NERC PDF returned HTTP 403); the old06 record's full read (S-B25-10) confirms US demand is real but pre-order (no named OEM/EPC evaluation; the 2029 binding gate is the venture's own test) and CN is license-royalty-only (State Grid domestic-only procurement, record-fetched tender); merchant-magnet buyer class verified current at B20 (S-B20-02)","adjacent leverage (B20 class MEDIUM-boundary): the only frontier-universe idea whose entire product IS precision current metrology; the proposed WP-C traceable-calibration/uncertainty methodology (C06 — proposed only, gated by the unresolved ~109x anomaly C04) maps onto the venture's core differentiator, and demonstrated bench weak-signal discipline (C03) maps onto supporting elements; BUT the chosen modalities — FOCS and zero-flux DCCT — are not Hall and are not PhD-evidenced hardware (EV20/EV28)","FOCS (Faraday-effect) fiber-optic sensor physics; zero-flux DCCT electronics at incumbent grade — merchant zero-flux units ship at 1 ppm-linearity class (Danisense DQ500ID, S-B25-02) and LEM markets ppm-class HVDC-targeted fluxgate lines to 24 kA (old06 record's own vendor fetch, S-B25-10); HV insulation coordination; utility/station qualification and field service; instrument manufacturing at reliability grade","HVDC protection-OEMs/EPCs (the record's binding gate is an evaluation agreement, not yet cleared), electrolyzer plant EPCs, magnet laboratories (S-B20-02)","PB-1 (Hall vs TMR vs zero-flux-reference benchmark under WBG switching EMI — simultaneously this idea's modality-choice test and B20's named falsifier) plus PB-2 (uncertainty-budgeted acceptance-dossier exercise on purchased transducers — the wedge's own product motion) plus PB-5 (trusted current/field excursion chain, the BT-3/FT-05 linkage the PhD's coil-referenced tests require)","instrument-class electrical safety plus utility acceptance/qualification protocols; station deployment inherits site safety regimes; certification burden far below converter end products, but the qualification-authority burden is high because the qualification IS the product","moderate-high — instrument platform plus multi-year utility qualification cycles; both baselines rated the venture weak commercially (old rank 23, NEW cut) — carried honestly","traceable-uncertainty authority plus an open qualification protocol (the record's own wedge framing) — NOT sensor novelty, where incumbents are strong (S-B25-10/S-B25-02)","medium","if the venture's value concentrates in optical-fiber sensor physics rather than calibration/qualification authority, the PhD bridge downgrades to speculative (B20); a PB-1-class benchmark decisively unfavorable to magnetics-adjacent methods cuts the bridge; incumbents publishing open uncertainty-budgeted qualification protocols would erase the wedge","carry as the discipline-nearest embodiment of preferred wedge W1 (POWER.md §9) — the full-set retest CONFIRMS the wedge class (measurement/qualification authority) while keeping this specific venture's weak commercial evidence and pre-order demand on the record; the wedge survives even if this venture's HVDC form does not"
P3R2-E-10,"reference design (standardized rad-tolerant GaN PPU platform for smallsat electric propulsion — a qualified reference architecture replicated across EP integrators; BLIND-only pool record, canonical A-13 killed by both baselines per A30 SEM-03)","smallsat electric-propulsion power processing units (corpus-dated market window; pool-record evidence depth only, disclosed)","speculative transfer (B20 class WEAK) — the designated GaN+radiation vocabulary trap: the PPU's radiation problem is SET/SEB mitigation in power switching topologies (device-level power reliability engineering, EV31), while the PhD's radiation question is Hall-plate sensitivity drift, for which zero GaN/AlGaN data exists (C29/EV09/M1) and wrong-species extrapolation fails ~14x (C29); the one genuine channel is REVERSE and unplanned — a qualification campaign's irradiation access could host AlGaN/GaN Hall-plate coupons (PB-7/BT-5/FT-11 class, collaborator-led per C09)","space power-electronics design (PPU topologies, HV isolation in vacuum); single-event-effect mitigation and rad-hard qualification flows (ECSS/AIAA class per its own record); derating/reliability and flight-heritage building; thermal-vacuum design — none PhD-evidenced","smallsat EP thruster makers and satellite integrators (pool-record depth only, disclosed)","venture-level proof (qualification campaign + EP integration) is not founder-executable; founder-relevant proof = PB-7 piggyback: add AlGaN/GaN Hall-plate coupons plus a material-diverse witness channel to any scheduled irradiation campaign, closing B15 gap M1 as a side effect — explicitly never on the PhD critical path (C09)","space qualification (ECSS/AIAA class per the pool record) plus launch-provider/range requirements; not a consumer/industrial safety-cert regime; entirely outside PhD evidence","high — space qualification campaigns (pool-record depth; no independent estimate)","qualification data plus flight heritage; venture evidence weak (canonical A-13 independently killed by both baselines)","high (that the transfer is weak)","a scheduled irradiation campaign that includes AlGaN/GaN Hall-plate coupons would convert the reverse channel from speculative to adjacent and close M1 (B20/BT-5)","retire as a venture candidate; PRESERVE the irradiation-piggyback channel (PB-7, BRIDGE_TESTS.md) per B20's explicit handoff note; P3R2-D-16 shares the identical reverse channel"
P3R2-A-02,"full end product (modular MVDC 1-35 kV hybrid solid-state circuit breaker)","MV DC distribution buildout (grid/campus/industrial DC); killed/cut idea: OLD P4 survivor 55.2 then P5 KILL (82%), NEW survivor 64.8 but selection near-miss, BLIND rank 19 (B20 row, records read by B20)","speculative transfer (B20 class WEAK): same discipline family as C-01's core at higher voltage, minus even the telemetry sliver's proximity (grid/campus scale, not rack scale); EV30/EV31 loose analogy; no PhD asset maps onto MV interruption","MV solid-state/hybrid interruption design; MV insulation coordination; switchgear certification campaigns; grid/utility qualification; manufacturing at switchgear reliability grade — none in B10's ledger","utility, campus-microgrid, and industrial-DC integrators (record level)","venture-level only (MV interruption demo + certification); no founder-shaped sliver identified beyond the generic PB-1 telemetry class; the record's own red team found DG Matrix/Amperesand already shipping SST-class hardware","MV switchgear safety-certification regime and utility acceptance (record level; specific standards not named in records read — not invented here); IEC 62477-1's <=1.5 kVDC scope does NOT cover this class (S-B25-01)","high — new06's own near-miss note flags the $1.5M first experiment as a capital misfit","incumbent hybrid-breaker programs and shipping SST-class hardware per the record's red team; no PhD-adjacent moat","high (that the transfer is weak)","same falsifier as C-01 one tier weaker: a paid engagement pricing calibrated telemetry/condition monitoring rather than interruption would create a thin sliver","retire from founder consideration; keep only as family context for the DC-protection lane (C-01/F-12/C-15/ST01-C06P) in POWER.md §8"
P3R2-C-07,"full end product (retrofit low-ripple active-front-end rectification for electrochemical plants — hydrogen electrolyzers / copper electrowinning)","kA-class plant rectification retrofits with energy-savings M&V; killed idea (OLD P4 G7 kill 60.0; NEW gates-clean 61.6 but below survivor cut; BLIND 10); A30 DIS-C07 verified the kill facts on opened primaries: US 45V construction-start deadline pulled to before 2028-01-01 (PL 119-21) and Ingeteam INGECON H2 shipping since 2023 at <3% harmonic distortion","speculative transfer (B20 class WEAK): kA-class AFE/IGBT rectifier engineering and performance-contract M&V share no instrument, method, dataset, or buyer with Hall metrology (EV30/EV31); plant energy metering is commodity metrology, not the WP-C traceable-field niche; ripple metering inside such plants is the one measurement-flavored surface — served by DCCT/shunt incumbency (EV28)","kA rectifier design (AFE/IGBT topologies); plant electrical integration at MW scale; harmonics/power-quality compliance engineering; performance-contract M&V structuring; electrochemical process knowledge — none PhD-evidenced","electrolyzer and electrowinning plant owners/EPCs (record); window structurally impaired per A30-verified primaries","venture-level retrofit pilot only; no founder-shaped proof identified; PB-2-class uncertainty-budgeted M&V would be the only conceivable sliver and no record shows a buyer for it","plant electrical safety and utility interconnection; harmonic/power-quality compliance (incumbent benchmark <3% THD, A30-verified); no PhD-relevant certification surface","moderate-high — plant retrofit projects (record level)","none durable: category already merchant-served (Ingeteam, A30-verified)","high","a named US electrowinning tender explicitly demanding third-party measurement-grade M&V from a metrology-credentialed vendor would create a thin adjacent link (none found in any record read by B20)","retire; both baselines reject it and A30 verified the kill facts — retained here as the killed-idea exemplar of the rectifier/electrolyzer family (with C-22/F-23)"
P3R2-C-09,"platform + reference design (standardized solid-state pulsed-power platform: stackable Marx/modulator modules, digital droop control, open interface standard for e-beam/X-ray/accelerator RF)","modular pulsed power for cargo NII, isotope production, accelerator RF; split decision (OLD P4 kill 64.4 + P5 revival re-kill 52.2; NEW FINAL/DEEP D09 selected rank 12; BLIND 4); A30 DIS-C09 verified the split on opened primaries — BLIND's EtO-regulatory leg reversed (EPA proposal), cargo NII + isotope legs verified","speculative transfer (B20 class WEAK): stacked solid-state switching at tens-to-hundreds of kV with droop/jitter control is power-conversion platform engineering (EV30/EV31); B10's ledger contains no high-voltage or pulsed-power hardware; slivers: module acceptance testing against IEC 60060-1-class HV test technique (B20-recorded) and fleet telemetry — measurement-flavored but non-core","high-voltage pulsed-power engineering (Marx/modulator design, HV insulation, jitter/droop control); HV test-lab practice; open-standard governance; OEM platform economics; manufacturing — none PhD-evidenced","accelerator/e-beam/X-ray OEMs and facilities (record); venture gate is OEM design-in by 2033 (its own kill)","venture-level (module + interface standard demo); founder-shaped sliver = PB-2-class acceptance metrology (droop/jitter qualification as a purchased deliverable) — B20's stated thin-link condition","HV pulsed-power safety regimes and facility acceptance; IEC 60060-1-class HV test technique for module acceptance (B20-recorded); radiation-generating-device rules sit at the system/facility level","high — platform build 2027-2030 (record level)","interface standard + modularity per the record; contested by incumbent pulsed-power houses; no PhD-adjacent moat","medium-high (that the transfer is weak)","a paid acceptance-metrology engagement (droop/jitter qualification as the purchased deliverable) would create a thin adjacent link (B20)","treat as PhD-independent; its reference-design/open-standard posture is the corpus's clearest non-space example of that role — retained for the role comparison in POWER.md §7"
P3R2-C-14,"full end product (modular MW-class industrial plasma power supplies — torch-agnostic 250 kW blocks with millisecond restrike control; BLIND-only)","industrial plasma torch power (waste destruction, materials processing); BLIND rank 13, elegance REJECT with duplicate_of null, never on the frozen longlist (A30 NON-MATCH-C14 keeps it distinct from A-22); pool-record depth only, disclosed","speculative transfer (B20 class WEAK): MW arc/RF supply engineering with millisecond restrike control is power conversion (EV30/EV31); 'plasma' is the host application, not a shared method; no calibration asset, dataset, or buyer overlaps the PhD; the STARTUP corpus independently reached the same verdict on its own plasma-torch PSU candidate (V01: NO-GO standalone, no reachable merchant buyer pool, S-B25-12) — cross-corpus convergence","MW power-supply design; arc physics and restrike control; industrial EMC and plant integration; torch-OEM qualification; manufacturing/service at industrial scale — none PhD-evidenced","torch OEMs and industrial waste/materials processors (pool-record level)","venture-level only; no founder-shaped sliver; pool-record depth insufficient for a proof design beyond the generic PB-1 telemetry class","industrial power-equipment safety/EMC regimes; DoD/environmental procurement compliance where remediation-facing (record level)","high — MW-class product line (pool-record depth; no estimate adopted)","none identified in the pool record; the startup corpus's V01 analysis found every channel occupied/integrated/bundled (record-vintage)","high (that the transfer is weak)","none realistic identified (B20); a torch-OEM engagement buying calibrated pulse/arc measurement would be the only conceivable sliver","retire; double-killed across independent corpora (BLIND elegance REJECT; startup V01 NO-GO) — kept as the sweep's completeness row for the plasma-PSU family"
P3R2-C-15,"full end product (megawatt charge/swap DC power infrastructure for mines and ports; BLIND-only; documented duplicate of longlist canonical A-21, itself killed by both baselines per A30 SEM-04)","heavy-fleet electrification charging infrastructure (corpus-dated port/mine electrification grants)","speculative transfer (B20 class WEAK): MW charging cabinets, station DC backbones, and protocol integration are power infrastructure (EV30/EV31); shares nothing with Hall metrology beyond the word DC; pulsed-load grid buffering is power-systems engineering","MW charging-converter design; charging-protocol/interoperability engineering; site electrical works; infrastructure project development and financing; fleet-OEM partnerships — none PhD-evidenced","mine/port operators and fleet OEMs (pool-record level)","venture-level only; no founder-shaped sliver identified","charging-infrastructure certification and grid-interconnection regimes (record level; standards not named in records read — not invented here)","high — infrastructure-scale deployment","none identified; canonical A-21 killed by both baselines (A30 SEM-04)","high (that the transfer is weak)","none realistic identified (B20)","retire; kept as the sweep's completeness row for DC-infrastructure-scale power (family context with A-02/F-12)"
P3R2-C-22,"measurement-qualification platform (electrolyzer stack degradation-emulation and bankability test systems — programmable ripple/intermittency benches)","electrolyzer bankability testing for hydrogen project finance; OLD rank 2 / NEW 13 / BLIND 15 (winner-class venture evidence); bench sales cycle 2027-2029; hydrogen-market facts corpus-dated","speculative transfer (B20 class WEAK, held against the wedge-retest): the differentiator per its own record is stress synthesis (arbitrary-ripple power electronics, EV30 boundary) PLUS electrochemical degradation attribution — a domain discipline with no PhD evidence; the bankability/method-authority THEME parallels C-05 and the W1 wedge, but the load-bearing skill is electrochemistry, not traceable-uncertainty metrology, so the WP-C methodology bridge is weaker than C-05's (B20's explicit adjudication, adopted after retest)","arbitrary-waveform kW-to-MW stress-synthesis power electronics; impedance-spectroscopy/voltage-decay electrochemistry and degradation attribution; bankability/insurance protocol standing; bench productization — none PhD-evidenced","electrolyzer OEMs, project developers, lenders/insurers (record); gates: hydrogen FIDs surviving and Greenlight not adding stress synthesis (its own key_kill)","venture gate = its own round-robin/attribution campaigns; founder-shaped sliver = PB-2-class: if paid engagements price the uncertainty-budgeted measurement/acceptance layer (not stress synthesis), the forward mechanism upgrades toward adjacent — B20's stated condition, kept as the falsifier","bench electrical safety at stack power plus hydrogen handling in test context; acceptance-protocol authority is the commercial 'certification' surface (record level)","moderate-high — bench product line plus campaigns (record level)","stress-synthesis + attribution method authority per its record; measurement infrastructure inside the bench is supporting (EV30)","medium","if paid engagements price the uncertainty-budgeted acceptance layer, forward upgrades toward adjacent; hydrogen FID collapse kills the venture independent of alignment (B20)","PhD-independent despite OLD's rank 2 (venture quality and founder-mechanism fit are different axes); in the W1 wedge retest it LOSES to F-06/G-03/C-05-class plays because its scarce skill is electrochemical, not metrological — recorded in POWER.md §9"
