# B20_align FULL attempt-1 — 39 rows covering the complete A30 idea universe (41 union IDs; E-01 consolidated into C-01 per SEM-01 and B-01 into C-04 per SEM-02 — see ALIGNMENT.md §2). Direction cells use: direct leverage / adjacent leverage / speculative transfer / negative interference; overall classes and rubric in ALIGNMENT.md §3. Cxx = B10 PHD_FACTS claims; EVxx/Pxxxx = B15 evidence rows/papers; G1-G6/M1-M7/BT-x = B15 GAPS items; A30:* = A30-verified opened primaries; S-B20-xx = web sources opened (SOURCES.csv); NEW-SEL = new06 outputs/70_audit/FINAL/SELECTION.json entry; corpus-dated market facts are record-vintage, not asserted current.
idea_id,idea_name,source_version,phd_to_startup,startup_to_phd,mechanism,evidence,dependency,time_horizon,conflict,confidence,falsifier,action
P3R2-D-02,"Reel-to-reel contactless REBCO tape quality metrology (Hall-array Ic mapping + delamination screening)","old06+new06+blind (records: new06 FINAL/DEEP/D01.md; old06 40_DEEP_DIVES/DD_P3R2_D_02.md; A30 ranks BLIND 5 / OLD 1 / NEW 1)","direct leverage (demonstrated Hall readout-chain + harsh-environment packaging; the calibration credential itself is proposed-only per B10)","adjacent leverage (executing the scanner would exercise WP-C-class traceable calibration and multi-channel readout with industrial data; it does not advance the stellarator/hybrid thesis)","The product's core sensor is a Hall array reading tape remanent field at 77 K non-contact (verified merchant incumbent class: TapeStar; S-B20-01); the PhD demonstrably owns Hall readout-chain design (C03/C13) and in-vessel Hall packaging (C01/C46); the product's decisive risk — transport-calibrated Ic within 5% with a defensible uncertainty budget — is exactly the proposed WP-C traceable-calibration methodology (C06) whose niche B15 shows is under-published (EV35/G3/M3) with a transferable method template (EV01/P0008). Reverse: the venture's calibration campaigns and datasets feed Element-1 skills and possible instrument papers; the tape-QC data is not fusion-diagnostics data.","C01;C03;C06;C13;C46;EV01;EV11;EV13;EV35;P0008;S-B20-01;S-B20-02","C04 ~109x bench anomaly closure gates C06/WP-C (the calibration-credential leg); 77 K LN2 cryostat practice; array instrumentation and lock-in thermography are NOT in B10's demonstrated skill ledger","2027 decisive $120k experiment falls inside remaining PhD years; 2030 launch is post-PhD; REBCO volume-ramp market timing is corpus-dated (refresh-sensitive)","Time competition with the P1/SENSL revision critical path; Stanford OTL pre-disclosure gate (C33/C34) if instrument concepts overlap PhD IP; publication risk low","medium-high","If the C04 anomaly traces to a design-level readout error that resists closure, the demonstrated-readout-competence mechanism downgrades; if blind Ic correlation cannot reach 5% across producer architectures (the venture's own kill rule) the venture dies regardless of alignment","Carry to B25/B30/B40 as the primary alignment candidate; restate founder fit honestly (array instrumentation and thermography are not demonstrated PhD skills — corrects new06 D01 §14 overstatement); sequence WP-C so the traceability credential is demonstrated before 2030"
P3R2-C-01,"800-VDC rack power-path protection: solid-state breaker + precharge/inrush + insulation monitoring + hot-swap sequencing (consolidates P3R2-E-01 per A30 SEM-01)","old06+new06+blind-via-SEM-01 (records: new06 FINAL/DEEP/D02.md read this run incl. §14; old06 pool record P3R2_E_jptwkr_side.md E-01 entry; A30 ranks BLIND 1 via E-01 / OLD 5 / NEW 2)","speculative transfer (no demonstrated PhD asset maps onto the SiC breaker/certification core; slivers only: current/leakage telemetry under switching EMI and arc-signature detection statistics)","speculative transfer (no return channel to the thesis; nothing in an 800VDC protection shelf supplies C04/C45/P1 unblockers)","The venture's core is microsecond SiC fault interruption, energy absorption, arc discrimination, and IEC 62477-1 certification — power-electronics and safety-certification engineering that B15 adjudicates as a distinct specialization from Hall-sensor metrology (EV30/EV31); B10's demonstrated ledger contains no power-conversion or protection hardware (C03/C13 are small-signal instrumentation). Surviving slivers: the shelf's condition-monitoring telemetry (leakage trend, precharge drift) and series-arc discrimination are weak-signal-detection-under-EMI problems (EV27/P0050 class; estimator methodology C23/C31 proposed-only, pre-redteam C40) — non-core per the venture's own record. This is the corpus's top consensus idea (BLIND 1 / NEW 2 / OLD 5 per SEM-01), which demonstrates that cross-run consensus strength and PhD alignment are independent axes.","C03;C13;C23;C31;C40;EV27;EV30;EV31;P0050","None PhD-side; venture gates are certification path and NVIDIA/OCP spec absorption (its own key_kill)","800VDC generation ships 2027 per NVIDIA platform docs (corpus-dated); certification campaign 2027-2029 collides with remaining PhD years","High scope drift (power electronics + certification are fully off-thesis); no idea-specific publication conflict","medium-high (that the transfer is weak)","A paid design-in that specifically prices the telemetry/condition-monitoring layer (the EV27-class sliver) rather than the breaker would upgrade the sliver to adjacent leverage","Treat as PhD-independent; corrects new06 D02 §14, which calls 'instrumentation and power-electronics engineering' the 'founder's core stack' — B10's demonstrated ledger contains no power-electronics engineering"
P3R2-C-05,"Standards-grade thermal emulation and conformance metrology for liquid cooling (programmable TTVs, rack load emulators, traceable calorimetry, round-robin protocol)","new06+blind (record: new06 FINAL/DEEP/D03.md read this run; OLD P4 G7 kill at 67.4; A30 DIS-C05 verified the revival predicate on opened primaries; A30 ranks BLIND 2 / OLD killed / NEW 3)","adjacent leverage (proposed WP-C-class GUM/traceable-uncertainty methodology maps onto the venture's core differentiator — method authority with published uncertainty budgets; demonstrated bench DAQ/readout maps onto non-core instrumentation)","speculative transfer (metrology-practice exercise and possible measurement-methods publications; zero return to the magnetics thesis)","The venture's moat is method authority: traceable calorimetry closing energy balances 'to reference-grade uncertainty' plus round-robin statistics with published uncertainty budgets — structurally the same GUM/Monte-Carlo traceable-budget discipline the PhD proposes in WP-C (C06, proposed, gated by C04) and that B15 shows is the scarce skill in the corpus (EV01's single traceable-budget exemplar; EV35/G3). The measurement domain differs completely (thermal/fluid kW-class vs magnetic mT-T): calorimetry, two-phase fluids, and multi-kW heat handling are nowhere in B10's ledger, so the transfer is methodology, not domain. Deschutes-ecosystem market facts verified current by A30 on opened primaries (A30:C05-DIS-01/02); the OCP conformance-vacuum negative claim remains discovery-level (A30 unresolved issue).","C03;C04;C06;C13;C40;EV01;EV35;A30:C05-DIS-01;A30:C05-DIS-02","Opt2 Element-1 execution (WP-C) is what converts the methodology claim from proposed to demonstrated; without it the forward direction degrades to speculative; venture-side gate is the round-robin variance experiment","Eight-vendor Deschutes ecosystem live as of 2025-2026 (A30-verified); bench/protocol window 2027-2029 collides with PhD mid-years","Scope drift high (thermal metrology is off-thesis); publication risk low — metrology methods are publishable","medium","If the venture's actual differentiator proves to be thermal/fluids domain engineering (TTV die design, two-phase handling) rather than uncertainty-budget authority, forward downgrades to speculative; a lab-to-lab round-robin variance too large to discriminate products kills the method-authority premise","Carry as a metrology-methodology-cluster candidate; correct new06 D03's 'controls-and-DAQ problem squarely in the founder's stack' — bench DAQ is demonstrated (C03/C13) but multi-kW calorimetric/thermal metrology is not in B10's ledger"
P3R2-D-10,"Coherent-beam-combining phase-control engine for directed-energy and ultrafast lasers","split-decision (records: new06 FINAL/DEEP/D04.md; old06 P4 G7 kill at 73.4 quoted in A30; A30 ranks BLIND 14 / OLD killed / NEW 4; A30 DIS-D10 verified on opened primaries)","negative interference (no concrete mechanism in this direction; remaining PhD years sit exactly across the verified 2026-2028 design-in window — opportunity cost dominant)","negative interference (prime-facing directed-energy work runs under controlled-technical-data/classification regimes that structurally conflict with the PhD's open-publication gates; zero research value to the thesis)","No concrete mechanism exists in either direction: lambda/30 electro-optic phase locking, SPGD control loops, and modulator front-ends share no hardware, method, dataset, calibration asset, or buyer with Hall-sensor metrology; the 'control/estimation' similarity is thematic and is rejected as causation. A30-verified opened primaries show JLWS awards executed 2026-07-09 with awardee nLIGHT holding coherent beam combining as proprietary vertically-integrated technology and Navy JBCS awards from Q4-2026 — the decision window collides with, rather than benefits from, PhD completion. Reverse: controlled/classified work conflicts with G5 (accepted paper needed; C49 records zero) and the OTL disclosure gate (C33/C34). B15's four streams contain no photonic phase-control coverage — disclosed as corpus distance, not as evidence about the field.","C33;C34;C49;A30:D10-DIS-01;A30:D10-DIS-02;A30:D10-DIS-03","None — PhD-independent in both directions (itself the diagnostic signature of adverse alignment)","2026-2028 decision concentration (A30-verified); demos targeted 2028; overlaps the entire remaining PhD horizon","Classification/controlled technical data vs open publication; total scope divergence; new06 D04's founder-fit assertion ('the founder's home ground') is not supported by B10's demonstrated ledger","high","A JBCS subsystem carve-out permitting open unclassified merchant participation PLUS a demonstrated PhD-derived electro-optic control asset would falsify ADVERSE; neither exists in any record read","Treat as PhD-independent; do not co-plan with the PhD; pursuing it seriously implies pausing or leaving the PhD, and B40 should score it on that basis"
P3R2-E-14,"Multi-terminal DC fault-discrimination protection relay + vendor-neutral HIL qualification platform ('SEL of DC grids')","old06+new06+blind (record: new06 FINAL/DEEP/D05.md read this run; A30 ranks BLIND 7 / OLD 7 / NEW 5)","speculative transfer (no demonstrated PhD asset maps onto traveling-wave/wavelet grid protection, real-time digital simulation, or utility qualification; the detection-statistics affinity is methodological and unplanned)","speculative transfer (no return channel; HVDC developers supply nothing the thesis needs)","The venture's core is sub-millisecond fault discrimination in multi-terminal HVDC (traveling-wave/wavelet firmware, HIL benchmark authority, lender-grade acceptance) — grid-protection engineering at kV/kA scale with no shared instrument, dataset, calibration asset, or buyer with Hall metrology; B15's loose-analogy adjudication for power-systems engineering applies (EV30/EV31). The one honest affinity — deterministic detection statistics under noise — is the same estimator-methodology class as proposed Opt2 Elements 2/3 (C23/C31, pre-redteam C40), thematic until someone schedules work; DC current sensing in stations (EV28 class) is a non-core sliver. US HVDC developer capital facts are corpus-dated (not re-verified this run).","C23;C31;C40;EV28;EV30;EV31","None PhD-side; venture gate is US multi-terminal DC actually being built (its own key_kill: point-to-point through 2034)","Qualification phase 2027-2029; relay 2030+; corpus-dated project schedule (GBX/Southern Spirit) refresh-sensitive","High scope drift; no idea-specific publication conflict","medium-high (that the transfer is weak)","A funded HIL-qualification engagement that specifically buys calibrated measurement-uncertainty work (rather than protection-algorithm engineering) would create a thin adjacent link","Treat as PhD-independent within the alignment portfolio; the 'neutral qualification authority' business theme recurs across C-05/G-03/C-22 but theme is not mechanism"
P3R2-A-14,"300C-class mixed-signal instrumentation electronics platform (SiC/SOI) for superhot geothermal/downhole/turbine","old06+new06+blind (records: new06 FINAL/DEEP/D06.md; old06 40_DEEP_DIVES/DD_P3R2_A_14.md read this run — closes the pilot's disclosed gap; A30 ranks BLIND 6 / OLD 9 / NEW 6)","adjacent leverage (harsh-environment instrumentation credibility and drift discipline transfer; the differentiating 300C qualification capability is not PhD-evidenced)","speculative transfer (a 300C qualification lab could incidentally close the 15-year-stale AlGaN/GaN high-temperature Hall data gap — thin and unplanned)","Shared mechanism is instrumentation front-end design plus temperature-drift management: the PhD demonstrates in-vessel sensor packaging (LCC, wedge bonds, 150C vacuum bake — C46/C01) and bench readout design (C03/C13), and B15 shows temperature drift is the recognized central engineering axis (EV13). But the product's gate is 300C continuous SiC/SOI IC + packaging qualification — a distinct discipline (both deep dives make packaging the gating asset; old06 DD: 'packaging is the gating technical asset', first hire a packaging engineer), and a demonstrated 150C bake is not a 300C/1000h qualification. Materials-vocabulary overlap is not a mechanism (EV31). Reverse: EV13/P0017 note insufficient published AlGaN/GaN high-T data (2011-stale) — the startup's ovens/qualification rigs could characterize the PhD die as a side effect, but nothing plans this.","C01;C03;C13;C46;EV13;EV31;P0017","No PhD-side gate; the transfer claim rests on packaging/qualification skills the PhD evidences only at 150C-bake level (demonstrated once); CISSOID last-time-buy supply gap is corpus-dated","Buyers' superhot projects target 2030 operation; qualification campaigns 2027-2029 (corpus-dated, refresh-sensitive)","Scope drift high; capital-heavy first experiment ($850k per new06) misfits PhD-parallel work","medium","A concrete joint campaign qualifying both the platform packaging AND AlGaN/GaN Hall high-T drift would upgrade toward strong; if the venture's value proves to be pure IC-design + packaging IP, downgrade to weak","Carry with the loose-analogy caveat explicit; do not present GaN materials familiarity as a moat (EV31); the old06 deep dive read this run confirms rather than changes the pilot classification"
P3R2-D-01,"Merchant quench-detection-and-protection subsystem for REBCO/HTS magnets (fiber-optic + RF + voltage fusion, energy extraction)","old06+new06+blind (records: new06 FINAL/DEEP/D07.md; old06 40_DEEP_DIVES/DD_P3R2_D_01.md; A30 ranks BLIND 3 / OLD 3 / NEW 7)","adjacent leverage (weak-signal-under-EMI measurement discipline and proposed estimator-fusion/honesty methodology; the venture's core modalities are not PhD-evidenced)","speculative transfer (driven-quench campaigns could supply collaborators and a live application for FT-02-class estimator work; no current PhD experiment needs HTS magnets)","The venture's value is false-trigger statistics for fused fiber/RF/voltage detection under EMI — structurally the same weak-signal-under-EMI problem class B15 documents for quench detection (<=9 mV signatures, >100 mV residual EMI: EV06/EV23/P0033/P0038) and the same fusion-estimator methodology class as the PhD's proposed Element 2/3 (C08/C10/C23/C31; cross-domain convergence EV34). But no Hall channel appears in the product, no Hall-based HTS-monitoring method exists in the corpus (EV26/M7 — open and untested), and B10 C27 vetoes the persistent-mode static-field lane; the fiber/RF/dump-electronics core is outside PhD evidence. Merchant magnet-owner buyer class verified current (S-B20-02).","C03;C08;C10;C23;C27;C31;EV06;EV23;EV25;EV26;EV34;P0033;P0038;P0046;S-B20-02","Modality gap (fiber/RF, not Hall); Opt2 estimator claims are folder-08 pre-redteam (C40); the venture's own record says demand is ecosystem-level pending a 2028 co-test","2027 university-lab campaign; 2030 launch; SPARC results 2026-2027 drive the schedule (corpus-dated)","Scope drift high (fiber optics and dump power electronics are off-thesis); publication risk low; moderate time competition","medium","A bench demonstration that a Hall channel adds value in transient/charging HTS monitoring (closing B15 gap M7/EV26) would upgrade to strong; NI-winding dominance at pilot scale shrinks both the venture and the alignment","Carry as secondary candidate; the honest bridge is estimator-honesty methodology (BT-1/FT-02 class) applied to quench false-trigger qualification — not Hall hardware"
P3R2-A-10,"Vendor-neutral ion-energy-distribution metrology + tailored-waveform bias control retrofit for plasma etch","old06+new06+blind (record: new06 FINAL/DEEP/D08.md read this run incl. §14; A30 ranks BLIND 9 / OLD 19 / NEW 8)","adjacent leverage (demonstrated in-plasma/in-vacuum sensor packaging and EMI-robust weak-signal readout map onto the core production-hardened sensing layer; the closed-loop control engine and plasma-process domain depth are not PhD-evidenced)","speculative transfer (plasma-diagnostics practice, possible off-thesis instrument publications, plasma-tool collaborator base; nothing feeds C04/C45/P1)","Genuine mechanism, not theme: the venture's phase-one hard problem is a sensor that survives inside an operating plasma device while extracting eV-class energy resolution through RF interference — the PhD demonstrably packaged and deployed a semiconductor sensor at a stellarator plasma edge (LCC, encapsulation, grounded graphite shield against glow-discharge cleaning — C46/C01) and demonstrably built EMI-disciplined weak-signal readout (C03/C13). That is the same survivability-plus-signal-integrity discipline class, applied to a charged-particle (RFEA) rather than magnetic sensor. The merchant metrology incumbent is measurement-only with no closed-loop product (Impedans Semion, verified live this run: S-B20-03) — supporting the venture's stated gap. Honest limits: RFEA physics, sheath/IEDF process knowledge, and deterministic closed-loop control are NOT in B10's demonstrated ledger (control/estimation is proposed C23/C31, pre-redteam C40); new06 D08 §14's claim that 'system identification and deterministic closed-loop control are the founder's core' overstates B10 and is corrected here.","C01;C03;C13;C23;C31;C40;C46;S-B20-03","No PhD-side gate; venture gates are chamber access and the Entity-List-repaired CN structure (corpus-recorded Dec-2024 rule); the closed-loop premise is unproven anywhere per its own record","CHIPS-funded fab ramp 2026-2030 (corpus-dated); testbed campaigns 2027-2028 collide with PhD mid-years","Scope drift high (plasma-processing physics is off-thesis, though nearer than power electronics); publication risk low; fab-data NDAs could constrain publications at the margin","medium","If production-chamber RFEA hardening proves to be mainly process-chemistry materials engineering (not packaging/EMI discipline), forward downgrades to speculative; a generator vendor shipping good-enough integrated IEDF inference kills the venture independent of alignment","Carry as the strongest non-pilot addition to the significant-coupling set; the mechanism is packaging/readout discipline — not magnetics — and should be stated that way in B40"
P3R2-C-13,"Precision GaN pump-driver and laser-power modules (merchant nanosecond-class programmable current drive)","old06+new06+blind (records: old06 40_DEEP_DIVES/DD_P3R2_C_13.md; new06 SELECTION.json rank-9 entry — not deep-dived by new06; A30 ranks BLIND 24 / OLD 10 / NEW 9)","speculative transfer (the GaN overlap is vocabulary not mechanism; one narrow adjacent sliver in calibrated current-sense/telemetry)","speculative transfer (marginal bench-methods feedback at best; opportunity cost dominates the reverse direction)","The PhD uses AlGaN/GaN as a Hall-sensing 2DEG; the product uses GaN HEMTs as power switches — different device physics, design disciplines, and failure modes; B15 adjudicates power-device engineering as loose analogy (EV31) and shows topology/control differentiates converter work while measurement is supporting infrastructure (EV30). The only concrete shared mechanism is calibrated current sensing and diode-health telemetry under switching EMI (the EV27/P0050 problem class) — a sliver of the module — and the venture's own record says the unproven core is the OEM merchant socket, not metrology. No causal claim is made from the shared GaN label.","C03;EV27;EV30;EV31;P0050","The venture's own $72k make-vs-buy socket gate is unpassed; no PhD-side dependency","Paid evaluations 2028; design-in 2028-2029 — collides with PhD mid-years","Defense-adjacent export-control/compliance burden; scope drift; no idea-specific publication-risk mechanism identified","medium-high (that the transfer is weak)","A paid OEM evaluation that specifically prices the calibrated-telemetry layer (rather than edge speed or BOM cost) would upgrade the sliver to adjacent leverage","Deprioritize on alignment grounds; if pursued, the telemetry/qualification-data layer is the only PhD-adjacent lane"
P3R2-F-01,"Solid-state microsecond impedance-matching engines (switched SiC/PIN capacitor arrays) for pulsed/tailored-waveform RF plasma tools","old06+new06+blind (records: old06 40_DEEP_DIVES/DD_P3R2_F_01.md read this run; new06 SELECTION.json rank-10 entry; A30 ranks BLIND 20 / OLD 4 / NEW 10)","speculative transfer (RF power switching, Smith-chart coverage, and arc-safe transitions are power-electronics engineering outside all PhD evidence; the calibrated-RF-sensing state estimator is a non-core sliver)","speculative transfer (no return channel; RF-metrology bench habits at best)","The venture's differentiator is switch-stack design, safe transition sequencing, insertion-loss/Q engineering, and OEM co-qualification — EV30's boundary case exactly (topology/control differentiates; measurement is supporting infrastructure), plus EV31's loose-analogy adjudication for the device layer. The one real sliver: the controller 'estimates the present load from calibrated RF measurements' — calibrated directional-power sensing under RF EMI is measurement work the PhD's bench discipline (C03) is adjacent to, but it is a supporting subsystem, not the socket. Same-lane buyer overlap with A-10 (etch tool/generator vendors) is business adjacency, not PhD mechanism.","C03;EV30;EV31;EV27","No PhD-side dependency; venture gate is a generator/tool-vendor paid evaluation by end-2029 (its own kill rule)","Design-in window 2028-2029 (corpus-dated); collides with PhD mid-years","Scope drift high; CN leg carries export-compliance restructuring per new06 (corpus-recorded)","medium-high (that the transfer is weak)","An OEM evaluation pricing the calibrated sensing/state-estimation layer as the differentiator would upgrade the sliver to adjacent leverage","Treat as PhD-independent; no founder-fit claim appears in the old06 deep dive to correct"
