ref,part,role,verdict,alternative,reason_short,failure_mode
U1,ADG1209YRUZ,bias-steering 4:1 diff mux,KEEP,,"Qinj 0.4 pC typ is the FOM here; Ron 120 ohm irrelevant in series with 100 uA current source; 30 mA abs-max = 300x headroom; VINH 2.0 V ok with 3.3 V Pico","High-Qinj mux would demodulate phase-step glitches into a residual offset floor, defeating spinning"
U2,ADG1209YRUZ,sense-steering 4:1 diff mux,KEEP,,"120 ohm Ron into 1.5 Gohm in-amp input = 1e-7 gain error; Ron noise already inside the 0.9 kohm source figure; 0.4 pC glitch settles in ~90 ns << 12.5 us half-phase; leakage <=0.1 nA","Glitch/leakage unbalances bridge; residual offset after demod"
U3,ADG5236BRUZ,bias-polarity chopper,KEEP,,"Trench-isolated latch-up-immune 5000-series; in floating current loop so Ron 160 ohm drops out; 19 mA continuous rating = 190x headroom; Qinj -0.6 pC","Latch-up during a coil/plasma transient dumps a rail into the bias loop -> in-vessel die overcurrent"
U4,AD8429ARZ,"in-amp G=100.3",KEEP,"(AD8421 evaluated and rejected)","Total RTI noise 3.9 nV/rtHz vs 4.8 for AD8421 at 0.9 kohm source with 2x2.2k returns; in-noise crossover ~3 kohm diff, 3x above this plate; Vos/1/f spun away so A grade suffices; BW 1.2 MHz at G=100 >> 20 kHz","AD8421 swap would raise noise floor ~24% -> ~1.5x longer averaging per point"
U5,RS6-2415D,"+/-15 V isolated DC/DC from 24 V",KEEP,,"Spurs in 100s of kHz are >=15x above the ~1-2 kHz demod band and asynchronous to the 40 kHz spin -> lock-in rejects; 18-36 V input covers 24 V; ~8 mA load of 200 mA; per-board isolation suits 3x floating channels; fsw/ripple UNVERIFIED (datasheet text-locked)","Spur harmonic drifting onto a spin harmonic intermodulates into demod band -> false B ripple (rev-B pi-filter is the insurance)"
R1,60.4 ohm 0603,RG gain set (G=1+6k/RG=100.3),KEEP,,"Correct gain for ~6 mV/T input scale; RG thermal 0.99 nV/rtHz = 3% of total; buy 0.1%/25 ppm for channel matching","RG tolerance/drift is a direct multiplicative field error"
"R2,R3",2.2 kohm 0805,in-amp bias returns to GND1,KEEP,"(10 kohm optional rev-B, +7% SNR)","Loading 0.830; SNR merit within 0.6-0.8 dB of optimum; low value minimizes CM imbalance and EMI pickup; IB*R offsets spun away","No return path -> inputs drift to rail; oversized -> CM/EMI sensitivity"
R4,10 kohm 0805,output load at J4,KEEP,,"AD8429 specified into 2 kohm; 10k||1M scope trivial at <=20 kHz; defines output when unplugged","Floating SMA output when scope disconnected"
R5-R8,0805 pulldowns,logic defaults a0/a1/a2/EN,KEEP,,"Board disabled until EN >= VINH 2.0 V; 3.3 V Pico leaves 1.3 V margin; exact values not in HARDWARE_DATA (10-100k assumed, all fine)","Floating EN/address at power-up drives wrong plates"
"R9,R10",100 ohm 0805,bias-current sense,KEEP,"(1 kohm optional rev-B for 100 mV readability)","10 mV monitor drop at 100 uA; negligible burden on floating source; outside sense path so zero noise impact","Oversized sense R eats source compliance; none -> bias unverifiable"
LIB,ADA4898-2YRDZ,unplaced dual op-amp in library,LEAVE UNPLACED,,"No surviving role at <=20 kHz: SNR fixed at in-amp input; AD8429 drives J4 directly; would cost 16 mA on +/-15 V (0.48 W) + BOM $ for zero SNR gain; even rev-B ADC-driver role better served by a slow precision dual","Placing it adds heat/cost and an error-only stage"
