feature_id,manuscript_location,feature,disclosure_level,implemented,validated,authors_claim_novel,known_group_work,missing_enablement,commercial_use,notes
F01,"regular_lsens.tex L457 (§II-A Fabrication)",AlGaN/GaN heterostructure wafer stack (3.7 µm buffer; 300 nm GaN; 1 nm AlN spacer; 22 nm Al0.28Ga0.72N barrier) purchased from NTT Advanced Technology Corporation,explicit,yes,partial,no,no,"Wafer is a purchased commercial item; no epitaxial growth recipe, sheet resistance, or mobility/carrier-density data for this specific wafer lot is reported.",yes,"Device functioned across 68 shots (Fig.4/5), indirectly validating the material stack; wafer itself not separately characterized in this paper."
F02,"regular_lsens.tex L457, L461-462 (§II-A; Fig.1(b) caption)","Regular octagonal Hall plate geometry, 200 µm inscribed diameter",explicit,yes,yes,no,yes,"Geometry choice is cited to ref10, not re-derived here; no new geometry variant tested.",yes,"Cited: ""~\cite{ref10}"" = H. S. Alpert et al., IEEE Sensors J. 2019, ""Effect of geometry on sensitivity and offset of AlGaN/GaN...Hall-effect sensors."""
F03,"regular_lsens.tex L457 (§II-A)",Mesa etch of the III-nitride layer to define active device regions,explicit,yes,yes,no,no,"No etch chemistry, depth, or process-window detail given.",unclear,"Standard III-nitride device isolation step; part of the fabrication sequence, no citation attached."
F04,"regular_lsens.tex L457 (§II-A)","Ti(25 nm)/Al(200 nm)/Mo(40 nm)/Au(80 nm) Ohmic-contact metallization stack, rapid thermal anneal 850°C/35 s",explicit,yes,yes,no,yes,"Recipe stated with layer thicknesses/temperature/time; contact resistance/linearity data not reported in this paper.",yes,"Cited: ""~\cite{ref11}"" = H. S. Alpert et al., Rev. Sci. Instrum. 2020, ""Sensitivity of 2DEG-based Hall-effect sensors at high temperatures."""
F05,"regular_lsens.tex L457 (§II-A)",7 nm Al2O3 passivation layer,explicit,yes,yes,no,no,"Deposition method (e.g., ALD) and process parameters not specified.",unclear,"No citation; described only by thickness and material."
F06,"regular_lsens.tex L457 (§II-A)",Vias etched to expose Ohmic contacts through passivation,explicit,yes,yes,no,no,"No via dimension or etch process detail given.",no,"Routine step between passivation and bond-metal deposition."
F07,"regular_lsens.tex L457 (§II-A)",Ti/Au bond-metal layer deposited for wire bonding,explicit,yes,yes,no,no,"No thickness or deposition method given.",no,"Enables the wire-bond step described in §II-B (F10)."
F08,"regular_lsens.tex L457 (§II-A)","Wafer singulated into 5 mm x 5 mm dies",explicit,yes,yes,no,no,"None identified; dimension is fully stated.",unclear,"Die size shown to scale in Fig.1(b)/graphical abstract (submission.pdf p.8)."
F09,"regular_lsens.tex L457 (§II-A); L514 (Acknowledgment)","Fabrication performed at the Stanford Nanofabrication Facility (NNCI, NSF Award ECCS-2026822)",explicit,yes,yes,no,no,"Facility identified; internal process traveler/run sheet not part of the disclosure.",no,"Sponsorship/facility fact, relevant to Stage 50 sponsor questions."
F10,"regular_lsens.tex L465 (§II-B Packaging)","Al wire bonds from die to a ceramic leadless chip carrier (LCC; Spectrum Semiconductor Materials)",explicit,yes,yes,no,no,"Wire diameter, bond-force/loop parameters, and pull-test data not reported.",yes,"LCC vendor named; wire bonds visible in Fig.2/graphical abstract die photo (submission.pdf p.8)."
F11,"regular_lsens.tex L465 (§II-B)","Epoxy encapsulation of die and wire bonds using EPO-TEK 353ND",explicit,yes,partial,no,no,"Cure schedule prior to the stated bake, application method, and thickness/coverage are not given.",yes,"Product named; functions as the UHV-compatible encapsulant referenced in the cover letter (submission.pdf p.9)."
F12,"regular_lsens.tex L465 (§II-B)","Vacuum bake at 150°C for 1 hour, stated purpose: to meet HSX facility UHV requirements",explicit,yes,partial,no,no,"No pressure, outgassing-rate, RGA, or leak-test acceptance criterion is stated; ""meet the UHV requirements"" is not quantified anywhere in the three artifacts.",yes,"Validated only indirectly by the fact the device survived in-vessel operation (F26); see absent item F43."
F13,"regular_lsens.tex L465 (§II-B)","Custom zirconia ceramic holder for the packaged sensor",explicit,yes,partial,no,no,"No holder dimensions, drawing, or attachment-method detail beyond ""custom.""",no,"Visible in Fig.2/graphical abstract in-vessel photo (submission.pdf p.8) but not separately dimensioned in text."
F14,"regular_lsens.tex L465 (§II-B)","Stainless-steel standoff attaching the holder for insertion into the HSX vessel",explicit,yes,partial,no,no,"No standoff dimensions or drawing given.",no,"Visible in the same in-vessel photo; text description limited to material and function."
F15,"regular_lsens.tex L469 (Fig.2 caption, §II-B)","Custom flange for insertion into the HSX vessel near the plasma edge",explicit,yes,yes,no,no,"No flange type (e.g., CF/KF size), bolt pattern, or seal detail specified.",no,"Word ""flange"" appears only in the Fig.2 caption, not the body paragraph at L465; flange visible in graphical abstract (submission.pdf p.8)."
F16,"regular_lsens.tex L465 (§II-B)","Grounded graphite shield installed over the packaged sensor module; stated purpose: reduce risk of arcing and epoxy degradation during glow discharge cleaning (GDC) and plasma operations",explicit,yes,partial,no,no,"No shield drawing, dimensions, aperture layout, clearance, current path, or grounding-route detail; no controlled with/without-shield comparison or arcing/epoxy-degradation measurement is reported. See absent items F40-F42.",yes,"Single most enablement-thin element of the UHV/GDC module per IP_SCOPE.md's open OTL questions; validated only indirectly by 68-shot device survival."
F17,"regular_lsens.tex L465 (§II-B, inferred from stated shield purpose)","Sensor module's exposure to glow discharge cleaning (GDC) and plasma operations",implicit,yes,partial,no,no,"No GDC cycle count, exposure duration, or before/after inspection data; inferred from the shield's stated protective purpose plus the fact the module was deployed in-vessel through 68 shots, not from a direct statement that GDC was performed on this specific module with recorded results.",yes,"Inference chain: L465 states the shield exists to protect against GDC/plasma effects, and L496 confirms in-vessel operation across 68 shots; the text never directly narrates a GDC event on this module."
