source_id,kind,title,authority,year,priority_date,publication_date,identifier,url,accessed_date,coverage_area,claim_supported,verification_status,quality_tier,closest_feature,delta,notes
S001,official_guidance,"Submit an Invention to OTL",Stanford OTL,2026,not_applicable,not_exposed,OTL-submit,https://otl.stanford.edu/researchers/submit-invention-otl,2026-08-05,disclosure,F49;F50;stage50_timeline,verified_abstract,A,"Manuscript's cover-letter novelty claims (F49/F50) and planned arXiv posting","N/A - policy source, not a technical reference","Direct WebFetch of the page returned HTTP 403 (bot-blocked); content verified instead via search-engine cached quotation of the operative sentences, which matches the seed's why_seeded description. Quoted text: preprints, posters, theses, and abstract publications are all listed as forms of 'public disclosure'; Stanford 'strongly encourages inventors to confidentially disclose ... before a public disclosure'; OTL states it 'will not file patent applications if the invention has been publicly disclosed prior to filing,' treating the U.S. as effectively first-to-file despite the AIA's 1-year grace period. Directly material to Stage 50's arXiv-timing question."
S002,official_guidance,"Patent",Stanford OTL,2026,not_applicable,not_exposed,OTL-patent,https://otl.stanford.edu/patent,2026-08-05,patentability,general_doctrine,verified_abstract,A,"General patentability screen for all three candidate concepts","N/A - policy source","Direct fetch 403; verified via search-cached quotes. Quoted: foreign 'strict novelty' jurisdictions bar patenting if the invention was 'known publicly or disclosed in a publication even one day before' filing, and 'publication' is interpreted 'much more broadly than in the typical research community'; non-obviousness is judged against a hypothetical person of 'ordinary skill in the art'; inventorship is defined by 'who conceives of an original and non-obvious idea' as reflected in the eventual claims, not by authorship or institutional role; utility requires 'demonstrable utility.' Directly supports Stage 50's foreign-disclosure and inventorship questions."
S003,official_guidance,"OTL's Process",Stanford OTL,2026,not_applicable,not_exposed,OTL-process,https://otl.stanford.edu/researchers/otls-process,2026-08-05,sponsorship,stage50_sponsor_questions,verified_abstract,A,"Acknowledgment section funding (DOE DE-AC02-76SF00515, SLAC FWP 101264, TomKat Center, NSF ECCS-2026822) and multi-institution authorship (Stanford + UW-Madison)","N/A - policy source","Direct fetch 403; verified via search-cached quotes. Quoted: disclosure requires a 'confidential Invention and Technology Disclosure Form'; 'the PI's authorization is required even if the PI is not an inventor'; Stanford must report inventions to federal sponsors under Bayh-Dole 'whether or not those inventions are considered patentable,' and non-government sponsors 'may also have intellectual property clauses.' Directly material to the open question of UW-Madison co-author (Goodman/Gallenberger/Geiger) contribution and multi-sponsor compliance."
S004,official_guidance,"MPEP 2112 / 2112.02: Inherency and new uses",USPTO,2026,not_applicable,not_exposed,MPEP-2112,https://www.uspto.gov/web/offices/pac/mpep/s2112.html,2026-08-05,new_use,concept2_new_use_of_known_device,verified_full,A,"Candidate concept 2: using a known/purchased AlGaN/GaN Hall device as a new in-vessel fusion-diagnostic application","N/A - doctrinal source","Directly fetched and read. Quotes the controlling test: 'The discovery of a new use for an old structure based on unknown properties of the structure might be patentable ... as a process of using' (In re Hack), but 'When the claim recites using an old composition or structure and the use is directed to a result or property of that composition or structure, then the claim is anticipated' (In re May). This is the doctrinal fork Stage 30 must apply to the 'first GaN sensor deployed in a stellarator' claim: is in-vessel fusion deployment a genuinely new functional use, or just observing an already-known property (GaN Hall sensitivity/thermal tolerance, per ref10/ref11) in a new location."
S005,official_guidance,"MPEP 2104: Requirements of 35 U.S.C. 101",USPTO,2026,not_applicable,not_exposed,MPEP-2104,https://www.uspto.gov/web/offices/pac/mpep/s2104.html,2026-08-05,eligibility,general_doctrine,verified_abstract,A,"Threshold eligibility category question for any of the three candidate concepts (device / new-use process / packaging manufacture)","N/A - doctrinal source","Directly fetched; page content is thin and mostly points to MPEP 2106.03 for the detailed four-category discussion. Confirmed statutory quote: 'any new and useful process, machine, manufacture, or composition of matter, or any new and useful improvement thereof' (35 U.S.C. 101). Sufficient to confirm the four eligible categories exist and that eligibility is a separate, prior threshold to the novelty/obviousness analysis MPEP 2112/2141 perform; full sub-section 2106.03 text not independently pulled this session."
S006,official_guidance,"arXiv License Information",arXiv,2026,not_applicable,not_exposed,arXiv-license,https://info.arxiv.org/help/license/index.html,2026-08-05,arxiv,stage50_arxiv_gate,verified_full,A,"Any decision to post this manuscript to arXiv","N/A - policy source","Directly fetched. Quotes: arXiv 'keeps a permanent record of every article and version posted, ... viewed and downloaded freely by anyone'; 'The license chosen is irrevocable and cannot be changed.' Confirms an arXiv post is itself an irrevocable public disclosure event for OTL/foreign-novelty purposes (ties directly to S001's disclosure-timing warning)."
S007,official_guidance,"Submit TeX/LaTeX",arXiv,2026,not_applicable,not_exposed,arXiv-tex,https://info.arxiv.org/help/submit_tex.html,2026-08-05,source_hygiene,stage00_zip_hazard,verified_full,A,"The source_original.zip build artifacts flagged in Stage 00 (regular_lsens.log and regular_lsens.synctex.gz embedding the local path d:/timzhao/Downloads/regular_lsens/...)","N/A - policy source","Directly fetched. Quotes: 'do not include any associated auxiliary file or intermediate or resulting output file, e.g. ... foo.aux, foo.log, ... foo.dvi, foo.pdf'; 'do not include extraneous files ... leftover files, backup files, anything that does not belong to the paper.' This directly confirms Stage 00's finding that the .log/.aux/.synctex.gz/.pdf build byproducts inside source_original.zip are non-compliant with arXiv's own submission rules and should be stripped before any source upload - a source-hygiene action item for Stage 50, independent of any IP question."
N001,official_guidance,"MPEP 2141: Examination Guidelines for Determining Obviousness (KSR v. Teleflex combination-of-elements standard)",USPTO,2026,not_applicable,not_exposed,MPEP-2141,https://www.uspto.gov/web/offices/pac/mpep/s2141.html,2026-08-05,new_use,concept3_uhv_gdc_combination_claim,verified_abstract,B,"Candidate concept 3: the UHV/GDC module as a combination of individually common elements (ceramic LCC, EPO-TEK 353ND epoxy, vacuum bake, zirconia holder, stainless standoff, grounded graphite shield)","N/A - doctrinal source","Not fetched directly from uspto.gov this session (search only, corroborated against a BitLaw MPEP mirror and USPTO's own KSR examination-guidance page found in the same search); content is consistent with well-established public doctrine so treated as reliable, but flagged verified_abstract rather than verified_full because the primary uspto.gov page itself was not rendered. Confirms MPEP 2141 post-KSR guidance instructs examiners to use 'caution in granting a patent based on combinations of known elements' and lists rationales including 'combining prior art elements according to known methods to yield predictable results.' This is the controlling standard Stage 30/40 must apply to the UHV/GDC module: whether the specific combination (and especially the grounded graphite shield's role) yields a non-obvious, non-predictable result, or is a predictable assembly of known engineering choices."
S008,patent,"High temperature Hall sensor for magnetic position sensing",USPTO,2014,2013-03-15,2014-09-18,US20140266159A1,https://patents.google.com/patent/US20140266159A1,2026-08-05,gan_hall,concept1_hall_device,verified_full,A,"General group-III-nitride 2DEG Hall sensor concept (manuscript's Hall device is AlGaN/GaN, a group-III-nitride)","Assignee Ohio State Innovation Foundation, inventors Heremans/Myers/Gao/Yang. Independent claim 1 is broad: 'a position sensor comprising a magnet and a group III-nitride Hall effect sensor' arranged so movement of a monitored element changes the field at the sensor - a magnetic POSITION-sensing application claim, not a plasma/fusion in-vessel field-monitoring claim, and not limited to AlGaN/GaN specifically (spec favors AlN/GaN 2DEG). No octagonal-geometry or fusion-diagnostic limitation. Claim scope covers the underlying material/device category broadly but not the manuscript's specific application or geometry.","Read via Google Patents. Google Patents legal-status labels not treated as a legal opinion per SOURCE_POLICY. Relevant to Stage 30's 'existing AlGaN/GaN Hall element' screen as a broad genus-level reference on group-III-nitride Hall sensors predating the manuscript by over a decade."
S009,patent,"Micro-Hall effect devices for simultaneous current and temperature measurements for both high and low temperature environments",USPTO,2021,2017-10-16,2021-10-05,US11137310B2,https://patents.google.com/patent/US11137310B2/en,2026-08-05,gan_hall,concept1_hall_device,verified_full,A,"Manuscript's core fabricated element: an AlGaN/GaN Hall plate with a bias-terminal pair and a Hall-voltage-terminal pair, voltage-biased for a Hall-voltage readout (manuscript §II-A/§II-C, F01-F04, F18)","SINGLE CLOSEST DEVICE-LEVEL PATENT FOUND for the manuscript's basic AlGaN/GaN Hall-plate-plus-bias-terminals arrangement. Independent claim 1: 'A sensor comprising: AlGaN/GaN heterostructures fabricated into a single micro-Hall effect sensor including a set of bias terminals ... and a set of Hall voltage terminals ..., a bias applied across the set of bias terminals, a simultaneous Hall voltage measured across the set of Hall voltage terminals, AND a simultaneous temperature measured between the set of bias terminals and the set of Hall voltage terminals' (emphasis added). The claim's simultaneous-temperature-measurement limitation is NOT present in the manuscript - the manuscript's device is used only for magnetic-field-transient sensing, with no temperature-measurement function reported anywhere in the three controlling artifacts (cf. Stage 10 rows F39/F45, absent temperature data). This third claim element is the delta separating this claim from the manuscript's implemented device.","Assignee University of Arkansas at Little Rock (inventors White, Shetty, Ware, Mantooth, Salamo). NOTEWORTHY CONNECTION FOR STAGE 30/50: the manuscript's corresponding author D.G. Senesky co-authored a 2024 arXiv preprint (see N002) with three of this patent's named inventors (Shetty, Mantooth, Salamo), indicating an active research relationship between the manuscript's author group and this patent's assignee/inventor group at the time this manuscript was prepared. This is a fact worth flagging for inventorship/awareness-of-prior-art questions, not a legal conclusion."
