requirement_id,user_requirement,acceptance_test,planned_stage,planned_output,status,notes
R001,"Review at least 150 high-quality peer-reviewed papers spanning GaN/SiC/WBG device fields and fusion/plasma/stellarator/magnetic-diagnostic/instrumentation fields (MISSION.md item 1)","outputs/01_SOURCE_LEDGER.csv contains >=150 unique sources with peer_review_status exactly verified_peer_reviewed, per SOURCE_POLICY.md",10a_literature_gan;10b_literature_fusion;10c_literature_methods;10d_literature_merge,outputs/01_SOURCE_LEDGER.csv; outputs/01_SOURCE_COVERAGE.md,not_started,"Not yet run. Candidate seed of 122 references exists in ../04_Magnetic_Sensor_Review_Sensors2026/outputs/reference_registry.csv (C021 in 00_CLAIM_BASELINE.csv) but requires independent re-verification against SOURCE_POLICY.md's stricter classification before any entry counts toward the 150"
R002,"Decide whether the original GaN Hall-effect magnetic-diagnostics direction is publishable and strategically strong; if not, determine whether to adjust or change direction (MISSION.md item 2)","20_direction stage produces an explicit, evidence-cited go/adjust/change decision, not a hedge",20_direction,outputs from 20_direction stage (per prompts/20_direction.md),not_started,"Depends on R001 literature synthesis and the Stage 00 baseline (00_CLAIM_BASELINE.csv, 00_CONFLICT_LEDGER.md) as inputs"
R003,"Prefer paths that minimize new cleanroom work, reuse established device topologies, and place novelty in application/calibration/measurement architecture/simulation/data analysis/inverse methods/software (MISSION.md item 3)","Stage 20/40 recommendations explicitly assess cleanroom burden and identify a low-fabrication novelty locus",20_direction;40_experiment,outputs from 20_direction and 40_experiment stages,not_started,"Directly relevant prior-project evidence: project 02 (current-spinning readout) and project 03 (vector probe) both reuse an existing device topology and place novelty in readout architecture/calibration -- consistent with this preference, per 00_INPUT_INVENTORY.md Group E"
R004,"Review the submitted IEEE Sensors Letters manuscript, its source files, available HSX data, and the 23-Jul-2026 decision/reviewer comments (MISSION.md item 4)","Manuscript text, decision letter, and HSX raw-data structure are inventoried with section/figure map, reviewer/AE map, and data-sufficiency assessment",00_inventory,outputs/00_INPUT_INVENTORY.md (Groups B/C/D),complete,"Satisfied by this stage: full manuscript section/figure map (Group B), reviewer/AE map (Group C), HSX shot/script/data map (Group D) all completed in outputs/00_INPUT_INVENTORY.md"
R005,"Compare a revised Sensors Letters submission against the user's proposed arXiv preprint + substantially completed RSI study route using the next HSX campaign (MISSION.md item 5)","Stage 30 produces an explicit side-by-side comparison of both routes with a recommendation and stated tradeoffs",30_manuscript,outputs from 30_manuscript stage,not_started,"Baseline established this stage: project 03's RSI plan (Aug 2026 / Nov 2026 campaigns, ~Mar 2027 submission) is inventoried in 00_INPUT_INVENTORY.md Group E as the candidate RSI route; the revised-Sensors-Letters alternative has not yet been drafted in any prior project"
R006,"Specify the next experiment and analysis needed to close calibration, absolute-field, repeatability, uncertainty, bandwidth, conventional-probe-comparison, and novelty gaps (MISSION.md item 6)","Stage 40 output lists concrete experiments/analyses mapped 1:1 to each named gap, citing what data already exists vs. what is missing",40_experiment,outputs from 40_experiment stage,not_started,"Gap baseline established this stage: 00_INPUT_INVENTORY.md Group D concludes no independent field-reference or multi-device repeatability data exists in supplied files; 00_CONFLICT_LEDGER.md Conflict 3 flags the 1 MHz vs. 1-2 kHz bandwidth reconciliation as still open"
R007,"Screen only concepts already supported by the supplied work for potentially protectable subject matter before public disclosure, as a research screen not a legal opinion (MISSION.md item 7)","Stage 50 output is explicitly labeled a non-legal research screen, cites only concepts traceable to supplied evidence, and does not issue a patentability conclusion",50_patent,outputs from 50_patent stage,not_started,"No prior-project IP screen exists in any inspected folder; this is a new requirement first addressed at Stage 50"
R008,"Produce a realistic 24-month PhD plan aligned with graduating in about two years and preparing for a post-PhD startup (MISSION.md item 8)","Stage 60 timeline explicitly covers 24 months, references the ~2029/2030 startup goal, and is internally consistent with Stage 20/30/40/50 outputs",60_timeline,outputs from 60_timeline stage,not_started,"User's own stated startup timing ('startup around 2029/2030') is recorded in inputs/ORIGINAL_REQUEST.txt line 110/114 and must be carried into this stage's output"
R009,"Use the supplied files as ground truth; state conflicts explicitly rather than resolving by convenience (MISSION.md Fixed preferences)","Any material contradiction between supplied files is recorded with controlling evidence named, or explicitly marked unresolved",00_inventory,outputs/00_CONFLICT_LEDGER.md,complete,"Satisfied this stage: 4 conflicts logged (publication-status headline conflict, scope/shot numbering gap, bandwidth-figure reconciliation gap, and corroborating evidence from project 04) with controlling evidence stated for the resolved ones"
R010,"Do not fabricate, infer, or 'correct' measured values (MISSION.md Fixed preferences)","No stage output alters a supplied numeric value without flagging it as inference/proposal; unsupported values are marked NOT ESTABLISHED FROM SUPPLIED FILES",all stages,N/A (a standing constraint, not a deliverable),ongoing,"No measured value was altered in this stage; all measured values in 00_CLAIM_BASELINE.csv are sourced to a specific file/locator"
R011,"No new neutron or gamma radiation experiments are in scope (MISSION.md Fixed preferences; parent CLAUDE.md Scope rule)","No stage proposes a neutron/gamma experiment for Tim's own first-author work; radiation content is only cited/discussed as context from the co-authored TCAD paper",20_direction;40_experiment;50_patent,N/A (a standing constraint verified at each relevant stage),baseline_established,"Confirmed consistent this stage: parent CLAUDE.md Scope rule and the existence of a simulation-only in-preparation TCAD paper (../01_Publications/in_preparation/) both corroborate this boundary (00_CLAIM_BASELINE.csv C024); no supplied file proposes a new radiation experiment for Tim's own work"
R012,"Do not broaden the mission into unrelated startup ideas or unrelated PhD fields (MISSION.md Fixed preferences)","All stage outputs stay within GaN/WBG sensing, fusion/plasma diagnostics, and the stated PhD-strategy/startup-preparation scope",all stages,N/A (a standing constraint),ongoing,"No scope creep introduced in this stage's outputs"
R013,"Keep laboratory and cleanroom burden low unless an experiment is essential to a publication gate (MISSION.md Fixed preferences)","Stage 40 experiment recommendations are each justified against a specific publication gate (e.g., a reviewer request) rather than proposed for general thoroughness",40_experiment,outputs from 40_experiment stage,not_started,"Directly traceable to Reviewer 1/AE's specific bench-top-calibration and repeatability requests recorded in 00_CLAIM_BASELINE.csv C008/C009/C011 -- future Stage 40 experiments should be justified against these named gates specifically"
R014,"Separate facts, calculations, interpretations, proposals, unknowns, and legal questions (MISSION.md Fixed preferences; shared stage instructions)","Every stage output visually/structurally separates these categories rather than blending them",00_inventory,outputs/00_CLAIM_BASELINE.csv (classification column); outputs/00_INPUT_INVENTORY.md (supplied fact vs. prior-project claim labeling throughout),complete,"Satisfied this stage via the claim_id classification taxonomy (supplied_fact / prior_project_claim / measured_value / inference / proposal / unknown) applied consistently across all four Stage 00 deliverables"
R015,"Make no external submission, disclosure, email, purchase, filing, account change, or cloud-document mutation (MISSION.md Fixed preferences)","No stage output includes an action log showing any such external action was taken",all stages,N/A (a standing constraint),ongoing,"No external action was taken in this stage; all work was read-only inspection plus writes confined to outputs/ and state/ inside this mission folder"
R016,"Treat international-student status as a scheduling/career constraint, not a basis for immigration or legal advice (MISSION.md Fixed preferences)","Stage 60/50 outputs discuss visa-adjacent timing (e.g., OPT/STEM-OPT-relevant scheduling) only as a scheduling factor and explicitly disclaim giving immigration/legal advice",50_patent;60_timeline,outputs from 50_patent and 60_timeline stages,not_started,"User self-identified as an international student in inputs/ORIGINAL_REQUEST.txt line 108 ('I am also an international student (considering the access to some research resources)') -- flagged here for downstream stages, not addressed substantively in Stage 00"
R017,"Source minimum: outputs/01_SOURCE_LEDGER.csv must contain >=150 unique verified_peer_reviewed sources with the exact required CSV schema (SOURCE_POLICY.md)","CSV header matches exactly: source_id,citation,title,authors,year,venue,doi,url,source_type,peer_review_status,quality_tier,topic_tags,claims_supported,verification_basis,access_level,notes; row count of verified_peer_reviewed rows >=150",10a_literature_gan;10b_literature_fusion;10c_literature_methods;10d_literature_merge,outputs/01_SOURCE_LEDGER.csv,not_started,"Duplicate/detail of R001 at the schema level; tracked separately because SOURCE_POLICY.md specifies an exact machine-checkable header and dedup rule (normalized DOI first, then normalized title)"
R018,"Model safeguard: main-agent and subagent work must remain on the requested Claude family/effort for each stage; a runtime model mismatch triggers quarantine-and-retry, and a second mismatch ends the Claude path (06 CLAUDE.md Model integrity; MODEL_POLICY.md)","state/CHATGPT_HANDOFF_STATE.json and state/MODEL_EFFORT_LOG.csv show requested vs. reported model/effort agreement for this stage, with downgrade_count and flags accurately reflecting any mismatch",00_inventory,state/CHATGPT_HANDOFF_STATE.json; state/MODEL_EFFORT_LOG.csv; this response's closing MODEL/EFFORT fields,baseline_established,"state/CHATGPT_HANDOFF_STATE.json recorded requested_claude_model=sonnet, requested_claude_effort=high, reported_models=claude-sonnet-5, downgrade_count=0 at stage start; this stage's closing block restates the runtime-reported identity per the shared stage instructions"
R019,"Durable progress / one-command resume: every meaningful batch, decision, edit, validation, or checkpoint updates state/PROJECT_STATE.md and state/WORKLOG.md, and a recovery checkpoint is written before any broad rewrite and at stage completion (CHECKPOINT_PROTOCOL.md; shared stage instructions)","state/PROJECT_STATE.md and state/WORKLOG.md show start and completion entries for this stage; a state/checkpoints/CP_00_inventory_<timestamp>.md file exists at stage completion",00_inventory,state/PROJECT_STATE.md; state/WORKLOG.md; state/checkpoints/CP_00_inventory_<timestamp>.md,in_progress,"Start entries already written this stage; the completion checkpoint is written as the final action of this stage per the acceptance-check sequence in prompts/00_inventory.md"
R020,"'One command, least manual interaction' automation: the whole 12-stage mission should be runnable end-to-end from a single PowerShell launch (inputs/ORIGINAL_REQUEST.txt: 'I want the least manual interaction, just one command and let claude code finish the rest')","RUN_PHD_RESEARCH.ps1 / RUN_EVERYTHING.ps1 exist at the appropriate level and drive stage execution without requiring per-stage manual prompt entry",N/A (launcher-level requirement, not a Claude stage output),RUN_PHD_RESEARCH.ps1 (this mission folder); ../RUN_EVERYTHING.ps1 (root),verified_present,"Launcher scripts exist and are read as given infrastructure per CLAUDE.md; this stage's role is limited to executing correctly within that launcher's per-stage invocation, not modifying the launcher itself (out of the 'write only inside this mission folder... do not alter parent projects' boundary for ../RUN_EVERYTHING.ps1, and PowerShell script edits are outside a research-stage's scope in any case)"
R021,"Log every model/effort adjustment and downgrade to assist future patching (inputs/ORIGINAL_REQUEST.txt: 'Document and record all your working, model and effort adjustment (let me know if there's a down grade)')","state/MODEL_EFFORT_LOG.csv, state/OPERATION_LOG.csv, and state/CLAUDE_EVENT_LOG.jsonl contain a per-attempt record for this stage",00_inventory,state/MODEL_EFFORT_LOG.csv; state/OPERATION_LOG.csv; state/CLAUDE_EVENT_LOG.jsonl,baseline_established,"These are launcher-maintained, per CHECKPOINT_PROTOCOL.md's layer table; this stage's Claude-side contribution is the PROJECT_STATE.md/WORKLOG.md narrative entries plus the closing MODEL/EFFORT fields, not direct edits to the launcher-owned log files"
