uid,canonical_key,title,authors_or_org,publisher,year,date,source_type,tier,language,geography,url,doi,arxiv_id,patent_number,jurisdiction,assignee,verification,access_level,peer_review_status,accepted,first_accessed,last_accessed,projects,used_in,n_occurrences,claim_supported,notes
Sfb72d434a904,url:iter.org/industry/procurement/overview-tenders/open-tenders,"IO/25/OT/10032406/JGO — Supply Contract for ITER Vacuum Vessel Pressure Suppression System Cooler Condenser (Awarded to MAP Industrial Projects, S.L.)","ITER Organization; awardee MAP Industrial Projects, S.L. (Spain)",,2025,,government,T1,en,ES | EU | FR | multinational,https://www.iter.org/industry/procurement/overview-tenders/open-tenders,,,,,,fetched,,not_applicable,False,2026-07-12,2026-07-12T19:43:00Z,06_Frontier_Idea_Research_2026-07 | 07_Frontier_Ideas_Interactive_2026-07,L07 | L13,34,"Live ITER tenders as of this session include IO/26/OT/10035181/JGO (liquid/gaseous helium supply, cost range D = EUR 4-12M, PIN deadline 24/07/2026) and IO/26/OT/70001516/KJT (CATIA/ENOVIA engineering-software maintenance); ITER's instrumentation-and-control system splits 'in-fund' central control (CODAC/interlock/safety, procured by IO) from 'in-kind' plant-system I&C procured by 7 domestic agencies across roughly 161 plant systems.","Fetched successfully; directly load-bearing procurement evidence. The cryogenic-helium-supply tender is adjacent to (not identical to) control/electronics scope -- flagged for the verifier to distinguish facility-hardware-adjacent procurement from I&C-specific procurement. | Directly load-bearing procurement evidence. The cryogenic-helium-supply tender is adjacent to (not identical to) control/electronics scope, but ITER facility-hardware procurement is squarely within lane L13's defined scope ('Quantum/big-science classical electronics, timing, control, and facility hardware' per LANE_MAP.md) -- verifier confirms relevance, flags the adjacency for idea-stage precision."
Sca2bf8d59a1d,url:energy.gov/articles/us-department-energy-announces-selectees-107-million-fusion-innovation-research-engine,"U.S. Department of Energy Announces Selectees for $107 Million Fusion Innovation Research Engine Collaboratives, and Progress in Milestone Program Inspired by NASA",U.S. Department of Energy,U.S. Department of Energy,2025,2025-01,government,T1,en,US,https://www.energy.gov/articles/us-department-energy-announces-selectees-107-million-fusion-innovation-research-engine,,,,,,fetched,full_page,not_applicable,False,2026-06-24,2026-07-13T00:00:00Z,01_Startup_Opportunity_Research_2026-07 | 02_Novel_Lanes_Research_2026-07 | 03_C12_C10_Strategy_IP_2026-07 | 06_Frontier_Idea_Research_2026-07 | 07_Frontier_Ideas_Interactive_2026-07,02_MERGED_FULL_RANKING | C10 | D03 | D03-13 | DD-C10-11 | DD_C10 | INCUMBENTS | L03 | P3R2-D-01 | P3R2-D-02 | P3R2-F-02,22,"DOE's Milestone-Based Fusion Development Program is 'authorized for a total of $415 million through fiscal year 2027' under the CHIPS and Science Act, with $46M obligated for the first 18-month period across 8 selectees; the most aggressive awardees target 'FPP preliminary-design reviews by the late 2020s' toward 'an operating FPP by the mid-2030s.'","Independent second US demand source (federal program funding, separate from the CFS-Realta commercial deal) and primary official 2028-2035 timing trigger for P3R2-F-02."
S310b6bee2962,doi:10.1016/j.supcon.2025.100188,Commercial compact fusion triggered REBCO tape industry: PLD technology opportunities and challenges (journal: Superconductivity),unknown authors; Superconductivity (Elsevier),"EurekAlert (Superconductivity journal, Shanghai Jiao Tong University)",2025,2025,academic,T1,en,CN | US,https://www.eurekalert.org/news-releases/1101339,10.1016/j.supcon.2025.100188,,,,,fetched,full_page,verified,False,2026-07-02,2026-07-28,01_Startup_Opportunity_Research_2026-07 | 02_Novel_Lanes_Research_2026-07 | 03_C12_C10_Strategy_IP_2026-07 | 06_Frontier_Idea_Research_2026-07 | 07_Frontier_Ideas_Interactive_2026-07,D05 | D05-05 | DD-C12-10 | DD_C12 | L03 | P3R2-D-02,20,"~15 global HTS/REBCO tape manufacturers now exceed 5,000 km/yr capacity at 12mm width; four top PLD-route producers including Shanghai Superconductor supply over half of global output.",Directly ties fusion demand (CFS-type buyers) to REBCO tape manufacturing scale-up challenges.
Scaff24fb801b,url:energy.gov/hgeo/geothermal/forge-rd,"DOE FORGE R&D Solicitation 2022-2: reservoir stimulation, high-temperature proppants, and packer tool awards","U.S. Department of Energy, Geothermal Technologies Office / Utah FORGE","U.S. Department of Energy, Geothermal Technologies Office / Utah FORGE",2021,2021,government,T1,en,US,https://www.energy.gov/hgeo/geothermal/forge-rd,,,,,,fetched,full_page,not_applicable,False,2026-07-02,2026-07-12T22:00:00Z,01_Startup_Opportunity_Research_2026-07 | 02_Novel_Lanes_Research_2026-07 | 06_Frontier_Idea_Research_2026-07 | 07_Frontier_Ideas_Interactive_2026-07,02_MERGED_FULL_RANKING | C27 | D07 | D07-15 | INCUMBENTS | L15 | P3R2-A-14,20,"DOE awarded up to $49 million over three years (announced February 2021) across 17 projects under Solicitation 2020-1, including a topic area requiring devices/systems operational at temperatures up to 225C for zonal-isolation tools. Named awardees include Welltec, PetroQuip Energy Services, Colorado School of Mines, Battelle Memorial Institute, Lawrence Livermore National Laboratory, Clemson University, Stanford University, Rice University, Fervo Energy, UT Austin, and Penn State.","Same page as L15-027, fetched once this session; recorded as a separate solicitation/award cycle since it is a distinct funding action with distinct awardees and technical scope. | Same page as L15-027, re-fetched once this session and confirmed; recorded as a separate solicitation/award cycle since it is a distinct funding action with distinct awardees and technical scope."
Sb2319989c3af,url:techcrunch.com/2026/04/02/commonwealth-fusion-systems-leans-on-magnets-for-near-term-revenue,Commonwealth Fusion Systems leans on magnets for near-term revenue,TechCrunch (reporting on Commonwealth Fusion Systems),TechCrunch,2026,2026-04-02,news,T2,en,US,https://techcrunch.com/2026/04/02/commonwealth-fusion-systems-leans-on-magnets-for-near-term-revenue/,,,,,,fetched,full_page,not_applicable,False,2026-07-03,2026-07-13T00:00:00Z,01_Startup_Opportunity_Research_2026-07 | 02_Novel_Lanes_Research_2026-07 | 03_C12_C10_Strategy_IP_2026-07 | 06_Frontier_Idea_Research_2026-07 | 07_Frontier_Ideas_Interactive_2026-07,CS_C | DD-C12-22 | DD_C12 | L03 | P3R2-D-01 | P3R2-D-02 | P3R2-F-02 | U_C,19,"CFS Chief Commercial Officer Rick Needham states CFS closed ""the largest deal of this kind to date"" selling HTS magnets to Realta Fusion, following an earlier magnet sale to the University of Wisconsin WHAM experiment (2024) and a technology license to Type One Fusion, positioned as near-term revenue alongside SPARC (70% complete) construction.","Named-customer commercial transactions reported via direct company-executive quotes, not an independent filing. | Named-customer commercial transactions (Realta Fusion, University of Wisconsin) reported via direct company-executive quotes; qualifies as direct_customer_documentation since customers are named."
Se3639d7da27c,url:thedriven.io/2026/05/25/fortescue-fits-out-first-240-tonne-electric-haul-truck-and-rolls-out-first-6-mw-fast-charger,"Fortescue fits out first 240 tonne electric haul truck, and rolls out first 6 MW fast charger",Fortescue / Fortescue Zero (via thedriven.io reporting),The Driven,2026,2026-05-25,news,T2,en,AU,https://thedriven.io/2026/05/25/fortescue-fits-out-first-240-tonne-electric-haul-truck-and-rolls-out-first-6-mw-fast-charger/,,,,,,fetched,full_page,not_applicable,False,2026-07-12T19:35:00Z,2026-07-28,06_Frontier_Idea_Research_2026-07 | 07_Frontier_Ideas_Interactive_2026-07,L10 | P3R2-A-21 | P3R2-B-14,17,"Fortescue commissioned its first in-house-developed 6 MW fast charger (approx. 30-minute full charge) for its 240-tonne, 2.6 MWh-battery Liebherr T264 Battery Electric haul truck, targeting operational status in the Pilbara before end of 2026 as part of a 300+ truck fleet plan.",Trade-press article fetched successfully this session with direct quotes; primary Fortescue investor/media release not independently fetched -> tiered T2. | Trade-press article fetched successfully by scout with direct quotes; primary Fortescue investor/media release not independently fetched -> tiered T2. Not independently re-verified this session; carried forward unchanged.
Sac316a5634a8,doi:10.1063/5.0226790,Impedance matching assistance based on frequency modulation for capacitively coupled plasmas,Shimin Yu; Yu Wang; Zhipeng Chen; Zhijiang Wang; Lu Wang; Wei Jiang; Julian Schulze; Ya Zhang — Journal of Applied Physics (AIP Publishing),"Yu, Shimin; Wang, Yu; Chen, Zhipeng; Wang, Zhijiang; Wang, Lu; Jiang, Wei; Schulze, Julian; Zhang, Ya",2025,2025,academic,T1,en,US | multinational,https://pubs.aip.org/aip/jap/article/137/3/033301/3331468/Impedance-matching-assistance-based-on-frequency,10.1063/5.0226790,,,,,fetched,full_page,unverified,False,2026-07-12,2026-07-12T20:00:00Z,06_Frontier_Idea_Research_2026-07 | 07_Frontier_Ideas_Interactive_2026-07,L01 | L06 | P3R2-F-01,17,"Proposes a frequency-modulation-based method to assist real-time impedance matching in capacitively coupled plasma (CCP) reactors, Journal of Applied Physics vol 137 issue 3, article 033301, January 2025.","DOI resolved by verifier via Crossref bibliographic search (AIP page itself returned 403). Author affiliations (likely China + Germany, incl. Julian Schulze) not independently confirmed; geography left as scout default. | Corrected: DOI was missing in raw record, now resolved and verified. Author Julian Schulze also co-authors L06-010 and L06-011 in this lane (Ruhr-Universitat Bochum plasma-etch research group is a recurring contributor)."
S233443d6353d,url:developer.nvidia.com/blog/nvidia-800-v-hvdc-architecture-will-power-the-next-generation-of-ai-factories,NVIDIA 800 VDC Architecture Will Power the Next Generation of AI Factories,NVIDIA Corporation,NVIDIA Developer Blog,2025,2025,company,T1,en,US,https://developer.nvidia.com/blog/nvidia-800-v-hvdc-architecture-will-power-the-next-generation-of-ai-factories/,,,,,,fetched,full_page,not_applicable,False,2026-07-02,2026-07-13T12:40:00Z,01_Startup_Opportunity_Research_2026-07 | 02_Novel_Lanes_Research_2026-07 | 06_Frontier_Idea_Research_2026-07 | 07_Frontier_Ideas_Interactive_2026-07,D01 | D01-02 | DD-C06-01 | DD_C06 | L02 | P3R2-D-19 | P3R2-G-03 | Protection = fuse-and-disconnect or emerging solid-state at row/hall boundaries | RT-C06-09 | ecosystem partner list | fault detection called a key innovation area | no protection partner named,16,"Published 2025-05-20. NVIDIA plans full-scale production of 800VDC data centers starting in 2027, coinciding with Kyber rack-scale systems supporting 1MW+ IT racks (576 Rubin Ultra GPUs/rack); 20+ industry partners publicly support the transition; NVIDIA and partners are still studying CapEx/OpEx/safety implications with no disclosed qualification-milestone timeline.","Directly fetched. NVIDIA acts as the buyer/architecture-setter for its supply chain; this is a genuine buyer specification driving procurement across power electronics vendors, not merely a future-possibility claim. | Directly fetched by scout. NVIDIA acts as the buyer/architecture-setter for its supply chain -- a genuine buyer specification. | Concrete, dated, industry-roadmap 2027 trigger for the DC-native buffering socket the seed depends on; vendor source, treated as roadmap context not independent validation. | Primary vendor technical-roadmap timing source refreshing atlas L02-043/044 for G-03's US leg."
S35d68421de2d,url:patternenergy.com/projects/southern-spirit-transmission,Southern Spirit Transmission project (ERCOT-Southeast US 525kV VSC-HVDC interconnector),Pattern Energy; U.S. Department of Energy (Transmission Facilitation Program),Pattern Energy,2023,2023,company,T1,en,US,https://patternenergy.com/projects/southern-spirit-transmission/,,,,,,fetched,full_page,not_applicable,False,2026-07-12,2026-07-28,06_Frontier_Idea_Research_2026-07 | 07_Frontier_Ideas_Interactive_2026-07,L08 | P3R2-E-14 | P3R2-F-06,16,"Southern Spirit Transmission: ~320-mile, +/-525kV, ~3,000MW VSC-HVDC line connecting ERCOT to MISO-South/Southern Company grids; ~$2.6bn privately funded by Pattern Energy; DOE Transmission Facilitation Program provided ~$360m of support (per independent Utility Dive/Smart Energy International reporting); construction start targeted 2029, in-service 2032.","First-of-a-kind US interconnect between ERCOT (islanded grid) and the Eastern Interconnection -- directly evidences US demand for HVDC as an interregional-interconnection tool, independent of any founder-background bias. | First-of-a-kind US interconnect between ERCOT (islanded grid) and the Eastern Interconnection -- directly evidences US demand for HVDC as an interregional-interconnection tool."
Sa0a7a7a122e3,url:darpa.mil/research/programs/thermal,THERMAL: Temperature-Hardened Electronics for Reliable Mission-Critical Applications (DARPA SBIR solicitation DPA26BZ02-NV008),Defense Advanced Research Projects Agency (DARPA),Defense Advanced Research Projects Agency (DARPA),2026,2026,government,T1,en,US,https://www.darpa.mil/research/programs/thermal,,,,,,fetched,full_page,not_applicable,False,2026-07-12,2026-07-13T10:00:00Z,06_Frontier_Idea_Research_2026-07 | 07_Frontier_Ideas_Interactive_2026-07,L15 | P3R2-A-14,15,"DARPA solicits mixed-signal IC technology for reliable operation up to 800C using SiC/GaN. Phase I requires an amplifier with DC gain >20dB and unity-gain bandwidth >1MHz verified at 800C, plus a ring oscillator with propagation delay <500ns at 800C. Phase II requires an ADC stable at 800C, >10,000 samples/sec, 8-bit resolution, <1W power, 0-5V input range, SNR >40dB. Solicitation DPA26BZ02-NV008 closed June 24, 2026, under the DoW SBIR 2026 BAA.","Page fetched directly this session. Demonstrates an active DoD-defined technical specification (800C, defined ADC performance) as a concrete buyer-side requirement, distinct from academic lab demonstrations. | Verifier independently re-fetched this page directly this session (200 OK, full readable content), confirming and expanding on the scout's original claim with additional Phase I/II numeric specs. Demonstrates a concrete DoD-defined technical buyer specification, distinct from academic lab demonstrations."
