# Timestamp convention: no system clock exposed; date 2026-07-28 used for all rows with time NOT_EXPOSED; query_id order = execution order (Q01-Q10 carried unchanged from the accepted pilot; Q11+ are new to this full run).
query_id,topic_stream,platform,query_text,searched_at_utc,result_count,screened_count,notes
Q01,hall_metrology,WebSearch,"GaN Hall effect sensor calibration temperature drift radiation journal",2026-07-28T NOT_EXPOSED,8,8,"[carried from pilot] Identified IET/AIP AlGaN/GaN Hall-sensor candidates; both excluded on access grounds (E01, E02); informed later successful hall_metrology queries"
Q02,hybrid_diagnostics,WebSearch,"Hall sensor Rogowski coil hybrid current measurement sensor fusion journal",2026-07-28T NOT_EXPOSED,8,8,"[carried from pilot] Found two USPTO patents (excluded E03, E04) and an MDPI Sensors TMR+CT paper (pilot exclusion E10, resolved this run as P0031); no paper accepted directly from this query"
Q03,hts_quench_current,WebSearch,"no-insulation HTS coil quench detection current redistribution journal",2026-07-28T NOT_EXPOSED,9,9,"[carried from pilot] Identified IOPscience Superconductor Science and Technology 2025 quench-detection paper, accepted P0002; also found Springer JSNM paper, excluded E09 (auth wall)"
Q04,power_conversion,WebSearch,"SiC GaN wide bandgap power converter gate drive current sensing journal review",2026-07-28T NOT_EXPOSED,8,8,"[carried from pilot] Identified both accepted Micromachines review papers (P0005 via PMC10673564, P0006 via PMC7826992); also found Springer JPE review, excluded E08 (auth wall)"
Q05,hybrid_diagnostics,WebSearch,"Hall sensor inductive coil hybrid diagnostic plasma current reconstruction fusion journal",2026-07-28T NOT_EXPOSED,7,7,"[carried from pilot] Identified Nuclear Fusion 2022 hybrid Hall-probe paper, accepted P0001; also surfaced antimony Hall sensor IOPscience paper accepted P0004 (hall_metrology)"
Q06,hybrid_diagnostics,WebSearch,"ITER outer vessel steady state sensor Hall coil hybrid magnetic diagnostic journal",2026-07-28T NOT_EXPOSED,9,9,"[carried from pilot] Background/context query; all results were ResearchGate/ScienceDirect/PubMed abstract-only listings not individually pursued to full text in the pilot; re-surfaced P0004 candidate"
Q07,hybrid_diagnostics,WebSearch,"""Data fusion of magnetic coils and Hall sensors using Kalman filtering"" doi Fusion Engineering and Design",2026-07-28T NOT_EXPOSED,6,6,"[carried from pilot] Located Nuclear Fusion 2025 Kalman-filter sensor-fusion paper, accepted P0003; a similarly titled ScienceDirect FED paper was inaccessible (E06); also surfaced MDPI Sensors 2021 Kalman paper, verified via PMC8749566 but excluded on pilot stream-quota grounds (E07)"
Q08,hts_quench_current,WebSearch,"no-insulation HTS coil quench detection current redistribution IOPscience Superconductor Science and Technology",2026-07-28T NOT_EXPOSED,10,10,"[carried from pilot] Located seminal 2016 IOPscience self-protection-mechanisms paper, accepted P0007"
Q09,hall_metrology,WebSearch,"Hall sensor traceable calibration uncertainty magnetic field bandwidth noise journal 2020..2026",2026-07-28T NOT_EXPOSED,10,10,"[carried from pilot] Located JSSS 2020 traceable Hall-probe-microscopy calibration paper, accepted P0008; several patents surfaced and not pursued"
Q10,hall_metrology,WebSearch,"GaN Hall sensor IEEE Sensors conference paper peer reviewed proceedings calibration",2026-07-28T NOT_EXPOSED,9,9,"[carried from pilot] Located an IEEE Xplore document; WebFetch returned no retrievable content (E11); hall_metrology quota already filled in the pilot so not pursued further at that time"
Q11,hall_metrology,WebSearch,"Hall effect sensor calibration uncertainty traceability journal",2026-07-28T NOT_EXPOSED,8,8,"Located MDPI Sensors six-DOF Hall-calibration paper, accepted P0011 via PMC8198809; other results were patents/vendor pages, not pursued"
Q12,hall_metrology,WebSearch,"GaN Hall sensor radiation hardness journal article",2026-07-28T NOT_EXPOSED,10,10,"Background/context query on GaN radiation hardness; no item individually accepted from this query directly, informed later Q59 radiation-effects search"
Q13,hall_metrology,WebSearch,"Hall sensor temperature drift compensation magnetic field measurement journal",2026-07-28T NOT_EXPOSED,9,9,"Results dominated by patents and ResearchGate abstracts; no publisher-verifiable journal item accepted from this query directly"
Q14,hall_metrology,WebSearch,"cryogenic Hall sensor calibration magnetic field journal",2026-07-28T NOT_EXPOSED,8,8,"Found IEEE and ScienceDirect cryogenic Hall-probe-calibration items; not pursued to full text given established access-failure pattern for those domains this session; negative for this query"
Q15,hall_metrology,WebSearch,"Hall probe noise bandwidth magnetic field sensor review article",2026-07-28T NOT_EXPOSED,9,9,"Located IOPscience graphene Hall-sensor topical review, accepted P0010; also surfaced AIP Advances anomalous-Hall paper, excluded E13 (HTTP 403)"
Q16,hall_metrology,WebSearch,"two-dimensional electron gas Hall sensor sensitivity review IOPscience",2026-07-28T NOT_EXPOSED,10,10,"Located seminal 1996 IOPscience Hall-sensitivity paper, accepted P0009; re-surfaced the already-known-blocked IET AlGaN/GaN item (E01)"
Q17,hall_metrology,WebSearch,"GaN HEMT Hall sensor high temperature characterization journal 2023 2024",2026-07-28T NOT_EXPOSED,9,9,"Found a Wiley Advanced Materials Technologies SiC Hall-sensor item and an IOP Journal of Physics: Conference Series item (conference proceedings, peer-review process not independently verified this session); neither pursued/accepted"
Q18,hall_metrology,WebSearch,"quantum Hall resistance standard traceability metrology journal",2026-07-28T NOT_EXPOSED,9,9,"Located Nature Communications 2015 graphene QHR-standard paper, accepted P0013 via PMC4410644; APS Physical Review Applied item excluded E15 (HTTP 403); NIST items were reports/proceedings, discovery only"
Q19,hall_metrology,WebSearch,"spinning current Hall sensor offset cancellation CMOS journal",2026-07-28T NOT_EXPOSED,9,9,"Located MDPI Sensors CMOS Hall-sensor sensitivity paper, accepted P0014 via PMC4634499; a Springer JEET item was not pursued (established SpringerLink auth-wall pattern)"
Q20,hall_metrology,WebSearch,"magnetic field sensor review Sensors MDPI 2024 2025",2026-07-28T NOT_EXPOSED,9,9,"Found MDPI Sensors 2025 magnetic-sensor review; mdpi.com direct blocked HTTP 403, excluded E14; other results were journal special-issue index pages, not individual articles"
Q21,hybrid_diagnostics,WebSearch,"Rogowski coil Hall sensor current measurement fusion journal Fusion Engineering Design",2026-07-28T NOT_EXPOSED,10,10,"Background/context query on Rogowski+Hall complementary sensing; no item individually accepted from this query directly"
Q22,hybrid_diagnostics,WebSearch,"inverse reconstruction plasma current profile magnetic diagnostic journal",2026-07-28T NOT_EXPOSED,8,8,"Located seminal 2001 IOPscience magnetic-diagnostics inverse-reconstruction paper, accepted P0020; also located 2025 DIII-D current-profile-reconstruction paper, accepted P0021"
Q23,hts_quench_current,WebSearch,"HTS no-insulation coil quench detection current redistribution journal Superconductor Science Technology",2026-07-28T NOT_EXPOSED,9,9,"Located IOPscience 2024 open-source quench-simulation-tool paper, accepted P0032; ScienceDirect/ResearchGate items not pursued to full text"
Q24,hts_quench_current,WebSearch,"HTS tape quench propagation velocity measurement journal",2026-07-28T NOT_EXPOSED,9,9,"Located IOPscience 2023 thermoelastic-strain-rate quench-detection paper, accepted P0033"
Q25,hts_quench_current,WebSearch,"REBCO coil cryogen-free quench protection journal IEEE Applied Superconductivity",2026-07-28T NOT_EXPOSED,9,9,"Mostly IEEE Xplore items not individually pursued this query (established access-failure pattern); background context only, no item accepted directly from this query"
