"source_id","normalized_doi","normalized_title","found_in_folder_06","evidence","new_source_flag"
"H001","10.1088/1741-4326/adb599","sensor fusion and magnetic drift estimation in magnetic measurements using kalman filter for long duration plasma operations","S0118","same normalized DOI as folder-06 row S0118","reused"
"H002","10.1016/j.fusengdes.2025.115180","data fusion of magnetic coils and hall sensors using kalman filtering","S0122","same normalized DOI as folder-06 row S0122","reused"
"H003","10.1088/1741-4326/ac8aad","long term operation of the radiation hard hall probes system and the path toward a high performance hybrid magnetic field sensor","S0068","same normalized DOI as folder-06 row S0068","reused"
"H004","10.3390/s22010182","drift free integration in inductive magnetic field measurements achieved by kalman filtering","S0179","same normalized DOI as folder-06 row S0179","reused"
"H005","10.3390/s19245455","integrator drift compensation of magnetic flux transducers by feed forward correction","S0180","same normalized DOI as folder-06 row S0180","reused"
"H006","10.1166/sl.2007.004","performance of hall sensor based devices for magnetic field diagnosis at fusion reactors","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"H007","10.1109/tns.2012.2188816","magnetic measuring instrumentation with radiation resistant hall sensors for fusion reactors experience of testing at jet","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"H008","10.1063/1.5039356","application of a hall sensor for pulsed magnetic field measurement in the fat cm frc experiments","S0173","same normalized DOI as folder-06 row S0173","reused"
"H009","10.1063/1.1789620","performance of the magnetic sensor and the integrator for the kstar magnetic diagnostics","S0105","same normalized DOI as folder-06 row S0105","reused"
"H010","10.1016/j.fusengdes.2008.07.045","the magnetic field configuration measurement on east tokamak","S0069","same normalized DOI as folder-06 row S0069","reused"
"H011","10.1088/0029-5515/55/8/083006","experimental evaluation of stable long term operation of semiconductor magnetic sensors at iter relevant environment","S0111","same normalized DOI as folder-06 row S0111","reused"
"H012","10.1109/taes.1975.308081","a comparison of complementary and kalman filtering","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"H013","10.1109/tac.2008.923738","nonlinear complementary filters on the special orthogonal group","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"H014","10.1109/icorr.2011.5975346","estimation of imu and marg orientation using a gradient descent algorithm","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"H015","10.1109/tac.1969.1099223","treatment of bias in recursive filtering","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"H016","10.1016/0005-1098(87)90037-9","unbiased minimum variance linear state estimation","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"H017","10.1016/s0005-1098(96)00217-8","unbiased minimum variance estimation for systems with unknown exogenous inputs","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"H018","10.1109/taes.2004.1310002","observability of an integrated gps ins during maneuvers","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"H019","10.1109/tvt.2004.841540","observability of error states in gps ins integration","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"H020","10.1007/bf03546305","centering and observability in attitude independent magnetometer bias determination","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"H021","10.3390/s16091407","multi sensor consensus estimation of state sensor biases and unknown input","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"H022","10.1109/jsen.2022.3207276","contactless current sensor with novel coil designs and hall effect based electron device for dynamic precision adjustment","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"H023","10.1109/jsen.2009.2013914","current sensing techniques a review","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"H024","10.1016/j.fusengdes.2021.112276","shunt and rogowski coil measurements on asdex upgrade in support of demo detachment control","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"H025","10.1063/1.1147835","a hybrid digital analog long pulse integrator","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"H026","10.1063/1.2721405","analog integrator for the korea superconducting tokamak advanced research magnetic diagnostics","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"H027","10.1063/1.1148918","drift free integrators","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"H028","10.1109/tim.2007.890787","digital integrator for fast accurate measurement of magnetic flux by rotating coils","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"H029","10.1016/j.fusengdes.2019.01.070","fiber optic current sensor for plasma current on experimental advanced superconducting tokamak","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"H030","10.1016/j.fusengdes.2020.111754","plasma current measurement at jet using polarimetry based fibre optic current sensor","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"H031","10.1016/j.fusengdes.2021.112228","performance assessment of plasma current measurement at jet using fibre optics current sensor","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"H032","10.3390/s25061646","a current sensing cross component induction magnetometer for use in time domain borehole geophysical electromagnetic surveys","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"H033","10.1080/09398368.1993.11463318","wide bandwidth rogowski current transducers part ii the integrator","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"H034","10.1016/0924-4247(89)80069-x","a low offset spinning current hall plate","S0033","same normalized DOI as folder-06 row S0033","reused"
"H035","10.1109/icsens.2004.1426372","limits of offset cancellation by the principle of spinning current hall probe","S0041","same normalized DOI as folder-06 row S0041","reused"
"H036","10.1109/iedm.1997.650529","double hall sensor with self compensated offset","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"H037","10.1109/jssc.2005.847488","a chopped hall sensor with small jitter and programmable true power on function","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"H038","10.1016/s0924-4247(01)00857-3","reference magnetic actuator for self calibration of a very small hall sensor array","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"H039","10.1109/smicnd.2009.5336656","self test system for integrated hall effect sensors","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"H040","10.1063/1.4808366","in situ artificial plasma calibration of tokamak magnetic sensors","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"H041","10.1063/1.1149831","high accuracy magnetic field measurements with a hall probe","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"H042","10.5194/jsss-9-391-2020","traceably calibrated scanning hall probe microscopy at room temperature","S0051","same normalized DOI as folder-06 row S0051","reused"
"H043","10.1109/tns.1977.4329095","the zero flux dc current transformer a high precision bipolar wide band measuring device","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"H044","10.3390/s22124649","degradation detection in a redundant sensor architecture","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"H045","10.3390/s22207979","contactless ac dc wide bandwidth current sensor based on composite measurement principle","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"H046","10.1109/tim.2008.2007031","onsite calibration of a current transformer using a rogowski coil","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"H047","10.1109/tmag.2018.2873238","impact of contact misalignment on magnetic cross sensitivity of integrated vertical hall sensors","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"H048","10.1063/5.0244636","exploring the operational limits of poloidal and helical arrays of mirnov coils in stellarators by means of a synthetic diagnostic","S0074","same normalized DOI as folder-06 row S0074","reused"
"H049","10.1063/1.3246785","design construction and calibration of a three axis high frequency magnetic probe b dot probe as a diagnostic for exploding plasmas","S0076","same normalized DOI as folder-06 row S0076","reused"
"H050","10.1109/tia.2015.2506139","hall effect sensor fault detection identification and compensation in brushless dc drives","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"H051","10.3390/en7074571","saturation detection based blocking scheme for transformer differential protection","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"H052","10.1016/j.heliyon.2024.e37960","restoration of the current transformer secondary current under core saturation conditions based on ann","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"H053","10.1109/acc.2005.1470607","fusion of time delayed measurements with uncertain time delays","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"H054","10.1134/s1061830913080044","comparative evaluation of coil and hall probes in hole detection and thickness measurement on aluminum plates using eddy current testing","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"H055","10.1109/ispsd.1999.764117","a new current measuring principle for power electronic applications hoka","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"H056","10.1016/j.sna.2007.08.030","an ac dc magnetometer for space missions improvement of a hall sensor by the magnetic flux concentration of the magnetic core of a searchcoil","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"H057","10.1109/aupec.2013.6725460","ac motor instrumentation and main air gap flux measurement for fault diagnostics","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"H058","10.1049/elp2.12157","airgap and stray magnetic flux monitoring techniques for fault diagnosis of electrical machines an overview","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"H059","10.1109/tasc.2018.2801325","measurement and analysis of the dynamic effects in an hts dipole magnet","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"H060","10.1088/1361-6668/ab9ef3","corc cable terminations with integrated hall arrays for quench detection","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"H061","10.1109/tasc.2014.2374536","axial field magnetic quench antenna for the superconducting accelerator magnets","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"H062","10.1016/s0168-9002(00)01008-1","an instrument for precision magnetic measurements of large magnetic structures","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"H063","10.1109/cicc.2018.8357028","a fully integrated dc to 75 mhz current sensing circuit with on chip rogowski coil","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"H064","10.1088/1748-0221/16/12/p12041","high accuracy absolute magnetometry with application to the fermilab muon g 2 experiment","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"H065","10.1016/j.fusengdes.2019.01.013","prospects for the steady state magnetic diagnostic based on antimony hall sensors for future fusion power reactors","S0067","same normalized DOI as folder-06 row S0067","reused"
"H066","10.1029/2020ja027813","a merged search coil and fluxgate magnetometer data product for parker solar probe fields","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"R001","10.1063/1.3479115","irradiation tests of iter candidate hall sensors using two types of neutron spectra","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"R002","10.1109/tns.2019.2912720","toward the development of an insb based neutron resistant hall sensor","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"R003","10.3390/s22145258","the comparison of insb based thin films and graphene on sic for magnetic diagnostics under extreme conditions","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"R004","10.1016/j.apsusc.2022.152992","graphene on sic as a promising platform for magnetic field detection under neutron irradiation","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"R006","10.1134/s1063783414010089","application of reactor neutrons to the investigation of the radiation resistance of semiconductor materials of group iii v and sensors","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"R007","10.1016/0168-9002(94)01710-7","hall effect analysis on neutron irradiated high resistivity silicon","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"R008","10.1016/j.nimb.2008.06.017","effects of irradiation with gamma and beta rays on semiconductor hall effect devices","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"R009","10.1109/sibcon.2013.6693581","radiation characteristics of hall sensor on the base of gallium arsenide","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"R010","10.1088/1757-899x/81/1/012027","stability of the gaas based hall sensors irradiated by gamma quanta","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"R011","10.1109/tns.2024.3362999","design and implementation of a high voltage radiation hard hall switch sensor","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"R012","10.1063/1.4805357","effect of proton irradiation on algan gan micro hall sensors","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"R013","10.1063/1.4861902","partial recovery of the magnetoelectrical properties of algan gan based micro hall sensors irradiated with protons","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"R014","10.1109/led.2014.2358613","proton irradiation enhancement of low field negative magnetoresistance sensitivity of algan gan based magnetic sensor at cryogenic temperature","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"R015","10.1063/1.4866629","effect of annealing on proton irradiated algan gan based micro hall sensors","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"R016","10.1088/1742-6596/433/1/012011","effect of proton irradiation on 2deg in algan gan heterostructures","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"R017","10.1063/1.3074513","high sensitivity and multifunctional micro hall sensors fabricated using inalsb inassb inalsb heterostructures","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"R018","10.1109/tns.2016.2615888","radiation hard contactless angular position sensor based on hall effect","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"R019","10.1109/redw.2008.33","tid and see response of optek hall effect sensors","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"R020","10.1016/j.nimb.2014.08.007","defect analysis in fast electron irradiated silicon by hall and magnetoresistivity means","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"R021","10.1016/j.mssp.2025.109926","hall and magnetoresistivity measurements in high energy electron irradiated p type silicon","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"R022","10.1063/1.4929583","degradation mechanisms of 2 mev proton irradiated algan gan hemts","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"R023","10.1109/tns.2008.2001705","electrostatic mechanisms responsible for device degradation in proton irradiated algan aln gan hemts","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"R024","10.1109/tns.2013.2278314","total ionizing dose radiation effects in algan gan hemts and mos hemts","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"R025","10.1038/s41598-020-72862-2","thermal neutron transmutation doping of gan semiconductors","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"R026","10.1016/j.nimb.2017.05.032","deep level transient spectroscopy characterisation of xe irradiated gan","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"R027","10.1016/s0921-5107(00)00746-7","deep levels introduced in n gan grown by the elog technique by high energy electron irradiation","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"R028","10.3390/nano12132126","research on the synergistic effect of total ionization and displacement dose in gan hemt using neutron and gamma ray irradiation","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"R029","10.3390/ma16155225","study of the influence of the irradiation flux density on the formation of a defect structure in aln in the case of the effect of overlapping of the heavy ion motion trajectories in the near surface layer","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
"R030","10.1016/j.solidstatesciences.2020.106367","the influence of the energy of incident protons on the defect formation and radiation resistance of aln ceramics","no","no normalized-DOI or normalized-title match in folder-06 ledger (231 rows checked)","new"
