audit_id,source_id,audit_type,field_checked,claimed_value,verified_value,verification_url,result,severity,required_correction,notes
AUD001,S0002,bibliographic_identity,title/year/venue/first_author/doi,title='Robust Hall Effect Magnetic Field Sensors for Operation at High Temperatures and'; year=2012; venue=IEEE Transactions on Magnetics; first_author=Abdelkader Abderrahmane,title='Robust Hall Effect Magnetic Field Sensors for Operation at High Temperatures and'; years=[2012]; venue=IEEE Transactions on Magnetics; first_author_family=Abderrahmane; type=journal-article,https://api.crossref.org/works/10.1109/TMAG.2012.2196986,match,none,none,stratum=targeted; tier=B; access=abstract_metadata
AUD002,S0010,bibliographic_identity,title/year/venue/first_author/doi,title='Study of GaN Hall Effect Magnetic Sensors'; year=2025; venue=IEEE Access; first_author=Vlad Marsic,title='Study of GaN Hall Effect Magnetic Sensors'; years=[2025]; venue=IEEE Access; first_author_family=Marsic; type=journal-article,https://api.crossref.org/works/10.1109/ACCESS.2025.3539435,match,none,none,stratum=cell:A/abstract_metadata; tier=B; access=abstract_metadata
AUD003,S0019,bibliographic_identity,title/year/venue/first_author/doi,title='AlGaN/GaN Micro-Hall Effect Devices for Simultaneous Current and Temperature Mea'; year=2018; venue=IEEE Sensors Journal; first_author=Thomas P. White,title='AlGaN/GaN Micro-Hall Effect Devices for Simultaneous Current and Temperature Mea'; years=[2018]; venue=IEEE Sensors Journal; first_author_family=White; type=journal-article,https://api.crossref.org/works/10.1109/JSEN.2018.2794264,match,none,none,stratum=cell:A/metadata_only; tier=B; access=metadata_only
AUD004,S0020,bibliographic_identity,title/year/venue/first_author/doi,title='Contact size effects on the van der Pauw method for resistivity and Hall coeffic'; year=1974; venue=Solid-State Electronics; first_author=Ronald Chwang,"title='Contact size effects on the van der Pauw method for resistivity and Hall coeffic'; years=[1974, 2002]; venue=Solid-State Electronics; first_author_family=Chwang; type=journal-article",https://api.crossref.org/works/10.1016/0038-1101(74)90001-x,match,none,none,stratum=band:pre1990; tier=A; access=metadata_only
AUD005,S0033,bibliographic_identity,title/year/venue/first_author/doi,title='A low-offset spinning-current Hall plate'; year=1990; venue=Sensors and Actuators A: Physical; first_author=P.J.A. Munter,"title='A low-offset spinning-current hall plate'; years=[1990, 2002]; venue=Sensors and Actuators A: Physical; first_author_family=Munter; type=journal-article",https://api.crossref.org/works/10.1016/0924-4247(89)80069-X,match,none,none,stratum=targeted; tier=A; access=abstract_metadata
AUD006,S0035,bibliographic_identity,title/year/venue/first_author/doi,title='Offset reduction in Hall devices by continuous spinning current method'; year=1998; venue=Sensors and Actuators A: Physical; first_author=R. Steiner,"title='Offset reduction in Hall devices by continuous spinning current method'; years=[1998, 2002]; venue=Sensors and Actuators A: Physical; first_author_family=Steiner; type=journal-article",https://api.crossref.org/works/10.1016/S0924-4247(98)00003-X,match,none,none,stratum=targeted; tier=A; access=metadata_only
AUD007,S0040,bibliographic_identity,title/year/venue/first_author/doi,title='Low Power CMOS-Based Hall Sensor with Simple Structure Using Double-Sampling Del'; year=2020; venue=Sensors; first_author=Ju Yong Lee,title='Low Power CMOS-Based Hall Sensor with Simple Structure Using Double-Sampling Del'; years=[2020]; venue=Sensors; first_author_family=Lee; type=journal-article,https://api.crossref.org/works/10.3390/s20185285,match,none,none,stratum=cell:A/full_text; tier=B; access=full_text
AUD008,S0043,bibliographic_identity,title/year/venue/first_author/doi,title='CMOS chopper amplifier for monolithic magnetic hall sensor'; year=2007; venue=2007 7th International Conference on ASIC (ASICON); first_author=Wen-Rong Yang,"title='CMOS chopper amplifier for monolithic magnetic hall sensor'; years=[2007, 2008]; venue=2007 7th International Conference on ASIC; first_author_family=Wen-Rong Yang; type=proceedings-article",https://api.crossref.org/works/10.1109/ICASIC.2007.4415661,match,none,none,stratum=tierC; tier=C; access=abstract_metadata
AUD009,S0047,bibliographic_identity,title/year/venue/first_author/doi,title='Compensation of the Temperature-Dependent Offset Drift of a Hall Sensor'; year=1997; venue=Sensors and Actuators A: Physical; first_author=Hubert Blanchard,"title='Compensation of the temperature-dependent offset drift of a Hall sensor'; years=[1997, 2002]; venue=Sensors and Actuators A: Physical; first_author_family=Blanchard; type=journal-article",https://api.crossref.org/works/10.1016/S0924-4247(96)01411-2,match,none,none,stratum=cell:A/metadata_only; tier=A; access=metadata_only
AUD010,S0052,bibliographic_identity,title/year/venue/first_author/doi,title='A New Design of a CMOS Vertical Hall Sensor with a Low Offset'; year=2022; venue=Sensors; first_author=Fei Lyu,title='A New Design of a CMOS Vertical Hall Sensor with a Low Offset'; years=[2022]; venue=Sensors; first_author_family=Lyu; type=journal-article,https://api.crossref.org/works/10.3390/s22155734,match,none,none,stratum=cell:A/full_text; tier=B; access=full_text
AUD011,S0054,bibliographic_identity,title/year/venue/first_author/doi,title='Review--Ionizing Radiation Damage Effects on GaN Devices'; year=2016; venue=ECS Journal of Solid State Science and Technology; first_author=S. J. Pearton,"title='Review—Ionizing Radiation Damage Effects on GaN Devices'; years=[2015, 2016]; venue=ECS Journal of Solid State Science and Technology; first_author_family=Pearton; type=journal-article",https://api.crossref.org/works/10.1149/2.0251602jss,match_after_adjudication,none,none,stratum=targeted; tier=A; access=abstract_metadata; flag ['TITLE_DIFF'] adjudicated benign: em-dash vs '--' transliteration only
