"rank","idea_id","lane","concept_short","score_total","p4_confidence","redteam_decision","residual_risk","tier","us_beachhead","china_beachhead","dual_market","markets","product_role_class","customer_class","first_experiment_budget_usd","experiment_by_2028","engagement_by_2029","g7_pass","deep_dive"
"1","P3R2-D-02","L03","Reel-to-reel contactless REBCO tape quality metrology (Hall-array critical-current mapping + delamination screening) sold to tape vendors and magnet builders as certified acceptance instrumentation.","81.9","high","survive","medium","1","True","True","True","US;China;Japan","diagnostic_test_only","industrial","120000","True","True","True","D01.md"
"2","P3R2-C-01","L02","800-VDC rack power-path protection","80.5","high","survive","medium","1","True","True","True","US;China;Taiwan;Japan","safety_critical_subsystem","industrial","350000","True","True","True","D02.md"
"3","P3R2-C-05","L14","Standards-grade thermal emulation and conformance metrology","78.3","high","survive","medium","1","True","True","True","US;China","diagnostic_test_only","industrial","150000","True","True","True","D03.md"
"4","P3R2-D-10","L12","Coherent-beam-combining phase-control engine","78.7","high","survive","medium","1","True","False","False","US","process_value_subsystem","defense_prime","250000","True","True","True","D04.md"
"5","P3R2-E-14","L08","Multi-terminal DC fault-discrimination protection relay plus vendor-neutral hardware-in-the-loop qualification platform for MVDC datacenter distribution and HVDC converter stations - the 'SEL of DC grids.'","75.5","high","survive","medium","1","True","False","False","US;South Korea","safety_critical_subsystem","infrastructure_utility_transport","300000","True","True","True","D05.md"
"6","P3R2-A-14","L15","300C-class mixed-signal instrumentation electronics platform (SiC/SOI) for superhot geothermal, downhole, and turbine environments","74.8","high","survive","medium","1","True","False","False","US","process_value_equipment","industrial","850000","True","True","True","D06.md"
"7","P3R2-D-01","L03","Merchant quench-detection-and-protection subsystem for REBCO/HTS magnets","72.9","medium","survive","medium","1","True","False","False","US","safety_critical_subsystem","scientific_big_physics","250000","True","True","True","D07.md"
"8","P3R2-A-10","L06","Vendor-neutral ion-energy-distribution metrology + tailored-waveform bias control retrofit for plasma etch chambers","74.2","medium","repair","medium","1","True","True","True","US;China","process_value_subsystem","industrial","450000","True","True","True","D08.md"
"9","P3R2-C-13","L12","Precision GaN pump-driver and laser-power modules","74.2","medium","repair","medium","2","True","True","True","US;China","process_value_subsystem","industrial","180000","True","True","True",""
"10","P3R2-F-01","L06","Solid-state microsecond impedance-matching engines (switched SiC/PIN capacitor arrays replacing motorized vacuum-capacitor matchboxes) for pulsed and tailored-waveform RF plasma tools","73.2","medium","repair","medium","2","True","True","True","US;China","process_value_subsystem","industrial","250000","True","True","True",""
"11","P3R2-A-05","L07","US merchant NEG-coating and low-outgassing surface engineering line for UHV/XHV chambers (accelerators, quantum, EUV, space simulation)","72.1","high","survive","medium","2","True","False","False","US","process_value_service","scientific_big_physics","250000","True","True","True",""
"12","P3R2-C-09","L05","Standardized solid-state pulsed-power platform","72","medium","survive","medium","1","True","True","True","US;China;South Korea","power_platform","industrial","500000","True","True","True","D09.md"
"13","P3R2-C-22","L11","Electrolyzer stack degradation-emulation and bankability test systems","71.4","medium","survive","medium","1","True","True","True","US;China","diagnostic_test_only","industrial","250000","True","True","True","D10.md"
"14","P3R2-C-08","L04","Thermal-shock-tolerant printed-circuit heat exchangers (PCHE)","69","medium","survive","high","2","True","True","True","US;China","process_value_equipment","industrial","600000","True","True","True",""
"15","P3R2-G-03","L02","DC-conversion acceptance and commissioning instrumentation","67.8","medium","survive","medium","2","True","True","True","US;China","diagnostic_test_only","infrastructure_utility_transport","300000","True","True","True",""
"16","P3R2-E-04","L13","High-density cryogenic interconnect loader with co-packaged 4K readout front-end (superconducting flex harness + cryo-CMOS multiplexing + cryo-LNA), breaking the 256-channel-per-loader wall for quantum computers.","67.9","medium","repair","high","2","True","False","False","US","process_value_subsystem","scientific_big_physics","500000","True","True","True",""
"17","P3R2-D-09","L05","Charge-buildup-immune beam current and dose metrology for ultra-high-dose-rate (FLASH) and industrial electron beams -- the traceable ammeter the field admits it lacks.","67.4","medium","survive","medium","3","True","False","False","US","diagnostic_test_only","scientific_big_physics","150000","True","True","True",""
"18","P3R2-A-22","L01","Modular plasma destruction units for concentrated PFAS waste streams (spent AFFF, IX regenerant, membrane reject) for DoD and water utilities","66.9","medium","survive","high","3","True","False","False","US","process_value_equipment","defense_prime","550000","True","True","True",""
"19","P3R2-C-04","L14","PFAS-free pumped two-phase direct-to-chip cooling loop","66.6","medium","survive","high","3","True","True","True","US;China","process_value_subsystem","industrial","400000","True","True","True",""
"20","P3R2-D-19","L16","Distributed composite-flywheel kinetic buffers for off-grid AI power plants","64.9","medium","survive","high","3","True","False","False","US","process_value_subsystem","infrastructure_utility_transport","350000","True","True","True",""
"21","P3R2-F-16","L01","Inline-metrology plasma surface-treatment machines for PCB and advanced-packaging substrates","64.8","medium","survive","high","3","False","True","False","China;Taiwan;South Korea","process_value_equipment","industrial","200000","True","True","True",""
"22","P3R2-F-19","L14","In-service coolant-health monitoring and side-stream conditioning skids for liquid-cooled AI-datacenter fleets (chemistry, particulates, bio-fouling, wear-metal telemetry with automated correction)","64.6","medium","survive","medium","3","True","True","True","US;China","process_value_subsystem","industrial","300000","True","True","True",""
"23","P3R2-F-23","L11","PEM electrolyzer 'protective operating envelope' controllers with warranty-grade black-box logging","63.4","low","repair","high","3","True","True","True","US;China","process_value_subsystem","infrastructure_utility_transport","300000","True","True","True",""
"24","P3R2-D-16","L09","Merchant 100 kWe-class space closed-Brayton power conversion unit and high-voltage PMAD for fission surface power -- the converter layer for the reactor decade.","63","low","survive","high","3","True","False","False","US","process_value_subsystem","scientific_big_physics","500000","True","True","True",""
