task_id,artifact_scope,requested_model,requested_effort,observed_model,observed_effort,evidence_path,evidence_strength,downgrade,verdict
LAUNCH-CONFIG-1,"config/support: launcher session-1 route configuration (orchestrator Fable/xhigh; source agents Sonnet high-medium); nothing generated","claude-fable-5 (critical) + claude-sonnet-5 (scouts)","xhigh (critical); high/medium (scouts)","NOT_APPLICABLE (configuration event; no generation executed)",NOT_RECORDED,"sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 2-3, status=configured, source=launcher); sources/old06/98_RUN_LOGS/LAUNCHER_LOG.md (2026-07-12T00:27:11 block)",config_request_only,none_recorded,UNKNOWN
LAUNCH-PROBE-CRITICAL,"config/support: launcher availability probe of the critical Fable route before session 1","claude-fable-5",xhigh,"claude-fable-5 per launcher self-report only (probe status=passed; no independent runtime record)",NOT_RECORDED,"sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (line 4, probe-critical passed); sources/old06/98_RUN_LOGS/LAUNCHER_LOG.md",config_request_only,none_recorded,PARTIAL_PROVENANCE
LAUNCH-PROBE-SCOUT,"config/support: launcher availability probe of the Sonnet scout route before session 1","claude-sonnet-5",low,"claude-sonnet-5 per launcher self-report only (probe status=passed)",NOT_RECORDED,"sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (line 5, probe-scout passed); sources/old06/98_RUN_LOGS/LAUNCHER_LOG.md",config_request_only,none_recorded,PARTIAL_PROVENANCE
LAUNCH-CONFIG-2,"config/support: launcher session-2 (resume) route configuration","claude-fable-5 + claude-sonnet-5","xhigh; high/medium","NOT_APPLICABLE (configuration event)",NOT_RECORDED,"sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 67-68); sources/old06/98_RUN_LOGS/LAUNCHER_LOG.md (10:38:45 block)",config_request_only,none_recorded,UNKNOWN
LAUNCH-CONFIG-3,"config/support: launcher session-3 (resume) route configuration","claude-fable-5 + claude-sonnet-5","xhigh; high/medium","NOT_APPLICABLE (configuration event)",NOT_RECORDED,"sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 77-78); sources/old06/98_RUN_LOGS/LAUNCHER_LOG.md (10:55:03 block)",config_request_only,none_recorded,UNKNOWN
LAUNCH-CONFIG-4,"config/support: launcher session-4 (resume) route configuration","claude-fable-5 + claude-sonnet-5","xhigh; high/medium","NOT_APPLICABLE (configuration event)",NOT_RECORDED,"sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 131-132); sources/old06/98_RUN_LOGS/LAUNCHER_LOG.md (17:12:40 block)",config_request_only,none_recorded,UNKNOWN
LAUNCH-CONFIG-5,"config/support: launcher session-5 (resume) route configuration","claude-fable-5 + claude-sonnet-5","xhigh; high/medium","NOT_APPLICABLE (configuration event)",NOT_RECORDED,"sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (lines 231-232); sources/old06/98_RUN_LOGS/LAUNCHER_LOG.md (2026-07-13T09:07:37 block)",config_request_only,none_recorded,UNKNOWN
PATCH-GEOGRAPHY-SCOPE,"config/support: user geography-scope directive applied 2026-07-12T20:34Z between Claude sessions; edited mission rules AND removed excluded-market content from seed batches A-D; NOT in the routing log","not recorded (no routing entry; patch applied outside any logged Claude session)",not recorded,"UNKNOWN (no model execution record exists for the patch application or the seed-file reconciliation edits)",NOT_RECORDED,"sources/old06/05_STATE/GEOGRAPHY_SCOPE_PATCH_2026-07-12.md; sources/old06/05_STATE/PROGRESS_LOG.md (line 18, 20:34:49Z scope-patch checkpoint); routing log has no corresponding entry",absent,not_recorded,UNKNOWN
PATCH-P3-ROUND2-USCN,"config/support: patch configuring P3 round-2 US/China regeneration with five Fable/xhigh batches plus independent Fable/xhigh elegance adjudication; configuration only","claude-fable-5",xhigh,"NOT_APPLICABLE (actual_model=not_run_patch_configuration in log)",NOT_RECORDED,"sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (line 128, source=patch); sources/old06/05_STATE/P3_US_CHINA_WEIGHTING_PATCH_2026-07-12.md; sources/old06/05_STATE/PROGRESS_LOG.md (line 19)",config_request_only,none_recorded,UNKNOWN
PATCH-INDIA-AUDIT,"config/support: patch configuring the P2A India source-origin audit (Sonnet 5/high batches then Fable 5/xhigh adjudication); configuration only","claude-sonnet-5 then claude-fable-5","high then xhigh","NOT_APPLICABLE (actual_model=not_run_patch_configuration in log)",NOT_RECORDED,"sources/old06/98_RUN_LOGS/MODEL_ROUTING_LOG.jsonl (line 129, source=patch); sources/old06/05_STATE/PRE_P3_INDIA_SOURCE_AUDIT_DIRECTIVE.md; sources/old06/05_STATE/PROGRESS_LOG.md (line 20)",config_request_only,none_recorded,UNKNOWN
