cost_item,old_corrected_A_per_head,cost_down_D1_per_head,quote_quantity_for_1_head,quote_quantity_for_3_heads,quote_quantity_for_10_heads,old_process_or_driver,new_process_or_driver,expected_direction,status,evidence_or_gate
fixed_structural_ceramic_seat,3,0,0,0,0,"flat zirconia seat with window/notch and post-fire DFM","deleted; cartridge guard seats directly on formed Ti hard-stop lands","largest ceramic-NRE removal; exact dollars require comparable quote",VERIFIED DESIGN CHANGE,D30D-030
reusable_flat_ceramic_guard,3,3,3,9,30,"protected-cartridge guard not separated from structural ceramic quote","one 10.90 x 10.90 x 0.635-mm flat stock-substrate guard with through window and edge notch; laser-cut alumina baseline","lower tooling and process complexity expected; material/edge/UHV qualification open",HOLD - DO NOT ORDER,S056-S058 and G30D-01
structural_frame,1,1,1,3,10,"connected machined CP-Ti cage/backframe/nut-reaction geometry","one laser-cut flat CP-Ti blank with two main 90-degree bends plus four simple vented posts","lower setup and machining time expected; bend fixture and coining added",HOLD - DO NOT FABRICATE,G30D-03 live sheet-metal RFQ
face_clamp,3,3,3,9,30,"15.60-mm formed frames with two holes each","13.40-mm laser-cut hook straps with two integral hooks and one hole","lower material and hole count expected; flexure/hook validation added",HOLD - DO NOT FABRICATE,G30D-04
face_screw,6,3,3,9,30,"six external face screws","three external face screws","50-percent quantity reduction",HOLD - DO NOT ORDER,G30D-04/G30D-05 exact hardware
face_nut_plate,6,3,3,9,30,"six open-sided nut plates","three open captive nut plates","50-percent quantity reduction",HOLD - DO NOT ORDER,G30D-05
separate_nut_keeper,6,0,0,0,0,"six separate keepers/retainers","integral formed retaining lance in Ti blank; carries no clamp load","six discrete parts and their assembly operations removed",HOLD - DO NOT FABRICATE,G30D-05 lance test
support_post,4,4,4,12,40,"four connected/proposed CP-Ti posts","four simple vented CP-Ti standoffs","approximately unchanged recurring quantity",HOLD - DO NOT ORDER,G30D-06 exact interface
strain_relief_branch,3,3,3,9,30,"three clips/nuts plus ceramic comb","three clips/nuts plus ceramic comb at larger open base notches","approximately unchanged; retain independent branches",HOLD - DO NOT ORDER,G30D-06
kernel_collision_envelopes,39,20,not_applicable,not_applicable,not_applicable,"corrected final conceptual assembly","cost-down conceptual assembly","19 fewer modeled envelopes; not a procurement-BOM price",VERIFIED CALCULATION,30D_CAD_KERNEL_REPORT.txt
face_retention_discrete_parts,21,9,not_applicable,not_applicable,not_applicable,"3 clamps + 6 screws + 6 nuts + 6 keepers","3 clamps + 3 screws + 3 captive nuts","12 fewer parts or 57-percent reduction on this controlled basis",VERIFIED CALCULATION,D30D-040/D30D-041
support_frame_material_volume_mm3,440.917,324.6,not_applicable,not_applicable,not_applicable,"prior connected cage including posts","folded bracket plus four vented posts","about 26-percent lower geometric material proxy; not a cost estimate",VERIFIED CALCULATION,50 and 30D kernel reports
ceramic_first_article_inspection,1_lot,1_lot,1,1,1,"zirconia DFM shrink/window/edge/flatness inspection","flat-substrate thickness/flatness/window/notch/edge-chip/cleanliness inspection","simpler measurement plan; qualification is not eliminated",HOLD - DO NOT ORDER,G30D-01
metal_first_article_inspection,1_lot,1_lot,1,1,1,"machined cage GD&T plus flexure/nut keeper","flat-pattern/bend angle/coined-land/slot/ligament plus flexure/nut lance","machining inspection replaced by forming/metrology inspection",HOLD - DO NOT ORDER,G30D-03/G30D-04/G30D-05
calibration_and_hot_cycle,1_system,1_system,1,3,10,"three-axis metrology and vector calibration","same plus proof that formed-axis matrix is stable after hot cycles and one service","no reduction allowed because measurement performance is the priority",HOLD - PERFORMANCE CLAIM,G30D-07
accepted_cost_formula,not_numeric,not_numeric,1,3,10,"NRE/Q + accepted parts + assembly + inspection + yield/scrap + service spares","same formula with qualification/chamber cost reported separately","obtain drawing-identical quotes; do not infer percentage savings from part count",HOLD - DO NOT ORDER,G30D-08 comparable vendor RFQs
