claim_id,claim,classification,evidence_path,evidence_locator,status,confidence,notes
C001,"An AlGaN/GaN Hall-effect sensor was fabricated, packaged, and deployed inside HSX for in-situ magnetic field monitoring near the plasma edge",supplied_fact,../01_Publications/submitted/regular_lsens/regular_lsens.tex,abstract lines 427-429,active_in_manuscript,high,"Fabrication/deployment fact; not a novelty or performance claim by itself"
C002,"The sensor was voltage-biased at 0.4 V",supplied_fact,../01_Publications/submitted/regular_lsens/regular_lsens.tex,Sec. II-C line 483,active_in_manuscript,high,"Matches figure3.m legend 'Biased Sensor, V_bias = 0.4 V'"
C003,"Readout chain provides 200 V/V gain and 1 MHz bandwidth",supplied_fact,../01_Publications/submitted/regular_lsens/regular_lsens.tex,Sec. II-C line 483; abstract line 428,active_in_manuscript,medium,"Reviewer 1 explicitly asks how the 1 MHz figure was established and whether it is device- or amplifier-limited (Decision_Letter_IEEE_2026-07-23.pdf p.3) -- basis for the number is not shown in the manuscript itself"
C004,"During 68 consecutive plasma discharge shots the sensor remained functional",supplied_fact,../01_Publications/submitted/regular_lsens/regular_lsens.tex,abstract line 428; Sec. III-A line 496,active_in_manuscript,medium,"Shot-count claim; only 4 specific shots (18/19/21/63/65/68/72) are individually traceable to supplied raw files in this stage, see 00_CONFLICT_LEDGER Conflict 2 -- full 1-68 range not exhaustively file-verified"
C005,"Comparisons between biased/unbiased and plasma/coil-only operation confirm the response originates from the biased Hall-effect sensor element",inference,../01_Publications/submitted/regular_lsens/regular_lsens.tex,Sec. III-A line 496; ../07_HSX_august2025_results/hsx_20250821/figure3.m,active_in_manuscript,medium,"Authors' inference from the four-trace comparison; internally consistent with the scope_62/66/72 data inspected in Stage 00 but is an interpretive claim, not a directly measured field value"
C006,"Sensor output exhibits temporal correlation with plasma stored energy from the HSX diamagnetic loop across high-energy, late-breakdown, and failed-breakdown discharges",inference,../01_Publications/submitted/regular_lsens/regular_lsens.tex,Sec. III-B lines 503-504; Fig. 5,active_in_manuscript,medium,"Qualitative temporal-pattern claim across shots 21/18/19; supported by the .dat stored-energy files inspected in Stage 00, but is a correlation claim, not a calibrated field measurement"
C007,"Absolute calibration of V_off and its temperature dependence remain future work",supplied_fact,../01_Publications/submitted/regular_lsens/regular_lsens.tex,Sec. II-C line 487; Conclusion line 506,active_in_manuscript,high,"Authors' own explicit admission -- this is the gap both reviewers and the AE independently raised as the primary weakness"
C008,"Only one sensor module was tested; no repeatability data across fabrication iterations was provided",supplied_fact,inputs/Decision_Letter_IEEE_2026-07-23.pdf,AE comments p.2,active_in_manuscript,high,"Editor's direct characterization of the submission, corroborated by absence of any multi-device dataset in ../07_HSX_august2025_results/"
C009,"Reviewer 1 assesses the device as novel and unique to their knowledge, and states the work is worth publishing even without added calibration data",supplied_fact,inputs/Decision_Letter_IEEE_2026-07-23.pdf,Reviewer 1 general comments p.3,active_in_manuscript,high,"Direct quote; a positive novelty signal that coexists with Reviewer 2's negative novelty assessment (C010) -- reviewers disagree on this exact point"
C010,"Reviewer 2 assesses the paper as lacking sufficient novelty because GaN 2DEG Hall devices for dynamic field detection have been reported previously, and recommends rejection",supplied_fact,inputs/Decision_Letter_IEEE_2026-07-23.pdf,Reviewer 2 comments p.3-4,active_in_manuscript,high,"Direct quote; contradicts Reviewer 1's novelty assessment (C009) -- both are supplied facts about differing reviewer opinions, not reconciled by this stage"
C011,"The Associate Editor's primary concern is that the paper shows changes in sensing values but not the intended sensand (magnetic field) itself, and requests a comparison table against other GaN sensors",supplied_fact,inputs/Decision_Letter_IEEE_2026-07-23.pdf,AE comments p.2,active_in_manuscript,high,"Direct quote; this is the controlling editorial rationale for the decline, distinct from either individual reviewer's comments"
C012,"Manuscript decision is a decline-with-invitation-to-revise under the same manuscript ID, not a final rejection",supplied_fact,inputs/Decision_Letter_IEEE_2026-07-23.pdf,p.1,active_in_manuscript,high,"'Decision letter (Initial Submission)... decline... invite you to consider submitting a revised manuscript... new Manuscript ID and reviewed again'"
C013,"AlGaN/GaN Hall-effect sensor maintained stable current-scaled sensitivity from room temperature up to 576 degC in prior thermal characterization experiments",supplied_fact,../01_Publications/submitted/regular_lsens/regular_lsens.tex,Sec. I line 451 citing ref11,active_in_manuscript,high,"Cited to Alpert et al. 2020 Rev. Sci. Instrum. (ref15/ref11 lineage, Senesky-group prior work per Dowling dissertation ref15) -- not a claim of this manuscript's own new data"
C014,"The paper was published in IEEE Sensors Letters in 2023",prior_project_claim,../CLAUDE.md; ../01_PhD_Research_Folder_Info.md; ../05_HSX_ChatGPT_Windows_App/inputs/project/CONTEXT_PRIMER.md,parent CLAUDE.md Trajectory item 1; folder info line 4; CONTEXT_PRIMER.md line 11,contradicted,high,"Directly contradicted by controlling evidence in 00_CONFLICT_LEDGER.md Conflict 1 (byte-identical PDF, 2-Jul-2026 creation metadata, 23-Jul-2026 decline letter, unfilled DOI/AE fields). Confidence reflects certainty of the contradiction, not the claim itself"
C015,"HSX operates with a 1 T on-axis magnetic field and up to 200 kW of launched 28 GHz ECRH power",supplied_fact,../01_Publications/submitted/regular_lsens/regular_lsens.tex,abstract line 427; Sec. III-A line 494-496,active_in_manuscript,high,"Facility operating parameters, cited to ref13/ref14 (HSX design papers)"
