requirement_id,user_requirement,interpretation,stage,deliverable,acceptance_test,status,notes
R01,"Additional hybrid literature beyond folder 06","Independently sourced peer-reviewed evidence on Hall+coil/integrator fusion, observer/state-estimator design, and calibration references, distinct from 06's ledger","10a_literature_hybrid","evidence\10A_HYBRID_SOURCES.csv; evidence\10A_HYBRID_SYNTHESIS.md","Lane contains >=40 verified_peer_reviewed unique rows (SOURCE_POLICY.md hybrid-lane gate); contributes toward the final >=25-row hybrid/coil/integrator/sensor-fusion topic quota","pending","Seeded, not pre-accepted, by LITERATURE_SEEDS.md 'Direct Hall + coil / integrator work' section; stage not yet started"
R02,"Radiation sensitivity, bias, and compensation literature and design","Dedicated radiation-effects evidence lane plus a downstream compensation architecture, since 06 has no standalone radiation topic category","10b_literature_radiation; 30_radiation_compensation","evidence\10B_RADIATION_SOURCES.csv; evidence\10B_RADIATION_SYNTHESIS.md; outputs\03_RADIATION_COMPENSATION_ARCHITECTURE.md; outputs\03_SIMULATION_AND_VALIDATION_PLAN.md; outputs\03_RADIATION_RISK_REGISTER.csv","Lane contains >=45 verified_peer_reviewed unique rows; final ledger carries >=30 radiation/irradiation-tagged rows; architecture names >=3 budget tiers with stop/go gates (DECISION_FRAMEWORK.md; 30_radiation_compensation.md acceptance)","pending","06's nearest tag is a combined temperature/radiation/packaging/calibration bucket (117 rows), not a dedicated radiation lane -- see 00_CONFLICT_LEDGER.md C3"
R03,"Bidirectional/mutual calibration hypothesis (can the coil identify Hall drift and can Hall correct coil/integrator drift)","Formal state/parameter observability or structural-identifiability test of the augmented (B, S_H, b_H, K_C, integrator-drift) system under DECISION_FRAMEWORK.md's 5 named scenarios, not an assumption of feasibility","20_observability","outputs\02_OBSERVABILITY_AND_IDENTIFIABILITY.md; outputs\02_MUTUAL_CALIBRATION_FEASIBILITY.md; outputs\02_ESTIMATOR_REQUIREMENTS.csv","Each of the 5 DECISION_FRAMEWORK.md scenarios (bench calibration; non-radiation operation; radiation exposure; long pulse; fast transient) has observable/unobservable states, excitation/reference requirements, and an estimator/uncertainty method stated explicitly","pending","06 endorsed hybrid fusion (WP-D) as feasible by citing tokamak Kalman-fusion precedent, not by deriving identifiability for this architecture -- see 00_CONFLICT_LEDGER.md C4; MISSION.md: 'Treat that as a hypothesis to test'"
R04,"Application/research-group strategy (which fields/groups deserve collaboration effort)","Scored prioritization across tokamak, stellarator, z-pinch/pulsed power, magneto-inertial fusion, HTS magnets/rotating machinery, and other candidates, with vetoes, and with no outreach performed","40_applications_collaboration","outputs\04_APPLICATION_SCORECARD.csv; outputs\04_COLLABORATION_STRATEGY.md; outputs\04_COLLABORATOR_CANDIDATES.csv","Each application scored 0-5 across DECISION_FRAMEWORK.md's 10 criteria with stated evidence/uncertainty; veto conditions checked explicitly; no external contact made","pending","Broader than 06's narrowly HSX/Senesky-group-fit scope by mission design"
R05,"Limitations and comparison against credible alternatives","Comparison of the Hall+coil hybrid against fluxgate, AMR/GMR/TMR, fiber-optic/Faraday, NMR, SQUID, NV-center, and resonant/MEMS sensors within matched field/bandwidth/radiation/temperature/geometry/cost regimes, plus named failure modes","50_limitations_comparison","outputs\05_LIMITATIONS_AND_FAILURE_MODES.md; outputs\05_TECHNOLOGY_COMPARISON.csv; outputs\05_FALSIFICATION_TESTS.md","Comparison table covers all technologies named in LITERATURE_SEEDS.md 'Alternative technologies'; every limitation traces to a source ID or is labeled inference/proposal","pending","06 touches this only incidentally via its 65-row 'low-fabrication novelty' tag; not built to this mission's comparison structure"
R06,"Accuracy-versus-budget options","Explicit 3-tier accuracy/budget framework (Tier 1 bench truth; Tier 2 self-test hybrid; Tier 3 environmental qualification) with go/no-go decision gates, distinct from 06's ad hoc bench-cost numbers","60_research_program; 30_radiation_compensation (partial)","outputs\06_INTEGRATED_RESEARCH_PROGRAM.md; outputs\06_DECISION_GATES_AND_ROADMAP.md; outputs\03_RADIATION_COMPENSATION_ARCHITECTURE.md","Program and/or architecture documents name >=3 budget tiers matching DECISION_FRAMEWORK.md's definitions, each with explicit stop/go criteria, and cite sourced or clearly-labeled-estimate cost drivers only","pending","06 has cost figures (for example ~$90 calibration BOM) but not this mission's named tier structure"
R07,"Model/effort routing (use Fable 5 at suitable effort for the most critical parts; log all adjustments)","Every stage runs its EXECUTION_PLAN.md/MODEL_POLICY.md-assigned model and effort; auxiliary/subagent model use is logged but not a downgrade; only the Fable-assigned stages' final result is an integrity gate","cross-cutting (all 12 stages); enforced by RUN_HYBRID_RADIATION_ANALYSIS.ps1 and MODEL_POLICY.md","state\MODEL_EFFORT_LOG.csv rows per stage; state\attempts\<stage>.json","Every stage's requested_model/requested_effort in the attempt/log files matches its EXECUTION_PLAN.md row; 7 of 12 stages show fable/xhigh; auxiliary models appear only in an auxiliary_models field, never as the flagged result_model","in_progress","This stage's own attempt confirmed: state\attempts\00_inventory.json shows requested_model=sonnet, requested_effort=high, matching EXECUTION_PLAN.md row 1 -- consistent"
R08,"Performance logs (duration, turns, tokens, cost, web-tool counts, validation status, source count)","Durable per-stage telemetry captured by the runner without fabricating missing fields","cross-cutting; runner-owned (RUN_HYBRID_RADIATION_ANALYSIS.ps1)","state\PERFORMANCE_LOG.csv; state\OPERATION_LOG.csv; state\CLAUDE_EVENT_LOG.jsonl; state\SESSION_INDEX.csv","Each completed stage has a corresponding row/event with duration, turn count, and token/cost fields where Claude reports them; missing telemetry is recorded as zero/blank, never estimated (per MODEL_POLICY.md 'Logs')","pending","Header rows exist; no stage has completed yet so no data rows are populated"
R09,"Two-strike Fable behavior (pause, regenerate prompt, retry once with Fable; on a second failure, stop rather than silently substitute a provider)","First non-Fable/unverifiable final result on a Fable-assigned stage: quarantine outputs, checkpoint, generate a clarified benign-academic prompt, retry once in a fresh Fable safe-mode session. Second failure in the same cycle: quarantine, checkpoint, and pause for manual review -- no automatic external-provider call","cross-cutting; mechanism in RUN_HYBRID_RADIATION_ANALYSIS.ps1 (Resolve-ModelIntegrityAction) and CHECKPOINT_PROTOCOL.md/MODEL_POLICY.md","state\handoff_history\<retry>; state\CHATGPT_HANDOFF_STATE.json/.md; regenerated prompt with the '===== FABLE 5 FINAL-RESULT RETRY =====' banner and --safe-mode flag","If triggered: first event produces a fresh Fable retry with --safe-mode and a preserved handoff_history archive; second event produces workflow status MANUAL_CONTINUATION_REQUIRED with no MCP/external-provider call (--disallowedTools mcp__* confirmed in OFFICIAL_SETUP_REFERENCES.md)","not yet exercised","Zero Fable-assigned stages have run; mechanism verified by reading the runner code, not by observing a real trigger. Deviates from the literal original ask (06\inputs\ORIGINAL_REQUEST.txt wanted an automatic Codex MCP 5.6-sol fallback on the second failure) -- see 00_CONFLICT_LEDGER.md C1"
R10,"Checkpoints, run/resume, and full package (one command, least manual interaction, full read/write permission inside the folder)","Every stage writes a checkpoint and completion marker; re-running the launcher with -Resume skips completed stages and resumes in-progress ones from durable files; the mission ships its own runner, validator, and manifest","cross-cutting; CHECKPOINT_PROTOCOL.md, RESUME_GUIDE.md, PACKAGE_MANIFEST.md, VALIDATE_PACKAGE.ps1","state\checkpoints\CP_<stage>_<timestamp>.md; state\markers\<stage>.done.json; RESUME_GUIDE.md commands","Checkpoint and marker exist for every completed stage; a fresh -Resume invocation after a manual stop continues from the latest durable state without repeating validated work","in_progress","This stage's own checkpoint (CP_00_inventory_*) and marker are being produced as part of this closeout"
