old_id,new_id,kept_as,doi
A0001,S0001,S0001,10.1088/1742-6596/352/1/012009
A0002,S0002,S0002,10.1109/TMAG.2012.2196986
A0003,S0003,S0003,10.1063/1.3556617
A0004,S0004,S0004,10.1109/JSEN.2019.2895546
A0005,S0005,S0005,10.1109/LSENS.2019.2898157
A0006,S0006,S0006,10.1063/1.5139911
A0007,S0007,S0007,10.1049/cds2.12067
A0008,S0008,S0008,10.1109/TED.2021.3054360
A0009,S0009,S0009,10.1109/ises54909.2022.00071
A0010,S0010,S0010,10.1109/ACCESS.2025.3539435
A0011,S0011,S0011,10.1109/JSEN.2024.3507799
A0012,S0012,S0012,10.1063/5.0305414
A0013,S0013,S0013,10.1109/TMAG.2008.2003507
A0014,S0014,S0014,10.1109/JSEN.2014.2368074
A0015,S0015,S0015,10.3390/s110100876
A0016,S0016,S0016,10.1088/1361-6501/ac12fe
A0017,S0017,S0017,10.1063/1.2201339
A0018,S0018,S0018,10.1016/j.mseb.2008.11.041
A0019,S0019,S0019,10.1109/JSEN.2018.2794264
A0020,S0020,S0020,10.1016/0038-1101(74)90001-x
A0021,S0021,S0021,10.1016/0038-1101(80)90037-4
A0022,S0022,S0022,10.1063/1.115110
A0023,S0023,S0023,10.1109/jsen.2007.907039
A0024,S0024,S0024,10.1063/1.3597619
A0025,S0025,S0025,10.1109/lmag.2013.2276551
A0026,S0026,S0026,10.3390/s130202093
A0027,S0027,S0027,10.1016/j.sna.2015.11.022
A0028,S0028,S0028,10.3390/s19112490
A0029,S0029,S0029,10.1038/s41528-018-0046-9
A0030,S0030,S0030,10.1038/s41467-020-18007-5
A0031,S0031,S0031,10.1088/1361-6463/abfbfb
A0032,S0032,S0032,10.1038/s41378-025-00876-9
A0033,S0033,S0033,10.1016/0924-4247(89)80069-X
A0034,S0034,S0034,10.1016/0924-4247(91)87081-D
A0035,S0035,S0035,10.1016/S0924-4247(98)00003-X
A0036,S0036,S0036,10.1016/S0924-4247(97)01700-7
A0037,S0037,S0037,10.1109/4.982421
A0038,S0038,S0038,10.1109/4.585275
A0039,S0039,S0039,10.3390/s22166069
A0040,S0040,S0040,10.3390/s20185285
A0041,S0041,S0041,10.1109/ICSENS.2004.1426372
A0042,S0042,S0042,10.1109/84.809062
A0043,S0043,S0043,10.1109/ICASIC.2007.4415661
A0044,S0044,S0044,10.1016/0924-4247(92)80064-A
A0045,S0045,S0045,10.3390/s19163537
A0046,S0046,S0046,10.1016/j.sna.2003.10.001
A0047,S0047,S0047,10.1016/S0924-4247(96)01411-2
A0048,S0048,S0048,10.1016/0924-4247(93)00680-3
A0049,S0049,S0049,10.1016/j.mejo.2021.105067
A0050,S0050,S0050,10.1109/JSEN.2013.2264805
A0051,S0051,S0051,10.5194/jsss-9-391-2020
A0052,S0052,S0052,10.3390/s22155734
A0053,S0053,S0053,10.3390/s120202162
A0054,S0054,S0054,10.1149/2.0251602jss
A0055,S0055,S0055,10.1039/C2TC00039C
A0056,S0056,S0056,10.3390/mi10060406
A0057,S0057,S0057,10.1007/s00542-013-2029-z
A0058,S0058,S0058,10.3390/ma17051147
A0059,S0059,S0059,10.3389/fphy.2022.898833
A0060,S0060,S0060,10.1038/s41928-026-01570-y
A0061,S0061,S0061,10.1016/j.nima.2005.03.038
A0062,S0062,S0062,10.1109/JSEN.2009.2026996
A0063,S0063,S0063,10.1038/s41598-017-13715-3
A0064,S0064,S0064,10.1016/j.radphyschem.2020.109100
A0065,S0065,S0065,10.1088/2631-8695/ac0838
A0066,S0066,S0066,10.1088/1741-4326/aa7867
A0067,S0067,S0067,10.1016/j.fusengdes.2019.01.013
A0068,S0068,S0068,10.1088/1741-4326/ac8aad
A0069,S0069,S0069,10.1016/j.fusengdes.2008.07.045
