step_id,phase,article_or_action,entry_condition,required_evidence_or_test,pass_effect,fail_effect,status
QP-01,requirements,"freeze service and error envelope","project package accepted for controlled development","continuous duration ramps cycles UHV pressure/outgassing magnetic perturbation bandwidth drift shock proof-load and service-cycle limits signed","turns proposal limits into controlled acceptance criteria","remain COMPLETE_WITH_OPEN_GATES; no irreversible work",HOLD - DO NOT FABRICATE/ORDER
QP-02,incoming,"LCC02046 lot and die orientation","QP-01 plus drawing revisions","cavity-up lower-right chamfer photo; 1-20 continuity; purchased finish; GDS/microscope P(q1..q4); no mirror; two-person sign-off","releases one orientation-specific bond traveler","reject/quarantine lot; retain parametric map",HOLD - DO NOT BOND
QP-03,coupons,"353ND die-attach stack","actual die substrate LCC adhesive lot cure and bondline frozen","same-stack continuous-250 C vacuum aging; shear cross-section contamination drift and controls","releases die-attach process window","change process/material and repeat",HOLD - DO NOT BOND
QP-04,coupons,"Al wedge bond process","QP-02/03 and actual pad/finish/wire/tool","DOE then continuous-250 C vacuum resistance pull fracture mode cross-section and controls","releases q-to-shelf bond recipe","change wire/metallization/tool and repeat",HOLD - DO NOT BOND
QP-05,coupons,"fanout tongue microtransition and robust terminal","exact no-Ni metallization conductor terminal weld/crimp and strain-relief geometry frozen","aged resistance pull/shear cross-section magnetic/cleanliness and proof-load tests","releases permanent pigtail transition","change process; no live LCC exposure",HOLD - DO NOT FABRICATE FANOUT
QP-06,connector,"19C system first article","vendor/UW configuration and order gate closed","V1-V19 full mirror permutation; mated CMM keepout; supported wire/contact; hot-vacuum retention; magnetic field map; cleaning","releases controlled feedthrough interface and traveler","revise map/keepout or reject part",HOLD - DO NOT ORDER
QP-07,cable,"two-pair branch first article","exact cable length OD lay screen clamp and conductor termination frozen","3.80-mm go/no-go; delivered OD; bend sweep; proof load; abrasion; capacitance; hot-vacuum; screen isolation","releases corrected corridor or provides new dimensions","regenerate CAD and drawings",HOLD - DO NOT FABRICATE HARNESS
QP-08,ceramic,"zirconia vendor DFM and first article","corrected seat drawing and RFQ issued","grade/process fired/post-ground tolerances radii chips flatness cleaning 1/3/10 quote and CMM/optical report","releases identical seat drawing","redesign features/process",HOLD - DO NOT FABRICATE CERAMIC
QP-09,mechanical,"CP-Ti cage flexure nut keeper fastener coupons","exact grade/form/heat treatment/finish and drawings frozen","connectivity; FEA/contact; force-displacement at 20/250 C; dwell/cycles; galling particles venting magnetic screen and proof load","releases retention hardware for integrated prototype","redesign cage/flexure/hardware",HOLD - DO NOT FABRICATE RETENTION
QP-10,CAD,"production-intent corrected assembly","QP-06 through QP-09 dimensional inputs available","regenerate all parts; GD&T; complete tolerance Monte Carlo/worst case; no overlap; contact/load graph; tool/bend/service motion; STEP reimport","releases NOT-FOR-FABRICATION replacement candidate","iterate; current 50A remains evidence only",HOLD - DO NOT ISSUE PRODUCTION CAD
QP-11,ambient,"three isolated current-source domains","exact sources barriers supplies and limits selected","current accuracy/noise/compliance/reversal/fault energy; channel-to-channel/chassis isolation; cable/sensor bounds","releases emulator-only board power","redesign; no sensor connection",HOLD - DO NOT POWER REAL SENSORS
QP-12,ambient,"board gain/anomaly closure","Board X/Y/Z available with emulator connectors","known injected delta-V; J4 gain polarity linearity phase table; root-cause approximately 109x anomaly","releases trusted board transfer functions","repair/redesign boards",HOLD - DO NOT POWER REAL SENSORS
QP-13,ambient,"isolated control fanout","QP-11 supplies and exact isolators available","power-order/OE safe state levels R5-R8 cable capacitance series R ringing threshold recrossing skew and settling","releases maximum tested phase rate","reduce rate/redesign barrier",HOLD - DO NOT CONNECT SENSOR
QP-14,ambient,"isolated simultaneous acquisition","exact three isolated/differential channels and sync selected","no GND1 cross-tie; input range/noise/common mode; edge-injected aperture skew; simultaneous emulator capture","releases three-axis DAQ baseline","redesign acquisition; grounded BNC use forbidden",HOLD - DO NOT CONNECT SENSOR
QP-15,integration,"complete protected cartridge","QP-02 through QP-05 passed","four paths/isolation hot-vacuum monitoring guard sweep proof load contamination and magnetic screen","releases serialized reusable cartridge","quarantine/rework only by approved process",HOLD - DO NOT RELEASE CARTRIDGE
QP-16,integration,"corrected three-axis head with emulator cartridges","QP-06 through QP-14 passed","envelope/CMM; collision; pump-down; electrical isolation; phase capture; cable motion; fault injection; no electrical load path","releases controlled real-cartridge sequence","return to failed subsystem",HOLD - DO NOT INSTALL
QP-17,service,"one-axis removal/remating","QP-16 plus three instrumented production-intent cartridges","remove X then Y then Z independently; adjacent witness wires; particles/chips; continuity/contact/calibration; operator/tool access","releases service procedure and sacrificial parts list","redesign guard/cage/connector",HOLD - DO NOT RELEASE SERVICE
QP-18,calibration,"three-axis hot vector calibration","integrated head passes QP-16/17","known-field multi-orientation 3x3 matrix at 20/250 C; after bake/service; gain offset orthogonality drift uncertainty","releases measured performance statement","limit use/recalibrate/redesign",HOLD - PERFORMANCE CLAIM
QP-19,release,"final fabrication/order review","all applicable QP evidence linked and configuration frozen","cross-artifact pads chamfer p map pins J1 axes dimensions units BOM sources open-gate and waiver audit","changes state only if every blocking line objectively closes","remain COMPLETE_WITH_OPEN_GATES",HOLD - DO NOT FABRICATE/ORDER
