original_archive_path,fixed_archive_path
PHD_HYBRID_2026-07-27/,P/
PHD_HYBRID_2026-07-27/01_PhD_Research/,P/01/
PHD_HYBRID_2026-07-27/01_PhD_Research/RUN_HYBRID_RADIATION_ANALYSIS.ps1,P/01/RUN_HYBRID_RADIATION_ANALYSIS.ps1
PHD_HYBRID_2026-07-27/01_PhD_Research/UPDATES_2026-07-08.md,P/01/UPDATES_2026-07-08.md
PHD_HYBRID_2026-07-27/01_PhD_Research/reports_index.html,P/01/reports_index.html
PHD_HYBRID_2026-07-27/01_PhD_Research/FABLE_PRIMARY_POLICY_PATCH_2026-07-24.md,P/01/FABLE_PRIMARY_POLICY_PATCH_2026-07-24.md
PHD_HYBRID_2026-07-27/01_PhD_Research/CHATGPT_WINDOWS_CONTINUE.md,P/01/CHATGPT_WINDOWS_CONTINUE.md
PHD_HYBRID_2026-07-27/01_PhD_Research/02_HSX_Hall_Sensor_Readout/,P/01/02_HSX_Hall_Sensor_Readout/
PHD_HYBRID_2026-07-27/01_PhD_Research/02_HSX_Hall_Sensor_Readout/firmware/,P/01/02_HSX_Hall_Sensor_Readout/firmware/
PHD_HYBRID_2026-07-27/01_PhD_Research/02_HSX_Hall_Sensor_Readout/firmware/pico2/,P/01/02_HSX_Hall_Sensor_Readout/firmware/pico2/
PHD_HYBRID_2026-07-27/01_PhD_Research/02_HSX_Hall_Sensor_Readout/firmware/pico2/main.py,P/01/02_HSX_Hall_Sensor_Readout/firmware/pico2/main.py
PHD_HYBRID_2026-07-27/01_PhD_Research/02_HSX_Hall_Sensor_Readout/firmware/pico2/pico2_hsx_phase_clock.py,P/01/02_HSX_Hall_Sensor_Readout/firmware/pico2/pico2_hsx_phase_clock.py
PHD_HYBRID_2026-07-27/01_PhD_Research/02_HSX_Hall_Sensor_Readout/firmware/pico2/pico2_static_bias_p2p4.py,P/01/02_HSX_Hall_Sensor_Readout/firmware/pico2/pico2_static_bias_p2p4.py
PHD_HYBRID_2026-07-27/01_PhD_Research/02_HSX_Hall_Sensor_Readout/firmware/pico2/pico2_spin_scope.py,P/01/02_HSX_Hall_Sensor_Readout/firmware/pico2/pico2_spin_scope.py
PHD_HYBRID_2026-07-27/01_PhD_Research/02_HSX_Hall_Sensor_Readout/firmware/pico2/README.md,P/01/02_HSX_Hall_Sensor_Readout/firmware/pico2/README.md
PHD_HYBRID_2026-07-27/01_PhD_Research/02_HSX_Hall_Sensor_Readout/data/,P/01/02_HSX_Hall_Sensor_Readout/data/
PHD_HYBRID_2026-07-27/01_PhD_Research/02_HSX_Hall_Sensor_Readout/data/2026-07-08_test_spin.csv,P/01/02_HSX_Hall_Sensor_Readout/data/2026-07-08_test_spin.csv
PHD_HYBRID_2026-07-27/01_PhD_Research/02_HSX_Hall_Sensor_Readout/.claude/,P/01/02_HSX_Hall_Sensor_Readout/.claude/
PHD_HYBRID_2026-07-27/01_PhD_Research/02_HSX_Hall_Sensor_Readout/.claude/settings.json,P/01/02_HSX_Hall_Sensor_Readout/.claude/settings.json
PHD_HYBRID_2026-07-27/01_PhD_Research/02_HSX_Hall_Sensor_Readout/docs/,P/01/02_HSX_Hall_Sensor_Readout/docs/
