requirement_id,domain,requirement,source,accepted_evidence,status,finding_ids,required_closure
R-001,environment,"Every in-vessel sensor LCC conductor joint insulation retention and ceramic part shall support continuous UHV operation at 250 deg C",AGENTS.md,"Stage 10 material screen and Stage 40 source recheck; exact bonded stack and several purchased details remain unqualified",CONDITIONAL,"F40-B03;F40-B05;F40-M14","Close the complete-stack continuous-life thermal-vacuum qualification before release"
R-002,environment,"Ambient readout electronics remain outside vacuum",AGENTS.md,"Stage 20 places three amplifier boards current sources logic and DAQ outside the vacuum boundary",PASS,F40-P06,"Preserve the vacuum boundary in final drawings"
R-003,sensors,"Provide three mutually orthogonal Hall sensors",AGENTS.md,"Stage 30 has three orthogonal carrier faces; physical die-axis orientation remains a microscope gate",CONDITIONAL,"F40-B02;F40-M11","Record die axes and install each LCC against the keyed X Y Z face traveler"
R-004,electrical,"The three Hall sensors shall be electrically isolated from one another",AGENTS.md,"Netlist R2 and R3 connect each sensor input to board GND1 through 2.2 kohm; shared scope or star ground creates an inter-axis path",FAIL,F40-B01,"Use independent isolated control and acquisition domains and verify isolation with all cables connected"
R-005,feedthrough,"Exactly twelve sensor conductors cross the feedthrough",AGENTS.md,"Stage 20 assigns four unique V pins per axis and no shield pin",PASS,F40-P03,"Verify first-article continuity against the traveler"
R-006,envelope,"Installed head including clamps fasteners contacts and harness exits fits diameter 31.75 mm by height 27.5 mm",AGENTS.md,"CAD bodies fit the numerical envelope but omit a connected nut-reaction cage and use an undersized harness corridor",FAIL,"F40-B04;F40-B05;F40-B06","Regenerate corrected full-assembly CAD and rerun envelope collision and cable checks"
R-007,service,"Each bonded sensor plus LCC is independently removable reusable and protected during service",AGENTS.md,"Concepts expose independent tool axes and service order but protection features and captured reaction hardware are incomplete",CONDITIONAL,"F40-M06;F40-B05","Demonstrate one-axis service with adjacent instrumented bonds surviving the procedure"
R-008,retention,"No adhesive shall retain reusable LCC modules in the head baseline",AGENTS.md,"Stage 30 retention uses external fasteners and compliant metal elements; die attach is treated separately as a permanent microelectronic joint",PASS,F40-P05,"Keep module retention adhesive-free"
R-009,priority,"After hard gates prioritize fabrication cost then LCC reuse then connection quality",AGENTS.md,"Stage 30 uses the mandated weights but scores concepts while hard gates remain open",CONDITIONAL,F40-M08,"Rescore only after all hard-gate corrections and vendor quotes"
R-010,ceramic,"Recommended ceramic baseline has zero tapped or internal zirconia threads",AGENTS.md,"Stage 30 thread schedule reports zero ceramic threads",PASS,F40-P06,"Maintain zero ceramic threads in released design"
R-011,fasteners,"Prefer smooth through holes and externally accessible nonmagnetic fasteners",AGENTS.md,"Concept drawings provide through holes and external axes but the preferred cage does not yet structurally capture every nut reaction",CONDITIONAL,F40-B05,"Model and draw continuous load paths and captured replaceable nuts"
