"case_id","objective","states","unknown_parameters","known_inputs","excitation","reference","observable_quantities","unobservable_quantities","estimator_candidate","uncertainty_method","fault_test","evidence_ids","verdict","notes"
"CASE1","Track Hall offset drift and integrator drift with both gains pre-calibrated and stable","B(t); x_I; b_H(t); b_C(t) or m(t)","b_H0;b_H1;b_C0;b_C1 (or x_I(0);m;tau_L); field coefficients","S_H;K_C (pre-calibrated); shot timing","natural field waveform incl. dB/dt variation (ramp+flat-top)","pre/post-shot zero-field and zero-dB/dt epochs (ambient/remanent field controlled or known)","b_H;b_C;x_I(0);m;tau_L;B(t) fully (with anchors); quadratic+ field components and b_C1 even without anchors","without anchors: LF trio {field DC/ramp, Hall offset drift, coil offset} (rank deficiency 2)","augmented-state Kalman filter with random-walk bias states (Friedland form); RTS smoother offline","filter/smoother covariance; innovation whiteness check","innovation chi-square on each channel; between-shot offset jump test","H004;H005;H015;P003;H025;H026;H027","conditionally_identifiable","Fully identifiable ONLY with zero-field anchors; rank test C1 (6/8) vs C2 (8/8). Hardware-proven direction per claim C02. Gain-vs-drift separation needs dB/dt variation (CASE I-ramp counterexample)."
"CASE2","In-situ Hall gain (and offset) estimation with trusted coil chain","B(t); S_H(t); b_H(t)","S_H; b_H; B(0); field coefficients","K_C;b_C (trusted coil chain)","field excursion dB with SNR: var(S_H_hat) ~ sigma_H^2/sum((dB-mean)^2); S_H,b_H quasi-constant over window","coil-derived field increment dB(t); plus B(0) anchor (zero-field start) if offset needed","S_H; lumped intercept S_H*B(0)+b_H; B(t) up to B(0)","b_H separately from B(0); absolute B","recursive least squares / EKF regression of y_H on coil-integrated dB(t)","Fisher/CRLB from regressor energy; window-length vs coil random-walk error tradeoff","regression residual runs test; gain-estimate jump detection","H059;H018;H019;H021","conditionally_identifiable","THE reverse direction the mission asks about. Rank test B (4/5; S_H identifiable, DC null). Precedent H059 is non-fusion, driven-ramp, abstract-level (claim C11); no fusion/radiation demonstration exists (claim C06)."
"CASE3","Joint estimation with S_H,b_H,K_C,b_C all drifting (unreferenced pair)","B(t); S_H; b_H; K_C; b_C","all five","none","any (no excitation breaks the gauge group - Theorem 1)","none","gain ratio S_H/K_C and its drift; b_C (if dB/dt has no unknown drift-band component); field shape up to affine orbit","absolute B; S_H; K_C; b_H; common-mode gain drift (2-dim null space for ALL waveforms)","none valid for absolute quantities; ratio tracker (cross-channel AC regression) for differential drift alarm","ratio-estimate CRLB in AC band","rho-jump alarm detects differential drift WITHOUT attribution","H021;H012;H015;H016;H017;H001;H002","not_identifiable","Required counterexample. Rank test A (5/7, both null directions matched analytically). An EKF 'converging' here returns its prior, not information. Consistent with literature absence (claim C03)."
"CASE4","Absolute calibration of all four channel parameters from machine current + field model","S_H; b_H; K_C; b_C (field known)","S_H;b_H;K_C;b_C (+ misalignment as gain bias)","machine coil currents I(t); validated vacuum field model G(r)",">=2 field levels AND nonzero-dB/dt segments (constant field degenerates to rank 2)","B_ref=G(r)I(t); vacuum shots only (plasma invalidates model)","all four parameters; S_H only as S_H*cos(theta_m) with single-axis reference","misalignment separately from gain; parameters during plasma (model invalid)","per-channel linear least squares on [B_ref,1] and [dB_ref/dt,1]","propagate reference budget: current measurement, model error, position via field gradient, timing skew","cross-shot calibration repeatability; residual vs model","H040;P003;H004;P013;H046","identifiable","The workhorse absolute anchor (HSX context: vacuum shots with logged coil currents). Rank test D (4/4) and D-flat counterexample (2/4). H040 calibrates inductive sensors from known currents; no Hall-channel precedent (claim C08/C32)."
"CASE5","Gain calibration via embedded calibration coil with characterized transfer function","B(t); S_H; b_H; K_C; b_C","S_H;K_C;b_H;field coefficients","I_cal(t) measured; G_cal characterized","injected AC tone/coded waveform spectrally orthogonal to ambient content (or toggled); DC-capable toggling extends gain cal to DC operating point","B_inj=G_cal*I_cal; reference-chain stability budget","S_H*G_cal and K_C (both gains, given orthogonality); Hall dynamics if injected near/above pole","b_H (AC injection blind to offset); S_H separately from G_cal drift (common-mode); gains if injection spectrally collides with ambient content","lock-in/synchronous demodulation at injection frequency; toggled-difference estimator","lock-in SNR; reference-chain stability budget (I_cal source, G_cal geometry, insulation leakage)","scheduled self-test toggle; loss-of-injection detection; cal-vs-ambient consistency","H003;H007;H038;H039;R056","conditionally_identifiable","Rank tests E (6/7; both gains identifiable) and E-collide (5/7 counterexample). JET RHP 11.5-yr record is the operational precedent but same-die common-mode blind (claim C05). RIEMF risk to cal circuit under radiation is inferred from R056 mechanism (claim C19)."
"CASE6","Drift tracking via repeated reference waveform/shot","S_H^k;b_H^k;K_C^k;b_C^k across shots k","per-shot gain ratios and offset lumps","waveform identity across shots; machine current logs to verify reproducibility","the repeated waveform itself (>=2 field levels within it)","shot-0 (or pre-irradiation) calibrated epoch","S_H^k/S_H^0; K_C^k/K_C^0; offset-drift lumps","absolute values (inherited from shot-0 cal); offset decomposition; drift within a shot","shot-to-shot regression y^k vs y^0 (slope=gain ratio); trend filter across shots","reproducibility floor from current logs sets minimum detectable drift; regression CI","slope/intercept jump between adjacent shots","H003;H040","conditionally_identifiable","PROPOSED practice (derived algebra; no fusion source demonstrates repeated-shot Hall recal - claims C03/C06). Ideal form for radiation trend monitoring S_H(dose)/S_H(0). Requires waveform reproducibility << drift signal."
"CASE7","Drift attribution via material-diverse redundant Hall + temperature/dose proxies","B(t); S_1;b_1 (GaN); S_2;b_2 (diverse material); K_C;b_C; kT;kD drift coefficients","all gains/offsets; kT;kD","measured T(t); dose proxy D(t) from species-matched dosimetry; pre-characterized temperature coefficients","shared AC field content; engineered thermal excursions decorrelated from dose accumulation","radiation-null reference channel (metallic Hall per R071) as differential anchor; dosimetry","gain ratio S_1/S_2 and its drift; differential radiation term f_1(D)-f_2(D); kT vs kD separately IF T,D histories decorrelated","absolute scale (scale null survives redundancy); common-mode drift of all channels; kT vs kD when T proportional to D (rank 1/2)","joint EKF with per-channel drift states + hypothesis-test bank (GLR) for attribution voting","FIM conditioning vs T-D decorrelation; Monte Carlo over coefficient priors","three-channel majority voting; per-channel residual GLR","R071;R042;R024;H020;H044;H050;R072;R075;R076","conditionally_identifiable","Rank tests G (7/9; ratio identifiable, scale/DC nulls persist), J-corr (1/2 counterexample), J-decorr (2/2). Radiation-null reference rests on SINGLE source R071 (claim C18); in-situ material-diverse Hall recal unreported anywhere (claim C21). Cross-species dosimetry warning: R042 (~14x, claim C16)."
"CASE8","Any mutual calibration during quasi-static field (little persistent excitation)","B (constant); S_H;b_H;K_C;b_C","all five","none","none available (defining feature)","none (in-pair)","two lumps only: S_H*B+b_H and b_C","everything else; K_C entirely invisible; Hall drift vs true field drift indistinguishable","none from the pair; fall back to injected self-test (CASE5) / scheduled reference (CASE4/6)","n/a (structural)","none from the pair - zero fault coverage; schedule injected self-tests","H018;H019;P042;H065","not_identifiable","Rank test F (2/5). The long-pulse/steady-state regime that motivates the hybrid is exactly where the pair alone provides nothing - value rests entirely on engineered anchors. GPS/INS no-maneuver analog (claim C04); persistent-magnet NMR precedent (claim C28); steady-state DC-sensing requirement (claim C33)."
"CASE9","Fast transient: Hall bandwidth/delay verification and coil saturation detection","B(t); Hall pole a; delay dt; S_H;b_H; clip indicator","a; dt; S_H;b_H (coil chain trusted)","K_C;b_C","transient content near/above Hall pole; broadband for delay (phase slope)","coil channel as wideband witness (trusted)","Hall pole and delay in overlap band; relative dynamics; saturation events within overlap band","content above Hall band (single-channel, no redundancy); pole from near-DC data (singular value collapses ~omega/a); delay vs gain-phase with narrowband excitation","cross-spectral transfer-function estimate; parametric fit of pole/delay","coherence-based TF confidence; FIM conditioning vs excitation band","overlap-band residual burst against rho-consistency detects clipping (CT-saturation analogs)","H045;H051;H052;H053;H048;H049;H050;H066","partially_identifiable","Rank tests H-broad (pole s.v. 1.2e-1) vs H-narrow (1.4e-2; ~omega/a scaling). Crossover prior art (H045;H066) is signal combination, NOT identifiability proof, per stage prohibition. Air-core coils linear; clipping risk is in cored designs/readout/integrator rails."
"CONF1","Distinguish field scale from Hall sensitivity (B vs S_H)","B(t);S_H","alpha (scale gauge)","none","irrelevant (holds for all waveforms)","required: absolute (current+model / NMR / characterized injection)","none in-pair","alpha direction (Theorem 1)","n/a","n/a","n/a","H021;H041;H042;H064","not_identifiable","Gauge-group proof, CASE A null 1; matched numerically to 1e-15."
"CONF2","Distinguish simultaneous Hall and coil gain drift (common vs differential)","S_H;K_C","common-mode and differential gain factors","none","AC content (for the ratio)","differential: none needed; common-mode: absolute reference or mechanism-diverse third channel","differential drift via rho=S_H/K_C","common-mode drift (identical to field change)","rho tracker (AC-band cross-regression)","rho CRLB","rho-jump alarm (detection without attribution)","H021;H018;H019","partially_identifiable","CASE A: ratio identifiable (1.6e-15 null component), S_H alone not (0.72)."
"CONF3","Distinguish Hall offset drift from slowly changing field","b_H(t);B_LF(t)","drift-band trajectories","S_H;K_C (best case)","none in drift band by definition","zero-field epochs; or coil constrains only field drift with |K_C*dB/dt| > sigma(b_C)","field drift above coil noise floor","below-floor field drift vs b_H; full LF trio without anchors","anchored bias-state KF","coil LF noise floor sets minimum detectable field-drift rate","between-shot offset check","H034;H035;H004","conditionally_identifiable","CASE C1 nulls (c0,bH0),(c1,bH1,bC0) vs C2 full rank with anchors. Spinning-current leaves residual b_H floor (claim C07) so the state cannot be dropped."
"CONF4","Distinguish coil/integrator offset from low-frequency field","b_C or m; B_LF","b_C;m;g;LF field","calibrated Hall (for the resolving direction)","dB/dt variation (ramp+flat-top)","calibrated Hall channel supplies LF/DC field (claim C02 direction)","b_C;m;g;tau_L given Hall + dB/dt variation","steady ramp vs coil offset (exact degeneracy); g vs m under constant dB/dt (g*r+m)","Kalman integrator-drift corrector (Arpaia form)","filter covariance; H004 hardware figures as achievable-scale reference (bench, non-fusion)","flat-top residual (coil should read b_C only)","H004;H005;H025;H026;H027;P003","conditionally_identifiable","CASE I (4/4) vs I-ramp (3/4, g*r+m null matched). The hardware-proven mutual-calibration direction."
"CONF5","Distinguish temperature-induced from radiation-induced drift","kT;kD (drift coefficients)","kT;kD","measured T(t); dose proxy D(t)","thermal excursions decorrelated from dose accumulation","pre-characterized temperature coefficients; species-matched dosimetry","kT;kD separately iff T,D histories decorrelated","kT vs kD when T proportional to D (exact collinearity); attribution during annealing-coupled windows","joint regression with T,D regressors; windowed validity","FIM conditioning vs T-D correlation; dosimetry uncertainty (C/E ~1.05+/-0.13 for validated foil practice)","post-anneal recheck against pre-characterized T model","R042;R024;R071;R072;R075;R076","conditionally_identifiable","CASE J-corr (rank 1/2) vs J-decorr (2/2). Cross-species proxy warning ~14x (R042, claim C16); annealing hysteresis (R024, claim C22)."
"CONF6","Distinguish sensor failure from model mismatch","fault indicators per channel; model-error terms","fault magnitude/time; mismatch terms","whatever references are installed (cases 4-7)","as available; injected self-test on demand","third channel / injection / reference shot for attribution","that a change occurred (residual/rho jump); attribution ONLY with redundancy exceeding the unidentifiable orbit","attribution from the bare pair; abrupt-vs-slow signature is heuristic prior, not proof","GLR/hypothesis-test filter bank; three-channel voting","test power vs drift-rate prior; false-alarm budget","per-channel GLR; voting logic; scheduled self-test","H050;H044;H021;H052","conditionally_identifiable","Attribution impossible in CASE3 conditions; requires case-5/7 infrastructure. Precedents are fault DETECTION (H050 BLDC Hall faults; H044 redundant degradation), not Hall+coil attribution."
