art_id,type,title,identifier_or_citation,priority_or_publication_date,assignee_or_authors,url,relevant_features,overlap_with_supplied_work,potential_distinction,evidence_accessed,confidence,notes
"PA-P01","patent","Spinning current hall sensor with residual offset calibration signal","US9389284B2","priority 2008-04-17; granted 2016-07-12","Infineon Technologies AG (inv. Mario Motz)","https://patents.google.com/patent/US9389284B2/en","Spinning-current Hall readout with chopping/demodulation; residual-offset calibration via lengthened phases, dual-frequency chopping, inverted spin direction, zero-bias phases","Directly overlaps CC-2's core mechanism: rotating bias through Hall terminal sequences with polarity chopping and demodulation to cancel offset (project 02 8-state phase table, a2 chopper reversal)","IF distinguishable at all, only via the specific external-discrete implementation (external floating current loop, CMOS mux network, GaN 2DEG plate, fusion in-vessel context) - the generic spinning+chopping method itself is squarely claimed here and in a large family","Google Patents full record fetched 2026-07-25","high","Active (anticipated expiration 2029-04-09). Related family incl. US9110121B2 and US8154281B2 (seen in search results, not individually fetched). Dense corporate patent thicket around spinning-current readout"
"PA-P02","patent","Hall sensor with interleaved and/or sliding averaged/summed spinning phases","US10663535B2","priority 2018-07-09; granted 2020-05-26","Infineon Technologies AG (inv. Mario Motz)","https://patents.google.com/patent/US10663535B2/en","M spinning-current Hall sensors (X/Y/Z channels) with N spinning phases interleaved across channels; multiplexed readout; sliding averaging to cut inter-channel delay/jitter","Closest patent art to CC-3's synchronized multi-axis spinning: project 03 plans one Pico 2 fanning shared a0/a1/a2/EN to three boards so all axes spin in phase with zero inter-axis skew","Project 03's scheme is simultaneous phase-locked spinning of three independent analog channels (not interleaved/multiplexed single-path readout); discrete boards + shared clock fan-out vs monolithic IC - distinction is conditional and narrow","Google Patents full record fetched 2026-07-25","high","Active (expires 2038-08-24). Shows Infineon already patents multi-channel spinning coordination; any CC-3 claim must be drafted around this family"
"PA-P03","patent_application","High temperature hall sensor for magnetic position sensing","US20140266159A1","priority 2013-03-15; published 2014-09-18","Ohio State Innovation Foundation (inv. Heremans, Myers, Gao, Yang)","https://patents.google.com/patent/US20140266159","Group III-nitride (AlGaN/GaN and AlN/GaN 2DEG) Hall sensors operating at >=300-350 C; current injection + Hall voltage processing; temperature compensation via sheet resistance","Overlaps the device premise of CC-1/CC-2: GaN 2DEG Hall element used for magnetic sensing in high-temperature/harsh environments","Application abandoned 2016 (prior art still effective as publication). Claims were position/rotation sensing with permanent magnet, not plasma-facing field diagnostics; fusion in-vessel deployment and UHV packaging are outside its claims","Google Patents full record fetched 2026-07-25","high","Abandoned (failure to respond to office action, 2016); remains citable prior art as a published application; whether and how it qualifies under 35 USC 102 in any analysis is a counsel determination. Demonstrates GaN-2DEG-Hall-in-harsh-environment was published patent literature by 2014"
"PA-P04","patent","Method and apparatus for steady-state magnetic measurement of poloidal magnetic field near a tokamak plasma","US5804965A","priority 1995-09-25; granted 1998-09-08","US Department of Energy (inv. Robert D. Woolley)","https://patents.google.com/patent/US5804965A/en","Steady-state poloidal-field measurement near a tokamak plasma: pickup coils + periodic current-pulse/strain-gauge mechanism; self-calibrating electronics correcting integrator drift","Overlaps CC-4's problem statement exactly (drift-free steady-state in-vessel field measurement with a hybrid of inductive and non-inductive channels) though with strain, not Hall, as the absolute channel","Expired (fee-related, 2016) - freedom-relevant only as prior art. Hall-vs-strain absolute channel, Kalman-type estimation, and stellarator context differ; but it anticipates the architecture-level idea of drift-corrected hybrid in-vessel magnetics","Google Patents full record fetched 2026-07-25","high","DOE-assigned: also evidence that national-lab fusion magnetics concepts get patented. CC-4 claims would need to be much narrower than 'hybrid drift-corrected fusion magnetics'"
"PA-P05","patent","Hall effect device and magnetic coil circuits for magnetic field detection","US4994742A","priority 1988-10-25; granted 1991-02-19","Atlantic Richfield Co (inv. Frank E. Lowther)","https://patents.google.com/patent/US4994742A/en","Circuits combining Hall devices with magnetic coils and integrator stages for field detection with high amplification","Early combination art for CC-4: Hall element + coil + integrator in one measurement circuit","Expired (lapsed 1999). No estimation/fusion algorithm, no fusion-device context; but it blocks any broad 'Hall plus coil combined sensing circuit' claim as novel","Google Patents full record fetched 2026-07-25","high","Cited to bound CC-4 claim breadth from the 1980s side"
"PA-P06","patent","Method of auto calibrating a magnetic field sensor for drift and structure therefor","US8134358B2","priority 2006-10-16; granted 2012-03-13","Semiconductor Components Industries LLC (orig. AMI Semiconductor Belgium; inv. Charlier, Laulanet, Badaroglu)","https://patents.google.com/patent/US8134358B2/en","Sensitivity-drift auto-calibration using measurement phases with a varying reference magnetic field; isolates external field, calibration field, and offset contributions; 4-electrode bias/sense switching","Overlaps CC-5's logic of separating a known reference field from the unknown measured field to fix sensitivity in situ","Active (expires 2029). Uses an on-board generated reference coil field; CC-5's reference is the machine's own confinement-coil vacuum field computed from coil currents at a surveyed pose - a facility-level, computation-anchored reference, not an embedded coil. Distinction conditional","Google Patents full record fetched 2026-07-25","high","Together with PA-P07/EP1789813A1-type art, shows dense coverage of 'known reference field calibrates sensor in place'"
"PA-P07","patent","Magnetic field sensor and method for calibrating the same","US6750644B1","priority 2000-09-06; granted 2004-06-15","General Electric Co (inv. Ertugrul Berkcan)","https://patents.google.com/patent/US6750644B1/en","Calibration coil energized with known current; measured field change yields sensitivity; automatic calibration independent of temperature","Overlaps CC-5: sensitivity from a known-current-known-geometry field source (project 02's Helmholtz bench calibration is exactly this, and the in-situ anchor generalizes it to the HSX coil set)","Expired (2022, fee-related). Bench Helmholtz calibration is unpatentable standard practice; only the specific coil-only-shot + surveyed-pose + computed-vacuum-field anchor chain could even conditionally be argued as a new combination","Google Patents full record fetched 2026-07-25","high","Confirms the generic 'known coil current as calibration reference' concept has been patented and has now expired into the public domain"
"PA-P08","patent","Monolithic three-axis magnetic field sensor","US9658298B2","priority 2012-10-12; granted 2017-05-23","MEMSIC Semiconductor (Tianjin) Co. Ltd (orig. MEMSIC Inc.)","https://patents.google.com/patent/US9658298B2/en","Monolithic 3-axis magnetometer: AMR barber-pole bridges on sloped bump surfaces; single-chip XYZ without discrete orthogonal assembly","Context art for CC-3: the integrated-single-chip route to vector sensing that the cube-of-discrete-dies approach competes with","Different technology (AMR, monolithic). CC-3's discrete orthogonal-face ceramic cube exists precisely because monolithic integration is not available for UHV/high-temp GaN dies - a distinction, but also a known generic packaging alternative","Google Patents full record fetched 2026-07-25","high","Active (expires 2033). Shows 3-axis integration is heavily patented across technologies"
"PA-P09","patent","Three axis magnetic field sensor (granted as US8390283B2)","US20110074406A1 / US8390283B2","priority 2009-09-25; granted 2013-03-05","Everspin Technologies Inc (inv. Mather, Slaughter, Rizzo)","https://patents.google.com/patent/US20110074406A1/en","Single-chip 3-axis magnetoresistive sensing: three MTJ Wheatstone bridges, flux guides for the out-of-plane axis","Context art for CC-3 (single-chip vector alternative)","Granted then ceased. MTJ/flux-guide technology; no UHV, high-temperature, or discrete-orthogonal-package content","Google Patents full record (application page incl. grant status) fetched 2026-07-25","high","Second example bounding 'three-axis magnetic sensor' claim language"
"PA-P10","patent","High bandwidth hall sensor","US10197638B2","priority 2016-06-17; granted 2019-02-05","Texas Instruments Inc (inv. Polley, Ramaswamy, Haroun, Mukhopadhyay)","https://patents.google.com/patent/US10197638B2/en","Dual-path Hall measurement: precision reduced-bandwidth path merged with a high-speed path; orthogonally coupled Hall elements with 8-direction spinning bias","Overlaps the CC-2 measurement pattern of running a slow precise demodulated path while capturing fast transients on a raw path (SPECS: demod BW 1-2 kHz, 'record raw v_meas for fast events')","Active (expires 2037). TI's merge is on-chip and algorithmic; project 02's raw+demod capture is an instrumentation practice, arguably unclaimable as such - but this patent blocks broad 'dual-bandwidth Hall readout' claims","Google Patents full record fetched 2026-07-25","high","Also uses 8-direction spinning - further eroding novelty of 8-state spinning schemes as such"
