# PILOT SAMPLE — NOT FINAL. B40_portfolio PILOT attempt-1 claim-level source ledger. Rows map decision-critical claims to sources: this-run web opens (B40P-01), this-run failed opens disclosed (B40P-02), A30/B20/B25 opened primaries reused WITHOUT re-opening (reuse and original claim_id noted), and internal prerequisite-output evidence rows (url = repository-relative path, following B25's own SOURCES.csv precedent). Search snippets are discovery aids only, never evidence (SOURCE_POLICY).
claim_id,url,title,publisher,published_date,accessed_date,source_type,stage_file,confidence,limitation
B40P-01,https://press.siemens.com/global/en/pressrelease/siemens-launches-groundbreaking-portfolio-era-direct-current-technology,"Siemens launches groundbreaking portfolio for the era of direct current technology (SENTRON 3QD2 semiconductor circuit breaker)",Siemens (press release),2026-04-15,2026-07-28,official_company_press_release_primary,"RANKING.csv (P3R2-C-01 main_risk); DECISION.json; PORTFOLIO.md §5.4",high for launch/targeting,"OPENED this run. Verifies: 3QD2 launched at Hannover Messe 2026 (Hall 27, booth A48); microsecond-range interruption 'up to 1,000 times faster'; target applications include data centers/AI factories, battery storage, renewables. Does NOT state ratings or explicit commercial availability/shipping volume — 'shipping at volume' remains unverified; used to support window-pressure, not window-collapse."
B40P-02,https://new.abb.com/low-voltage/products/circuit-breakers/sace-infinitus-solid-state-circuit-breaker,"SACE Infinitus solid-state circuit breaker (product page)",ABB,unknown,2026-07-28,vendor_product_page,"RANKING.csv (P3R2-C-01 main_risk); DECISION.json limitations",discovery-only,"NOT OPENED: two WebFetch attempts timed out (60s each; product page and abb.com innovation-news page). Search snippets describe an IEC 60947-2-certified SSCB up to 2500 A marketed for DC networks — discovery level only. The ST01-C06P record-vintage claim that ABB/Siemens SSCBs 'ship today' therefore remains PARTIALLY verified (Siemens launch primary opened; ABB not), and C-01's scoring treats it accordingly."
B40P-03,https://uscode.house.gov/view.xhtml?req=granuleid%3AUSC-prelim-title26-section45V&num=0&edition=prelim,"26 USC 45V — Credit for production of clean hydrogen (current text)",U.S. House Office of the Law Revision Counsel,current through PL 119-21 (2025-07-04),2026-07-28,statute_primary_reused_open,"RANKING.csv (P3R2-C-07 main_risk); DECISION.json (C-07 stop)",high,"Reused from A30 SOURCES.csv C07-DIS-01 (opened in full by A30 this project; not re-opened). Verifies 45V(c)(3)(A) construction-start-before-2028-01-01 substitution by PL 119-21 §70511 — the C-07 window-impairment fact."
B40P-04,https://www.ingeteam.com/en/Pressroom/Corporate/tabid/1574/articleType/ArticleView/articleId/3504/Ingeteam-unveils-a-new-rectifier-solution-for-electrolysers.aspx,"Ingeteam unveils a new rectifier solution for electrolysers (INGECON H2 FSK E12000)",Ingeteam,2023-03-31,2026-07-28,manufacturer_press_release_primary_reused_open,"RANKING.csv (P3R2-C-07 main_risk); DECISION.json (C-07 stop)",high,"Reused from A30 C07-DIS-02 (opened in full by A30; not re-opened). Verifies incumbent occupancy: <3% harmonic distortion IGBT electrolyser rectifier, 12 kAdc nominal, first deliveries September 2023."
B40P-05,https://cloud.google.com/blog/topics/systems/agile-data-centers-and-systems-to-enable-ai-innovations,"Agile data centers and systems to enable AI innovations (Project Deschutes OCP contribution)",Google Cloud Blog,2025-10-13,2026-07-28,official_company_blog_primary_reused_open,"RANKING.csv (P3R2-C-05 origin/technical basis); DECISION.json (C-05 technical_proof 3)",high,"Reused from A30 C05-DIS-01 (opened in full by A30; not re-opened). Verifies Deschutes OCP spec publication and 7 named suppliers — the C-05 revival predicate."
B40P-06,https://www.nidec.com/en/product/news/2025/news1203-01/,"Nidec prototypes Project Deschutes CDU based on Google OCP specification",Nidec Corporation,2025 (displayed 03/12/2025),2026-07-28,manufacturer_press_release_primary_reused_open,"RANKING.csv (P3R2-C-05); DECISION.json (C-05 technical_proof)",high,"Reused from A30 C05-DIS-02 (opened in full by A30; not re-opened). Verifies OCP-spec-compliant 2MW-class CDU prototype activity — multi-vendor ecosystem liveness. Published date recorded as uncertain by A30."
B40P-07,https://investors.nlight.net/news-releases/news-details/2026/nLIGHT-Awarded-627-Million-Joint-Laser-Weapon-System-JLWS-Contract/default.aspx,"nLIGHT Awarded $627 Million Joint Laser Weapon System (JLWS) Contract",nLIGHT Inc. (investor relations),2026-07-09,2026-07-28,official_company_press_release_primary_reused_open,"RANKING.csv (P3R2-D-10 main_risk); DECISION.json (D-10 stop; rejected_alternatives)",high,"Reused from A30 D10-DIS-02 (opened in full by A30; not re-opened). Verifies $44M initial / $627M ceiling and the proprietary vertically-integrated coherent-beam-combining statement — the merchant-socket negative."
B40P-08,https://www.militarytimes.com/industry/techwatch/2026/06/02/the-us-military-wants-to-showcase-battle-ready-laser-weapons-by-2028/,"The US military wants to showcase battle-ready laser weapons by 2028",Military Times,2026-06-02,2026-07-28,trade_press_reused_open,"RANKING.csv (P3R2-D-10 main_risk: 2026-2028 window)",medium,"Reused from A30 D10-DIS-03 (opened in full by A30; not re-opened). Trade press citing the Navy FY2027 budget request (JBCS Q4-2026 awards, 2028 demos, FY2031 roadmap); the budget justification book itself was never opened — carried as A30 recorded it."
B40P-09,https://www.theva.com/products/,"THEVA TAPESTAR family — non-contact reel-to-reel critical-current inspection",THEVA GmbH,not_stated,2026-07-28,vendor_product_page_reused_open,"RANKING.csv (P3R2-D-02 falsifier/defensibility); DECISION.json (D-02 defensibility 2)",medium,"Reused from B20 S-B20-01 (opened in the B20 pilot; not re-opened). Verifies the merchant incumbent instrument class exists and lists no delamination/thermal channel; does not verify accuracy/speed figures. D-02's defensibility score reflects this incumbency."
B40P-10,https://cfs.energy/news-and-media/realta-fusion-and-commonwealth-fusion-systems-form-strategic-partnership-to-commercialize-magnetic-mirror-fusion-energy/,"Realta Fusion and Commonwealth Fusion Systems form strategic partnership",Commonwealth Fusion Systems,2026-04-02,2026-07-28,company_press_release_reused_open,"RANKING.csv (P3R2-D-02/P3R2-D-01 buyer_access); DECISION.json",high,"Reused from B20 S-B20-02 (opened in the B20 pilot; not re-opened). Verifies the merchant-magnet buyer class is current; it is a partnership announcement, not a purchase order for any metrology or protection subsystem."
