claim_id,url,title,publisher,published_date,accessed_date,source_type,stage_file,confidence,limitation
S-B25-01,https://webstore.iec.ch/en/publication/28936,"IEC 62477-1:2022 Safety requirements for power electronic converter systems and equipment - Part 1: General (Ed. 2.0)",International Electrotechnical Commission (IEC Webstore),2022-05-20,2026-07-28,standard_scope_page_reused_open,"POWER_MAP.csv (C-01/A-02 safety_certification); POWER.md §4/§7; POWER_SKILLS.md §4c; BRIDGE_TESTS.md PB-6","high","Opened live in the accepted B25 pilot run and REUSED here without re-opening (reuse noted); scope/abstract level only (PECS <=1000VAC/1500VDC); full standard text never purchased or read; supports the standard's existence/scope, not any compliance judgment"
S-B25-02,https://danisense.com/products/dq500id/,"DQ500ID fluxgate current transducer (zero-flux, 800 A, linearity error max 1 ppm; applications include MPS for particle accelerators and current calibration)",Danisense,undated (page as fetched),2026-07-28,manufacturer_spec_reused_open,"POWER_MAP.csv (F-06 missing_capabilities/moat); POWER.md §6; BRIDGE_TESTS.md PB-1/PB-2 reference chain; POWER_SKILLS.md §4f","high for the product class's existence and stated linearity spec","Opened live in the accepted B25 pilot run and REUSED here without re-opening (reuse noted); vendor spec page, not a calibration certificate"
S-B25-03,https://developer.nvidia.com/blog/nvidia-800-v-hvdc-architecture-will-power-the-next-generation-of-ai-factories/,"NVIDIA 800 VDC Architecture Will Power the Next Generation of AI Factories",NVIDIA Developer Technical Blog,2025-05-20,2026-07-28,vendor_technical_blog_reused_open,"POWER_MAP.csv (C-01 application/buyer; ST01-C06P application/buyer); POWER.md §3/§8","medium-high","Opened live in the accepted B25 pilot run and REUSED here without re-opening (reuse noted); vendor-authored roadmap ('2027 full-scale production with Kyber' is a plan, not an observed shipment); names protection/fault detection as an open innovation area — competitive context, not market sizing"
S-B25-04,outputs/B15_lit_synth/attempt-1/EVIDENCE_MAP.csv (rows EV07/EV08; papers P0005/P0006/P0052/P0053/P0054/P0057),"B15-adjudicated review-level WBG consensus (efficiency/frequency/temperature direction; gate-drive burden)",B15_lit_synth accepted output (peer-reviewed corpus adjudication),2026 (stage output),2026-07-28,prerequisite_output_literature,"POWER.md §4/§10; POWER_MAP.csv (C-13 missing_capabilities); BRIDGE_TESTS.md PB-6","moderate (review-level)","Review-level consensus only; headline figures untraced to primaries — BT-8/PB-6 tracing explicitly NOT performed this run and no conclusion depends on the numbers"
S-B25-05,outputs/B15_lit_synth/attempt-1/EVIDENCE_MAP.csv (rows EV27/EV28/EV34/EV18/EV17/EV16; papers P0048/P0050/P0056/P0055/P0031/P0060-P0062/P0025/P0030),"B15-adjudicated evidence: WBG switching-current metrology requirements and partial solutions; DC-capable sensing competitive landscape; DC+AC fusion convergence; array-error and inverse-localization method families",B15_lit_synth accepted output,2026 (stage output),2026-07-28,prerequisite_output_literature,"POWER.md §3/§5; BRIDGE_TESTS.md PB-1/PB-3/PB-4 design bases; POWER_MAP.csv (multiple phd_leverage cells)","strong for problem existence/requirements; moderate for specific solutions (per EV27's own grading)","Some constituent papers adjudicated at B12-ledger metadata level per B15's disclosed provenance; P0048/P0050/P0056 were content-opened by B15"
S-B25-06,outputs/B15_lit_synth/attempt-1/EVIDENCE_MAP.csv (rows EV30/EV31; papers P0049/P0051/P0053/P0058/P0059),"B15 structural adjudications: topology/control differentiates converter work (measurement is supporting infrastructure); GaN power-device engineering is a distinct specialization from Hall metrology",B15_lit_synth accepted output,2026 (stage output),2026-07-28,prerequisite_output_literature,"POWER.md §4; POWER_MAP.csv (phd_leverage cells across all converter rows); POWER_SKILLS.md","moderate (structural observation, per EV30/EV31's own grading)","Constituent records mostly metadata-level per B15; the adjudication class, not paper detail, is what is reused"
S-B25-07,outputs/B15_lit_synth/attempt-1/GAPS.md (G1-G6/M1-M7; BT-1..BT-8) and EVIDENCE_MAP rows EV01/EV32/EV35/EV04/EV09/EV20/EV06/EV23/EV26,"B15 gap/bridge ledger: missing Hall-vs-TMR benchmark; missing GaN irradiation data; traceable-budget scarcity; coil-to-Hall direction unsupported; HTS quench weak-signal/EMI problem class; FOCS niche occupancy",B15_lit_synth accepted output,2026 (stage output),2026-07-28,prerequisite_output_literature,"BRIDGE_TESTS.md (entire ladder basis); POWER.md §5/§6; POWER_MAP.csv (D-01/ST01-C11 cells)","firm within the 62-paper corpus","All absence claims are corpus-bounded, never world-literature proofs (B15's honesty rule carried)"
S-B25-08,outputs/B20_align/attempt-1/ALIGNMENT.csv + ALIGNMENT.md,"B20 alignment classes, mechanisms, falsifiers, five founder-fit corrections, A30-verified items, S-B20-01/02/03 live opens, E-10 handoff note — all 39 rows re-read this run",B20_align accepted output,2026 (stage output),2026-07-28,prerequisite_output,"all five stage files (alignment classes, record bases, falsifiers for every P3R2-* row)","medium-high per B20's own row confidences","B20's market facts are corpus-dated unless marked A30-verified or S-B20-opened; carried with that flag intact; B20-universe rows other than F-06 rest on B20's accepted record reads (disclosed per row in RUN_META)"
S-B25-09,outputs/B10_phd/attempt-1/PHD_FACTS.json,"B10 capability ground truth: demonstrated-vs-proposed ledger (C01-C50), incl. C03/C13/C46 demonstrated; C06/C08/C09/C10/C23/C31 proposed; C04/C05/C29/C45 gates/unknowns; C42 timeline; C49 publication status; C50 provenance caveat",B10_phd accepted output,2026 (stage output),2026-07-28,prerequisite_output,"POWER_SKILLS.md (entire); POWER.md §4-§6; POWER_MAP.csv (every phd_leverage/missing_capabilities cell)","high (B10's own per-claim confidences carried)","Folder-08-derived claims carry B10's pre-redteam caveat (C40); no claim upgraded beyond B10's status vocabulary anywhere in this stage; B10 swept sources/phd only — it neither confirms nor denies startup-corpus capability assertions (handled in POWER_SKILLS.md §3.6)"
S-B25-10,sources/old06/30_SCREENING/EVIDENCE/P3R2-F-06.md,"old06 F-06 demand/competitor evidence record, READ IN FULL this run (155 lines): Southern Spirit ±525kV 2029/2032; NERC PRC-028/029 wave via NAES; LEM 12.5A-24kA ppm-class fluxgate incumbency; State Grid/Xuji domestic-only tender; US-only downgrade; UNCERTAIN gate verdict",old06 corpus record (record-internal web fetches dated ~2026-07-14),2026-07 (record vintage),2026-07-28,corpus_record,"POWER_MAP.csv (F-06 row); POWER.md §1/§9/§10","medium (record-vintage)","Closes the pilot's disclosed line-80 partial read; the record's ABB/Hitachi optical-CT leg is flagged inside the record as WebSearch-corroborated only; NERC and Southern Spirit claims independently refreshed live this run (S-B25-16/17)"
