concept,item_id,category,description,nominal_mm,tolerance_or_bound_mm,worst_case_min_mm,worst_case_max_mm,requirement_mm,calculation_or_kernel_check,result,status,evidence_or_gate
COMMON,C-001,envelope,Installed radial diameter,31.750,hard limit,0.000,31.750,diameter <=31.750,Binding project envelope,PASS,VERIFIED REQUIREMENT,AGENTS.md
COMMON,C-002,envelope,Installed height from flange datum,27.500,hard limit,0.000,27.500,height <=27.500,Binding project envelope,PASS,VERIFIED REQUIREMENT,AGENTS.md
COMMON,C-003,CAD envelope,Conservative bounding-box radius including posts fasteners and harness reservations,14.354,+0.212 worst-case,0.000,14.566,radius <=15.875,"sqrt((9.0+0.10+1.15+0.05)^2*2)",PASS margin 1.309,ENGINEERING PROPOSAL - VALIDATE,30_CAD_KERNEL_REPORT.txt
COMMON,C-004,feedthrough keep-out,Minimum post surface radius,11.578,"post center -0.10; radius +0.05",11.387,11.578,clearance outside r=11.050,"sqrt(9.0^2+9.0^2)-1.15",PASS nominal and proposed tolerance,HOLD - DO NOT FABRICATE,Exact mated 19C radial geometry remains G30-01
COMMON,C-005,feedthrough keep-out,Base-frame bottom above conservative keep-out top,11.500,+/-0.100,11.400,11.600,above z=10.410,11.500-10.410=1.090 nominal,PASS conditional,HOLD - DO NOT FABRICATE,0.410-in drawing feature interpretation remains G30-01
COMMON,C-006,harness,Reserved branch corridor one per sensor,3.000 x 3.000,wire OD and lay unknown,not calculated,not calculated,all 12 conductors plus insulation fit,"centers (-6.3 3.8); (3.8 -6.3); (-6.3 -3.8)",RESERVED / NOT SIZED,HOLD - DO NOT FABRICATE,G30-02 conductor OD and bend data
COMMON,C-007,harness,Farthest reserved corridor corner radius,9.431,geometric,9.431,9.431,radius <=15.875,"sqrt(7.8^2+5.3^2)",PASS margin 6.444,ENGINEERING PROPOSAL - VALIDATE,CAD reservation
COMMON,C-008,LCC body,LCC02046 outside width,8.890,"+0.254/-0.127 from 0.350 +0.010/-0.005 in",8.763,9.144,fit protected cartridge pocket,inch-to-mm conversion,PASS against C-009,VERIFIED DRAWING,S001
COMMON,C-009,LCC seat,Protected-cartridge LCC pocket width,9.400,+/-0.050,9.350,9.450,positive body clearance,compare C-008,PASS proposed,ENGINEERING PROPOSAL - VALIDATE,G30-03 vendor grinding and measured lot
COMMON,C-010,LCC seat,Diametral body-to-pocket clearance at 20 C,0.447,worst-case subtraction,0.206,0.687,clearance >0,"9.350-9.144; 9.450-8.763",PASS proposed,ENGINEERING PROPOSAL - VALIDATE,G30-03
COMMON,C-011,LCC seat,Diametral body-to-pocket clearance at 250 C using representative alumina 7.2e-6/K and zirconia 10.4e-6/K,0.454,Delta T=230 C,0.213,0.695,clearance >0,"pocket*(1+10.4e-6*230)-LCC*(1+7.2e-6*230)",PASS conditional,ENGINEERING PROPOSAL - VALIDATE,S050 and S054 are representative; actual LCC grade G30-03
COMMON,C-012,cartridge,Protected cartridge guard outer width,10.900,+/-0.050,10.850,10.950,adjacent-face and rail clearances positive,Kernel and stack comparison,PASS proposed,ENGINEERING PROPOSAL - VALIDATE,G30-03
COMMON,C-013,cartridge,External Ti locator separation for A and B,11.150,+/-0.050,11.100,11.200,greater than cartridge width,compare C-012,PASS proposed,ENGINEERING PROPOSAL - VALIDATE,G30-04 flexure rail drawing
