cost_item,scope,quantity_1_set,quantity_3_sets,quantity_10_sets,nre_allocation_rule,variable_cost_rule,quote_or_evidence_required,cost_status,decision_use
CB-01,"identical finished zirconia seat; one geometry",3,9,30,"tooling/programming/inspection NRE divided by 1/3/10 heads","accepted-part price plus scrap/yield and incoming CMM/optical inspection","same drawing to at least two vendors; fired/post-ground process; yield; 1/3/10 delivered quotes",HOLD - DO NOT ORDER,"primary cost discriminator for modular A"
CB-02,"qualification/spare zirconia seats",3,5,10,"separate qualification lot setup shown explicitly","coupon/spare price and destructive inspection","vendor-recommended minimum coupon count and lot trace",HOLD - DO NOT ORDER,"do not hide qualification pieces inside production unit price"
CB-03,"connected CP-Ti base/backframe/reaction cage",1,3,10,"CNC/program/fixture NRE divided by quantity","machining material cleaning CMM and yield","drawing-specific CP-Ti grade/process/UHV clean 1/3/10 quotes",HOLD - DO NOT ORDER,"compare cage labor against monolithic concept"
CB-04,"formed CP-Ti open clamp",3,9,30,"forming/stress-relief fixture NRE divided by quantity","part price plus force/free-height inspection","supplier process and 20/250 C force coupon quote",HOLD - DO NOT ORDER,"retention reliability and recurring cost"
CB-05,"vented nut plates keepers and face fasteners",6,18,60,"custom tooling NRE divided by quantity","hardware set price cleaning inspection and replacement allowance","exact alloy/finish/vent/galling/magnetic declarations and quantity breaks",HOLD - DO NOT ORDER,"treat screw/nut/keeper as replaceable service kit"
CB-06,"protected cartridge guard/fanout tongue/comb excluding reusable LCC",3,9,30,"fanout artwork/process NRE divided by quantity","ceramic/metallization terminal and assembly yield","exact no-Ni metallization/join process and 1/3/10 quotes",HOLD - DO NOT FABRICATE,"electrical connection quality gate"
CB-07,"bonded Hall die plus LCC02046 reusable module",3,9,30,"bond program/fixture/qualification NRE reported separately","die LCC adhesive wire bonding inspection and yield","actual inventory/lot cost and qualified process traveler",HOLD - DO NOT BOND,"highest reuse-value item; never count as disposable head hardware"
CB-08,"two screened pairs per axis; six pair branches per head",6,18,60,"termination tooling/setup NRE divided by branches","delivered cable length plus screen clamp terminals cleaning and test","exact cable/length/OD/bend/contact quote after physical route freeze",HOLD - DO NOT ORDER,"coupled to 3.80-mm corridor gate"
CB-09,"19C feedthrough and both mating connector systems",1,3,10,"none unless custom orientation/interface control","feedthrough connectors contacts tools and inspection","exact current part/configuration stock lead time price and written interface evidence",HOLD - DO NOT ORDER,"purchase blocker; do not infer price from historical result"
CB-10,"three isolated ambient board domains and interface junction",1,3,10,"schematic/layout/firmware/fixture NRE divided by systems","three isolation channels supplies enclosures protection and harnesses","qualified isolator/current-source/DAQ BOM with live 2026 quotes",HOLD - DO NOT ORDER,"Stage-40 correction; existing common-ground panel is not acceptable"
CB-11,"qualification and service campaign",1,1,1,"test engineering/chamber/fixture NRE shown once per campaign","chamber hours metrology destructive coupons operators and analysis","facility rates and signed sample/duration plan",HOLD - DO NOT RELEASE,"report separately from hardware recurring cost"
CB-12,"assembly and inspection labor",1,3,10,"traveler/fixture training NRE divided by heads","touch labor per head plus independent verification","timed pilot build and rework/scrap history",ENGINEERING PROPOSAL - VALIDATE,"total cost = NRE/Q + accepted hardware + labor + inspection + yield loss"
CB-13,"Concept B monolithic zirconia comparison",1,3,10,"core tooling/programming NRE divided by quantity","core accepted-part price plus high-value scrap risk","same envelope/interface DFM and 1/3/10 quote",HOLD - DO NOT ORDER,"reversal only if hard gates pass and total accepted cost beats corrected A"
CB-14,"Concept C split cassette comparison",3,9,30,"rail/pin/cassette NRE divided by quantity","extra parts assembly contact and service-cycle cost","full axial/contact stack and 1/3/10 quote",HOLD - DO NOT ORDER,"reversal only if service-value evidence offsets complexity"
