idea_id,rank,concept,primary_lane,sector_cluster,product_role,primary_customer_archetype,primary_market,current_trl,precompany_validation_by_2029,launch_2030_fit,timing_window,first_experiment_budget_usd,us_beachhead,china_beachhead,secondary_markets,asia_beachhead,score_total,confidence
P3R2-D-02,1,Reel-to-reel contactless REBCO tape quality metrology (Hall-array critical-current mapping + delamination screening) sold to tape vendors and magnet builders as certified acceptance instrumentation.,L03,superconductor manufacturing metrology,diagnostic_test,industrial,US+CN,4,True,True,"Tape vendors may bundle 'good-enough' in-house QC data; if one instrument maker partners exclusively with the largest vendor, the neutral-referee position is lost.",120000,True,True,JP;KR,True,65.6,medium
P3R2-C-22,2,Electrolyzer stack degradation-emulation and bankability test systems: programmable ripple/intermittency benches that turn stack warranties into measurable engineering,L11,electrochemical test,diagnostic_test,industrial,US+CN,5,True,True,"Hydrogen demand volatility caps growth (order books shrinking now, L11-047/048) - but the seed monetizes uncertainty itself; worst case is a slow niche, not a zero. Export separability excellent (test equipment; CN entity straightforward). Kill if neither market yields bench sales nor paid campaigns by end-2033.",250000,True,True,JP;KR,True,64.6,medium
P3R2-D-01,3,"Merchant quench-detection-and-protection subsystem for REBCO/HTS magnets: co-wound distributed fiber-optic sensing plus sub-millisecond active energy extraction, sold with a qualification dossier to fusion companies and national labs.",L03,fusion/big-science superconducting magnets,scientific_system,scientific_big_physics,US,3,True,True,"If no-insulation windings prove fully sufficient at pilot-plant scale, the detection problem shrinks; if a magnet builder open-sources a good solution, differentiation collapses to service/qualification.",250000,True,False,,False,62.8,low
P3R2-F-01,4,Solid-state microsecond impedance-matching engines (switched SiC/PIN capacitor arrays replacing motorized vacuum-capacitor matchboxes) for pulsed and tailored-waveform RF plasma tools,L06,semiconductor_subsystems,process_output,industrial,US+CN,4,True,True,"If AE/MKS ship integrated solid-state matching as a standard feature before a merchant module gains a design win, the socket closes; mitigated by selling to the same incumbents and to CN OEMs the US incumbents cannot serve.",250000,True,True,KR,True,59.8,medium
P3R2-C-01,5,800-VDC rack power-path protection: integrated solid-state breaker + precharge/inrush control + insulation monitoring + hot-swap sequencing unit for AI racks and power sidecars,L02,AI datacenter power,infrastructure,infrastructure_utility_transport,US+CN,4,True,True,"Export-control separability: good - protection electronics are conventional industrial power electronics (largely EAR99); China variant can use domestic GaN/SiC (Innoscience, L02-050) built by a licensed CN entity while the US entity serves OCP customers; main risks are hyperscaler vertical integration, UL/IEC certification timeline, and any future US controls on high-performance power semiconductors. 2026 specs/prices must be refreshed in 2029.",48000,True,True,,True,59.6,medium
P5-USSCI2-S01,6,Qualified diamond transmission-dynode membrane and integration cartridge for hybrid MCP-PMTs used in EIC-class photon detectors,L13,Big-science photon-detector hardware,process_output,scientific_big_physics,US,3,True,True,"EIC Detector II may never receive construction funding, Exosens or Incom may close the collection-efficiency gap without a dynode, or BNL may internalize the process after the LDRD. Do not count base-ePIC procurement. Kill the commercial thesis at end-2029 unless a US lab or tube maker pays for qualification or writes the cartridge into a funded post-freeze detector plan.",94000,True,False,,False,58.2,medium-low
P3R2-E-14,7,Multi-terminal DC fault-discrimination protection relay plus vendor-neutral hardware-in-the-loop qualification platform for MVDC datacenter distribution and HVDC converter stations - the 'SEL of DC grids.',L08,DC grid protection,infrastructure,infrastructure_utility_transport,US,3,True,True,"If US/offshore DC stays point-to-point through 2034, fast discrimination demand defers; converter vendors may refuse third-party protection in their stations.",300000,True,False,,False,56.4,medium
P5R2-CN-01,8,Retrofit X-ray computed-laminography kit for advanced-packaging failure analysis,L06,new_supplemental_idea,diagnostic_test,industrial,US+CN,4,True,True,"JCET's Lingang advanced-packaging factory has phase-one production-equipment completion targeted for H2 2028, while the official 2026-2030 national plan calls for decisive integrated-circuit breakthroughs. A 2030 launch enters the post-installation yield-learning and recurring failure-analysis cycle rather than trying to win the original cabinet order.",120000,True,True,,True,55.6,medium
P3R2-A-14,9,"300C-class mixed-signal instrumentation electronics platform (SiC/SOI) for superhot geothermal, downhole, and turbine environments",L15,Harsh-environment electronics,process_output,industrial,US,4,True,True,"If superhot drilling slips, the 300C market stays program-funded; oilfield in-house teams may capture the niche for their own tools only.",850000,True,False,,False,54.6,high
P3R2-C-13,10,Precision GaN pump-driver and laser-power modules: nanosecond-class programmable current drive as a merchant subsystem for industrial and defense-adjacent laser OEMs,L12,photonics power electronics,process_output,industrial,US+CN,4,True,True,"Export-control separability is manageable but sharp-edged: commercial drivers are low-sensitivity; any DEW-affiliated line must be strictly US-entity with no CN ownership links, or US primes will not buy - structure two entities from day one, accept that a forced choice may drop one market (then reassign batch). Chinese OEMs may refuse external drivers (NIH culture) - test willingness in 2028 discovery. FIX: the US(DEW)/commercial two-entity partition is a day-one structural requirement, not a contingency.",72000,True,True,JP,True,54.2,medium
