claim_id,claim,classification,evidence_path,evidence_locator,status,confidence,notes
C001,"An AlGaN/GaN Hall-effect sensor was fabricated, packaged, and deployed inside HSX for in-situ magnetic field monitoring near the plasma edge",prior_project_claim,../01_Publications/submitted/regular_lsens/regular_lsens.tex,"Abstract, lines ~427-429","as_stated_in_source",high,"Consistent with the raw-data campaign folder hsx_20250821 and with project 02/03 trajectory notes; fabrication/deployment itself not independently re-inspected in this stage"
C002,"During 68 consecutive plasma discharge shots, the sensor remained functional and produced clear transient responses",prior_project_claim,../01_Publications/submitted/regular_lsens/regular_lsens.tex,"Abstract; Conclusion, line 506",not_fully_cross_verified_this_stage,medium,"Raw scope files/test_note.docx document a shot range of 9-68 (60 distinct shots), not confirmed here as exactly 68 or as all-consecutive; not a contradiction (shot 68 is itself the manuscript's own coil-only control example, matching test_note.docx 'Magnet shot 68 (no plasma)'), but the literal count of 68 was not independently recomputed from the archive in this stage"
C003,"1 MHz readout bandwidth",prior_project_claim,../01_Publications/submitted/regular_lsens/regular_lsens.tex,"Lines 453, 483",disputed_by_reviewer,medium,"Reviewer 1 minor point 2 explicitly asks how the 1 MHz limit was established, since the listed amplifiers exceed 1 MHz; ../02_HSX_Hall_Sensor_Readout/docs/SPECS.md's 2023-vs-2026 comparison table lists the same '1 MHz raw BW' figure for the 2023 system, which is internally consistent but does not independently establish the derivation method Reviewer 1 asked about"
C004,"Total voltage gain of 200 V/V (readout chain)",measured_value,../01_Publications/submitted/regular_lsens/regular_lsens.tex,"Line 483 (also commented-out abstract, line 422)",as_stated_in_source,high,"Cross-consistent with ../02_HSX_Hall_Sensor_Readout/docs/SPECS.md 2023-vs-2026 comparison table row 'INA849+2xOPA814 G=200'; not independently re-measured in this stage"
C005,"Absolute calibration of V_off and its temperature dependence remain future work; quantitative calibration was not performed",supplied_fact,../01_Publications/submitted/regular_lsens/regular_lsens.tex,"Lines 487, 504, 506",explicitly_stated_by_source,high,"This is the manuscript's own admitted limitation, directly relevant to R006 (calibration gap) and to the AEIC/Reviewer requests for bench-top calibration"
C006,"HSX is described as 'the first quasi-helically symmetric stellarator'",prior_project_claim,../01_Publications/submitted/regular_lsens/regular_lsens.tex,"Lines 422/428, 453",not_verified_this_stage,medium,"A facility-history claim about HSX, not about Tim's sensor; out of scope for Stage 00 (no literature search performed); flagged for possible check against fusion-facility literature in stage 10b if a claim of this kind is repeated in later reports"
C007,"Only one packaged sensor module/die was tested; no repeated fabrication-iteration testing was performed",supplied_fact,inputs/Decision_Letter_IEEE_2026-07-23.pdf,"Associate Editor comment: '(only one module was tested)'",as_stated_in_source,high,"Independently corroborated by the manuscript body, which describes fabrication and deployment of a single die/module throughout and never references multiple modules"
C008,"Reviewer 2 judged the paper to lack sufficient novelty and recommended rejection",supplied_fact,inputs/Decision_Letter_IEEE_2026-07-23.pdf,"Reviewer 2 comments, full text",as_stated_in_source,high,"Reviewer 2 also cites insufficient repetitive testing/accuracy calibration and insufficient citation of prior GaN Hall-device literature"
C009,"Reviewer 1 judged the device 'novel and unique to my knowledge' and stated the work is 'still worth publishing' even without added calibration data, while recommending it be added",supplied_fact,inputs/Decision_Letter_IEEE_2026-07-23.pdf,"Reviewer 1 comments, full text",as_stated_in_source,high,"Reviewer 1 requests bench-top calibration (even DC-only) or comparison to a conventional field probe (B-dot/Mirnov), and questions the 1 MHz bandwidth derivation (see C003)"
C010,"The Associate Editor's primary concern is novelty; requested items: a GaN-sensor performance comparison table, repeatability statistics across fabrication iterations, bench-top calibration at minimum, and Fig. 5 shown in magnetic-field units rather than voltage",supplied_fact,inputs/Decision_Letter_IEEE_2026-07-23.pdf,"Associate Editor comments, full text",as_stated_in_source,high,"Directly frames the required content of R006 (next-experiment plan) and R005 (manuscript-route decision)"
