source_id,title,organization,url,source_type,accessed_date,claim_supported,status,limitations
S001,LCC02046 drawing,Spectrum Semiconductor Materials,https://www.spectrum-semi.com/sites/default/files/pdfs/LCC02046.pdf,manufacturer drawing,2026-07-12,"20-lead LCC geometry; cavity and body dimensions; chamfer datum; metallization notes",verified,"Numbering still requires a physical carrier/chamfer continuity sign-off; drawing does not establish die p1-p4 orientation or continuous-250C life"
S002,Leadless Chip Carrier overview,Spectrum Semiconductor Materials,https://www.spectrum-semi.com/products/leadless-chip-carrier,manufacturer product page,2026-07-12,"LCC02046 is a 20-lead 0.35-in-square 0.050-in-pitch carrier; internal traces terminate at metallized castellations; direct mount or socket use is contemplated",verified,"General interface description only; no 250C-UHV socket or solder-process qualification"
S003,Vacuum wiring accessories catalog,Accu-Glass Products,https://www.accuglassproducts.com/sites/default/files/catalog/wiring_accessories.pdf,manufacturer catalog,2026-07-12,"UHV contact terminal wire-nut and solder material/temperature classes; one exact 0.094-in Au-plated BeCu crimp contact is cataloged at 250C and UHV 1e-10 Torr",verified,"Ratings differ by exact part; generic push-on limits cannot be transferred to the specific crimp contact; the 0.094-in part is far larger than an LCC castellation; catalog maximum is not a retained-force or continuous-life demonstration; 110796 solder text/headline are internally inconsistent"
S004,Zirconia material and machining,Precision Ceramics,https://precision-ceramics.com/uk/materials/zirconia/,manufacturer process guidance,2026-07-12,"Zirconia can be green/biscuit/fired machined; about 20 percent sintering shrinkage; tight tolerances require post-fire diamond grinding",verified,"Indicative process guidance only; grade-specific drawing review and quote required"
S005,Green machining technical ceramics,Precision Ceramics,https://precision-ceramics.com/eu/green-machining/,manufacturer process guidance,2026-07-12,"Green machining is routine; firing typically 1500-1800C; precise drilling or hard grinding may need later processing",verified,"No project-specific minimum wall radius tolerance yield or cost"
S006,19C-275 19-pin CF feedthrough,Accu-Glass Products,https://www.accuglassproducts.com/mil-c-26482/cf-feedthroughs/19c-275,vendor product page,2026-07-12,"P/N 110210; 19 male/male pins; SS and glass-ceramic; UHV 1e-10 Torr; -200 to 250C; 5 A/pin at 20C; live listed price 434 USD",verified,"250C is both the maximum operating and bake value with zero stated life margin; Ni-Fe Au-plated pins require magnetic-budget review; price/stock are time-sensitive"
S007,19C-275 mechanical drawing P/N 110210,Accu-Glass Products,https://www.accuglassproducts.com/sites/default/files/PDF/Partpdf/110210.pdf,manufacturer drawing,2026-07-12,"2.75-in CF geometry; 4-40 mounting; 304SS; 500 VDC; 5 A at 20C; -200 to 250C; UHV 1e-10 Torr",verified,"Mated vacuum-side protrusion and supported contact/conductor geometry still require written confirmation and assembly stack-up"
S008,MIL-C-26482 circular feedthrough catalog,Accu-Glass Products,https://www.accuglassproducts.com/sites/default/files/catalog/mil_c_26482_circular.pdf,manufacturer catalog,2026-07-12,"19C connector envelope; PEEK vacuum cable construction; 28-AWG silver-plated copper and Kapton; assembly limited by lowest-rated part",verified,"Catalog prices may be stale; PEEK cable/connector is rated exactly 250C and has no continuous-life preload qualification"
S009,19-way female vacuum connector cable P/N 110230,Accu-Glass Products,https://www.accuglassproducts.com/mil-c-26482/uhv-ribbon-cables/connector-cable-19-way-female,vendor product page,2026-07-12,"PEEK/Kapton/silver-plated copper construction; UHV 1e-10 Torr; max operating and bake 250C; 2 A; live listed price 398 USD",conditional,"Exact 250C maximum gives no margin; PEEK retention/creep and cable magnetic plating must be qualified for continuous duty"
S010,Push-on and in-line connectors,Accu-Glass Products,https://www.accuglassproducts.com/specialty-connectors/push-line-connectors,manufacturer product page,2026-07-12,"Bare Au-plated BeCu push-on contacts are 200C vacuum; screw-secured in-line contacts are 400C vacuum",verified,"Not sized for LCC castellations; BeCu retained force at 250C is not established; SS screws and plating need magnetic review"
S011,UHV terminal blocks,Accu-Glass Products,https://www.accuglassproducts.com/wiring-accessories/terminal-blocks,manufacturer product page,2026-07-12,"PEEK blocks are offered to 250C and UHV 1e-10 Torr; ceramic blocks to 500C but HV 1e-8 Torr",verified,"PEEK equals operating maximum; ceramic block vacuum class may miss the project UHV target; neither proves small-signal joint stability"
S012,Ceramic and PEEK specialty connector overview,Accu-Glass Products,https://www.accuglassproducts.com/specialty-connectors,manufacturer product page,2026-07-12,"Glass-ceramic/Macor alternatives exist for environments beyond standard PEEK; in-line contacts are rated 400C and UHV",verified,"No ready-made 20-contact LCC socket and no magnetic/material declaration for a custom miniature assembly"
