item_id,category,description,nominal_mm,tolerance_or_bound,worst_case_or_clearance_mm,requirement,calculation_or_kernel_check,result,status,evidence_or_gate
F50-001,envelope,Installed diameter hard limit,31.750,hard maximum,31.750,diameter <=31.750,Binding project constraint,PASS,VERIFIED REQUIREMENT,AGENTS.md
F50-002,envelope,Installed height hard limit,27.500,hard maximum,27.500,height <=27.500,Binding project constraint,PASS,VERIFIED REQUIREMENT,AGENTS.md
F50-003,envelope,Corrected physical conservative radius,14.354,kernel bounding-box radius,1.521 radial margin,radius <=15.875,"sqrt(10.150^2+10.150^2)",PASS,VERIFIED CALCULATION,50_CAD_KERNEL_REPORT.txt
F50-004,envelope,Corrected physical installed height,26.750,kernel bounding box,0.750 height margin,height <=27.500,zmax-zmin,PASS,VERIFIED CALCULATION,50_CAD_KERNEL_REPORT.txt
F50-005,envelope,Proposed worst-case installed height,27.160,"+0.10 datum +0.05 bridge +0.10 cage +0.05 seat +0.04 cartridge +0.04 clamp +0.03 head",0.340 height margin,height <=27.500,26.750+0.410,PASS conditional,ENGINEERING PROPOSAL - VALIDATE,G50-04 production tolerance stack
F50-006,envelope,Proposed worst-case conservative radius,14.566,+0.212 proposed stack,1.309 radial margin,radius <=15.875,14.354+0.212,PASS conditional,ENGINEERING PROPOSAL - VALIDATE,G50-04 production tolerance stack
F50-007,feedthrough keepout,Minimum post surface radius,11.578,"center 12.728 minus radius 1.150",0.528 radial clearance,greater than keepout radius 11.050,"sqrt(9^2+9^2)-1.15",PASS conditional,ENGINEERING PROPOSAL - VALIDATE,G40-06 exact mated feedthrough and UW datum
F50-008,feedthrough keepout,Bridge lower face above provisional keepout,11.500,provisional interface,1.090 axial clearance,greater than provisional keepout height 10.410,11.500-10.410,PASS conditional,ENGINEERING PROPOSAL - VALIDATE,G40-06 exact mated keepout
F50-009,harness,Single screened-pair worst delivered OD,1.650,"1.50+0.15 manufacturer tolerance",not applicable,freeze exact delivered cable,Allectra KAP301 drawing,VERIFIED SOURCE VALUE,VERIFIED FACT,S022/S053
F50-010,harness,Two-pair side-by-side width,3.300,two worst-case pairs,not applicable,corridor greater than cable stack,2*1.650,VERIFIED CALCULATION,VERIFIED CALCULATION,F40-B06
F50-011,harness,Corrected square branch corridor,3.800,architecture proposal,0.500 total width allowance,greater than 3.300,3.800-3.300,PASS conditional,ENGINEERING PROPOSAL - VALIDATE,G50-03 delivered cable lay bend and installation trial
F50-012,harness,Minimum proposed bend radius for 1.65-mm cable,8.250,5x finished OD rule,not closed,no smaller than qualified vendor/process rule,5*1.650,PENDING,HOLD - DO NOT FABRICATE,G50-03 exact cable and hot-vacuum bend trial
F50-013,structure,Connected CP-Ti cage solid count,1,exact kernel topology,one connected solid,exactly one connected base backframe reaction cage,len(cage.solids),PASS,VERIFIED CALCULATION,50_CAD_KERNEL_REPORT.txt
F50-014,structure,Replaceable nut reaction contacts,6,exact kernel contacts,all six distance 0.000000,each nut plate contacts connected reaction lip,shape distance-to-cage,PASS concept,VERIFIED CALCULATION,50_CAD_KERNEL_REPORT.txt
F50-015,collision,Maximum unintended physical overlap,0.000000,kernel volume tolerance <=0.000001,0.000000,zero unintended overlap,all 39 reimported solids and pre-export part pairs,PASS,VERIFIED CALCULATION,50_CAD_KERNEL_REPORT.txt
F50-016,CAD,STEP reimport bound delta,0.000000,accept <=0.001,0.001 margin,export must preserve bounds,OpenCascade reimport,PASS,VERIFIED CALCULATION,50_CAD_KERNEL_REPORT.txt
F50-017,CAD,STEP reimport solid count,39,positive valid solids,not applicable,nonempty valid complete assembly,OpenCascade reimport,PASS,VERIFIED CALCULATION,50A_FINAL_NFF.step
F50-018,ceramic,Unique zirconia geometry count,1,one repeated flat seat,quantity 3,minimize ceramic NRE,three identical 9.60-mm seats,PASS concept,ENGINEERING PROPOSAL - VALIDATE,G50-04 zirconia DFM and RFQ
F50-019,ceramic,Identical seat quantity,3,one per X Y Z face,not applicable,three mutually orthogonal axes,CAD and assembly rule,PASS concept,ENGINEERING PROPOSAL - VALIDATE,G50-04
F50-020,ceramic,Seat outside width,9.600,+/-0.100 proposed,9.500 to 9.700,vendor DFM acceptance,flat finished part,PENDING,HOLD - DO NOT FABRICATE,G50-04 vendor drawing redline
