claim_id,url,title,publisher,published_date,accessed_date,source_type,stage_file,confidence,limitation
C05-DIS-01,https://cloud.google.com/blog/topics/systems/agile-data-centers-and-systems-to-enable-ai-innovations,Agile data centers and systems to enable AI innovations,Google Cloud Blog,2025-10-13,2026-07-28,official_company_blog_primary,COMPARE.md;COMPARE.json;VERDICT.md,high,"OPENED in full (re-verified this run). Confirms Deschutes contribution to OCP, published spec ocp-specification-deschutes-final-2025-09-05 plus design collateral, and 7 named suppliers (Boyd, CoolerMaster, Delta, Envicool, Nidec, nVent, Vertiv) demoing at OCP Summit/SC25. Does not itself state 2MW/80PSI figures."
C05-DIS-02,https://www.nidec.com/en/product/news/2025/news1203-01/,Nidec Accelerates Liquid-Cooling Adoption for AI Generation Data Centers: Prototypes Project Deschutes CDU Based on Google OCP Specification,Nidec Corporation,2025 (page displays 03/12/2025; URL news1203 and SC25 content imply 2025-12-03),2026-07-28,manufacturer_press_release_primary,COMPARE.md;COMPARE.json;VERDICT.md,high,"OPENED in full (re-verified this run). Confirms OCP-spec-compliant prototype, 2MW-class, 80 PSI, IEEE-519 ULHD VFD, low approach temperature, SC25 exhibit (St. Louis, Nov 2025). Published date recorded as uncertain."
C05-DIS-03,https://www.opencompute.org/documents/ocp-specification-deschutes-final-2025-09-05-pdf,Project Deschutes: Data Center Facilities Specification (final 2025-09-05),Open Compute Project,2025-09-05,2026-07-28,standards_body_specification_primary,COMPARE.md;COMPARE.json,existence-only,"NOT OPENED: HTTP 403 again on this run's re-attempt. Existence and identity verified only via the direct hyperlink inside opened source C05-DIS-01; content never read."
C05-DIS-04,https://www.opencompute.org/documents/ocp-wp-l-lcdu-test-methodology-performance-rating-r1-pdf,Liquid to Liquid CDU Test Methodology (performance rating white paper),Open Compute Project,unknown,2026-07-28,standards_body_white_paper_primary,COMPARE.md;COMPARE.json,discovery-only,"NOT OPENED: HTTP 403. Surfaced by fresh search as a white paper (performance rating), which narrows but does not contradict the no-complete-conformance-program-with-reference-hardware claim; used only as discovery evidence."
C05-DIS-05,https://www.opencompute.org/community/coolant-distribution-unit,Coolant Distribution Unit sub-project,Open Compute Project,unknown,2026-07-28,standards_body_project_page,COMPARE.md;COMPARE.json,discovery-only,"NOT OPENED: HTTP 403. Search summary describes collaboration on guidance and reference designs; no conformance/certification program surfaced. Discovery evidence only."
D10-DIS-01,https://news.lockheedmartin.com/2025-09-07-Lockheed-Martin-Awarded-500-kW-Joint-Laser-Weapon-System-Contract,Lockheed Martin Awarded 500 kW Joint Laser Weapon System Contract,Lockheed Martin,2026-07-09,2026-07-28,official_company_press_release_primary,COMPARE.md;COMPARE.json;VERDICT.md,high,"OPENED in full. Confirms JLWS award for a 500 kW tactical containerized laser weapon system; SCALED Directed Energy collaboration; no contract value or beam-control detail stated in the release itself. URL slug reads 2025-09-07 but the opened page and independent coverage date it 2026-07-09; recorded as 2026-07-09 with the anomaly disclosed."
D10-DIS-02,https://investors.nlight.net/news-releases/news-details/2026/nLIGHT-Awarded-627-Million-Joint-Laser-Weapon-System-JLWS-Contract/default.aspx,nLIGHT Awarded $627 Million Joint Laser Weapon System (JLWS) Contract,nLIGHT Inc. (investor relations),2026-07-09,2026-07-28,official_company_press_release_primary,COMPARE.md;COMPARE.json;VERDICT.md,high,"OPENED in full. Confirms JLWS OTA: $44M initial / $627M ceiling; ~150 kW initial prototypes scaling to 300-500 kW; operational demonstrations as early as 2028; states nLIGHT uses proprietary coherent beam combination and atmospheric correction in a vertically integrated approach — key evidence on the merchant-socket question."
D10-DIS-03,https://www.militarytimes.com/industry/techwatch/2026/06/02/the-us-military-wants-to-showcase-battle-ready-laser-weapons-by-2028/,The US military wants to showcase battle-ready laser weapons by 2028,Military Times,2026-06-02,2026-07-28,trade_press,COMPARE.md;COMPARE.json;VERDICT.md,medium,"OPENED in full. Reports, citing the Navy FY2027 budget request, $31.7M JBCS beam-control development awards planned Q4 2026 plus ~$30M containerized-hardware contracts by March 2027 supporting 300-500 kW; JLWS roadmap through FY2031; 2028 demo is early-stage fielding. Trade press quoting an official budget document; the budget justification book itself was NOT opened."
C09-DIS-01,https://scandinovasystems.com/news/scandinova-strengthens-rf-offering-with-acquisition-of-microwave-amps/,ScandiNova strengthens RF offering with acquisition of Microwave Amps,ScandiNova Systems,2023-06-02,2026-07-28,manufacturer_press_release_primary,COMPARE.md;COMPARE.json;VERDICT.md,high,"OPENED in full. CEO quote: acquisition 'perfectly aligns with our strategy of enhancing our position in integrated power systems' — manufacturer-primary support for the proprietary-integration trend claim. Note the event is 2023; the 2025 turnkey RF unit with integrated Libera LLRF was seen only at search level."
C09-DIS-02,https://www.epa.gov/newsreleases/epa-releases-proposal-commercial-sterilizers-safeguard-supply-life-saving-medical,EPA Releases Proposal for Commercial Sterilizers to Safeguard the Supply of Life-Saving Medical Tools,U.S. Environmental Protection Agency,2026-03-13,2026-07-28,regulator_press_release_primary,COMPARE.md;COMPARE.json;VERDICT.md,high,"OPENED in full. EPA proposes rescinding the 2024 EtO NESHAP risk-based standards, removing CEMS requirements, and adding compliance flexibility; references the January 2025 Presidential exemption process. Confirms EtO regulatory relaxation. The Federal Register notice itself (2026-03-17, 2026-05167) was surfaced by search but NOT opened."
