concept,hardware_id,qty_per_head,axis_origin_or_level_mm,axis_direction,nominal_hardware,material_and_delivered_finish,thread_bearing_part,ceramic_thread_count,head_nut_and_tool_access,venting_and_trapped_volume,primary_load_path,reuse_rule,status,evidence_or_gate
COMMON,P-01_to_P-04,4,"x/y=(+/-9.00 +/-9.00); z=0 to 11.50",+Z,"turned post OD 2.30 x 11.50 with M1.6-class through attachment; exact lower interface unresolved",CP-Ti Grade 4 proposed; UHV cleaned; no Ni or steel,"replaceable external Ti nut or nut plate only",0,"top and lower access external; no tool through head","through-hole or longitudinally vented attachment only; no blind post cavity","feedthrough mounting datum -> post -> connected Ti base frame; no electrical joint in load path","posts reusable only after dimensional and thread inspection; replace screw/nut set after galling or damage",HOLD - DO NOT FABRICATE,"S050 material basis; G30-01 exact 19C mounting interface; G30-08 galling"
COMMON,SR-01,1,"x=-6.30 y=+1.60 z=11.30 to 13.20",+Z,"M1.4-class custom Ti clip screw; modeled shank OD 1.10","CP-Ti Grade 4 proposed; clean dry delivered state",replaceable external Ti thin nut pad,0,"straight +Z driver; clip lies tangent to core and outside all cartridges","open Ti-frame through-hole; nut pad edge vent; no blind pocket","Y-branch pigtail -> clip -> Ti base frame","screw and nut are consumables until hot galling qualification",HOLD - DO NOT FABRICATE,"G30-02 exact cable stack; G30-08 exact fastener"
COMMON,SR-02,1,"x=+1.60 y=-6.30 z=11.30 to 13.20",+Z,"M1.4-class custom Ti clip screw; modeled shank OD 1.10","CP-Ti Grade 4 proposed; clean dry delivered state",replaceable external Ti thin nut pad,0,"straight +Z driver; clip lies tangent to core and outside all cartridges","open Ti-frame through-hole; nut pad edge vent; no blind pocket","X-branch pigtail -> clip -> Ti base frame","screw and nut are consumables until hot galling qualification",HOLD - DO NOT FABRICATE,"G30-02 exact cable stack; G30-08 exact fastener"
COMMON,SR-03,1,"x=-6.30 y=-6.30 z=11.30 to 13.20",+Z,"M1.4-class custom Ti clip screw; modeled shank OD 1.10","CP-Ti Grade 4 proposed; clean dry delivered state",replaceable external Ti thin nut pad,0,"straight +Z driver from unused -X/-Y corner","open Ti-frame through-hole; nut pad edge vent; no blind pocket","Z-branch pigtail -> clip -> Ti base frame","screw and nut are consumables until hot galling qualification",HOLD - DO NOT FABRICATE,"G30-02 exact cable stack; G30-08 exact fastener"
A,A-X-F1_F2,2,"local u=-6.50; global y=-6.50; z=15.50 and 19.50",+X,"M1.6 x 4 miniature Ti screw geometry; SNZT-M1.6-4 is dimensional candidate only","baseline custom CP-Ti Grade 4 or qualified equivalent; NBK candidate is Grade 1 cleanroom Ti",replaceable rear Ti nut pads outside ceramic,0,"heads on +X face; straight +X driver; both on unused -Y edge","through open clamp and external nut pad; no ceramic or blind hole","head -> Ti clamp flexure -> zirconia guard hard stop -> seat/cage","replace screw/nut after each service until repeated-hot-use coupon passes",HOLD - DO NOT ORDER,"S052 dimensions/nonmagnetic only; no 250 C UHV qualification; G30-08"
A,A-Y-F1_F2,2,"local u=-6.50; global x=-6.50; z=19.50 and 15.50",+Y,"M1.6 x 4 miniature Ti screw geometry; SNZT-M1.6-4 is dimensional candidate only","baseline custom CP-Ti Grade 4 or qualified equivalent; NBK candidate is Grade 1 cleanroom Ti",replaceable rear Ti nut pads outside ceramic,0,"heads on +Y face; straight +Y driver; both on unused -X edge","through open clamp and external nut pad; no ceramic or blind hole","head -> Ti clamp flexure -> zirconia guard hard stop -> seat/cage","replace screw/nut after each service until repeated-hot-use coupon passes",HOLD - DO NOT ORDER,"S052 dimensions/nonmagnetic only; G30-08"
A,A-Z-F1_F2,2,"global (-6.50 0) and (0 -6.50); z=22.90 to 26.70",+Z,"M1.6 x 4 miniature Ti screw geometry; two negative-edge locations","baseline custom CP-Ti Grade 4 or qualified equivalent",replaceable rear Ti nut pads outside ceramic,0,"straight +Z driver; -X and -Y edges; no side-cartridge obstruction","through open clamp and external nut pad; no ceramic or blind hole","head -> Ti clamp flexure -> zirconia guard hard stop -> top seat/cage","replace screw/nut after each service until repeated-hot-use coupon passes",HOLD - DO NOT ORDER,"G30-08"
A,A-CF-01_to_03,3,one per +X +Y +Z face,normal to local face,"0.50-thick formed clamp frame; 15.60 outside; 7.20 window","CP-Ti Grade 4 proposed; formed and stress-relieved process to be qualified",none in flexure,0,"removed after its two face screws; no hidden latch","fully open window and edge; no trapped cavity","flexure displacement 0.10 to 0.26; no electrical load path","reuse only if hot free-height and force inspection remains in acceptance band",HOLD - DO NOT FABRICATE,"S050; G30-04 hot creep/relaxation"
B,B-X-F1_F2,2,"local u=-6.50; global y=-6.50; z=16.15 and 20.15",+X,"M1.6 x 4 miniature Ti screw geometry","custom CP-Ti Grade 4 or qualified equivalent",replaceable external Ti nut pads on monolithic saddle cage,0,"straight +X driver on unused -Y edge","open through-fastener outside 11.30 core; zero ceramic hole","head -> Ti clamp -> guard hard stop -> monolithic face","replace screw/nut after each service until hot galling coupon passes",HOLD - DO NOT ORDER,"G30-08"
B,B-Y-F1_F2,2,"local u=-6.50; global x=-6.50; z=20.15 and 16.15",+Y,"M1.6 x 4 miniature Ti screw geometry","custom CP-Ti Grade 4 or qualified equivalent",replaceable external Ti nut pads on monolithic saddle cage,0,"straight +Y driver on unused -X edge","open through-fastener outside 11.30 core; zero ceramic hole","head -> Ti clamp -> guard hard stop -> monolithic face","replace screw/nut after each service until hot galling coupon passes",HOLD - DO NOT ORDER,"G30-08"
B,B-Z-F1_F2,2,"global (-6.50 0) and (0 -6.50); z=23.20 to 27.00",+Z,"M1.6 x 4 miniature Ti screw geometry","custom CP-Ti Grade 4 or qualified equivalent",replaceable external Ti nut pads on monolithic saddle cage,0,"straight +Z driver at -X and -Y edges","open through-fastener outside core; no ceramic or blind hole","head -> Ti clamp -> guard hard stop -> monolithic top face","replace screw/nut after each service until hot galling coupon passes",HOLD - DO NOT ORDER,"G30-08"
B,B-CF-01_to_03,3,one per +X +Y +Z face,normal to local face,"0.50-thick formed clamp frame; 15.60 outside; 7.20 window","CP-Ti Grade 4 proposed",none in flexure,0,"removed after its two external face screws","open saddle frame; no trapped cavity","flexure displacement 0.10 to 0.26; hard stops on core face","reuse only after hot force/free-height inspection",HOLD - DO NOT FABRICATE,"S050; G30-04"
