"timestamp","stage","attempt","requested_model","requested_effort","duration_seconds","num_turns","input_tokens","output_tokens","cache_read_input_tokens","cache_creation_input_tokens","total_cost_usd","web_search_requests","web_fetch_requests","result_model","integrity","verified_source_count","notes"
"2026-07-27T01:03:44.1907770-07:00","00_inventory","1","sonnet","high","608.8","55","64","50047","4018155","174963","3.0061215","0","0","claude-sonnet-5","ok","0","retry_cycle=0;cycle_attempt=1;security_fallback_flag=False"
"2026-07-27T01:31:35.2340283-07:00","10a_literature_hybrid","1","sonnet","xhigh","1669.8","78","5860","98188","4011417","235913","18.4799606","0","0","claude-sonnet-5","ok","0","retry_cycle=0;cycle_attempt=1;security_fallback_flag=False"
"2026-07-27T02:19:02.5875685-07:00","10b_literature_radiation","1","sonnet","xhigh","2845.8","73","71115","209421","9922705","285314","29.2771505","0","0","claude-sonnet-5","ok","0","retry_cycle=0;cycle_attempt=1;security_fallback_flag=False"
"2026-07-27T02:40:10.3027579-07:00","10c_literature_applications","1","sonnet","high","1266.8","51","68","86540","5145000","208487","18.27230985","0","0","claude-sonnet-5","ok","0","retry_cycle=0;cycle_attempt=1;security_fallback_flag=False"
"2026-07-27T03:00:19.9527481-07:00","10d_evidence_merge","1","fable","xhigh","1209.3","65","100","89181","10890299","284101","21.032369","0","0","claude-fable-5","ok","215","retry_cycle=0;cycle_attempt=1;security_fallback_flag=False"
"2026-07-27T03:20:27.7051728-07:00","20_observability","1","fable","xhigh","1207.2","35","1387","85074","2737152","149803","10.000782","0","0","claude-fable-5","ok","215","retry_cycle=0;cycle_attempt=1;security_fallback_flag=False"
"2026-07-27T03:37:16.1632623-07:00","30_radiation_compensation","1","fable","xhigh","1008.2","40","50","73283","3259566","164997","10.224156","0","0","claude-fable-5","ok","215","retry_cycle=0;cycle_attempt=1;security_fallback_flag=False"
"2026-07-27T03:55:24.8935045-07:00","40_applications_collaboration","1","sonnet","xhigh","1088.2","76","86","102868","7130152","230787","7.30802325","0","0","claude-sonnet-5","ok","215","retry_cycle=0;cycle_attempt=1;security_fallback_flag=False"
"2026-07-27T04:12:38.9723218-07:00","50_limitations_comparison","1","fable","xhigh","1033.7","50","59","78549","4137200","189137","11.84798","0","0","claude-fable-5","ok","215","retry_cycle=0;cycle_attempt=1;security_fallback_flag=False"
"2026-07-27T04:25:59.0026158-07:00","60_research_program","1","fable","xhigh","799.7","40","52","58764","3889418","194768","10.723498","0","0","claude-fable-5","ok","215","retry_cycle=0;cycle_attempt=1;security_fallback_flag=False"
"2026-07-27T04:50:18.5720858-07:00","70_redteam","1","fable","xhigh","1459","78","88","97055","7723765","257718","23.5617995","0","0","<synthetic>","runtime_failure","218","retry_cycle=0;cycle_attempt=1;security_fallback_flag=False"
