requirement_id,reviewer_or_science_driver,measurement,minimum_design,preferred_design,hardware_or_signal_needed,replicates,independent_variable,dependent_variable,acceptance_metric,uncertainty_component,dependency,priority,fallback_if_unavailable
A-01,"Manuscript claim C002/A5 (68 consecutive plasma shots wording); AE-01 finished-study framing; Stage 30 diagnosis 4.1.1","Exact shot accounting: recount plasma vs coil-only vs biased vs unbiased shots from the supplied 2025 archive manifest","Scripted recount from test_note.docx with per-shot classification and scope_N.csv mapping","Recount plus cross-check of scope acquisition order against test_note.docx timestamps and the shot 65/68 coil-current logs","None new - supplied archive ../07_HSX_august2025_results/hsx_20250821/ (immutable): test_note.docx, 73 scope CSVs, 2 coil-current logs","n/a - census of all documented shots (range 9-68 per 00_INPUT_INVENTORY.md Group C)","shot ID","shot class (plasma/coil-only), bias state and setting (0/0.2/0.3/0.4 V)","Every scope_N.csv mapped to a shot or explicitly listed as unmapped; recount reproducible by one script; corrected shot-count wording drafted","None (bookkeeping); unmapped-file count reported as a data-quality note","None","P0","n/a - data already supplied"
A-02,"Manuscript claim R-3 (repeatable transient shape) currently qualitative; AE-03 operational half; Stage 30 diagnosis 4.1.2","Operational repeatability statistics: per-shot ignition-transient amplitude, timing, and shape correlation across comparable biased plasma shots","Distribution (median, IQR, min/max) of transient amplitude and timing over all comparable biased plasma shots identified by A-01","Add pairwise waveform cross-correlation matrix within each discharge class and between-class contrast","None new - supplied scope CSVs plus A-01 shot classification","All comparable biased plasma shots in the archive (count fixed by A-01, not chosen)","shot ID within class; discharge class","transient amplitude (V), onset timing (s), pairwise shape correlation coefficient","Statistics computed and quoted with n per class; claim wording upgraded from qualitative to quantitative only where n supports it","Between-shot variance (operational); scope quantization noted","A-01","P1","n/a - data already supplied"
A-03,"R-4/AE-06 (temporal correlation asserted, never quantified); feeds WP-D framing","Quantified temporal correlation between sensor output and diamagnetic-loop stored energy for shots 21/18/19, including direct measurement of the stated ~30 ms DAQ offset","Cross-correlation coefficient and lag per shot for the three manuscript shots","Add bootstrap confidence intervals on r and lag (block bootstrap over time segments) and repeat on any additional shots with .dat records","None new - supplied scope CSVs plus shots 18-21 stored-energy .dat files","3 shots minimum (21/18/19 - the manuscript set); all shots with .dat coverage preferred (archive holds 18/19/20/21)","time lag","cross-correlation coefficient r(lag); peak lag (ms)","r and lag quoted with CI; measured DAQ offset replaces the asserted ~30 ms figure","Timing/synchronization term (enters the campaign sync budget)","A-01","P1","n/a - data already supplied"
A-04,"M8 Hall-origin argument (biased vs unbiased); R2 EMI/artifact skepticism","In-situ bias-scaling check: verify sensor response amplitude scales with V_bias across the 0.2/0.3/0.4 V settings recorded in test_note.docx","Group shots by bias setting; regress transient amplitude on V_bias for comparable plasma conditions","Same with class-matched pairs only, plus explicit EMI-artifact null test using unbiased shots","None new - supplied archive plus A-01 classification","As available per bias setting from A-01 (not chosen; report n per setting)","V_bias (0.2-0.4 V)","transient amplitude (V)","Slope consistent with response proportional to V_bias within quoted CI, or deviation honestly reported","Bias-setting uncertainty (nominal scope-wavegen settings, no logged measured bias)","A-01","P1","n/a - data already supplied; if class-matched pairs are too few, report as underpowered and keep the qualitative Fig. 4 argument"
A-05,"AE-07 (noise/tracking fidelity); WP-A noise column (voltage domain today)","In-situ voltage-noise floor: V/sqrt(Hz) spectra of the deployed chain in the HSX EMI environment from quiet segments of supplied traces","Welch PSD on pre-shot/quiet segments of representative biased and unbiased traces","PSD per shot class plus identification of discrete EMI lines vs broadband floor; comparison against bench PSD (B-05) when available","None new - supplied scope CSVs; existing .m FFT pipelines as reference implementations",">=3 quiet segments per condition (biased/unbiased) - availability fixed by archive content","frequency","voltage spectral density (V/sqrt(Hz))","In-situ voltage-noise floor quoted with bandwidth and segment count; EMI lines tabulated","Noise term (voltage domain; converts to T/sqrt(Hz) only after C-02/C-03)","A-01","P1","n/a - data already supplied"
A-06,"AE-05/R1-05 (Fig. 5 format); AE-06 (sensor-centric presentation)","Figure regeneration: reproduce Fig. 4 and Fig. 5 from raw archive data and produce the R1-05 overlay format (volts now; field units via G-01 after calibration)","Reproduce the five manuscript panels from scope CSVs and .dat files with a scripted pipeline","Overlay dual-axis version plus regenerated figures parameterized to accept a calibration factor for G-01 reuse","None new - supplied archive","n/a (deterministic replot)","time","sensor output (V); stored energy (J per .dat convention)","Regenerated figures visually and numerically match manuscript panels; pipeline re-runs end-to-end from raw files","None (presentation); propagated bands added at G-01","A-01","P1","n/a - data already supplied"
B-01,"Project 02 open blocker C017 (~109x anomaly, do-not-calibrate instruction); prerequisite for AE-01/AE-04/R1-01","Anomaly closure via DeltaV gain check: measure in-circuit chain gain by toggling a known small differential at the sense pair with phases static; identify whether gain or emulator unbalance explains the ~109x discrepancy","Single-state DeltaV injection (about 1 mV via 10 kOhm:10 Ohm divider per plan section 4 Day 3-4); compare measured G against 100.3","DeltaV at all 8 static states plus re-derivation of expected emulator output from DMM-measured ring resistor values and the bridge-offset formula","hsx_2026_v1 board #1 (exists, bench-verified 2026-07-08); Pico 2 + mode-1 firmware (exists); emulator plug (exists - 680 Ohm ring + 2.2 kOhm variant used 2026-07-08); precision divider resistors; DMM; bench scope (DSO-X 4022A demonstrated in use)",">=3 on/off toggles per state; mean and spread reported","injected differential (on/off)","DeltaV_out at J4","G determined to +/-1%; anomaly mechanism named and closed out in the project 02 journal; do-not-calibrate flag lifted","Gain term u(G)/G in every downstream transfer-function budget","None - first bench gate (stage 20 gate G1)","P0","None - blocking by design; if unresolved after divider audit and resistor re-measurement, isolate board fault (mux path, AD8429, loading) before any calibration; the do-not-calibrate rule stands until closed"
B-02,"Demod correctness (phase table/sign convention); protects every later measurement","Static 8-state survey on the emulator: verify the sign pattern + - - + - + + - and amplitude G*o against the predicted bridge offset","Manual survey() walk of all 8 states recording v_meas each state","Add mode-2 (Pico ADC) cross-check on states 2/3/6/7 to confirm the two acquisition paths agree","Board #1, Pico 2 mode-1 firmware, emulator plug, DMM (all exist); mode-2 path needs first hardware validation (firmware only smoke-tested stubbed)",">=2 full 8-state walks (repeatability of the pattern)","mux state (0-7)","v_meas per state","All 8 signs match the SPECS phase table; amplitude within the tolerance set by measured resistor values","Contributes to residual-offset term (per-channel Ron mismatch)","B-01 (gain must be trusted first)","P0","n/a - all hardware exists"
B-03,"AE-07/R1-04 (bandwidth basis); WP-A bandwidth column","Spun-chain frequency response: transfer function of the demodulated output vs field/input frequency, 10 Hz to 3 kHz, at chosen spin rates","Electrically injected small-signal sweep at f_spin = 40 kHz; amplitude and phase of demod output vs frequency; -3 dB point identified","Field-driven sweep via Helmholtz AC drive (after C-01) at f_spin = 10/40/100 kHz; limiting element identified (device vs amplifier config vs demod averaging vs acquisition)","Board #1 + Pico 2 (exist); signal source for injection (scope wavegen asserted available in plan section 7.4 - confirm at inventory gate); Helmholtz coil for preferred path (must be built, C-01)",">=2 sweep repetitions; >=10 frequency points per decade","input/field frequency","demod output amplitude and phase","Measured -3 dB bandwidth with stated method; phase lag curve recorded (needed for diamagnetic-loop correlation); no bandwidth number stated in any manuscript without this basis","Bandwidth/settling term; phase-lag correction uncertainty","B-01; C-01 for field-driven variant","P1","Electrical injection alone (minimum design) if Helmholtz not yet built; state the difference explicitly"
B-04,"R1-04 (how was 1 MHz established); AE-07 class comparison","Static-phase (fast-mode) chain bandwidth plus the evidentiary basis for any 2023-chain bandwidth statement","Electrical small-signal sweep of the static-phase (mode 2 mux parking) chain to its -3 dB point; for the 2023 INA849+2xOPA814 chain state a derived value from component configuration and acquisition settings with the derivation shown","If the physical 2023 voltage-bias chain still exists (NOT ESTABLISHED FROM SUPPLIED FILES - inventory gate I-6): measure its transfer function directly under the deployed configuration","Board #1 static mode for the 2026 chain; 2023 chain hardware existence is an open inventory gate; signal source; scope",">=2 sweeps","input frequency","output amplitude","A defensible bandwidth figure with explicit basis (measured or derived) for each chain generation; the bare 1 MHz assertion is retired","Bandwidth basis (C003 dispute closed)","Inventory gate I-6 (2023 chain); B-01","P1","If the 2023 chain no longer exists: derivation-only statement clearly labeled derived-not-measured, and the revision claims only the 2026 chain measured value"
