paper_id,doi,title,authors,year,venue,publisher,publication_type,peer_review_status,publisher_url,topic_stream,relevance,evidence_status,access_status,correction_status,retraction_status,notes
P0001,10.1088/1741-4326/ac8aad,"Long term operation of the radiation-hard Hall probes system and the path toward a high performance hybrid magnetic field sensor","A. Quercia; A. Pironti; I. Bolshakova; R. Holyaka; I. Duran; A. Murari; JET Contributors",2022,"Nuclear Fusion, vol. 62, no. 10, art. 106032","IOP Publishing (on behalf of IAEA)",journal_article,verified,https://iopscience.iop.org/article/10.1088/1741-4326/ac8aad,hybrid_diagnostics,"Reports long-term radiation-hard Hall-probe operation and a proposed Hall+coil hybrid sensor architecture; topically relevant to hybrid-diagnostic framing (context only, no B10 inference adopted)",accepted_core,"publisher landing page opened directly (open access)","none found — no correction notice on IOPscience landing page at access time","none found — no retraction/expression-of-concern banner on landing page at access time","Peer review verified via IOP Publishing Nuclear Fusion standard editorial process (received/revised/accepted dates shown on landing page). Accessed 2026-07-28."
P0002,10.1088/1361-6668/ae26d7,"Physics-guided quench detection framework for HTS coils based on augmentation of artificial quench data: a comprehensive benchmarking investigation on 75 different machine learning and dimensionality reduction techniques","Yahao Wu; Wenjuan Song; Mohammad Yazdani-Asrami",2025,"Superconductor Science and Technology, vol. 38, no. 12, art. 125023","IOP Publishing Ltd",journal_article,verified,https://iopscience.iop.org/article/10.1088/1361-6668/ae26d7,hts_quench_current,"Machine-learning-based quench-detection benchmarking for HTS coils; relevant background for the hts_quench_current stream (context only)",accepted_core,"publisher landing page opened directly (open access)","none found — no correction notice visible","none found — no retraction/expression-of-concern banner visible","Landing page states single-anonymous peer review with one revision. Accessed 2026-07-28."
P0003,10.1088/1741-4326/adb599,"Sensor fusion and magnetic drift estimation in magnetic measurements using Kalman filter for long-duration plasma operations","Jaewook Kim; Jayhyun Kim; Y.-c. Ghim; Jun-Gyo Bak",2025,"Nuclear Fusion, vol. 65, no. 4, art. 046008","IOP Publishing Ltd on behalf of the IAEA",journal_article,verified,https://iopscience.iop.org/article/10.1088/1741-4326/adb599,hybrid_diagnostics,"Kalman-filter based Hall+coil sensor fusion and drift estimation for long-duration plasma operations; directly topical to hybrid_diagnostics bandwidth/drift-fusion questions",accepted_core,"publisher landing page opened directly (open access)","none found","none found","Landing page lists received 24 Oct 2024, revised 13 Jan 2025, accepted 13 Feb 2025 — standard Nuclear Fusion peer-review timeline. Accessed 2026-07-28."
P0004,10.1088/1361-6587/ae6c59,"Antimony Hall sensors with W-Ti diffusion barriers for long-pulse operations in ITER and DEMO","I. Duran; S. Entler; M. Vilemova; M. Ivanek; P. Sladek; J. Reboun; P. Turjanica; M. Simonovsky; L. Stepan; O. Bares; Y. Ma",2026,"Plasma Physics and Controlled Fusion, vol. 68, no. 6 (ECPD 2025 themed issue)","IOP Publishing",journal_article,verified,https://iopscience.iop.org/article/10.1088/1361-6587/ae6c59,hall_metrology,"Hall-sensor material/diffusion-barrier engineering for long-pulse radiation environments; relevant to hall_metrology radiation-effects/traceability sub-topics",accepted_core,"publisher landing page opened directly (open access)","none found","none found","Published as a regular peer-reviewed journal paper (single-anonymous review, 1 revision, per landing page) within a themed issue tied to the ECPD 2025 conference; classified journal_article, not conference proceedings. Accessed 2026-07-28."
P0005,10.3390/mi14112045,"Power Electronics Revolutionized: A Comprehensive Analysis of Emerging Wide and Ultrawide Bandgap Devices","S. M. Sajjad Hossain Rafin; Roni Ahmed; Md Asadul Haque; Md Kamal Hossain; Md Asikul Haque; Osama A. Mohammed",2023,"Micromachines, vol. 14, issue 11, art. 2045","MDPI",review_article,verified,https://pmc.ncbi.nlm.nih.gov/articles/PMC10673564/,power_conversion,"Comprehensive review of WBG (SiC/GaN/ultrawide-bandgap) power device technology; directly topical to power_conversion stream",accepted_core,"verified via PubMed Central open-access mirror PMC10673564; direct mdpi.com publisher page returned HTTP 403 on repeated WebFetch attempts this session","none found — no correction notice visible on PMC record","none found — no retraction/expression-of-concern banner visible on PMC record","Micromachines is an MDPI peer-reviewed journal (named editors, standard review process). publisher_url points to the PMC mirror actually opened; DOI resolves to mdpi.com/2072-666X/14/11/2045 (blocked HTTP 403 this session, disclosed here per the single-clean-URL convention). Accessed 2026-07-28."
P0006,10.3390/mi12010065,"Review on Driving Circuits for Wide-Bandgap Semiconductor Switching Devices for Mid- to High-Power Applications","Chao-Tsung Ma; Zhen-Huang Gu",2021,"Micromachines, vol. 12, issue 1, art. 65","MDPI",review_article,verified,https://pmc.ncbi.nlm.nih.gov/articles/PMC7826992/,power_conversion,"Review of gate-drive circuit techniques for SiC/GaN WBG switching devices; directly topical to power_conversion stream",accepted_core,"verified via PubMed Central open-access mirror PMC7826992; direct mdpi.com publisher page returned HTTP 403 on repeated WebFetch attempts this session","none found","none found","Same access pattern as P0005 (mdpi.com blocked, PMC mirror used). publisher_url points to the PMC mirror opened; DOI resolves to mdpi.com/2072-666X/12/1/65 (blocked, disclosed here). Accessed 2026-07-28."
P0007,10.1088/0953-2048/29/4/045007,"Self-protection mechanisms in no-insulation (RE)Ba2Cu3Ox high temperature superconductor pancake coils","Y. Wang; Wan Kan Chan; Justin Schwartz",2016,"Superconductor Science and Technology, vol. 29, no. 4, art. 045007","IOP Publishing Ltd",journal_article,verified,https://iopscience.iop.org/article/10.1088/0953-2048/29/4/045007,hts_quench_current,"Foundational/seminal study of no-insulation HTS coil self-protection and current redistribution during quench; seminal reference for hts_quench_current stream",accepted_core,"publisher landing page opened directly","none found","none found","Landing page states single-anonymous review with 1 revision. Seminal (2016) counterweight to recent hts_quench_current items. Accessed 2026-07-28."
P0008,10.5194/jsss-9-391-2020,"Traceably calibrated scanning Hall probe microscopy at room temperature","Manuela Gerken; Aurelie Solignac; Davood Momeni Pakdehi; Alessandra Manzin; Thomas Weimann; Klaus Pierz; Sibylle Sievers; Hans Werner Schumacher",2020,"Journal of Sensors and Sensor Systems (JSSS), vol. 9, issue 2, pp. 391-399","Copernicus Publications",journal_article,verified,https://jsss.copernicus.org/articles/9/391/2020/,hall_metrology,"Traceable Hall-probe calibration methodology and uncertainty budget (sensitivity, offset, temperature dependence, noise); directly topical to hall_metrology traceability/uncertainty sub-topics",accepted_core,"publisher landing page opened directly (open access)","none found","none found","Article explicitly labeled 'Regular research article' with a published 'Review statement': edited by Michael Kraft, reviewed by two anonymous referees. Accessed 2026-07-28."
P0009,10.1088/0268-1242/11/4/020,"Highly sensitive Hall sensors","S. Del Medico; T. Benyattou; G. Guillot; M. Gendry; M. Oustric; T. Venet; J. Tardy; G. Hollinger; A. Chovet; N. Mathieu",1996,"Semiconductor Science and Technology, vol. 11, no. 4, art. 020, p. 576","IOP Publishing Ltd",journal_article,verified,https://iopscience.iop.org/article/10.1088/0268-1242/11/4/020,hall_metrology,"Seminal 2DEG Hall-sensor sensitivity study; grounds hall_metrology stream with pre-2000 foundational work",accepted_core,"publisher landing page opened directly","none found — no correction notice on landing page","none found — no retraction/EOC banner on landing page","Received 3 Jul 1995, accepted 3 Jan 1996 shown on landing page. Seminal older item for hall_metrology. Accessed 2026-07-28."
P0010,10.1088/1361-648x/abf7e2,"Frontiers of graphene-based Hall-effect sensors","David Collomb; Penglei Li; Simon Bending",2021,"Journal of Physics: Condensed Matter, vol. 33, no. 24, art. 243002","IOP Publishing Ltd",review_article,verified,https://iopscience.iop.org/article/10.1088/1361-648X/abf7e2,hall_metrology,"Topical review of graphene Hall-sensor sensitivity/noise/bandwidth; directly topical to hall_metrology",accepted_core,"publisher landing page opened directly (open access, CC BY)","none found","none found","Double-anonymous peer review with 1 revision; received 22 Jan 2021, accepted 14 Apr 2021. Accessed 2026-07-28."
