seed_id,kind,title,authority,year,identifier,url,coverage_area,why_seeded,status
S001,official_guidance,"Submit an Invention to OTL",Stanford OTL,2026,OTL-submit,https://otl.stanford.edu/researchers/submit-invention-otl,disclosure,"States that preprints are public disclosures and recommends confidential disclosure before publication.",verify_current
S002,official_guidance,Patent,Stanford OTL,2026,OTL-patent,https://otl.stanford.edu/patent,patentability,"Explains novelty non-obviousness combinations inventorship and foreign disclosure risk.",verify_current
S003,official_guidance,"OTL's Process",Stanford OTL,2026,OTL-process,https://otl.stanford.edu/researchers/otls-process,sponsorship,"Covers confidential disclosure PI authorization and sponsor compliance review.",verify_current
S004,official_guidance,"MPEP 2112: Inherency and new uses",USPTO,2026,MPEP-2112,https://www.uspto.gov/web/offices/pac/mpep/s2112.html,new_use,"Distinguishes an old product from a potentially patentable new non-obvious process of use.",verify_current
S005,official_guidance,"MPEP 2104: Requirements of 35 USC 101",USPTO,2026,MPEP-2104,https://www.uspto.gov/web/offices/pac/mpep/s2104.html,eligibility,"Official statement of eligible process machine manufacture and composition categories.",verify_current
S006,official_guidance,"arXiv License Information",arXiv,2026,arXiv-license,https://info.arxiv.org/help/license/index.html,arxiv,"Confirms permanent freely downloadable record and irrevocable chosen license.",verify_current
S007,official_guidance,"Submit TeX/LaTeX",arXiv,2026,arXiv-tex,https://info.arxiv.org/help/submit_tex.html,source_hygiene,"Requires removal of extraneous source files and build artifacts.",verify_current
S008,patent,"High temperature Hall sensor for magnetic position sensing",USPTO,2014,US20140266159A1,https://patents.google.com/patent/US20140266159A1,gan_hall,"Group-III nitride 2DEG Hall sensor used at high temperature.",verify_claims
S009,patent,"Micro-Hall effect devices for simultaneous current and temperature measurements",USPTO,2021,US11137310B2,https://patents.google.com/patent/US11137310B2/en,gan_hall,"AlGaN/GaN micro-Hall device claims across wide temperatures and fields.",verify_claims
S010,patent,"Magnetic sensor Hall element and fabrication methods",USPTO,2011,US8026718B2,https://patents.google.com/patent/US8026718B2/en,gan_hall,"Earlier GaN/AlGaN heterojunction Hall-element structures and fabrication.",verify_claims
S011,paper,"Effect of geometry on sensitivity and offset of AlGaN/GaN and InAlN/GaN Hall-effect sensors",IEEE,2019,10.1109/JSEN.2019.2895546,https://doi.org/10.1109/JSEN.2019.2895546,group_prior_work,"Same-group regular octagonal geometry and sensitivity/offset work.",verify_full_or_abstract
S012,paper,"Sensitivity of 2DEG-based Hall-effect sensors at high temperatures",AIP,2020,10.1063/1.5139911,https://doi.org/10.1063/1.5139911,group_prior_work,"Same-group AlGaN/GaN high-temperature sensitivity characterization.",verify_full_or_abstract
S013,paper,"Micro-Tesla offset in thermally stable AlGaN/GaN 2DEG Hall-effect plates using current spinning",IEEE,2019,10.1109/LSENS.2019.2898157,https://doi.org/10.1109/LSENS.2019.2898157,group_prior_work,"Same-group offset-reduction work; not a manuscript implementation.",verify_full_or_abstract
S014,paper,"High temperature Hall effect sensors based on AlGaN/GaN heterojunctions",AIP,2006,10.1063/1.2201339,https://doi.org/10.1063/1.2201339,gan_hall,"Early AlGaN/GaN Hall sensor at high temperature.",verify_full_or_abstract
S015,paper,"High spatial resolution Hall sensor array for edge plasma magnetic field measurements",AIP,2005,10.1063/1.2018628,https://doi.org/10.1063/1.2018628,fusion_hall,"Direct in-vessel/edge plasma Hall magnetic diagnostic predating this work.",verify_full_or_abstract
S016,paper,"Long term operation of the radiation-hard Hall probes system and the path toward a high performance hybrid magnetic field sensor",IOP,2022,10.1088/1741-4326/ac8aad,https://doi.org/10.1088/1741-4326/ac8aad,fusion_hall,"JET radiation-hard Hall probes and built-in calibration; cited by manuscript.",verify_full_or_abstract
S017,paper,"Metal Hall sensors for the new generation fusion reactors of DEMO scale",IOP,2017,10.1088/1741-4326/aa7867,https://doi.org/10.1088/1741-4326/aa7867,fusion_hall,"Hall sensors for steady-state DEMO magnetic diagnostics.",verify_full_or_abstract
S018,paper,"Final design of the ITER outer vessel steady-state magnetic sensors",Elsevier,2017,10.1016/j.fusengdes.2017.03.043,https://doi.org/10.1016/j.fusengdes.2017.03.043,fusion_hall,"ITER Hall-sensor assembly design and radiation-hard magnetic diagnostics.",verify_full_or_abstract
S019,paper,"Ceramic-Chromium Hall Sensors for Environments with High Temperatures and Neutron Radiation",MDPI,2021,10.3390/s21030721,https://doi.org/10.3390/s21030721,fusion_hall,"Ceramic/metal Hall packaging and fusion radiation/temperature environment.",verify_full
S020,paper,"Calibration of the ITER outer vessel steady-state magnetic sensors",Elsevier,2021,10.1016/j.fusengdes.2021.112398,https://doi.org/10.1016/j.fusengdes.2021.112398,validation,"Hall sensitivity calibration versus temperature field and tilt.",verify_full_or_abstract
S021,paper,"Magnetic diagnostic optimization for plasma equilibrium reconstruction in the HSX stellarator",IOP,2015,10.1088/0029-5515/55/11/113012,https://doi.org/10.1088/0029-5515/55/11/113012,hsx,"Established HSX magnetic diagnostics and calibration context.",verify_full_or_abstract
S022,manufacturer,"EPO-TEK 353ND product and technical data",Epoxy Technology,2026,EPO-TEK-353ND,https://www.epotek.com/product/353nd/,uhv_package,"Tests whether the named epoxy and cure/bake practice are conventional manufacturer-directed choices.",verify_current
