evidence_id,topic_stream,claim,support_direction,paper_ids,study_types,conditions,measurement_quality,consistency,evidence_strength,limitations,phd_relevance,startup_relevance,downstream_use,falsifier
EV01,hall_metrology,"Traceable Hall-probe calibration with a component-level uncertainty budget is demonstrated at room temperature: gold micro-Hall sensors calibrated against a traceably calibrated commercial reference probe (Magnet-Physik FH55) over +/-150 mT achieved sensitivity 3.2 mV/A/T at +/-0.3%, and full scanning-SHPM operation carries a combined expanded uncertainty of +/-(7 mT + 13%) at k=2",supports,P0008,primary_experiment,"room temperature; +/-150 mT electromagnet; laboratory scanning Hall probe microscope","high for its regime — explicit traceability via calibrated reference probe; five-component uncertainty budget; instability quantified honestly (graphene day-to-day sensitivity deviation up to 9.3%)","single traceable-budget exemplar in the full 62-paper corpus; P0011/P0015 document calibration procedures and algorithms but no corpus paper replicates a GUM-style traceable budget on a comparable sensor","moderate — well-designed single-group experiment; regime far from fusion/cryogenic/tesla-scale use","traceability routed through one commercial calibrated probe; low-field room-temperature regime only; graphene variant unstable (9.3% day-to-day); provenance: record opened in accepted pilot run","direct methodological template for the proposed WP-C traceable calibration (B10 C06); supports the method class, not the still-uncalibrated GaN die itself","calibration-methodology asset for sensor/metrology work; not market evidence","B25/B30 planning; calibration-plan benchmarking","independent replication on comparable sensors failing to reach the stated uncertainty, or a metrology audit faulting the FH55-based chain"
EV02,hall_metrology,"Radiation-hard and extreme-environment Hall sensing is demonstrated for specific narrow-gap III-V materials, not GaN: JET InSb/i-GaAs 3D Hall probes operated 11+ years (2009-2021, 19117 pulses) including D-T pulses at neutron flux near 1e13 cm-2 s-1 with pre-pulse calibration scatter about +/-0.07% and stability quoted to fluence 2e18 cm-2 (P0001); Sb sensors with 500 nm W-Ti(90-10) diffusion barriers hold sensitivity at 89.6 mV/A/T through 350C/50h plus 220C/120h vacuum exposure, linear over +/-2.5 T, with reported fast-neutron tolerance to 1.4e20 cm-2 at <=2.3% sensitivity shift (P0004); annealing-stabilized InSb thin-film sensors operate from -270C to +300C with magnetic-sensitivity temperature coefficient below 0.04%/K (P0017)",supports,P0001;P0004;P0017,"primary_experiment (long-term in-machine system operation); primary_experiment (materials/thermal tests with reported irradiation tolerance); primary_experiment (extreme-temperature sensor development)","JET in-vessel including D-T campaigns; bench thermal-vacuum 220-350C; +/-2.5 T; fast-neutron fluences to 1.4e20 cm-2 (as reported); 4.2-573 K InSb operation","high for long-baseline stability tracking (repeated in-machine calibration checks); moderate for uncertainty formality — no full GUM-style budgets on the opened records","three independent groups (JET/Lviv consortium; Prague-led ITER/DEMO work; Poznan InSb group) agree that engineered narrow-gap III-V Hall sensors survive harsh environments","strong for the InSb and Sb families in the tested regimes","no GaN/AlGaN data in any of the three papers; whether P0004's 1.4e20 cm-2 tolerance campaign was performed within P0004 or in earlier group work was not established; P0001 reports its coils were not bench-calibrated and about 19% of pulses were lost to hardware/recording faults; P0017 itself states insufficient published AlGaN/GaN data for comparison; provenance: P0001/P0004 opened in accepted pilot; P0017 opened this run","bounds what others have already demonstrated — radiation-hard Hall metrology per se is occupied ground; the PhD's GaN-specific radiation question remains untested (consistent with B10 C29 and C44's forbidden first-fusion-Hall claim)","incumbent harsh-environment sensor materials already demonstrated by established labs","B25/B30; novelty-boundary analysis","retraction/correction of the JET long-term stability record, or independent labs failing to reproduce Sb/InSb sensor stability figures"
EV03,hybrid_diagnostics,"Hall+coil hybrid magnetic sensing is established prior art at both system and algorithm level: the JET RHP system already pairs 18 Hall sensors with 18 coils and formally proposes a compact Luenberger-Kalman hybrid probe (P0001), and a linear Kalman-filter fusion of Hall and coil channels with a Wiener-process bias state removes integrator drift and improves SNR by roughly 30x in synthetic long-pulse tests (P0003)",supports,P0001;P0003,"primary_experiment plus design proposal (P0001); simulation/synthetic-data validation (P0003)","JET in-vessel hardware 2009-2021 (P0001); synthetic signals with sigma_H=0.1 T and sigma_C=0.02 T/s at 10 kHz over 10 s and 1 h records (P0003)","P0001 hardware evidence is high for coexistence/long-term operation but its high-performance hybrid probe is proposed, not built; P0003 quality is algorithmic-synthetic with idealized noise","mutually consistent on architecture value; both address the Hall-corrects-coil (drift) direction only","moderate — concept and algorithm well supported; a hardware-fused instrument is demonstrated in neither paper nor anywhere else in the 62-paper corpus","no built hybrid probe; no real-machine fusion of the two channels anywhere in the corpus; synthetic noise models idealized (acknowledged by P0003's authors); provenance: both records opened in accepted pilot","directly supports feasibility of B10 Element 2's Hall-to-coil direction while confirming the broad architecture is not novel (B10 C26); provides zero support for the reverse coil-to-Hall calibration direction","hybrid-sensor product concept already occupied by large-lab prior art","B25/B30; architecture and novelty adjudication","a hardware trial showing Kalman Hall+coil fusion fails under real EMI/plasma conditions at the claimed accuracy class"
EV04,hybrid_diagnostics,"Gap/contradiction: across the full 62-paper corpus there is no hardware demonstration of Hall+coil fusion under real fusion operating conditions — P0003's validation is entirely synthetic and P0001's hybrid probe is a proposal; the PhD direction's assumed coil-to-Hall reverse-calibration step has no supporting demonstration anywhere in the corpus, and P0001 explicitly reports its own coils were never bench-calibrated, so the trusted coil reference chain the reverse direction requires did not exist even on the flagship deployed system; the closest hardware fusion precedent (P0031) fuses TMR with a current transformer, not Hall with a coil, and not in a fusion environment",gap,P0001;P0003;P0031,"absence-of-evidence across a primary_experiment record, a simulation record, and the nearest hardware-fusion analogue","real long-pulse fusion conditions (the target regime) untested for fused operation","not applicable — gap row","gap is internally consistent with B10's own admission (C23/C26) that no coil-to-Hall fusion-condition demonstration exists; corpus-wide check performed this run across all 14 hybrid_diagnostics rows","gap is firm within the 62-paper corpus; absence here is not proof of absence in the wider literature","62-paper corpus scope; targeted fresh search beyond the corpus was not performed this run; provenance: P0001/P0003 opened in pilot; P0031 metadata live-checked by B12 verifier","this is simultaneously the PhD's decisive open ground (novelty gap b in B10 C26) and its largest unsupported feasibility assumption","unproven-core-technology risk flag for any hybrid-sensor venture concept","GAPS.md bridge tests; B25/B30 contradiction ledger","a published hardware demonstration of fused Hall+coil operation (either direction) under fusion conditions located in newer literature"
EV05,hts_quench_current,"No-insulation REBCO pancake coils exhibit conditional passive self-protection: simulation anchored to a measured 70 uOhm-cm2 turn-to-turn resistivity shows a 12 J / 40 ms local quench at 80 A redistributing azimuthal current (turn overcurrent to 115 A), peak hot-spot near 145 K, and full recovery without intervention (P0007); semi-adiabatic 125 A double-pancake experiments acceptably matched an analytical hot-spot/NZP model with radial NZP velocity 82 um/s and about 1 K temperature margin (P0040); but the protection is not unconditional — sudden discharge from >=350 A quenched a 655-turn conduction-cooled NI coil at 4.2 K within about 450 ms (P0043), and transient sudden-discharge/overcurrent regimes are a recognized distinct hazard class (P0042)",supports,P0007;P0040;P0042;P0043,"multiphysics_simulation with one experimentally anchored parameter (P0007); analytical model plus primary_experiment (P0040); primary_experiment plus FE simulation (P0043); modeling of transients (P0042)","77-80 K single pancake at 80 A (P0007); 77 K double pancake at 125 A semi-adiabatic (P0040); 4.2 K conduction-cooled 655-turn coil at 350 A sudden discharge (P0043)","moderate-to-high — the mechanism model is now corroborated by instrumented experiments from the same research lineage (MIT/Iwasa group) at two operating points","P0007/P0040/P0042/P0043 are mutually consistent: self-protection at moderate current and margin, fault-mode quench beyond a current threshold","moderate-to-strong for the mechanism class; the experimental corroboration is largely from one group lineage, limiting independence","P0007 results specific to 70 uOhm-cm2 (27 uOhm-cm2 flagged as harder); terminal voltage <=9 mV makes detection intrinsically hard; P0040/P0043 lab-scale coils only, scaling unproven (stated by P0043's authors); provenance: P0007 opened in pilot; P0040/P0043 opened this run; P0042 cited at B12-ledger metadata level","context for the HTS-magnet diagnostic environment the PhD/startup instrumentation could serve; not a PhD claim dependency","defines the low-signal quench environment any HTS-magnet sensing product must handle","B25/B30; hts stream baseline","instrumented NI-coil quench experiments from an independent group contradicting the redistribution/recovery behavior or the fault-mode current threshold class"
EV06,hts_quench_current,"Data-driven HTS quench detection is feasible but data-starved and EMI-limited: with only 36 real quench records (18 train / 18 test) from one helical coil, physics-guided augmentation to 216/216 artificial samples enabled 0.9861 held-out detection accuracy, degrading to 0.875 on an unseen pancake-coil geometry and 0.8056 at 0 dB SNR (P0002); independently, an EAST CNN-LSTM voltage-compensation system trained on 1000 historical shots cut electromagnetic noise by over 50% and peak disturbance from over 2 V to under 0.5 V against a 500 mV / 1 s detection threshold, yet residual noise can still exceed 100 mV — flagged by its authors as inadequate for HTS magnets (P0038) — addressing exactly the weak (<=9 mV) terminal-voltage signatures P0007 predicts for no-insulation coils",supports,P0002;P0007;P0038,"primary_experiment plus ML benchmarking on augmented artificial data (P0002); multiphysics_simulation (P0007); algorithm development validated on real tokamak operational data (P0038)","laboratory HTS helical and pancake coils, 75 classifier combinations, noise to 0 dB SNR (P0002); EAST CS/PF magnets, 1000 training + 2000 test shots (P0038)","moderate — honest train/test separation and cross-geometry tests in P0002; P0038 validated on real machine data but for LTS magnets with simulated quench events","two independent groups plus the mechanism paper agree: native quench signals are weak, EMI is large, and advanced compensation/detection is required","moderate — promising benchmarks, far from qualified magnet-protection practice","tiny real quench dataset (36 records); augmentation-dependent; P0038 needs about 1000 training shots per new device and residual noise still exceeds 100 mV; no in-service HTS deployment anywhere in corpus; provenance: P0002/P0007 opened in pilot; P0038 opened this run","peripheral to the PhD's Hall/coil program; relevant only if later work targets HTS magnet monitoring","signals an open, technically immature niche (HTS quench diagnostics); stated as context, not a ranking","B25/B30; hts stream","the benchmarks failing to transfer to independent coils/laboratories, or deployment showing unacceptable false-alarm/missed-quench rates"
EV07,power_conversion,"Review-level consensus across multiple independent teams: SiC/GaN wide-bandgap devices enable order-of-magnitude higher switching frequency (quoted up to ~100x vs silicon) and ~99% converter-efficiency demonstrations (e.g. a GaN system >99% at 120-200 kHz), with SiC operating-temperature capability quoted at 200-300C — enabling smaller magnetics and higher-density specialized converters",supports,P0005;P0006;P0052;P0054;P0057,"review_synthesis in all five papers; none reports original experiments as its main contribution","figures compiled by the reviews from underlying primary studies across EV, renewable, aerospace and power-supply applications","not applicable at review level — headline numbers are cited by the reviews, not measured in them, and were not traced to their primary sources this run","five independent review teams (2019-2023) concur on direction and magnitude class (WBG devices, GaN-on-Si, vertical GaN, SiC high-temperature)","moderate as a consensus map; weak as primary measurement evidence — kept separate from primary experiments per policy","review conclusions only; underlying primary studies unverified this run; possible staleness relative to 2024-2026 device generations; provenance: P0005/P0006 opened in pilot; P0052/P0054/P0057 cited at B12-ledger metadata level (P0057 metadata live-checked by B12 verifier)","background for whether the PhD's measurement/instrumentation skills transfer to power-conversion work; no direct dependency of any PhD claim","technology-direction context for power-electronics-adjacent work; not market sizing and not a venture ranking","B25/B30; power_conversion stream","a primary-literature audit showing the headline efficiency/frequency figures are unrepresentative or misquoted"
EV08,power_conversion,"Gate-drive engineering is a genuine unresolved bottleneck for wide-bandgap adoption: enhancement-mode GaN tolerates only a -10 V to +7 V gate window while cascode variants need +/-20 V, commercial drivers are described as far from universal, and slew-rate control, Miller clamping, and crosstalk mitigation remain active design burdens; p-GaN gate reliability remained an active review subject into 2024 (P0053)",supports,P0005;P0006;P0053,"review_synthesis with tabulated commercial-device and published-design surveys","mid-to-high-power converter applications; commercial device landscape circa 2020-2024","not applicable — survey level","P0005, P0006 and P0053 independently list gate-drive, gate-reliability, EMI, and thermal challenges","moderate for the existence of the problem; weak for its current state (2021 snapshot at the core)","P0006's 12-day receipt-to-acceptance interval limits confidence in review depth (flagged, not disqualifying); 2021 snapshot likely stale on driver ICs; review-level only; provenance: P0005/P0006 opened in pilot; P0053 cited at B12-ledger metadata level","identifies where measurement-quality skills (fast switching-node metrology) might transfer; a loose analogy, not a demonstrated bridge","candidate pain point if work targets WBG converter test/measurement; context only","B25/B30; power_conversion stream","current (2024-2026) primary literature showing qualified near-universal driver solutions eliminating the described burdens"
EV09,hall_metrology,"Gap: no GaN/AlGaN Hall-plate radiation dataset appears anywhere in the 62-paper corpus — demonstrated radiation-hard Hall sensing uses InSb (P0001) and Sb (P0004); the corpus's radiation-effects work on other systems is TCAD simulation of silicon FD-SOI Hall plates (P0018) and gamma irradiation of magnetoresistive sensors (P0019); the traceable-calibration exemplar (P0008) uses gold/graphene sensors at room temperature; the PhD's radiation-compensation premise for GaN devices is neither supported nor refuted by this corpus, matching B10's own ledger finding (C29) that the GaN radiation-drift magnitude is Unknown",gap,P0001;P0004;P0008;P0018;P0019,"absence-of-evidence across primary_experiment and simulation records","not applicable","not applicable — gap row","independently consistent with B10's 219/231-row ledger finding of no GaN Hall-plate neutron dataset; P0018's own authors state most published radiation studies focus on III-V Hall sensors — but no corpus item supplies GaN Hall-plate data","gap is firm within the 62-paper corpus; absence from this search is never proof of absence","corpus-bounded absence claim; targeted fresh search beyond the corpus not performed this run; provenance: P0001/P0004/P0008 opened in pilot; P0018 opened this run; P0019 cited at B12-ledger metadata level","the PhD's radiation hypothesis (B10 C09/C29) remains an open empirical question with zero literature support in this evidence base","any GaN-sensor radiation-hardness claim currently lacks literature support in this corpus","GAPS.md; B25/B30 targeted search verification","a GaN/AlGaN Hall-plate irradiation study located in newly published literature"
EV10,hybrid_diagnostics,"Regime tension: P0003's synthetic validation assumes white Gaussian channel noise and a Wiener-process bias and reports drift completely resolved with ~30x SNR gain, while P0001's 11-year real installation reports non-identical never-bench-calibrated coils, suboptimal coil SNR, and ~19% of pulses lost to commissioning/hardware/recording faults — the idealized algorithm evidence and the real-installation evidence do not yet meet in the middle",mixed,P0001;P0003,"simulation (P0003) versus long-term system operation (P0001)","synthetic 10 kHz records (P0003) versus JET in-vessel operation 2009-2021 (P0001)","each record is strong in its own regime; neither covers the other's regime","no contradiction on any shared measurement, but jointly they expose an unbridged validation gap; no corpus paper closes it","the tension itself is well evidenced from the two opened records","P0003's authors themselves acknowledge the hardware-implementation challenge — the tension is disclosed in the primary record, not discovered by this run alone; provenance: both records opened in accepted pilot","quantifies the credibility gap any hybrid-estimator PhD deliverable must close (aligns with B10's FT-08 to FT-10 machine-piggyback ladder)","product-qualification burden indicator for diagnostic instrumentation work","GAPS.md bridge tests; B25/B30","a real-machine deployment of a P0003-class estimator meeting its synthetic-performance bounds"
