test_id,article,coupon_lots,objective,precondition,thermal_vacuum_exposure,pull_shear,contact_resistance,microscopy,cleaning_outgassing,service_handling,acceptance_limit,basis,release_gate,required_record
Q10-01,"Incoming bare LCC02046","Each purchased ceramic and plating lot; retain witnesses","Verify cavity-up chamfer, 1-20 shelf-to-same-castellation continuity, neighbor/ring isolation, dimensions, finish and ceramic integrity before consuming dies","Spectrum drawing revision and lot certificate recorded","None; incoming at controlled room condition","Not applicable; no bonded joints","Four-wire continuity for every shelf/castellation; insulation to neighbors and seal ring","100 percent optical inspection of chamfer, shelf, castellations, cracks, chips, contamination and finish","Supplier packaging review; approved UHV clean before bonding","Fixture only by ceramic datum; do not grip castellations","Drawing tolerances and one-to-one net identity must pass; ENGINEERING PROPOSAL - VALIDATE for project insulation and magnetic limits","Spectrum PB-CA8272-B plus signed incoming inspection plan","G10-01","Incoming inspection sheet, continuity matrix, photos, CoC and disposition"
Q10-02,"353ND die-attach witness stack","Each adhesive lot, mix batch and cure batch; same die/substrate materials","Establish bondline, cure, position, contamination, adhesion and hot stability of actual stack","Lot, ratio, mass, bondline control, cure profile and post-cure logged","Unaged controls plus approved 250 deg C vacuum dwell/ramp/cycle matrix; duration from signed duty envelope","Die shear on designated witnesses before and after exposure","Leakage/isolation through and around attach measured at room and hot condition where feasible","Bondline cross-sections, voids, fillet/wicking, die shift, cracking and residue","ASTM E595 evidence recorded but not used as life proof; process blanks and chamber witness included","No harness; thermal fixture duplicates cartridge support","ENGINEERING PROPOSAL - VALIDATE: no die shift/crack/contamination and statistically justified retained shear versus same-lot controls","EPO-TEK TDS, NASA E595 method limitation and project continuous-life requirement","G10-02","Material traveler, cure trace, chamber trace, shear data, microscopy and contamination report"
Q10-03,"Die-to-LCC Al wedge DOE coupons","Minimum two independent LCC/wire process lots plus same-lot unaged controls","Select wedge tool, wire alloy/diameter, force, ultrasonic power, time, substrate temperature, loop and landing window","P(q) sign-off simulated; actual die-pad and LCC finish documented","Initial characterization; no aging for process-window selection","Destructive pull per frozen MIL-STD-883 Method 2011 revision on designated wires; record force and fracture mode","Four-wire end-to-end path resistance for each bondable terminal","First/second bond foot, heel, loop, pad damage, cratering, contamination and fracture surfaces","Approved clean materials and handling; no flux","Fixture loads only ceramic; no pull on live harness","MIL method/workmanship floor where applicable plus ENGINEERING PROPOSAL - VALIDATE process-capability and lower-confidence-bound criteria","DLA MIL-STD-883 Method 2011 and same-process control distribution","G10-01 and G10-02","Bonder recipe, tool/wire lot, raw pull data, fracture classification, images and selected window"
Q10-04,"Aged die-to-LCC Al wedge coupons","Same selected recipe across independent lots with unaged controls","Demonstrate continuous-250-deg-C vacuum resistance and strength retention","Q10-03 window frozen; actual material stack identical to intended unit","Approved 250 deg C continuous dwell plus ramps/cycles and vacuum level; interim checkpoints from signed duty envelope","Pull designated witnesses at each checkpoint; preserve some for cross-section","Measure cold/hot four-wire path resistance continuously or at defined checkpoints","Heel/intermetallic/cavity/lift/crack cross-sections and fracture mode after exposure","Chamber blank/witness and residual contamination inspection","No structural load through bonds","ENGINEERING PROPOSAL - VALIDATE: no opens/intermittency and statistically justified resistance/strength/fracture-mode retention relative to controls","Johannessen 250C aging precedent, NASA degradation caution and project duty envelope","G10-02","Chamber log, raw resistance-temperature-time data, pull distributions, cross-sections and signed life assessment"
Q10-05,"Fanout microtransition: LCC castellation to tongue lane","Each LCC finish lot, tongue metallization lot and Al wire/ribbon lot; unaged controls","Qualify short redundant Al wedge/ribbon transition without lifting LCC metallization","No-Ni bondable tongue finish declaration; geometry supported in cartridge fixture","Unaged plus same approved 250 deg C vacuum dwell/ramp/cycle matrix","Pull/shear fixture isolates and records each parallel element and the combined net without loading ceramic incorrectly","Four-wire resistance of each element where separable and combined lane at room/hot conditions","Bond feet, heel, tongue/LCC metallization, ceramic damage, intermetallic/cavity and residue","Supplier chemistry and approved cleaning; chamber blank/witness","Harness load applied only after separate comb is engaged","ENGINEERING PROPOSAL - VALIDATE: each net survives with no lift/crack/intermittency and justified aged resistance/strength versus controls; parallel wires are electrical redundancy only","Johannessen Al-to-thin-Au evidence, MIL pull framework and project no-load-through-joint rule","G10-03","Metallization CoC, recipe, per-element data, images, chamber trace and disposition"
Q10-06,"Runner-up direct resistance/parallel-gap welded tab to LCC castellation","Sacrificial LCC lots and each tab/plating/conductor lot","Determine whether direct tab welding damages thin Au metallization or ceramic","Weld equipment capability and plating DOE defined; never use a real sensor first","Unaged plus approved 250 deg C vacuum aging if initial coupons survive","Tab peel/pull/shear with fixture-defined load direction; record substrate damage","Four-wire weld resistance during thermal and mechanical challenge","Cross-section weld nugget, Au finish, metallization lift, ceramic microcrack and heat-affected zone","No flux; approved solvent/ultrasonic limits and chamber witness","Flex conductor only downstream of engaged strain clamp","ENGINEERING PROPOSAL - VALIDATE: no ceramic/metallization damage and statistically justified weld strength/resistance after aging","microJoining stranded-wire and plating-process guidance; no exact castellation qualification exists","G10-03","DOE matrix, current/force/time traces, cross-sections, pull/resistance data and go/no-go decision"
Q10-07,"Robust tongue terminal to KAP301-class pigtail","Each terminal alloy/plating lot, conductor lot and weld/crimp tool setup","Qualify supported resistance weld or exact-contact crimp away from LCC","Exact conductor gauge/strand/plating and terminal/contact specification recorded","Unaged plus approved 250 deg C vacuum dwell/ramp/cycle matrix","Pull test in wire axis and off-axis service direction on witnesses; crimp cross-section where applicable","Four-wire joint resistance at room/hot condition and during flex challenge","Weld/crimp cross-section, strand damage, plating displacement, cracks and residue","No flux; approved cleaning and outgassing declarations","Comb engaged before flex/proof-load; record load path","Supplier/standard criterion where exact plus ENGINEERING PROPOSAL - VALIDATE aged resistance, pull and proof-load limits","NASA-STD-8739.4 workmanship framework, microJoining process guidance and Allectra wire rating","G10-03 and G10-04","Tool calibration, weld trace or crimp height, cross-sections, pull/resistance and material records"
Q10-08,"Development socket/spring contact option","Each exact alloy, temper, finish and machining lot; same-lot controls","Qualify reusable contact as a possible future baseline","Vendor UHV, magnetic, cleaning, force and geometry declarations received","250 deg C vacuum dwell under representative deflection plus thermal cycles and service-mate cycles","Normal-force/relaxation measurement and retention/withdrawal force; no load applied through LCC metallization beyond approved window","Four-wire contact resistance continuously or at defined hot/cold checkpoints; monitor micro-motion","Contact scar, fretting, oxide/transfer, plating wear, spring set, LCC castellation damage","Approved UHV clean; outgassing screen for complete contact assembly","Independent cartridge clamp and harness comb engaged","ENGINEERING PROPOSAL - VALIDATE: retained force/contact resistance/service cycles/magnetic field and no LCC damage; exact vendor limits incorporated if obtained","Deringer-Ney 250C contact capability and stress-relaxation guidance; no exact UHV LCC socket source found","G05-03","Vendor declarations, force-time-temperature data, resistance trace, cycle log, microscopy and magnetic report"
Q10-09,"Complete protected sensor cartridge","At least independent assembly lots after component coupons pass","Demonstrate integrated die/LCC/tongue/guard/comb function and absence of shorts or contact","Q10-02 through Q10-07 released for selected path; P(q) traveler signed","Approved continuous 250 deg C UHV life profile with ramp/cycles; instrument cartridge and chamber witness","Witness bonds/joints tested after exposure; live cartridge not destructively tested unless designated","All four end-to-end paths and isolation monitored cold/hot; raw phase and recombined injected-signal test before/during/after","Guard clearance/witness marks, loop contact, cracks, wire rub, terminal movement, residue and cross-section of sacrificial twin","Final clean traveler; chamber blank/witness; pressure/outgassing acceptance from vacuum owner","Harness proof load and flex applied through feedthrough support/comb/cartridge structure while monitoring","ENGINEERING PROPOSAL - VALIDATE: no short/open/intermittency, no joint-load witness, and all approved electrical/mechanical/vacuum limits pass","Project continuous-duty envelope and released component coupon evidence","G10-02 G10-03 G10-05 G10-06","Serialized traveler, full chamber/electrical traces, photos, proof-load/flex log and release board minutes"
Q10-10,"Cartridge service/reuse demonstration","Each production-intent cartridge geometry; multiple operators","Verify independent removal, protection, keyed reconnection and no disturbance to other axes","Complete cartridge passed Q10-09; service procedure and tools frozen","Room-condition service cycles plus selected hot/cold cycles only if safe; post-service thermal-vacuum confirmation","No destructive test on service unit; witness contact/joint tests after cycle campaign","Continuity and isolation monitored through every mate; raw phase identity test after each reinstall","Inspect LCC edge, guard, pigtail, terminals, clamp surfaces, tool marks and neighboring cartridges","Clean-tool and particle-control records before reinstallation","Time, access, torque/force and accidental-load events recorded","ENGINEERING PROPOSAL - VALIDATE: target service-cycle count, zero channel swap, no damage/particle release and electrical drift within released limits","User reuse requirement and stage-30 maintenance procedure","G10-05","Operator checklist, cycle count, photographs, resistance/identity history and anomaly log"
Q10-11,"Cleaning and vacuum process control","Material/process blanks plus representative assembled coupons","Separate material outgassing/residue from electrical and thermal failures","All solvents, flux prohibition, gloves, fixtures and bake history recorded","Approved vacuum screen and continuous hot exposure; collector/chamber witnesses positioned near article","Not applicable","Surface insulation/leakage before/after cleaning and exposure","UV/visible inspection and residue analysis appropriate to suspected chemistry","ASTM E595 values retained as screening only; project pressure/outgassing rate and contamination limits supplied by vacuum owner","No unapproved handling after final clean","ENGINEERING PROPOSAL - VALIDATE: complete assembly meets signed UHV pressure/outgassing/contamination criteria; no visible or analytical residue","NASA E595 method limits, manufacturer cleaning instructions and HSX vacuum requirements","G10-03 and G10-06","Chemical lot log, clean traveler, blank/witness results, chamber trace and vacuum-owner sign-off"
