original_archive_path,fixed_archive_path,path_token_replacements
PHD_HYBRID_2026-07-27/01_PhD_Research/RUN_HYBRID_RADIATION_ANALYSIS.ps1,P/01/RUN_HYBRID_RADIATION_ANALYSIS.ps1,1
PHD_HYBRID_2026-07-27/01_PhD_Research/UPDATES_2026-07-08.md,P/01/UPDATES_2026-07-08.md,2
PHD_HYBRID_2026-07-27/01_PhD_Research/reports_index.html,P/01/reports_index.html,1
PHD_HYBRID_2026-07-27/01_PhD_Research/FABLE_PRIMARY_POLICY_PATCH_2026-07-24.md,P/01/FABLE_PRIMARY_POLICY_PATCH_2026-07-24.md,1
PHD_HYBRID_2026-07-27/01_PhD_Research/CHATGPT_WINDOWS_CONTINUE.md,P/01/CHATGPT_WINDOWS_CONTINUE.md,2
PHD_HYBRID_2026-07-27/01_PhD_Research/02_HSX_Hall_Sensor_Readout/docs/hsx_readout_bringup_and_calibration_plan.html,P/01/02_HSX_Hall_Sensor_Readout/docs/hsx_readout_bringup_and_calibration_plan.html,1
PHD_HYBRID_2026-07-27/01_PhD_Research/02_HSX_Hall_Sensor_Readout/docs/second_test_setup_static_bias.html,P/01/02_HSX_Hall_Sensor_Readout/docs/second_test_setup_static_bias.html,1
PHD_HYBRID_2026-07-27/01_PhD_Research/02_HSX_Hall_Sensor_Readout/journal/2026-07-08_spinning_emulator_20mA.html,P/01/02_HSX_Hall_Sensor_Readout/journal/2026-07-08_spinning_emulator_20mA.html,1
PHD_HYBRID_2026-07-27/01_PhD_Research/02_HSX_Hall_Sensor_Readout/NOTES.md,P/01/02_HSX_Hall_Sensor_Readout/NOTES.md,1
PHD_HYBRID_2026-07-27/01_PhD_Research/03_HSX_Vector_Probe_RSI2026/docs/rsi_experiment_and_publication_plan.html,P/01/03_HSX_Vector_Probe_RSI2026/docs/rsi_experiment_and_publication_plan.html,1
PHD_HYBRID_2026-07-27/01_PhD_Research/RUN_PHD_RESEARCH.ps1,P/01/RUN_PHD_RESEARCH.ps1,1
PHD_HYBRID_2026-07-27/01_PhD_Research/tools/md2html.py,P/01/tools/md2html.py,2
