"claim_id","claim","claim_type","source_ids","evidence_strength","counterevidence_ids","limitations","used_by_stage"
"C01","The Hall(DC)+inductive-coil(AC) hybrid sensing architecture has direct prior art spanning 1999-2025: power electronics (HOKA probe), space magnetometry, fusion (JET RHP line and 2025 Kalman-fusion papers), and accelerator magnets.","observed","H055;H056;H003;H007;H008;H001;H002;H004;H059","strong_direct_multiple_domains","","Fusion-specific instances are concentrated in 2022-2025 within two overlapping author clusters (CERN/Arpaia; JET/Prague/KAERI).","20_observability;50_limitations_comparison;60_research_program;80_synthesis"
"C02","Correcting coil/integrator additive drift b_C with a non-integrating absolute reference (Hall, NMR, or magnet current) is hardware-proven (CERN bench: 59.9-120 ppm/s reduced to 0.02-0.08 ppm/s) and is the published design basis of ITER's outer-vessel steady-state sensor (OVSS) subsystem - 60 bismuth-Hall units complementing the inductive set for long-pulse operation (final design published and units manufactured; ITER is not yet operating).","observed","H004;H005;H067;H068;P003","strong_direct_hardware","","None of these estimate or correct Hall sensitivity S_H from passive sensing. Stage-70 correction: P003's abstract contains only bismuth-sensor high-field qualification (no OVSS-pairing description) - the pairing claim now rests on H067/H068; 'system level' is design intent, not operating experience (former wording 'deployed at system level' retracted).","20_observability;30_radiation_compensation;80_synthesis"
"C03","No verified peer-reviewed source jointly estimates {B, S_H, b_H, K_C, b_C} from a Hall+coil pair with a stated identifiability condition; the strongest identifiability proof found (rank condition for state+bias+unknown input) explicitly excludes an unknown sensor-gain term.","derived","H021;H012;H015;H016;H017","systematic_absence_after_documented_search","","Absence claim is bounded by the 10A search scope (7 domains); H021's own validation is simulation-only.","20_observability;60_research_program;70_redteam"
"C04","In absolute+rate two-sensor fusion, joint bias/state observability is excitation-conditional, not automatic (GPS/INS requires maneuvering; magnetometer bias determination degenerates in unfavorable geometry). Inference: Hall+coil mutual calibration will require persistent excitation or an injected known field; this condition is unproven for the Hall+coil pair specifically.","inferred","H018;H019;H020","strong_analog_theory","","GPS/INS and spacecraft-magnetometer analogs assume known absolute-sensor gain; the Hall case cannot.","20_observability;30_radiation_compensation"
"C05","JET RHP in-situ co-packaged copper-microsolenoid AC self-test/recalibration (known injected field, synchronous detection) preserved InSb Hall sensitivity to SD ~0.07% over 11.5 years / >19,000 pulses including a D-T campaign; the same embedded microsolenoids double as inductive pickup coils whose signals are recorded during pulses.","observed","H003;H007;H006;H011","strong_direct_operational","","Co-located, common-package, common current-reference chain: what the record proves stable is the product S_H*G_cal (die x winding); a common-mode (shared radiation/thermal) drift of die and reference winding together is undetectable by construction (stage-20 CASE E confound). Stage-70 note: 'same-die' in earlier wording was imprecise - the winding is a separate copper element in the same package.","30_radiation_compensation;60_research_program;80_synthesis"
"C06","Existing Hall+coil drift correction does NOT prove PASSIVE in-situ Hall radiation-sensitivity calibration: every fusion-context instance either corrects the coil/integrator chain using the Hall channel as reference with S_H assumed known/stable, or recalibrates the Hall channel ACTIVELY via a known-current microsolenoid (C05 line). No source demonstrates passive, measurement-based coil-derived identification of radiation-induced Hall gain or bias drift in any fusion or radiation environment; in fusion the passive coil-to-Hall direction exists only as published proposals (H003 section 5 dry-run/ramp recalibration; ITER OVSS calibration plan, H067).","derived","H001;H002;H004;H005;P003","systematic_absence_after_documented_search","H059;H003;H067;H011","H059 (non-fusion HTS magnet, driven known ramp, no radiation) is the only demonstrated passive instance; H011 demonstrates the ACTIVE (actuator-injection) variant under fission-reactor irradiation to >1e18 n/cm2. The active-vs-passive distinction is load-bearing for every novelty statement built on this claim (stage-70 correction).","20_observability;30_radiation_compensation;40_applications_collaboration;50_limitations_comparison;60_research_program;70_redteam;80_synthesis"
"C07","Spinning-current offset cancellation reduces but does not eliminate Hall offset; a residual offset floor survives, so b_H remains a free parameter even with current spinning active.","observed","H034;H035","strong_direct","","Residual-floor magnitude for the user's specific GaN devices is not in the ledger.","20_observability;30_radiation_compensation"
"C08","Embedded known-field calibration references exist at chip scale (on-chip reference actuator next to a Hall array, ~392 mT/A per coil) and machine scale (HBT-EP 'artificial plasma' calibration coils used to calibrate 216 Mirnov coils and a Rogowski coil in situ).","observed","H038;H040","moderate_direct","","H038's quantitative figures are search-snippet-sourced (flagged for full-text read); H040 calibrates inductive sensors, not a Hall channel.","30_radiation_compensation;60_research_program"
"C09","Validation-strength inversion: the fusion Kalman-fusion papers architecturally closest to the mission's proposal are synthetic-data-only or validation-unconfirmed, while the strongest hardware validations are non-fusion and do not address Hall gain.","derived","H001;H002;H004;H005","documented_pattern","","H002's validation basis could not be confirmed (publisher blocked); it may contain more than the abstract shows.","50_limitations_comparison;60_research_program;70_redteam"
"C10","In superconducting-magnet quench detection, Hall-array and coil (quench-antenna) approaches remain parallel, unfused research lines even in well-resourced programs - a counter-signal against assuming Hall+coil fusion is trivial engineering.","observed","H060;H061","moderate_direct","","Two sources, one sub-domain; absence of fusion there does not prove difficulty, only non-adoption.","50_limitations_comparison;70_redteam"
"C11","The reverse correction direction - coil channel calibrating the Hall channel in situ from PASSIVELY measured signals - is demonstrated (abstract-confirmed) in exactly one non-fusion case: the Feather-M2 HTS dipole's cryogenic Hall sensors were cross-calibrated in situ against induction-coil sensors during driven magnet ramps. In fusion the same direction is published as PROPOSAL only: H003 section 5 (passive recalibration via dry runs/plasma ramp-up) and the ITER OVSS calibration plan (H067: readjust OVSS sensitivity against outer-vessel inductive coils during current ramps).","observed","H059;H003;H067","single_source_direct","","H059: non-fusion, no radiation, engineered excitation, quantitative accuracy figures not read (abstract-level). The fusion instances are unrealized plans - no demonstration exists (C06). H067's cross-calibration sentence is search-index body text (abstract independently verified; full text not accessed) - flagged.","20_observability;30_radiation_compensation;60_research_program"
"C12","InSb Hall sensitivity degrades under a thermal-inclusive fission neutron spectrum but remains stable under a purely fast-neutron spectrum at comparable fluence (R001: ~1e16 n/cm2 in both facilities); follow-up thermal-type-reactor irradiation series at 8.7e17 and 1.2e18 n/cm2 support the same mechanism (R002); the authors attribute the difference to transmutation (In/Sb thermal-neutron capture) rather than displacement damage.","observed","R001;R002","moderate_direct","","Both papers come from the same collaboration (limited independence); numeric degradation magnitudes were not accessible. Stage-70 precision fix: R001's ~1e16 two-spectrum comparison and R002's ~1e18 thermal-series are different fluence regimes - do not quote as one number.","30_radiation_compensation;70_redteam"
"C13","Quantified fast-neutron damage at ~6.6-7.0e17 n/cm2 (sample ~200 C): InSb thin-film Hall mobility fell 75-90% (average 83%, 9 samples), carrier-density change direction doping-dependent; graphene-on-SiC mobility fell 43% and sheet density 39% under the same exposure.","observed","R003","strong_direct_fulltext","","Single campaign/facility (MARIA reactor); bias state during exposure not specified.","30_radiation_compensation"
"C14","No bare GaN/AlGaN Hall-plate device has been irradiated and reported in the peer-reviewed literature under any neutron spectrum (fission, fast, or 14 MeV D-T); all GaN neutron evidence is HEMT/2DEG-structure or AlN-ceramic enabling physics.","unknown","R022;R023;R024;R026;R027;R028;R029;R030;R031;R032","systematic_absence_after_documented_search","","This is the largest direct-evidence gap for the user's own device family; absence bounded by the 10B search scope (8 domains).","30_radiation_compensation;60_research_program;70_redteam"
"C15","AlGaN/GaN 2DEG proton damage is quantified (2 MeV, 6e14 cm-2: mobility -28.9%, 2DEG density -12.1%, interface broadened 2.2 nm); AlGaN/GaN micro-Hall sensors are only slightly affected at ~1e13 p/cm2 with degradation rising at higher fluence and PARTIAL recovery on annealing.","observed","R022;R012;R013;R015","moderate_direct","","R012/R013/R015 quantitative conditions are secondary-sourced (publisher blocked); R022 figures are Crossref-abstract-confirmed.","30_radiation_compensation"
"C16","NIEL-based proton-to-gamma damage scaling under-predicts Co-60 gamma lifetime damage by ~14x in InAs/InAsSb, because proton cascade defects self-anneal more efficiently than gamma-produced isolated Frenkel pairs. Cross-species extrapolation is unsafe for III-V Hall materials.","observed","R042","single_source_direct","","One material family (InAs/InAsSb infrared detectors), minority-carrier-lifetime metric - mechanism argument transfers to Hall parameters only as a labeled inference.","30_radiation_compensation;70_redteam"
"C17","Mixed neutron+gamma damage is non-additive, and the direction of the non-additivity depends on device structure and the electrical quantity examined (GaN HEMT leakage sub-additive vs cascode threshold super-additive; bipolar op-amp offset synergistic).","observed","R028;R046","moderate_direct","","Two device classes only; no Hall-device combined-field dataset exists (see C14/C21).","30_radiation_compensation;70_redteam"
"C18","A metallic (copper-active-layer) Hall sensor on ceramic substrate showed no measurable sensitivity change up to ~1e18 n/cm2 fission-spectrum fluence, with sensitivity flat over 100-250 C. Inference: metallic Hall is a candidate material-diverse reference channel for a semiconductor Hall+coil system.","inferred","R071","single_source_direct","","Single source, abstract-level access, single fluence/temperature envelope; the inference (use as reference channel) is this mission's, not the paper's.","30_radiation_compensation;60_research_program"
"C19","Radiation-induced EMF (RIEMF) in mineral-insulated cables is an established additive error mechanism for coil signal chains (five-paper cluster, 1997-2004; ITER aims to keep non-inductive voltage well below 1 uV for 3000-s pulses per secondary-sourced figures).","observed","R056;R057;R058;R059;R060","strong_direct_multiple_sources","","No dose-to-RIEMF-magnitude curve could be independently confirmed (publisher access blocked); the 1 uV figure is secondary-sourced.","30_radiation_compensation"
"C20","The JET fibre-optic current sensor (FOCS) operated through the DTE2 D-T campaign (~8.5e20 total neutrons): Verdet constant +/-4% shot-to-shot, a possible ~0.7% campaign-scale drift at low statistical confidence, no disqualifying degradation, continuously cross-validated against the Continuous External Rogowski - the only in-machine D-T radiation-effects dataset in the ledger, and a template for what Hall+coil qualification would need to produce.","observed","R063;H031;R064;R065","strong_direct_fulltext","","FOCS is a Faraday-effect optical sensor, not a Hall device; transfer of its qualification template to Hall+coil is a proposal, not evidence.","30_radiation_compensation;40_applications_collaboration;60_research_program"
"C21","In-situ (during-irradiation) recalibration of Hall sensitivity against a material-diverse PASSIVE field-sensor reference is unreported for any Hall material, in any source found by either the radiation or hybrid lane. Actuator-based in-situ recalibration against a co-packaged copper-winding known-field reference IS reported: during fission-reactor irradiation to >1e18 n/cm2 and through JET operation (H011; C05 line).","unknown","R001;R002;R003;R012;R013;R071;H003;H007","systematic_absence_after_documented_search","H011","Bounded by 10A+10B search scope. Stage-70 correction: the surviving gap is specifically the passive witness-SENSOR architecture (stage-30 Option D), not 'in-situ recalibration' per se - novelty statements must make this distinction explicitly.","20_observability;30_radiation_compensation;60_research_program;70_redteam"
"C22","GaN-family TID response has two regimes: a rapidly-annealing low-dose threshold shift (<3 krad(SiO2)) common to HEMT and MOS-HEMT, and a persistent oxide-trapping shift extending to at least 2 Mrad in MOS-HEMTs only; a 200 C / 25 min anneal partially recovers gamma-degraded transport.","observed","R024;R033","moderate_direct","","R024 uses 10 keV X-rays as TID surrogate (not gamma); R033 is peer_review_uncertain (ECS Transactions proceedings).","30_radiation_compensation"
