# B40_portfolio FULL attempt-1 (pap06-fable-xhigh, requested Fable 5/xhigh). Combined portfolio: EXACTLY 24 ranked directions from the 41-idea A30 universe. RANK CONVENTION: the stage schema's exact column list has no rank column, so ROW ORDER IS THE RANKING (rank 1 = first data row, rank 24 = last). score = weighted ordinal aggregate on a 0-4 scale, one decimal (criteria, declared weights, per-criterion audit scores, and two-decimal ordering values in DECISION.json; method carried from the accepted B40 pilot with refinements disclosed in PORTFOLIO.md section 3). uncertainty = conservative linear-combined half-width of per-criterion bands, one decimal - overlapping bands mean adjacent ranks are NOT separated (base-score ties at ranks 3/4 and 13/14 are resolved by stated judgment, and dispositions are more robust than fine rank order). origin = A30 COMPARE.json three-way membership with ranks. Idea IDs verbatim from the A30/B20 universe; SEM-01 (E-01 inside C-01) and SEM-02 (B-01 inside C-04) consolidations honored - no semantic duplicate appears twice; universe reconciliation: 24 ranked + 15 rejected (DECISION.json) = 39 concepts = 41 IDs minus 2 consolidations. B40-xx = SOURCES.csv claim rows; BR-x = B30 BRIDGES.json gates; Cxx/EVxx/Pxxxx/G-M-BT = B10/B15 evidence IDs.
idea_id,name,origin,disposition,score,uncertainty,phd_leverage,power_relevance,first_proof,capital_band,main_risk,falsifier
P3R2-D-02,"Reel-to-reel contactless REBCO tape quality metrology (Hall-array Ic mapping + delamination screening)","all three finals: BLIND 5 / OLD 1 / NEW 1 - strongest membership in the universe (B40-26)",bridge,3.0,"+/-0.8 (overlaps ranks 2-4)","STRONG (B20's only STRONG): demonstrated Hall readout chain (C03/C13) and harsh-environment packaging (C46/C01) carry the core sensor; the decisive calibration-credential leg (C06/WP-C) is proposed-only and C04-gated; array instrumentation and lock-in thermography are NOT demonstrated (B20 correction 1)","none as a power idea (absent from B25 POWER_MAP); W1-class metrology-methodology kin; magnet-community buyer overlap with W2's market (B40-12)","bridge gates: BR-D (WP-C Tier-1 traceable calibration, calendar start immediately upon C04 closure; gates G-BR-D-pre/exit) plus BR-B (traceable-chain + dossier rehearsal); venture: 2027 blind-Ic correlation experiment (~$120k, corpus-dated) with its own <=5% kill rule","moderate (instrument-scale; ~$120k decisive experiment, corpus-dated)","C04 anomaly traces to a design-level readout fault and resists closure (B20 falsifier); time competition with the P1/SENSL revision critical path; REBCO volume-ramp timing is corpus-dated (refresh-sensitive)","C04 no-path OR the 2027 correlation experiment missing its pre-stated 5% bound across producer architectures demotes to watch/stop; TapeStar (B40-11) shipping a transport-calibrated-Ic + delamination channel would erase the differentiator"
P3R2-D-01,"Merchant quench-detection-and-protection subsystem for REBCO/HTS magnets (fiber-optic + RF + voltage fusion, energy extraction)","all three finals, triple intersection: BLIND 3 / OLD 3 / NEW 7 (B40-26)",bridge,2.8,"+/-0.8 (overlaps ranks 1 and 3-5)","MEDIUM: the honest bridge is estimator-fusion/honesty methodology (C08/C10/C23/C31; EV34 convergence; same weak-signal-under-EMI class as EV06/EV23, B40-23) - proposed-only and pre-redteam (C40); no Hall channel in the product; the fiber/RF/dump core is outside PhD evidence","W2 family anchor, frontier side (B25 POWER.md section 9); ST01-C11 cross-corpus support that detection is the genuinely unsolved layer (record-vintage)","bridge gates: BR-A Phase 0 ($0 FT-02 honesty gate, G-BR-A-0) then BR-A Phase 1 + BR-C real-data replay (G-BR-C) + BR-G detection statistics (G-BR-G); venture: 2027 university-lab campaign; upgrade condition: Hall-transient HTS-monitoring bench win (M7/EV26); BR-I remains an unscheduled collaborator option (host absent)","moderate (subsystem-scale, record level)","demand is ecosystem-level pending a 2028 co-test (its own record); NI-winding dominance at pilot scale shrinks both venture and alignment; estimator methodology pre-redteam (C40), FT-02-gated","BR-A Phase 0 FAIL (twice) kills the founder-side detection lane (C31: it gates every dollar after it); NI-winding dominance or captive protection methods closing the merchant socket demotes to stop; a Hall-transient bench win (M7/EV26) upgrades toward keep"
P3R2-C-05,"Standards-grade thermal emulation and conformance metrology for liquid cooling (programmable TTVs, traceable calorimetry, round-robin protocol)","BLIND 2 / OLD killed (P4 G7 at 67.4) / NEW 3; A30 DIS-C05 verified the revival predicate on opened primaries (B40-07/08)",watch,2.6,"+/-0.9 (base score 2.55 ties rank 4; ordered above D-09 because its demand ecosystem is A30-verified while D-09's is record-vintage - a stated judgment inside overlapping bands)","MEDIUM (boundary): WP-C-class GUM/traceable-uncertainty methodology (C06 - proposed, C04-gated) maps onto the moat; the domain (multi-kW calorimetry, two-phase fluids) is nowhere in B10's ledger - methodology-not-domain transfer (B20 correction 4)","W1 family, boundary inclusion (its bench IS kW-class programmable electrical load + traceable energy-balance metrology, B25); role is to prove the wedge class generalizes - NOT the founder's first wedge","no C-05-specific founder gate exists (BR-B rehearses the W1 methodology generically, not the thermal domain - carried from the pilot's adjudication); watch triggers: BR-B dossier verdict (G-365/W1), OCP conformance-program resolution (B40-03: methodology white papers exist at discovery level; a complete conformance program with reference hardware is still not evidenced), round-robin feasibility; venture gate: the round-robin variance experiment","moderate (bench + protocol build, record level)","the differentiator may prove to be thermal/fluids domain engineering rather than uncertainty-budget authority (B20 falsifier); OCP primaries remain 403-blocked (A30 open item); PhD-parallel scope drift high","lab-to-lab round-robin variance too large to discriminate products kills the method-authority premise; a resolved OCP conformance program with reference hardware closes the vacuum the venture targets; BR-B dossier failure removes the founder-side methodology premise"
P3R2-D-09,"Charge-buildup-immune beam-current and dose metrology for FLASH and industrial electron beams (traceable reference instrument)","BLIND 23 / OLD killed (P4 G1+G7 at 58.2) / NEW 17; the OLD-to-NEW reversal was mapped but not web-verified by A30 (below top-set criticality)",bridge,2.6,"+/-1.0 (widest top-band; ties rank 3 at base weights - see C-05 note)","MEDIUM (B20's sleeper elevation: strongest previously-unanalyzed forward mechanism after D-02): buyer's stated requirement is NIST traceability with tolerance budgets - exactly WP-C/GUM methodology (C06, C04-gated; EV01/EV35/G3/M3 scarcity, B40-22); non-intercepting beam-current sensing is magnetic-family instrumentation with a documented FLASH failure mode (record-cited 2025 BCT papers); harsh-environment survivability parallels C01/C46","W1 family sleeper (B25 boundary inclusion: measurand is beam current); precision-current-metrology clause","bridge gates: BR-B PB-2 dossier (B25 names it this idea's methodology rehearsal) plus BR-A Phase 1 excursion-chain discipline (PB-5); the traceable-reference credential itself is C04-gated via BR-D; venture gate: a funded reference-instrument engagement (record)","low-moderate (instrument-scale, record level)","market small and instrument-vendor-shaped (record's own words); NCI SBIR topic instance expired and recurrence unverified; FLASH clinical window 2028-2032 corpus-dated; medical-device regulatory burden eventually","if the winning approach proves calorimetric/Faraday-cup engineering rather than magnetic-family non-intercepting sensing, the sensor-family leg drops and it degrades to the methodology-only C-05 pattern; PTW converting its research detector first kills the position; BR-B dossier failure removes the traceability-authority premise"
P3R2-G-03,"DC-conversion acceptance and commissioning instrumentation (portable measurement island + standardized protocols + signed dossiers)","OLD 20 / NEW 15; BLIND near-miss (CONTINGENT) - selected by both baselines (A30 rerun item 6)",bridge,2.4,"+/-1.0 (overlaps ranks 3-7)","WEAK at the weak/medium boundary (B20's explicit adjudication): bench electrical metrology real (C03 demonstrated; C06 proposed - same WP-C family as C-05); field acceptance at power-system scale is a safety-rated trades domain with no PhD evidence; record depth selection-entry only (disclosed)","W1 family, nearest-term lowest-capital qualification play (B25); the NERC PRC-028 compliance wave is adjacent demand context (B40-18, secondary source)","bridge gate: BR-B dossier phase - BRIDGES.json step 9 produces the acceptance dossier IN THE G-03 ARTIFACT FORMAT, so G-365/W1 is a direct gate on this idea's product premise (promote on pass, stop customer-facing prep on fail); B20's other resolution path: a paid engagement pricing traceable-uncertainty dossiers","low-moderate (portable instrument island, record level)","instrument majors (Chroma/Keysight/Hioki) shipping DC acceptance suites first closes the wedge (record's own gate); operator acceptance of vendor self-certification; field-electrical safety domain is not founder-executable without the S3/S16 arrangements (B30)","BR-B dossier failure (G-365/W1) stops all customer-facing preparation; instrument majors shipping first closes the lane; a paid dossier engagement pricing the metrology-authority layer upgrades to MEDIUM (B20's stated condition)"
P3R2-F-06,"Precision wideband DC current/voltage sensing platform (optical FOCS + zero-flux hybrid) for HVDC stations, electrolyzer plants, and magnet systems","OLD 23 only; NEW P4 score-cut at 59.5; BLIND not selected (CONTINGENT+INCUMBENT) - the ranking's largest divergence from all three runs, disclosed and reasoned in PORTFOLIO.md section 6","bridge",2.3,"+/-0.9 (overlaps ranks 4-8; weak commercial evidence honestly carried inside the band)","MEDIUM-boundary: the only universe idea whose entire product IS precision current metrology - WP-C traceable-calibration methodology (C06, proposed, C04-gated) maps onto the core differentiator; the chosen modalities (FOCS, zero-flux) are not Hall and not PhD-evidenced (EV20/EV28)","W1 wedge embodiment, discipline-nearest (B25 POWER.md section 9); demand refreshed by B25: PRC-028-1 compliance wave to 2030 (B40-18), Southern Spirit 2029/2032 targets on a stale page (B40-19, disclosed)","bridge gate: BR-B - PB-1 IS its modality-choice test (Hall/TMR vs zero-flux reference under WBG EMI; B20's named falsifier) and PB-2 its product motion; G-365/W1 wedge-kill retires the magnetics-adjacent option explicitly (BRIDGES.json kill gate)","moderate-high (instrument platform + multi-year utility qualification; both baselines rated the venture weak commercially - carried honestly)","demand is real but pre-order (no named OEM/EPC evaluation; the 2029 binding gate is the venture's own test, B25 record read); incumbents strong (Danisense 1 ppm class, Danfysik 10 ppm catalog - B40-16); rank here is a founder-axis result against weak commercial consensus (disclosed)","a PB-1-class benchmark decisively unfavorable to magnetics-adjacent methods cuts the bridge (BR-B wedge-kill); value concentrating in optical-fiber sensor physics downgrades the PhD bridge to speculative; incumbents publishing open uncertainty-budgeted qualification protocols erase the wedge"
P3R2-A-10,"Vendor-neutral ion-energy-distribution metrology + tailored-waveform bias control retrofit for plasma etch","all three finals, triple intersection: BLIND 9 / OLD 19 / NEW 8 (B40-26)",watch,2.2,"+/-0.9 (overlaps ranks 5-8)","MEDIUM: genuine mechanism on demonstrated assets - in-plasma/in-vacuum sensor packaging (C46/C01, stellarator-edge deployment) and EMI-robust weak-signal readout (C03/C13) map onto the production-hardened sensing layer; RFEA physics, sheath/IEDF process knowledge, and closed-loop control are NOT demonstrated (B20 correction of new06 D08)","not a power idea (B25 excluded it: phase-1 core is plasma metrology; same-lane power idea F-01 rowed instead)","no founder-executable B30 gate exists for the plasma domain (chamber access is venture-side); watch triggers: a chamber-access partnership or paid design-in pricing the production-hardened sensing layer; merchant incumbent structure verified live by B20 (Impedans measurement-only, B40-15)","moderate (sensor prototype + testbed campaigns, record level)","closed-loop premise unproven anywhere per its own record; testbed campaigns 2027-2028 collide with PhD mid-years; fab NDAs at the margin; CN-structure repair corpus-recorded","a generator vendor shipping good-enough integrated IEDF inference kills the venture independent of alignment; if production-chamber RFEA hardening proves process-chemistry materials engineering (not packaging/EMI discipline), the mechanism downgrades to speculative"
P3R2-A-14,"300C-class mixed-signal instrumentation electronics platform (SiC/SOI) for superhot geothermal/downhole/turbine","all three finals, triple intersection: BLIND 6 / OLD 9 / NEW 6 (B40-26)",watch,1.9,"+/-0.8 (overlaps ranks 9-10)","MEDIUM-leaning adjacent with the loose-analogy caveat: harsh-environment instrumentation credibility and drift discipline (C46/C01, EV13) transfer; the differentiating 300C continuous SiC/SOI qualification is a distinct discipline (both deep dives make packaging the gating asset); a demonstrated 150C bake is not a 300C/1000h qualification","not a power idea (B25 excluded: instrumentation ICs, not power conversion)","no founder gate; watch triggers: a concrete joint campaign qualifying platform packaging AND AlGaN/GaN Hall high-T drift (upgrade toward strong, closes the 15-year-stale P0017 data gap); CISSOID last-time-buy supply-gap refresh","high ($850k first experiment per new06 - PhD-parallel capital misfit, B20)","capital misfit dominates founder feasibility; qualification campaigns 2027-2029 collide with PhD years; demand facts corpus-dated","if the venture's value proves pure IC-design + packaging IP, the transfer downgrades to weak; the joint-qualification trigger firing upgrades it; no 300C-qualification path exists at founder scale"
P3R2-E-04,"High-density cryogenic interconnect loader with co-packaged 4K readout front-end (superconducting flex + cryo-CMOS mux + cryo-LNA)","all three finals, triple intersection: BLIND 21 / OLD 13 / NEW 16 (B40-26)",watch,1.8,"+/-0.8 (overlaps ranks 8 and 10)","MEDIUM/WEAK boundary: functionally the nearest venture to the PhD's readout work (C03/C13/C14/C46) but the environment axis inverts (4K vs 150C) and the core differentiators (cryo-CMOS, superconducting flex, dilution-fridge budgets) have zero PhD evidence (EV31/EV13)","not a power idea (B25 excluded: cryo readout)","no founder gate during the PhD: BIS 2024 quantum/cryo ECCNs (incl. 3A904 class) impose deemed-export exposure for a non-US-person researcher (C42) - active work is deferred by design; watch triggers: post-PhD status change, Delft/Bluefors absorption, whether the buyable unit is the cryo-IC or the integrated loader","moderate-high (cryo development, record level)","deemed-export/licensing friction during the PhD is idea-specific (B20 flag carried); DOE QIS window 2028-2032 sits in PhD tail years; absorption risk by incumbent cryo vendors","if the buyable unit proves to be the cryo-IC itself, the mechanism downgrades to speculative; a joint program using the PhD's packaging line for cryo-qualification would upgrade toward strong"
P3R2-F-02,"Superconducting-magnet electrical balance-of-plant platform (10 ppm-class drive-and-dump skids, current leads, busbars)","BLIND 16 / OLD 15 / NEW P4 score-cut at 59.4 - BLIND+OLD agree against NEW (B40-26)",watch,1.7,"+/-0.8 (overlaps ranks 9 and 11-13)","WEAK with two honest slivers: 10 ppm regulation lives in the measurement chain (DCCT/zero-flux class, EV28; same conclusion as startup DD-C10: B25 section 8) - method-adjacent to C03/C06; and the magnet-community buyer class is verified current (B40-12) - buyer adjacency, not mechanism","W2-adjacent: same market layer as ST01-C10 seen from the frontier side (B25 section 8 reconciliation); fusion supply-chain bottleneck context live-verified by B25 (B40-17)","no F-02-specific gate; the reverse sliver (trusted excursion chains, BT-3/FT-05) is exercised by BR-A Phase 1 + BR-B regardless; watch trigger: a magnet-lab purchase order naming calibrated measurement uncertainty (not converter capacity) as the differentiator - B20's upgrade condition","moderate-high (skid product line, record level)","incumbents strong (OCEM/Danfysik class; Danfysik 10 ppm catalog verified live - B40-16); CFS-style bundling risk; NEW cut it on score","the trigger purchase order firing upgrades toward adjacent leverage; incumbent catalog expansion into fast-dynamics + telemetry closes the contestable layer; shared buyers must never be presented as synergy (B20 warning carried)"
