rank,group_or_facility,institution,application,official_url,relevant_publication_ids,unique_capability,proposed_scientific_ask,prerequisites,access_uncertainty,competition_or_ip_risk,phd_fit,recommendation,notes
1,Fusion Plasma Division (steady-state magnetic diagnostics / Hall-sensor program),"Institute of Plasma Physics, Czech Academy of Sciences (IPP CAS), Prague, Czechia",Tokamak long-pulse/plasma magnetic diagnostics,https://www.ipp.cas.cz/vedecka_struktura_ufp/tokamak/index.html (verified live 2026-07-27; division page explicitly names 'Hall sensors for ITER and DEMO' and COMPASS-Upgrade diagnostic development; a June-2026-dated homepage news item confirms current activity),H003;H007;H065;P003;C05;C27;C33,"The only group in the evidence base with an 11.5-year, >19,000-pulse, JET D-T-campaign-inclusive operational radiation-hard Hall sensor record (H003/H007, C05) plus a stated antimony-Hall steady-state successor program for ITER/DEMO (H065); direct technical lineage to the ITER OVSS precedent (P003, C27).","PROPOSED, NOT SENT. A narrow, concrete ask once HSX bench data exists (post stage-30 G1): compare the group's same-die AC self-test calibration record (C05) against the user's independently derived stage-20 result that same-die self-test cannot detect common-mode die+reference drift -- i.e. ask whether their long-run dataset shows any signature consistent with an undetected common-mode event, and whether they would discuss (not share unpublished data on) their antimony-Hall program's calibration architecture as a comparison point for the user's layered-anchor design (stage-30 Option H).",Stage-30 G1 pass (bench-repeatable anchored-hybrid calibration) plus a written version of the common-mode-blindness argument to offer as the user's own contribution (already drafted in outputs/02_MUTUAL_CALIBRATION_FEASIBILITY.md); do not approach with T0 simulation-only results alone.,"Moderate -- the group is small, active, and has co-authored with international partners (Lviv, Italy/RFX) before, suggesting openness, but no existing tie to the user's group exists and Czech/EU fusion programs prioritize their own ITER/DEMO delivery schedules.","Moderate -- this group is the closest thing to a direct competitor on the reverse-calibration-direction question (C06 gap); any conversation should lead with the user's own stage-20 derivation as a contribution, not a request to be shown unpublished methods, to keep the exchange collaborative rather than extractive.","High -- directly extends the user's HSX/RSI trajectory into the one lane with a real radiation-hardened-Hall operational record; strengthens rather than dilutes the thesis if scoped to algorithm/architecture discussion, not a joint radiation-test commitment (root CLAUDE.md scope rule).",approach-after-bench-proof,"Individual researcher names (Entler, Duran, Kocan) associated with this program appear only in the peer-reviewed literature (P003, H065), not on the fetched division page itself; no individual contact information is recorded here or should be used, per mission policy."
2,"Intelligent Diagnostics Group, KSTAR Research Division","Korea Institute of Fusion Energy (KFE), Daejeon, South Korea",Tokamak long-pulse/plasma magnetic diagnostics,"https://www.kfe.re.kr/menu.es?mid=a10103010000 (KSTAR Research Division org chart; verified live 2026-07-27, lists the group under org-node a10103020000; the page itself does not name the Kalman-fusion paper -- that link is established via the paper's own author-affiliation metadata, not the org-chart page)",H001;C01;C09,"Authored the mission's closest architectural precedent (H001, 2025 Nuclear Fusion): a Kalman-filter sensor-fusion framework for magnetic-drift estimation in long-duration plasma operations, structurally the nearest published relative of the user's proposed estimator (stage-30 section 6.1), though its validation basis is simulation-only/unconfirmed (C09).","PROPOSED, NOT SENT. Ask whether their Kalman-fusion framework (H001) has been validated against real KSTAR long-pulse hardware data or remains simulation-only, and whether the user's stage-20 identifiability proof (which shows their framework's implicit known-sensor-gain assumption sits inside the same non-identifiability gap, C03) would be a useful cross-check -- framed as a comparison of estimator assumptions, not a data request.","Stage-30 G0 pass (simulation honesty test T-NI, in progress this mission) so the comparison has the user's own validated non-identifiability result to offer, not just a critique of their published method.","Moderate-high -- KFE is an active, well-resourced national program; unsolicited contact from an outside PhD student with no prior KSTAR tie has an uncertain but not implausible response rate given the paper is recent (2025) and the authors are presumably seeking citations/engagement.","Low-moderate -- H001 is already published and simulation-only, so little unpublished IP is at stake; the main risk is being perceived as duplicating their announced direction rather than complementing it with the identifiability proof they did not publish.","High -- a direct, low-cost citation-and-comparison conversation that strengthens the novelty argument (C36) rather than requiring new fieldwork.",approach-after-bench-proof,"Author affiliations for H001 (Kim, Kim, Bak = KFE; Ghim = KAIST) were confirmed via the paper's own Crossref/IOPscience metadata, not the org-chart page, which lists a staff roster without naming these authors on the fetched excerpt."
3,"Magnetohydrodynamics (MHD) Research Unit, Plasma Dynamics Division","Max Planck Institute for Plasma Physics (IPP), Greifswald, Germany","Stellarator field mapping, alignment/error-field correction","https://www.ipp.mpg.de/5107641/MHD (verified live 2026-07-27; states the unit reconstructs plasma equilibria from Rogowski/saddle/Mirnov/diamagnetic-loop magnetic diagnostics, led by Dr. Henning Thomsen)",P012;P013;P014;P016;C32,"Operates W7-X, the only currently operating large stellarator with a published, quantitative (~1e-4 relative) coil-current accuracy requirement and a documented trim-coil error-field correction program (P012-P014, P016) -- the closest external analog to the user's own HSX error-field/coil-validation problem, at much larger scale.","PROPOSED, NOT SENT. A benchmarking-only ask: once the user has an HSX-validated CASE-D (machine-current + field-model) anchoring result, ask whether the W7-X team would discuss how their trim-coil correction workflow cross-checks coil-current logs against the vacuum field model, as a scale-comparison point -- not a request for a joint Hall+coil hybrid, since no such literature or stated need exists at W7-X (C32).",An HSX-side CASE-D demonstration result (stage-30 G1) to make the conversation a peer exchange rather than a one-way information request.,"Moderate -- IPP Greifswald is a large, internationally collaborative program used to hosting visiting researchers and joint papers, but there is no documented need on their side for a Hall+coil hybrid specifically, so the ask must stay narrowly scoped to method comparison.","Low -- W7-X's own literature shows no interest in or prior art for a Hall+coil hybrid (C32), so there is no competitive overlap; the risk is only that the ask may be seen as low-priority for a much larger, differently-resourced program.","Moderate-high -- reinforces the user's own stellarator work with an external benchmark, without requiring new hardware or a shift in research direction.",monitor,"The unit's page does not itself mention error fields, trim coils, or specific author names (Bozhenkov, Lazerson); those come from the peer-reviewed literature (P012-P014), not this page."
4,NSTX-U Program (National Spherical Torus Experiment-Upgrade),"Princeton Plasma Physics Laboratory (PPPL), Princeton, USA",Tokamak long-pulse/plasma magnetic diagnostics,"https://sites.google.com/pppl.gov/nstx-u/home (verified live 2026-07-27; states NSTX-U is a DOE Fusion Energy Sciences facility, 'the largest spherical tokamak in the U.S.', currently in a Recovery Project with machine status 'offline' per an April-2026 update. The canonical www.pppl.gov domain returned HTTP 403 to automated fetch for every page tried this session -- site-wide bot-blocking, not a content problem; this Google Sites mirror is the only PPPL-affiliated page independently verified live.)","C04 (analog only) -- no NSTX-U-specific source is yet in this mission's ledger; recorded as Unknown, not asserted.","A US-based, DOE-funded tokamak program with an active real-time magnetic-diagnostics and error-field-correction research base (per program description), offering geographic/funding-cycle access advantages over EU or Korean programs for a US-based PhD student; currently in hardware recovery, which may create a research-program (rather than hardware-access) engagement window.","PROPOSED, NOT SENT. Given NSTX-U is currently offline (Recovery Project), the only realistic near-term ask is a literature/algorithm-level conversation: whether their error-field-correction or real-time equilibrium-reconstruction work has encountered the same Hall-gain/coil-drift confounding problem stage 20 proves, and whether published NSTX-U current-log/field-model data could serve as a second CASE-D validation dataset alongside HSX.","Stage-30 G0/G1 pass; explicit verification of which specific NSTX-U publications address magnetic-diagnostic drift/calibration before any approach, since none is yet confirmed in this mission's ledger.","High -- the facility is in a multi-year recovery/rebuild, official web presence is heavily bot-blocked (suggesting reduced public-facing engagement bandwidth), and no specific NSTX-U magnetics-calibration publication has yet been verified in this mission's evidence base.",Low -- no specific competing publication was identified; the risk is primarily that the program's current recovery status leaves little bandwidth for external engagement.,"Moderate -- a US-based contact is logistically convenient, but the facility's offline status and the absence of a directly relevant verified publication make this a lower-confidence candidate than the Prague/KFE/W7-X options.",monitor,"PPPL's stellarator heritage (historical W7-X trim-coil contributions, NCSX/QUASAR work) was the original motivation for checking PPPL; the most current, verifiably active PPPL program found this session was NSTX-U (a spherical tokamak), not a stellarator program -- recorded honestly rather than forcing a stellarator label onto it."
5,ITPA (International Tokamak Physics Activity) Diagnostics Topical Group,"ITER Organization (multi-Domestic-Agency coordination body), Saint-Paul-lez-Durance, France",Tokamak long-pulse/plasma magnetic diagnostics,https://www.iter.org/scientists/itpea/diagnostics (verified live 2026-07-27; states the group's mission is to identify and resolve key diagnostic issues for ITER plasma control/analysis; chaired by Sandor Zoletnik with ITER-side deputy George Vayakis) and https://www.iter.org/scientists/itpa/itpea-publications (verified live; archives ITPEA papers 1998-2017 including the Kocan 2016 and Duran 2016 OVSS/bismuth-Hall design papers),P001;P002;P003;P010;C27;C33,"A cross-institutional coordination body (not a single lab) spanning every ITER Domestic Agency's diagnostics effort, including direct authorship of the OVSS bismuth-Hall architecture (P003, the mission's strongest real-machine precedent, C27); useful as an awareness/dissemination channel rather than a hands-on collaborator.","PROPOSED, NOT SENT. Not a direct collaboration ask -- the realistic engagement path is awareness (correctly citing ITPA-associated publications, attending an open ITPA Diagnostics meeting if the user's advisor has ITPA access) rather than a joint measurement project, since this is a topical-group coordination body, not a hands-on hardware team.","None specific to this stage; this candidate is lower-effort awareness, not a bench-proof-gated approach.","High for direct engagement (ITPA membership is typically institutional/national-program-based, not individual); low for passive awareness (publications and meeting proceedings are publicly findable).","Low -- coordination bodies do not compete for individual project credit; the OVSS precedent (P003) is long-published and already cited (C27), not a live competitive threat.",Low-moderate as a direct collaboration target; moderate as a citation/context source already used in this mission's own evidence base.,monitor,A third-party-hosted '45th ITPA TG Diagnostics 2024' meeting page was found at sites.google.com/pppl.gov/itpa-diagnostics-2024/home during verification but is not an official iter.org page and was not used as the primary citation here.
6,IRFM (Institut de Recherche sur la Fusion par confinement Magnetique) -- WEST tokamak diagnostics,"CEA (Commissariat a l'energie atomique), Cadarache, France",Tokamak long-pulse/plasma magnetic diagnostics,"https://irfm.cea.fr/en/home/ and https://irfm.cea.fr/en/presentation-of-west/ (both verified live 2026-07-27; state IRFM has ~250 staff at Cadarache and that WEST has been operational since Dec. 2016 with a 1337 s record plasma duration, mission framed as ITER preparation. No dedicated 'magnetic diagnostics team' sub-page was found; a candidate service URL returned HTTP 500.)",P004;P010;P011;C33,"Operates WEST, a long-pulse (>1000 s) tokamak with a rebuilt 469-sensor magnetic diagnostic suite (P004) and recent Bayesian sensor-placement work (P011) directly relevant to the estimator/anchor-placement questions in stage 30.","PROPOSED, NOT SENT. Lowest-confidence tokamak ask of this set: would require first identifying a named contactable sub-team, since the official site does not expose one; the technical ask, if a contact is later identified, would parallel the IPP-Prague ask (comparison of long-pulse drift-correction assumptions against stage-20's identifiability result).",Stage-30 G1 pass; independent identification of an actual named WEST magnetics sub-team or PI (not found this session) before any approach is considered.,High -- no dedicated group page or named team was verifiable this session; French CEA programs are typically accessed through formal institutional agreements rather than informal PhD-to-PhD contact.,"Low-moderate -- P004/P011 are already published; no unpublished-IP conflict identified, but the missing organizational contact point makes this risk assessment provisional.",Lower than Prague/KFE given the missing organizational entry point; retained because WEST is currently the most-cited operating long-pulse machine in this mission's evidence base (C33).,monitor,"Ranked below the other tokamak candidates specifically because no dedicated, verifiable magnetic-diagnostics sub-team page or named contact point could be found this session, unlike IPP-Prague and KFE."
7,Bulk Superconductivity Group,"University of Cambridge, Department of Engineering, United Kingdom","Superconducting magnets, HTS rotating machinery, motors/generators",https://bulk-sucon.eng.cam.ac.uk/ (verified live 2026-07-27; states the group's mission is applying HTS to practical engineering problems; confirms J.H. Durrell and M.D. Ainslie as current members via linked staff pages; cites a November-2024 Centre for Doctoral Training announcement as evidence of current activity),P038;P040;P041;P042;P043;P076;C28,"World-record trapped-field HTS magnet work (17.7 T, P040) and the persistent-mode-magnet/NMR-reference literature (P042) that most clearly establishes why this application is structurally vetoed for the Hall+coil hybrid (C28); also a source of cryogenic Hall temperature-coefficient data relevant to the user's own alpha_S characterization.","PROPOSED, NOT SENT. No collaboration ask is recommended given the structural veto (C28); if ever revisited, the only defensible ask would be narrowly about cryogenic Hall-sensor temperature-coefficient characterization methodology (adjacent to P050/P051), not the hybrid architecture.","None -- this candidate is recommended for literature monitoring, not outreach, given the application-level veto.",N/A -- no approach is recommended.,Low -- no overlapping architecture claim exists to compete over.,Low as a collaboration target under this mission's architecture; the group's published temperature-coefficient-adjacent data is already usable by citation alone.,monitor,"Retained in this list only to document that a serious, currently active, technically strong group was identified and evaluated for this application, per the stage's requirement to name candidates even for vetoed lanes -- not as an outreach recommendation."
8,"Magnetic Measurements (MM) section, Magnets Superconductors and Cryostats (TE-MSC) group","CERN (European Organization for Nuclear Research), Geneva, Switzerland/France",Accelerator magnets -- precision field mapping and calibration,"te-msc-mm.web.cern.ch/home and /mission (search-engine-indexed as the group's current official micro-site, corroborated by a live CERN-hosted sibling page te-msc-tf.web.cern.ch appearing in the same search and by multiple arXiv papers linking to it; DNS resolution for every te-msc-mm.web.cern.ch / te-msc-tf.web.cern.ch / te-mscgroup.web.cern.ch / at-dep-mtm-mm.web.cern.ch variant FAILED from this analysis environment on repeated direct-fetch attempts on 2026-07-27, and a parent te-dep.web.cern.ch page returned HTTP 403 -- content could not be independently verified this session; flagged honestly rather than asserted as full_text-read)",P052;P053;P054;P057;P075;C29,"Decades of production-scale practice combining Hall probes, rotating coils, and NMR for accelerator-magnet field mapping, including a published in-situ rotating-coil self-calibration method (P057) that directly inspired the triangle-closure consistency test in this mission's own stage-30 architecture (section 5.5).","PROPOSED, NOT SENT. No application-level collaboration is recommended given the direct novelty veto (C29); the only defensible ask, if this technique-borrowing relationship were ever made explicit, would be a narrow methodological question about the in-situ rotating-coil self-calibration protocol's uncertainty budget (P057) -- already cited, not requiring contact.",None -- monitoring/citation only.,"High for direct engagement (large, request-driven organization; official group micro-site itself could not be verified live this session); low for the published literature already cited.","Low -- P052-P058 are long-published production-metrology papers, not live competing research on the mission's specific radiation/in-situ-embedded-calibration angle.","Low as a collaboration target (mature prior art removes the architecture-level novelty, C29); the technique-borrowing value has already been captured via citation without contact.",monitor,"Group identity, personnel (e.g. Buzio, Arpaia, Russenschuck), and mission are documented through the peer-reviewed literature (P052-P058) and third-party citations rather than a directly fetched official page this session; no individual contact information is recorded here, consistent with mission policy."
9,Z Pulsed Power Facility / Mykonos scientific campaigns (power-flow and load physics),"Sandia National Laboratories, Albuquerque, USA",Z-pinch/pulsed-power current and field measurements; magneto-inertial fusion/plasma-jet experiments,"https://mykonos.sandia.gov/scientific-campaigns/mykonos-power-flow-physics-research/ and https://mykonos.sandia.gov/scientific-campaigns/mykonos-load-physics-research/ (both verified live 2026-07-27; power-flow page includes a February-2026-dated allocation announcement confirming current activity; load-physics page describes AutoMag liner studies, Applied B-Field system, and x-pinch radiography) and https://www.sandia.gov/z-machine/ (broader facility page, verified live, describes Z as a high-power pulsed radiation/fusion/stockpile-stewardship research platform)",P021;P022;P023;P025;P030;P074;C30;C35,"Sole US national-lab-scale pulsed-power/MIF facility in this evidence base, with a documented B-dot/Rogowski sensor-fusion precedent (P025) and real D-T neutron yield in MagLIF shots (P030); represents the two application lanes this stage vetoes most directly (C30, C35).","PROPOSED, NOT SENT. No collaboration ask is recommended given the architecture-level vetoes in both associated application lanes; retained here only because the stage prompt requires Sandia Z/Mykonos to be evaluated as a named candidate.",None -- do-not-prioritize; no gate applies.,"High -- large national-lab facility, single-shot campaign scheduling, no existing tie to the user's program.","Low direct competition (the vetoes mean there is no proposed architecture to compete over); export-control/classification review would be a first-order concern for any national-lab pulsed-power engagement, flagged for completeness even though no approach is recommended.","Low -- would require an entirely new diagnostics domain far from HSX plasma work, consistent with the thesis-dilution-risk scoring in 04_APPLICATION_SCORECARD.csv.",do-not-prioritize,"Included to satisfy the stage's explicit requirement to name Sandia Z/Mykonos as a candidate; the recommendation is do-not-prioritize, not monitor, because both associated application lanes carry hard technical vetoes (C30, C35) rather than an open-but-lower-priority gap."
10,Thermonuclear Plasma Physics group (P-24),"Los Alamos National Laboratory (LANL), Los Alamos, USA",Magneto-inertial fusion/plasma-jet experiments,"https://www.lanl.gov/engage/organizations/physical-sciences/physics/thermonuclear-plasma-physics (verified live 2026-07-27; covers magneto-inertial fusion, the Plasma Liner Experiment, and the Magnetized Shock Experiment, with present-tense mission language and collaborations at NIF/Omega/Sandia Z. The specific PLX program page returned HTTP 404 during verification; secondary search results reference a September-2025 call for commercialization partners to relocate PLX by June 30 2026, suggesting the program is in transition -- not confirmed on an official page, flagged as an access-uncertainty factor.)",P029;P031;P032;P034;P037;C35,"LANL's plasma-jet/magnetized-target-fusion program (Plasma Liner Experiment heritage, Magnetized Shock Experiment) is the most directly relevant MIF/plasma-jet group in the evidence base, though the specific PLX platform appears to be in an ownership/relocation transition as of late 2025.","PROPOSED, NOT SENT. No collaboration ask is recommended given the application-level finding that probes are already abandoned in the highest-stress regions (C35) and the boundary-niche alternative remains entirely unevidenced; retained only because the stage prompt requires LANL plasma-jet/MIF to be evaluated as a named candidate.",None -- do-not-prioritize; if the boundary-probe niche is ever revisited it would need its own dedicated feasibility study first (see 04_APPLICATION_SCORECARD.csv next_gate for this application).,"High, and currently rising -- the PLX platform itself appears to be mid-transition (commercialization/relocation call, unconfirmed on an official page), adding organizational uncertainty on top of the usual national-lab access barriers.","Low direct competition; national-lab export-control/classification review would be a first-order concern for any engagement, flagged for completeness even though no approach is recommended.",Low -- consistent with the highest thesis-dilution-risk score in 04_APPLICATION_SCORECARD.csv for this application.,do-not-prioritize,"Included to satisfy the stage's explicit requirement to name a LANL plasma-jet/MIF candidate; the PLX-transition detail was surfaced during this session's verification and is recorded as an unconfirmed secondary-source signal, not an official-page fact."
