exclusion_id,title,doi_or_url,stage,reason,topic_stream
E01,"Hall-effect sensors based on AlGaN/GaN heterojunctions on Si substrates for a wide temperature range","https://ietresearch.onlinelibrary.wiley.com/doi/full/10.1049/cds2.12067 (DOI 10.1049/cds2.12067)",full_text_verification,"Publisher landing page (Wiley/IET) returned HTTP 402 Payment Required on WebFetch; paywalled, could not verify DOI/peer-review/correction status against the publisher record, so not accepted",hall_metrology
E02,"High temperature Hall effect sensors based on AlGaN/GaN heterojunctions","10.1063/1.2201339 (pubs.aip.org, Journal of Applied Physics)",full_text_verification,"AIP Publishing landing page and direct PDF both returned HTTP 403 Forbidden across three WebFetch attempts; could not open the publisher record to verify peer-review/correction status",hall_metrology
E03,"Wideband contactless magnetoresistive-rogowski current sensing","https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/10782323",title_abstract_screening,"USPTO patent document, not a peer-reviewed journal or conference publication; excluded per LIT_POLICY (patents are discovery/context only, never accepted-core/supplement)",hybrid_diagnostics
E04,"Sensor apparatus for measuring direct and alternating currents","https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/11112434",title_abstract_screening,"USPTO patent document, not peer-reviewed literature; excluded per LIT_POLICY",hybrid_diagnostics
E05,"Bdot probe and Rogowski coil cross-calibration and sensor fusion in pulsed direct current capacitor discharges","https://www.academia.edu/81008633/Bdot_probe_and_Rogowski_coil_cross_calibration_and_sensor_fusion_in_pulsed_direct_current_capacitor_discharges",title_abstract_screening,"Only located on academia.edu repository mirror; no publisher/journal landing page or DOI located to verify venue or peer-review status",hybrid_diagnostics
E06,"Data fusion of magnetic coils and Hall sensors using Kalman filtering","https://www.sciencedirect.com/science/article/abs/pii/S0920379625003771",full_text_verification,"ScienceDirect abstract landing page returned HTTP 403 Forbidden; could not verify DOI/peer-review/correction status via the publisher record",hybrid_diagnostics
E07,"Drift-Free Integration in Inductive Magnetic Field Measurements Achieved by Kalman Filtering","10.3390/s22010182 (PMC8749566)",full_text_verification,"Successfully verified as a genuine peer-reviewed open-access Sensors (MDPI) journal article via its PMC record (no correction/retraction notice found), but not retained in the pilot because the hybrid_diagnostics stream quota (two accepted_core papers) for the exactly-eight-paper pilot was already filled by P0001 and P0003; carried forward from the pilot record — this full run's much larger corpus makes this item eligible again, but it was not re-added this run because a sufficient and diverse hybrid_diagnostics set (12 new items) was already assembled from other independently verified sources before this candidate was revisited; not re-screened for cause",hybrid_diagnostics
E08,"Review of wide band-gap technology: power device, gate driver, and converter design","10.1007/s43236-022-00470-6 (SpringerLink, Journal of Power Electronics)",full_text_verification,"SpringerLink landing page redirected to an IdP authentication/login wall (HTTP 303) on repeated WebFetch attempts; could not open the publisher record without authentication to verify peer-review/correction status",power_conversion
E09,"An Experimental Investigation of the Transient Response of HTS Non-insulation Coil","10.1007/s10948-016-3824-4 (SpringerLink, Journal of Superconductivity and Novel Magnetism)",full_text_verification,"SpringerLink landing page redirected to an IdP authentication/login wall (HTTP 303) on repeated WebFetch attempts; could not open the publisher record to verify peer-review/correction status",hts_quench_current
E10,"A Wide-Bandwidth Inexpensive Current Sensor Based on the Signal Fusion of Tunneling Magnetoresistance and a Current Transformer","https://www.mdpi.com/1424-8220/24/18/6071",full_text_verification,"MDPI (Sensors journal) landing page returned HTTP 403 Forbidden on direct WebFetch in the pilot session; could not verify DOI/peer-review/correction status via the publisher record at that time. SUPERSEDED this full run: the same paper (DOI 10.3390/s24186071) was located via its PubMed Central mirror PMC11435727, opened, and verified — it is now accepted_core as P0031 in PAPER_LEDGER.csv. Retained here for the audit trail of the original pilot exclusion.",hybrid_diagnostics
E11,"Study of GaN Hall Effect Magnetic Sensors","https://ieeexplore.ieee.org/document/10876122/",full_text_verification,"WebFetch returned no retrievable page content from the IEEE Xplore landing page; could not verify venue/peer-review/correction status; hall_metrology stream quota was independently filled by successfully verified alternatives in the pilot, so this item was not pursued further",hall_metrology
E12,"Nanoscale graphene Hall sensors for high-resolution ambient magnetic imaging","https://www.nature.com/articles/s41598-019-50823-8 (DOI 10.1038/s41598-019-50823-8)",full_text_verification,"nature.com direct WebFetch redirected to an IdP authentication wall (HTTP 303 to idp.nature.com/authorize); not pursued further this session given the established access-failure pattern for nature.com direct pages (equivalent-topic items were instead verified via other Nature-family articles' PMC mirrors)",hall_metrology
E13,"High sensitivity and detectivity of anomalous Hall sensor based on coupled magnetic bilayers","https://pubs.aip.org/aip/adv/article/14/10/105210/3315765 (AIP Advances)",full_text_verification,"pubs.aip.org direct WebFetch returned HTTP 403 Forbidden; could not verify peer-review/correction status via the publisher record and no PMC mirror was located this session",hall_metrology
E14,"Advances in Magnetic Sensors and Their Applications","https://www.mdpi.com/1424-8220/25/17/5590 (Sensors, MDPI)",full_text_verification,"mdpi.com direct WebFetch returned HTTP 403 Forbidden; no PMC mirror located for this specific 2025 article this session, so peer-review/correction status could not be verified against an opened record",hall_metrology
