map_id,net_type,unique_net,axis,terminal,cartridge_identity_rule,pair,screen_rule,feedthrough_vacuum_reference,air_cavity_mirrored,board_endpoint,board_domain,release_test,status
FM-01,SIGNAL,X_P1,X,p1,"signed P(q)=p1; physical shelf is one of 8/3/19/14 only after microscope traveler",XA,"XA screen to flange only",V1,A1,"Board X J1.1",GND1_X,"q/p traveler + V1/A1/J1.1 continuity + all-pairs isolation",HOLD - DO NOT TERMINATE
FM-02,SIGNAL,X_P3,X,p3,"signed P(q)=p3; physical shelf is one of 8/3/19/14 only after microscope traveler",XA,"XA screen to flange only",V2,A12,"Board X J1.2",GND1_X,"q/p traveler + V2/A12/J1.2 continuity + all-pairs isolation",HOLD - DO NOT TERMINATE
FM-03,SIGNAL,X_P2,X,p2,"signed P(q)=p2; physical shelf is one of 8/3/19/14 only after microscope traveler",XB,"XB screen to flange only",V3,A11,"Board X J1.6",GND1_X,"q/p traveler + V3/A11/J1.6 continuity + all-pairs isolation",HOLD - DO NOT TERMINATE
FM-04,SIGNAL,X_P4,X,p4,"signed P(q)=p4; physical shelf is one of 8/3/19/14 only after microscope traveler",XB,"XB screen to flange only",V4,A10,"Board X J1.7",GND1_X,"q/p traveler + V4/A10/J1.7 continuity + all-pairs isolation",HOLD - DO NOT TERMINATE
FM-05,SIGNAL,Y_P1,Y,p1,"signed P(q)=p1; physical shelf is one of 8/3/19/14 only after microscope traveler",YA,"YA screen to flange only",V5,A9,"Board Y J1.1",GND1_Y,"q/p traveler + V5/A9/J1.1 continuity + all-pairs isolation",HOLD - DO NOT TERMINATE
FM-06,SIGNAL,Y_P3,Y,p3,"signed P(q)=p3; physical shelf is one of 8/3/19/14 only after microscope traveler",YA,"YA screen to flange only",V6,A8,"Board Y J1.2",GND1_Y,"q/p traveler + V6/A8/J1.2 continuity + all-pairs isolation",HOLD - DO NOT TERMINATE
FM-07,SIGNAL,Y_P2,Y,p2,"signed P(q)=p2; physical shelf is one of 8/3/19/14 only after microscope traveler",YB,"YB screen to flange only",V7,A7,"Board Y J1.6",GND1_Y,"q/p traveler + V7/A7/J1.6 continuity + all-pairs isolation",HOLD - DO NOT TERMINATE
FM-08,SIGNAL,Y_P4,Y,p4,"signed P(q)=p4; physical shelf is one of 8/3/19/14 only after microscope traveler",YB,"YB screen to flange only",V8,A6,"Board Y J1.7",GND1_Y,"q/p traveler + V8/A6/J1.7 continuity + all-pairs isolation",HOLD - DO NOT TERMINATE
FM-09,SIGNAL,Z_P1,Z,p1,"signed P(q)=p1; physical shelf is one of 8/3/19/14 only after microscope traveler",ZA,"ZA screen to flange only",V9,A5,"Board Z J1.1",GND1_Z,"q/p traveler + V9/A5/J1.1 continuity + all-pairs isolation",HOLD - DO NOT TERMINATE
FM-10,SIGNAL,Z_P3,Z,p3,"signed P(q)=p3; physical shelf is one of 8/3/19/14 only after microscope traveler",ZA,"ZA screen to flange only",V10,A4,"Board Z J1.2",GND1_Z,"q/p traveler + V10/A4/J1.2 continuity + all-pairs isolation",HOLD - DO NOT TERMINATE
FM-11,SIGNAL,Z_P2,Z,p2,"signed P(q)=p2; physical shelf is one of 8/3/19/14 only after microscope traveler",ZB,"ZB screen to flange only",V11,A3,"Board Z J1.6",GND1_Z,"q/p traveler + V11/A3/J1.6 continuity + all-pairs isolation",HOLD - DO NOT TERMINATE
FM-12,SIGNAL,Z_P4,Z,p4,"signed P(q)=p4; physical shelf is one of 8/3/19/14 only after microscope traveler",ZB,"ZB screen to flange only",V12,A2,"Board Z J1.7",GND1_Z,"q/p traveler + V12/A2/J1.7 continuity + all-pairs isolation",HOLD - DO NOT TERMINATE
FM-13,SPARE,FT_SPARE_13,SPARE,spare,"no cartridge connection",NONE,"no screen assignment",V13,A14,"capped and labeled",NONE,"V13/A14 continuity; open to every signal/chassis",RESERVED
FM-14,SPARE,FT_SPARE_14,SPARE,spare,"no cartridge connection",NONE,"no screen assignment",V14,A13,"capped and labeled",NONE,"V14/A13 continuity; open to every signal/chassis",RESERVED
FM-15,SPARE,FT_SPARE_15,SPARE,spare,"no cartridge connection",NONE,"no screen assignment",V15,A18,"capped and labeled",NONE,"V15/A18 continuity; open to every signal/chassis",RESERVED
FM-16,SPARE,FT_SPARE_16,SPARE,spare,"no cartridge connection",NONE,"no screen assignment",V16,A17,"capped and labeled",NONE,"V16/A17 continuity; open to every signal/chassis",RESERVED
FM-17,SPARE,FT_SPARE_17,SPARE,spare,"no cartridge connection",NONE,"no screen assignment",V17,A16,"capped and labeled",NONE,"V17/A16 continuity; open to every signal/chassis",RESERVED
FM-18,SPARE,FT_SPARE_18,SPARE,spare,"no cartridge connection",NONE,"no screen assignment",V18,A15,"capped and labeled",NONE,"V18/A15 continuity; open to every signal/chassis",RESERVED
FM-19,SPARE,FT_SPARE_19,SPARE,spare,"no cartridge connection",NONE,"no screen assignment",V19,A19,"capped and labeled",NONE,"V19/A19 continuity; open to every signal/chassis",RESERVED
FM-20,SHIELD,SHIELD_XA,X,shield,"stops before cartridge guard",XA,"bond to CF flange/chassis; open at cartridge and board",CHASSIS,CHASSIS,"no J1 signal pin",CHASSIS,"near-zero to flange; open to all 12 signals and GND1_X/Y/Z",HOLD - DO NOT FABRICATE CLAMP
FM-21,SHIELD,SHIELD_XB,X,shield,"stops before cartridge guard",XB,"bond to CF flange/chassis; open at cartridge and board",CHASSIS,CHASSIS,"no J1 signal pin",CHASSIS,"near-zero to flange; open to all 12 signals and GND1_X/Y/Z",HOLD - DO NOT FABRICATE CLAMP
FM-22,SHIELD,SHIELD_YA,Y,shield,"stops before cartridge guard",YA,"bond to CF flange/chassis; open at cartridge and board",CHASSIS,CHASSIS,"no J1 signal pin",CHASSIS,"near-zero to flange; open to all 12 signals and GND1_X/Y/Z",HOLD - DO NOT FABRICATE CLAMP
FM-23,SHIELD,SHIELD_YB,Y,shield,"stops before cartridge guard",YB,"bond to CF flange/chassis; open at cartridge and board",CHASSIS,CHASSIS,"no J1 signal pin",CHASSIS,"near-zero to flange; open to all 12 signals and GND1_X/Y/Z",HOLD - DO NOT FABRICATE CLAMP
FM-24,SHIELD,SHIELD_ZA,Z,shield,"stops before cartridge guard",ZA,"bond to CF flange/chassis; open at cartridge and board",CHASSIS,CHASSIS,"no J1 signal pin",CHASSIS,"near-zero to flange; open to all 12 signals and GND1_X/Y/Z",HOLD - DO NOT FABRICATE CLAMP
FM-25,SHIELD,SHIELD_ZB,Z,shield,"stops before cartridge guard",ZB,"bond to CF flange/chassis; open at cartridge and board",CHASSIS,CHASSIS,"no J1 signal pin",CHASSIS,"near-zero to flange; open to all 12 signals and GND1_X/Y/Z",HOLD - DO NOT FABRICATE CLAMP
