requirement_id,user_requirement,acceptance_test,planned_stage,planned_output,status,notes
R001,"Review at least 150 high-quality, credible, peer-reviewed papers spanning GaN/SiC/WBG device fields and fusion/plasma/stellarator/magnetic-diagnostic/instrumentation fields (mission item 1; ORIGINAL_REQUEST paragraph 2)","outputs/01_SOURCE_LEDGER.csv contains >=150 unique rows with peer_review_status exactly verified_peer_reviewed, deduplicated by DOI then title, per SOURCE_POLICY.md schema",10a_literature_gan;10b_literature_fusion;10c_literature_methods;10d_literature_merge,outputs/01_SOURCE_LEDGER.csv;outputs/01_LITERATURE_REVIEW.md;outputs/01_EVIDENCE_MAP.csv;outputs/01_SOURCE_COVERAGE.md,not_started,"Project 04's reference_registry.csv (122 rows, self-reported peer-review status) may seed but not satisfy this count; independent re-verification required per SOURCE_POLICY.md"
R002,"Decide whether the original GaN Hall-effect magnetic-diagnostics direction is publishable and strategically strong; if not, decide whether to adjust or change direction (mission item 2)","outputs/02_RESEARCH_DIRECTION_DECISION.md states a decision (keep/adjust/change) with evidence citations to source_id values and to supplied manuscript/data locators; outputs/02_DIRECTION_SCORECARD.csv scores the option(s) considered",20_direction,outputs/02_DIRECTION_SCORECARD.csv;outputs/02_RESEARCH_DIRECTION_DECISION.md,not_started,"Depends on R001 (literature ledger) being complete first; must weigh the AEIC/Reviewer-2 novelty concerns recorded in 00_CLAIM_BASELINE.csv"
R003,"Prefer paths that minimize new cleanroom work, reuse established device topologies, and place novelty in application/calibration/measurement architecture/simulation/data analysis/inverse methods/software (mission item 3; fixed preference: low cleanroom burden)","Direction and experiment-plan outputs (R002, R006) explicitly state cleanroom-hours implications of each option and prefer the lowest-cleanroom viable path unless essential to a publication gate",20_direction;40_experiment,outputs/02_RESEARCH_DIRECTION_DECISION.md;outputs/04_HSX_EXPERIMENT_PLAN.md,not_started,"Constraint to be actively checked at stages 20 and 40, not just stated"
R004,"Review the submitted IEEE Sensors Letters manuscript, its source files, available HSX data, and the 23-Jul-2026 decision/reviewer comments (mission item 4)","00_INPUT_INVENTORY.md and 00_CLAIM_BASELINE.csv separately represent Reviewer 1, Reviewer 2, the Associate Editor, and the decision outcome; manuscript section/figure/table map complete",00_inventory,outputs/00_INPUT_INVENTORY.md;outputs/00_CLAIM_BASELINE.csv,complete,"Satisfied in this stage; see Group A/B of 00_INPUT_INVENTORY.md and the decision-letter editor/reviewer map table"
R005,"Compare a revised Sensors Letters submission against an arXiv preprint + substantially completed Review of Scientific Instruments study using the next HSX campaign (mission item 5)","outputs/03_PUBLICATION_ROUTE_DECISION.md gives a reasoned recommendation between the two routes (or a hybrid), addressing effort, timeline, and novelty risk for each, and cross-references R002's direction decision",30_manuscript,outputs/03_REVIEWER_RESPONSE_MATRIX.csv;outputs/03_MANUSCRIPT_DIAGNOSIS.md;outputs/03_PUBLICATION_ROUTE_DECISION.md,not_started,"Project 03 (03_HSX_Vector_Probe_RSI2026) already fully commits to the RSI route in its own planning docs; this must be re-derived from evidence at stage 30, not assumed from that prior commitment (00_CONFLICT_LEDGER.md item C4)"
R006,"Specify the next experiment and analysis needed to close calibration, absolute-field, repeatability, uncertainty, bandwidth, conventional-probe-comparison, and novelty gaps (mission item 6)","outputs/04_HSX_EXPERIMENT_PLAN.md and outputs/04_UNCERTAINTY_AND_STATISTICS_PLAN.md each explicitly address all seven named gap categories with measurable acceptance criteria",40_experiment,outputs/04_MEASUREMENT_REQUIREMENTS.csv;outputs/04_HSX_EXPERIMENT_PLAN.md;outputs/04_DATA_ANALYSIS_PLAN.md;outputs/04_UNCERTAINTY_AND_STATISTICS_PLAN.md,not_started,"Gap list is a direct paraphrase of the AEIC/Reviewer comments recorded in 00_CLAIM_BASELINE.csv (bench calibration, repeatability across fabrication iterations, B-dot/Mirnov comparison, 1 MHz bandwidth justification)"
R007,"Screen only the concepts already supported by the supplied work for potentially protectable subject matter before public disclosure, framed as a research screen, not a legal opinion or patentability conclusion (mission item 7)","outputs/05_CANDIDATE_PROTECTABLE_CONCEPTS.md restricts candidates to concepts traceable to supplied manuscript/data/project files, cites outputs/05_PRIOR_ART_LEDGER.csv for each, and outputs/05_DISCLOSURE_HOLD_CHECKLIST.md contains no legal conclusion language",50_patent,outputs/05_PRIOR_ART_LEDGER.csv;outputs/05_CANDIDATE_PROTECTABLE_CONCEPTS.md;outputs/05_DISCLOSURE_HOLD_CHECKLIST.md,not_started,"Mission.md item 7 and CLAUDE.md operating rule both require explicit disclaimer that this is not a legal/patentability conclusion"
R008,"Produce a realistic 24-month PhD plan aligned with graduating in about two years and preparing for a startup afterward (~2029/2030 per ORIGINAL_REQUEST) (mission item 8)","outputs/06_24_MONTH_PHD_ROADMAP.md covers 24 months with milestones tied to outputs/06_MILESTONES.csv; outputs/06_STARTUP_READINESS.md addresses startup preparation without broadening into unrelated startup ideas",60_timeline,outputs/06_MILESTONES.csv;outputs/06_24_MONTH_PHD_ROADMAP.md;outputs/06_STARTUP_READINESS.md;outputs/06_ADVISOR_MEETING_BRIEF.md,not_started,"Must respect the fixed-preference constraint against broadening into unrelated startup ideas or unrelated PhD fields"
R009,"150-paper source minimum: exact CSV schema, quality-tier rubric (A/B/C), access-level honesty (full_text/abstract_metadata/metadata_only), and required topical coverage (SOURCE_POLICY.md)","outputs/01_SOURCE_LEDGER.csv matches the exact header in SOURCE_POLICY.md; outputs/01_SOURCE_COVERAGE.md documents the quality-tier rubric and coverage against the six required topic areas",10d_literature_merge,outputs/01_SOURCE_LEDGER.csv;outputs/01_SOURCE_COVERAGE.md,not_started,"Duplicate/derived from R001; kept separate because SOURCE_POLICY.md's schema and coverage rules are independently checkable acceptance criteria"
R010,"Model safeguard: use Fable 5 at suitable effort for the most critical/judgment-heavy stages; auxiliary/temporary model use allowed and logged (ORIGINAL_REQUEST paragraph 6; MODEL_POLICY.md)","state/CLAUDE_EVENT_LOG.jsonl and state/MODEL_EFFORT_LOG.csv record requested vs. reported model for every stage; the seven Fable-assigned stages in EXECUTION_PLAN.md show a Fable-5 final-result model or a documented quarantine/retry per MODEL_POLICY.md",all_stages,state/CLAUDE_EVENT_LOG.jsonl;state/MODEL_EFFORT_LOG.csv;state/SESSION_INDEX.csv,in_progress,"Connection test in state/CLAUDE_MODEL_CONNECTION_TEST.json (2026-07-24T23:12:43-07:00) confirms both claude-sonnet-5 and claude-fable-5 reachable and correctly identified before this stage began"
