id,title,c1_founder_fit_w14,c2_extreme_edge_w12,c3_beachhead_w12,c4_expansion_w10,c5_why2029_w10,c6_feasibility_w10,c7_whitespace_w8,c8_china_us_w8,c9_regulatory_w6,c10_capital_w6,c11_standalone_w4,raw_weighted_total
V01,WBG plasma torch retrofit PSU + arc control,5,4,4,4,4,4,4,5,4,4,5,85.2
V02,Pulsed-arc PFAS destruction skid,4,4,5,4,5,4,3,3,4,4,5,82.0
V03,Thermal-battery discharge power stage,4,3,4,5,4,4,4,5,4,4,4,81.2
V04,MV >1000C resistive kiln power controller,5,4,4,4,4,3,4,4,4,3,4,79.6
V05,Berthed-load shore-tie converter,4,3,4,4,5,5,3,4,5,5,5,83.2
V06,PTO-to-grid conversion module,4,4,3,3,4,4,4,3,4,4,4,74.0
V07,Laser-power-beaming receiver module,4,5,4,5,5,4,4,3,3,4,5,84.4
V08,FSM drive + tracking controller card,5,4,4,4,4,5,3,3,3,5,4,81.6
V09,Field-hardened White-Rabbit timing appliance,5,4,4,4,4,5,4,4,4,5,5,86.8
V10,Real-time QEC decoder appliance,5,5,3,5,4,4,3,3,3,4,4,80.4
V11,Robotic magnet-harvesting disassembly cell,5,4,5,4,5,4,4,4,4,3,5,86.8
V12,Heavy-REE magnetic-signature triage sensor,5,4,4,3,4,5,4,4,4,5,3,83.2
V13,Bolt-on weld-QC sensor head,4,3,4,4,4,5,3,4,5,5,3,79.6
V14,Trolley-assist retrofit interface,4,4,4,4,4,3,4,4,4,3,4,76.8
V15,RTG battery-buffer retrofit kit,4,3,4,4,4,4,3,4,4,4,4,76.0
